htid,author,title,year,authgender,female_category,clubs
mdp.39015059436116,"Thompson, Sylvia,",The battle of the horizons / | $c: by Sylvia Thompson.,1928,f,,5.554784057769754
mdp.39015030760519,"Middleton, Stanley,",Holiday.,1974,m,mixed,5.5543829635965745
njp.32101066459015,"Gibbon, Charles,",A heart's problem,1881,m,,5.552779165972569
mdp.39015062495265,"Jeffries, Roderic,",A traitor's crime / by Roderic Jeffries.,1968,m,mixed,5.550698694198132
uc1.$b794335,"Brophy, John,",The nimble rabbit.,1955,m,mixed,5.548465849192699
inu.30000110618919,"Ln̜n, &#xd8;ystein.",According to Sofia / | $c: Oystein Ln̜n ; translated from the Norwegian by Barbara J. Haveland.,2009,u,,5.548342710032514
mdp.39015053531623,"Burns, Anna,",No bones / | $c: Anna Burns.,2001,f,,5.548026091574133
uc1.$b404051,"Garrett, George,","A wreath for Garibaldi, | and other stories.",1969,m,,5.546696249046661
pst.000063137798,,"The forest of thieves and the magic garden : | an anthology of medieval Jain stories / | $c: selected, translated and with an introduction by Phyllis Granoff.",2006,u,mixed,5.545734983189491
uc2.ark:/13960/t6d21v06g,"Wood, Michael.",The willow weaver and seven other tales,1915,m,high_male,5.544620332122758
inu.32000009077365,"White, W. J.",One for the road / | $c: by W. J. White.,1956,u,mixed,5.544159228253036
uc2.ark:/13960/t7np1zc9r,"Joseph, E. L.",Warner Arundell,1838,m,,5.543698201069934
inu.32000009367980,"Trollope, Anthony,",Lady Anna,1874,m,high_female,5.543407964029441
mdp.39015055061231,"Brekke, Toril.",The Jacaranda flower : | and eleven other stories from Africa / | $c: Toril Brekke ; translated by Anne Born.,1987,u,high_female,5.5424691700152415
uiuo.ark:/13960/t9g450b9q,"Bunbury, Selina,",Sir Guy d'Esterre,1858,f,mixed,5.5421619973951834
uiuo.ark:/13960/t1sf34x0k,"Gambier, James W.",Swifter than a weaver's shuttle,1887,m,,5.539322263921009
mdp.39015048888138,"Lynch, Malcolm.",The streets of Ancoats.,1985,m,high_male,5.531768949074535
mdp.39015064983177,"Johnston, Fred,",The neon rose / | $c: Fred Johnston.,2007,m,,5.531432364410764
mdp.39015043000499,"Mackay, Shena.",The artist's widow / | $c: Shena Mackay.,1998,f,mixed,5.531381370307545
uc1.$b251256,,The Mercury story book. | $c: With an introd. by J. B. Priestley.,1929,u,mixed,5.530789907414577
mdp.39015055796760,,Harlot red : | prize-winning stories by women / | $c: edited by Carole Buchan and Kate Pullinger.,2002,u,,5.530744023339739
inu.30000112856103,"Hartley, Desmond Levi Bradshaw,","Modern novelists: selected readings from English fiction; | $c: selected by D. L. B. Hartley, introduced by Percy Wilson.",1968,m,mixed,5.529979400826732
uc1.b3325385,"Pardoe,",Speculation,1834,f,,5.528221571120571
mdp.39015056903795,"Hijjawi, Reem.",You don't live the moment twice / | $c: Reem Hijjawi.,2003,u,high_female,5.526083112290009
njp.32101064710583,"Picken, Andrew,",The sectarian; or The church and the meeting-house,1829,m,mixed,5.5250653799403295
uc1.32106012288145,,"Ovid metamorphosed / | $c: editor, Philip Terry",2000,u,,5.5250450291169875
uc1.b3123798,"Riddell, J. H.,",Daisies and buttercups,1882,f,mixed,5.524861878453039
inu.30000115299145,,The stories of the Bágh o bahár,1890,f,high_male,5.524251463926638
mdp.39015063536117,"Collins, Mortimer,",[Works,1883,m,,5.522077957935571
njp.32101067582179,"Owen, John,",The cotton broker,1921,m,,5.521963610259808
mdp.39015050559577,"Household, Geoffrey,",The lives and times of Bernardo Brown.,1973,m,high_male,5.519525320822409
mdp.39015006992567,"Benson, Stella,",I pose,1915,f,,5.5100668922120715
mdp.39015028359852,"Przerwa-Tetmajer, Kazimierz,","Tales of the Tatras, | $c: by Kazimierz Przerwa-Tetmajer.",1941,u,high_male,5.508023354019021
inu.39000000984323,"Vailland, Roger.",The law / | $c: Roger Vailland ; translated by Peter Wiles.,1985,m,,5.506102597045058
mdp.39015065646914,,The ninth wave.,1955,u,mixed,5.503695851409784
mdp.39015007020632,"Aksenov, Vasiliĭ,","The burn : | a novel in three books : late sixties, early seventies / | $c: Vassily Aksyonov ; translated from the Russian by Michael Glenny.",1984,u,mixed,5.498454541527078
mdp.39015031222790,"Callow, Philip.",Going to the moon.,1968,m,high_male,5.498281786941581
mdp.39015084102626,"Thornton, Rosy.",Crossed wires / | $c: Rosy Thornton.,2009,f,high_female,5.495885936813014
uiug.30112041406031,"Bindloss, Harold,",Hawtrey's deputy / | $c: by Harold Bindloss.,1912,m,,5.492867119697421
uc1.$b119606,"Born, Edith de,",The price of three Cézannes.,1966,f,,5.490809757168939
uiuo.ark:/13960/t6qz2n71v,,"Harden Hall, or, The three proposals",1847,m,high_female,5.488172987212557
wu.89005371356,"Lawson, Henry,",While the billy boils,1915,m,,5.48706880784285
uc1.b4402151,,The ninth wave.,1955,u,mixed,5.485999966606957
mdp.39015063536125,"Collins, Mortimer,",[Works,1883,m,mixed,5.483237742222027
wu.89100064526,"Ellison, Wallace.",Escaped! adventures in German captivity,1918,m,,5.48305735277991
njp.32101068604030,"Sidgwick, Frank.",Treasure of Thule,1912,m,high_male,5.482831882667398
njp.32101065714121,"Lyons, A. Neil",Kitchener chaps,1915,m,,5.480803485791017
inu.32000009266737,"Roberts, Morley,",The great jester;,1896,m,,5.480753420903594
uc1.32106005120107,"Conrad, Joseph,","The secret agent, | a simple tale.",1923,m,mixed,5.479402014593474
mdp.39015062822005,"Grenville, Kate,",The secret river / | $c: Kate Grenville.,2006,f,high_male,5.4726834912593425
uiuo.ark:/13960/t6m04pc93,"Oliphant,",Innocent,1873,f,high_female,5.471537064192073
mdp.39015032640743,"Maddy, Yulisa Amadu,","No past, no present, no future.",1973,u,high_male,5.4712975729323965
uc2.ark:/13960/t6k07392m,"Barker, Bernard.",Eliot the younger;,1878,m,mixed,5.470459518599562
mdp.39015080900429,"Weeks, Shelagh.",Up close / | $c: Shelagh Weeks.,2009,f,high_female,5.470220121657696
mdp.39015039770782,"Burke, Thomas,",Night-pieces; | eighteen tales.,1935,m,high_male,5.469861065528936
mdp.39015078783266,"McAuley, Roisin.",Finding home / | $c: Roisin McAuley.,2009,f,,5.469711472719814
dul1.ark:/13960/t7vm4xm9s,"Irvine, Leigh H.",An affair in the South Seas,1901,u,high_male,5.469462169553327
