text_string,occurs_100k
smyrna,0.08301
sefiora,0.08271
bagana,0.08259
mogadiscio,0.08219
portland,0.08219
antonia,0.08208
morocco,0.08201
okoyong,0.08192
notre dame,0.08157
fifth avenue,0.08083
rockingham,0.08065
constantinople,0.08015
cumberland,0.07994
st aubert,0.07976
streatham,0.07962
sheffield,0.07922
rotterdam,0.07913
montreville,0.07909
hammersmith,0.07842
hamworth,0.07833
bavaria,0.07783
vatican,0.07778
longbourn,0.0775
bayswater,0.07695
signora,0.07687
madame adelaide,0.07637
kenya,0.07617
antwerp,0.07617
berkeley square,0.07573
york,0.07572
paddington,0.07532
avignon,0.07513
havana,0.07506
elderton,0.07494
brunnhilde,0.07492
philadelphia,0.07489
caucasus,0.07477
wrentham,0.07441
hertford,0.07441
buckingham palace,0.07441
harley street,0.07341
fairacre,0.07325
frankfurt,0.07298
cremona,0.07295
salisbury,0.07283
nottingham,0.0727
ploszow,0.07258
lisle,0.07248
metro,0.0722
cannes,0.07196
pakistan,0.07185
johannesburg,0.07119
gloucestershire,0.07094
toulouse,0.07093
argentina,0.07093
park lane,0.0708
fumay,0.07078
congo,0.0705
milford,0.07031
cardiff,0.07016
chiswick,0.07003
jericho,0.06998
regent street,0.06978
tottenham court road,0.06974
st james s park,0.06939
elm grove,0.06929
east indies,0.0692
brasilia,0.06899
hertfordshire,0.06899
midlands,0.06831
greenham,0.06826
springtown,0.06805
new carthage,0.06742
kislovodsk,0.06724
northumberland,0.06724
new delhi,0.06703
creek,0.06688
halifax,0.06686
auschwitz,0.06669
montague,0.06661
sirmium,0.06653
singapore,0.0663
nazareth,0.06615
arlington,0.06596
philippines,0.06595
baronne,0.06587
uruguay,0.06574
poynton,0.06573
breslau,0.0656
narnia,0.06539
philly,0.06517
paloma,0.06513
sorbonne,0.06493
peasmarsh,0.0648
verona,0.06466
orelli,0.0636
onitsha,0.0633
plymouth,0.06309
senegal,0.06289
beulah,0.06244
north america,0.06231
charing cross road,0.06177
notting hill,0.06171
chaya,0.06156
middlesex,0.06155
east end,0.06131
united states of america,0.06125
kew,0.06124
frejus,0.06112
peru,0.06111
jermyn street,0.0609
north london,0.06065
baker street,0.06063
buckinghamshire,0.06059
weymouth,0.06051
dallas,0.06014
honfleur,0.06012
dieppe,0.06002
canterbury,0.05989
caversham,0.05987
holland park,0.05984
orvieto,0.05964
neaera,0.05951
hamilton,0.0595
padua,0.05947
leeds,0.0594
waltham hall,0.05934
earlham,0.05915
shaftesbury avenue,0.05909
montparnasse,0.05885
highgate,0.05875
mesopotamia,0.05874
tennessee,0.0586
clerkenwell,0.05832
lauderdale,0.05831
colorado,0.05828
sverdlovsk,0.05808
almeria,0.05781
senora,0.05771
curfew street,0.05757
pekin,0.05757
margate,0.05735
sebastopol,0.05727
diwali,0.05724
texas,0.0572
bruges,0.05704
lady olivia,0.05682
blanford,0.05652
chesterfield,0.05634
syracuse,0.05624
lancashire,0.05615
gibraltar,0.05615
knightsbridge,0.05581
rosewood,0.05571
mecca,0.05552
wiltshire,0.05525
sart,0.05522
ganges,0.05516
haifa,0.05514
basingstoke,0.0549
riverside,0.05484
piccadilly,0.05483
tuonela,0.05483
caroline street,0.05481
sussex,0.05465
lebanon,0.05458
palma nova,0.05457
bond street,0.05449
fresnes,0.05449
fitzwilliam,0.05446
indiana,0.05435
zenobia,0.05401
winchester,0.05394
montevideo,0.05389
croydon,0.05384
biarritz,0.05377
kremlin,0.05368
languedoc,0.05361
albemarle street,0.05359
pyrenees,0.05355
maidenhead,0.05353
palermo,0.05348
shrewsbury,0.05341
burgundy,0.05332
tehran,0.05314
sloane street,0.05311
chesham place,0.05303
flanders,0.05293
scandinavia,0.05282
beaucaire,0.05273
pripyat,0.05249
trinidad,0.05248
newport,0.05233
eiffel tower,0.0523
assisi,0.05216
ashington,0.05212
lascelles,0.05205
burma,0.05204
durham,0.05193
grafton,0.05188
grafton street,0.05162
kingdom,0.05155
newmarket,0.05101
morningquest,0.05098
apennines,0.05089
mavisbank,0.05087
jaffa,0.05085
nashville,0.0507
greenland,0.05053
accra,0.05046
nunthorpe,0.05005
anacapri,0.04995
benares,0.04994
antigua,0.04977
carteret,0.04973
moulins,0.04942
ostend,0.04906
genoa,0.04898
haddington,0.04894
rose hall,0.0488
aston,0.04877
belmont,0.04868
ghana,0.04865
bransby,0.04854
masham,0.04854
nice,0.04849
eton,0.04843
noria,0.04797
tel aviv,0.04768
chile,0.0476
boscombe,0.04757
donnington,0.04723
woodville,0.04718
ethiopia,0.04716
grosvenor place,0.04695
laramie,0.04694
orenburg,0.04683
inverness,0.04674
beresford road,0.04665
newcastle,0.04662
barton street,0.04656
arizona,0.04654
cramond,0.04642
hills,0.0463
southwark,0.04615
saxony,0.04614
seville,0.04586
portman square,0.04585
pisa,0.04579
adriatic,0.04577
louvre,0.04574
oldham,0.04568
trouville,0.04566
marbella,0.04562
alaska,0.04559
uganda,0.04547
wanda,0.04547
west kensington,0.04546
londonderry,0.0453
buenos aires,0.04516
massachusetts,0.04503
black sea,0.04499
hampshire,0.04496
monte carlo,0.04491
neva,0.04489
dumfries,0.04469
south kensington,0.04465
alsace,0.04448
queen street,0.04443
walworth,0.04439
teesta,0.04438
strindberg,0.04433
aslan,0.0443
mount everest,0.04424
primrose hill,0.04419
kalevala,0.04409
croyde,0.04395
toulon,0.04374
petrograd,0.04365
malaysia,0.04363
parwati,0.04353
pretoria,0.0434
u s a ,0.04337
shravan,0.04334
derby,0.04332
bassora,0.04331
red sea,0.0433
mexico city,0.04316
frankfort,0.04316
midland,0.0431
st foix,0.04309
middle east,0.04308
harlem,0.04308
vanka,0.04305
craiglands,0.04273
rose valley,0.0426
loudon,0.04258
folkestone,0.04257
amalthea,0.04238
everton,0.04226
heathfield park,0.04225
jacintha,0.04223
rheims,0.04221
algiers,0.0422
durban,0.04217
vichy,0.04215
rasselas,0.04207
zabdas,0.042
london bridge,0.04198
brixham,0.04194
clapham,0.04192
santa claus,0.04188
st kilda,0.04184
antioch,0.0418
gascony,0.04178
vistula,0.04172
carlyle,0.04169
murmansk,0.04161
langdale,0.04156
white waltham,0.04118
corsica,0.04115
blackpool,0.04108
cariclia,0.04108
florestan,0.04107
doncaster,0.04095
bucharest,0.0409
fulham,0.04077
berezovka,0.04077
pembroke,0.04075
newfoundland,0.04067
lowndes square,0.0406
south india,0.04058
saulieu,0.04053
shetland,0.04045
maria,0.04043
mozambique,0.0404
alexandra gardens,0.04036
rialto,0.04031
craigenputtock,0.04028
fryston,0.04026
netherlands,0.04016
mount carmel,0.04016
czechoslovakia,0.04014
portland place,0.04008
phoenix,0.04004
black maria,0.03994
phalsbourg,0.03986
schwerin,0.03975
spades,0.03968
odessa,0.03947
pennsylvania,0.03937
robespierre,0.03931
baranya,0.03926
ohio,0.03921
manila,0.03914
fulda,0.03905
sheba,0.03897
tropicana,0.03896
boulogne,0.03895
clermont ferrand,0.03884
pincio,0.03869
sidney,0.03859
whistler,0.03847
easthampton,0.03846
indian ocean,0.03843
fulham road,0.0384
hampton court,0.03836
guinea,0.03831
leominster,0.03829
seychelles,0.03829
scotland yard,0.03826
u s ,0.03824
langley,0.0382
karachi,0.03809
wrexham,0.03805
bredwardine,0.03798
antibes,0.03793
