htid,author,title,year,authgender,female_category,england_as_such_intensity
mdp.39015012192517,Petronius Arbiter.,"The Satyricon of T. Petronius Arbiter. | $c: Burnaby's translation, 1694. With an introduction by C. K. Scott Moncrieff. Ornamented by Martin Travers.",1923,u,high_male,4.1459369817578775
nyp.33433074901871,"Miles, Henry Downes,",Dick Turpin,1840,m,,4.14563142572871
uc1.$b312483,"Shanks, Edward,","Elizabeth goes home, | $c: by Edward Shanks, with illustrations by Michael Rivett.",1942,m,high_female,4.145593234391842
uiuo.ark:/13960/t5p84z242,"MacDonald, George,",Wilfrid Cumbermede,1872,m,mixed,4.144562334217507
uiuo.ark:/13960/t77s87h7v,"Maxwell,",Eleanor's victory,1863,f,high_female,4.144218814753419
mdp.39015066900823,"Binchy, Maeve.",This year it will be different / | $c: Maeve Binchy.,2007,f,high_female,4.142101702403799
uc2.ark:/13960/t4th8f22s,"Shannon, W. F.",The mess deck,1899,u,high_male,4.14181577203446
uc2.ark:/13960/t13n2ck6c,"Quiller-Couch, Arthur,",Hocken and Hunken;,1912,m,,4.139998178400801
uc1.b3324575,"Le Fanu, Joseph Sheridan,",The watcher and other weird stories,1894,m,high_male,4.139986752042393
mdp.39015037038877,"Unsworth, Barry,",Mooncranker's gift. -,1973,m,,4.139758238118894
uc1.b3168257,"Wain, John.",King Caliban : | and other stories / | $c: John Wain,1978,m,,4.138730237563116
uc1.b3310869,"Finn, F. E. S. (Frederick Edward Simpson)",Contact: short stories of the 1960s; | $c: collected by F. E. S. Finn.,1969,m,mixed,4.138644593895499
uiuo.ark:/13960/t1fj2v847,"Grant, Maria M.",One May day,1882,f,,4.136076931030917
uiuo.ark:/13960/t59c7jm5h,"Putney, Charlotte.",The brazen mask,1826,f,,4.133256179217988
mdp.39015003477935,"Marshall, Sybil.",Fenland chronicle: | recollections of William Henry and Kate Mary Edwards | $c: collected and edited by their daughter; with drawings by Ewart Oakeshott.,1967,f,,4.131787493905613
uiuo.ark:/13960/t0dv1sk2m,"Ainsworth, William Harrison,",Hilary St. Ives,1870,m,,4.129671691100557
mdp.39015016455811,"Abse, Dannie.",Some corner of an English field | a novel.,1956,m,,4.1284214292594985
uc1.$b173837,"Prichard, Katharine Susannah,","Haxby's circus : | the lightest, brightest little show on earch / | $c: by Katharine Susannah Prichard.",1932,f,,4.12779658218443
uc1.b3295251,"Weidman, Jerome,","Where the sun never sets, | and other stories.",1964,m,high_female,4.127569411958945
njp.32101067178598,"Trollope, Frances Milton,",Tremordyn cliff,1835,f,high_female,4.126036666712512
