htid,author,title,year,authgender,female_category,gb_intensity
mdp.39015058130629,"Murray, Nicholas.",Remembering Carmen / | $c: Nicholas Murray.,2003,m,,146.34071198607452
uc1.$b250722,"Garnett, Martha Roscoe,",Unrecorded : | a tale of the days of chivalry / | $c: by Mrs. R. S. Garnett.,1931,u,high_female,146.3214598594569
mdp.39015063536505,"Collins, Mortimer,",[Works,1883,m,,146.26579005688114
dul1.ark:/13960/t87h2bk96,"Riddell, J. H.,",Mitre Court,1885,f,mixed,146.2623454108379
uc1.b3324455,"Jerrold, Blanchard,",Cent per cent,1869,m,high_male,146.25461019966934
inu.30000005353572,"Trollope, Anthony,",The duke's children,1881,m,mixed,146.2451188806971
njp.32101034959088,"Gilbert, Rosa M.",The late Miss Hollingford,1887,f,high_female,146.24499360178152
uc1.$b251002,"Turpin, Allan.",Ladies: | an episode of the revolution.,1966,m,high_female,146.23005767050591
mdp.39015002148933,"Smith, Stevie,","Novel on yellow paper; | or, Work it out for yourself, | $c: by Stevie Smith.",1969,u,,146.21350037986844
mdp.39015064001533,"Defoe, Daniel,",The novels and miscellaneous works,1840,m,,146.19786326199846
uc1.b3321864,"Disraeli, Benjamin,",The young duke,1831,m,,146.18800888230942
uiuo.ark:/13960/t05x2z259,"Riddell, J. H.,",Phemie Keller,1866,f,,146.1765691141091
uc1.32106013199465,"Arditti, Michael",Pagan and her parents / | $c: Michael Arditti,1996,m,high_female,146.168302359574
inu.32000004611473,"Gilbert, Michael Francis,",Close quarters / | $c: by Michael Gilbert.,1951,m,high_male,146.14845355924953
mdp.39015003699934,"Garnett, David,",A net for Venus.,1959,m,mixed,146.1264701029956
uiuo.ark:/13960/t82j72z1n,"Tabor, Eliza.",Hope Meredith,1874,f,high_female,146.12136101610545
uiuo.ark:/13960/t17m0xn5j,"Robinson, Emma,","Whitefriars, or, The days of Charles the Second",1844,f,high_male,146.12071315631644
uiuo.ark:/13960/t71v64050,"Meteyard, Eliza,",The Lady Herbert's gentlewomen,1862,f,high_female,146.11558172265973
uc1.b4101698,"Thackeray, William Makepeace,",The adventures of Philip on his way through the world,1884,m,,146.1087140150218
uc1.b4282068,,Shakespeare stories / | $c: edited and introduced by Giles Gordon ; illustrations by Robin Jacques.,1982,u,high_male,146.10389610389612
uc1.b3347084,"Kenyon, F. W. (Frank Wilson),","I, Eugenia.",1962,m,mixed,146.08345227101
wu.89013829759,"Boothby, Guy,",Uncle Joe's legacy,1902,u,high_male,146.07227872754817
uc1.32106006692732,"Avery, Gillian,",Onlookers / | $c: Gillian Avery.,1983,f,high_female,146.06536425050209
inu.30000123121687,"Welsh, Irvine.",Trainspotting / | $c: Irvine Welsh.,1994,m,mixed,146.04132251191075
nyp.33433075766349,"Penny, F. E.",A mixed marriage,1905,m,high_female,146.02281994920273
inu.39000002550999,"Braddon, M. E.",The doctor's wife,1864,f,mixed,145.98540145985405
mdp.39015051323247,"Beaty, David.",The blood brothers / | $c: David Beaty.,1987,m,,145.9672403068629
uc1.b3321920,"Besant, Walter,",The chaplain of the fleet,1881,m,mixed,145.9507161767701
njp.32101065836585,"Meeke, Mary,",Which is the man?,1801,f,high_male,145.93139169218753
uiuo.ark:/13960/t6sx6sx37,"Jeaffreson, John Cordy,",Miriam Copley,1859,m,,145.90020426028596
mdp.39015030764370,"Mitchell, Julian.","Light blue, dark blue; | an anthology of recent writing from Oxford and Cambridge Universities, | $c: edited by Julian Mitchell & John Fuller for Oxford [and] William Donaldson & Robin McLaren for Cambridge.",1960,m,mixed,145.84852588811336
mdp.39015053158724,,"Piece of flesh / | $c: edited by Zadie Smith ; consultant editor, Katie Kitamura.",2001,u,high_female,145.84346135148274
nyp.33433074871777,"Kenealy, Edward Vaughan,",Edward Wortley Montagu,1869,m,mixed,145.81983149708364
