htid,author,title,year,authgender,female_category,urban_gb_intensity
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,806.2834503371099
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,448.7089601570482
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,416.34193363140406
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,412.8741672140377
uiuo.ark:/13960/t13n2p45s,"McCarthy, Justin H.",A London legend,1895,m,,324.2971658254733
inu.30000000222921,,A Visual history of costume.,1983,u,high_male,320.36887331956046
mdp.39015016605449,,A Visual history of costume.,1983,u,high_male,317.5078628126404
mdp.49015002057033,,A Visual history of costume.,1983,u,high_male,316.4747724395684
uiuo.ark:/13960/t7hq4g15s,"McCarthy, Justin H.",A London legend,1895,m,,311.9483471574009
mdp.39015038922228,,A Visual history of costume.,1983,u,high_male,310.16622500602267
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,307.62011522719575
uc2.ark:/13960/t6xw4dn8n,"Ainsworth, William Harrison,",Beatrice Tyldesley,1878,m,,304.4178323437657
uiuo.ark:/13960/t8w95vn3c,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,304.20353982300884
uiuo.ark:/13960/t52f87g8b,"Yorke, Curtis.",A romance of modern London,1892,f,,297.5333525290335
uc1.32106018430477,,A Visual history of costume.,1983,u,high_male,277.3925104022192
uiuo.ark:/13960/t1ng5561x,"Yorke, Curtis.",A romance of modern London,1892,f,,256.45010879701584
mdp.39015018955651,"Farson, Negley,",Bomber's moon / | $c: Negley Farson ; with 48 illustrations by Tom Purvis.,1970,u,high_female,255.8662006989516
inu.32000006712584,"Ganier-Raymond, Philippe.",The tangled web; | $c: translated from the French by Len Ortzen.,1968,m,high_male,255.69530859988555
uiuo.ark:/13960/t5j96p02r,"Yorke, Curtis.",A romance of modern London,1892,f,,255.05312008591264
uiuo.ark:/13960/t1mg86494,"Warden, Florence,",Scheherazade,1887,f,mixed,253.89115796445523
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,252.9815684857246
mdp.39015063925815,"Rendall, Vernon Horace,",The London nights of Belsize,1917,m,high_male,250.03397200706615
mdp.39015030854338,"Baring, Maurice,",Passing by,1921,m,high_female,239.87788035182092
uc1.32106008123272,"Spicer, Jack.",Lament for the maker / | $c: Jack Spicer.,1971,m,,238.0952380952381
mdp.39015079360940,"Derbyshire, Ron.",The dormant register / | $c: Ron Derbyshire.,2009,m,,237.27060093558836
mdp.39015010344334,"Hanley, Clifford.",Dancing in the streets / | $c: Clifford Hanley.,1983,m,mixed,231.58561170257076
mdp.39015063552759,"Galt, John,","The Ayrshire legatees, or, The Pringle family",1821,m,,231.4974777140488
uc1.b3328718,"Matz, Bertram Waldron,","The inns & taverns of ""Pickwick""",1922,m,high_male,230.22081394197448
uiuo.ark:/13960/t0bv8241n,"Warden, Florence,",Scheherazade,1887,f,mixed,222.61299012271775
uc2.ark:/13960/t8nc65r78,"Matz, B. W.","The inns & taverns of ""Pickwick""",1921,u,high_male,222.13542938046183
mdp.39015065549191,"Ross, Martin,",The silver fox,1898,f,,220.228823118655
uiuo.ark:/13960/t1sf3bm7d,"Warden, Florence,",Scheherazade,1887,f,mixed,217.03240646274276
uc2.ark:/13960/t06w97g82,"Ballantyne, R. M.",Fighting the flames,1876,m,,215.1584912342837
nyp.33433075959621,"Robinson, F. W.","Memoirs of Jane Cameron, female convict",1864,m,high_female,213.74499035178863
uiuo.ark:/13960/t8ff4947x,"McCarthy, Justin H.",A London legend,1895,m,,205.9791990020163
uc1.b4961679,"Kemp, Will,","Kemps nine daies wonder : | performed in a daunce from London to Norwich : containing the pleasure, paines and kinde entertainment of William Kemp between London and that Citty in his late Morrice : wherein is somewhat set downe worth note; to reproove the slaunders spred of him; many things merry, nothing hurtfull / | $c: map and drawings by Robert Yaxley.",1985,m,high_male,205.3388090349076
nyp.33433075752430,,Almack's;,1827,u,high_female,202.48481363897704
uc1.$b812567,"Begbie, Harold,",The little that is good,1917,m,high_male,201.07915849887843
uc2.ark:/13960/t7sn0686c,"Gorrie, Daniel.","Geordie Purdie in London, or, The adventures of a Fifeshireman in the metropolis",1875,m,high_male,192.8707941016604
mdp.39015027339442,"Garby-Czerniawski, Roman.",The big network.,1961,m,,191.9774873604884
mdp.39015073484324,"Henty, G. A.",A march on London,1898,m,high_male,191.8031551619024
mdp.39015032438247,"Penn, Margaret.",The foolish virgin / | $c: by Margaret Penn.,1980,f,high_female,190.11194238489844
inu.39000001687552,"Manifold, J. S. (John Streeter),",The death of Ned Kelly : | and other ballads / | $c: by John Manifold.,1941,m,high_male,188.67924528301887
njp.32101065853366,"Reid, Mayne,",No quarter!,1888,m,,184.35328021698595
uc2.ark:/13960/t5w66b96n,,Red Riding Hood,1871,m,high_male,183.15018315018315
njp.32101065101592,"Gilkes, A. H.",A dialogue,1904,u,high_male,181.80716320223016
mdp.39015033516314,"Abernethy, Cecil.",Mr. Pepys of Seething Lane.,1974,m,,180.4024720958112
uc1.b4253908,"Tilden, William A.","Sir William Ramsay, K. C. B., F. R. S;",1918,m,high_male,178.96743570789403
uc1.b3811083,"Bennett, Arnold,",The regent : | a five towns story of adventure in London.,1929,m,high_male,177.83673626331375
uiuo.ark:/13960/t0ft9464s,"Mexborough, Elizabeth (Stephenson),",Drifted together,1879,f,high_female,177.63322491868902
uc1.b3548418,"Birrell, Francis,",A letter from a black sheep | $c: [by] Francis Birrell.,1932,m,,177.57137003141648
mdp.39015034864994,"Norquay, Glenda,",Voices and votes : | a literary anthology of writings of the women's suffrage campaign / | $c: Glenda Norquay.,1995,f,high_female,177.2405307015027
uc1.$b372446,"Jefferies, Richard,","After London, or, Wild England",1886,m,mixed,175.84555522298714
mdp.39015062281574,"Baring, Maurice,",A triangle : | passages from three notebooks / | $c: by Maurice Baring.,1923,m,,174.9207390401224
mdp.39076000963459,"Hamilton, Ian Robertson,",No stone unturned; | the story of the Stone of Destiny. | $c: With a foreword by Sir Compton Mackenzie.,1952,m,high_male,174.4128918148767
mdp.39015084102576,"Russell, Craig,",Lennox / | $c: Craig Russell.,2009,m,,174.09441468112126
wu.89013740311,"Sims, George R.,",Behind the veil,1913,m,,172.18543046357615
uc1.32106007017350,"Hough, Richard Alexander,",Buller's victory / | $c: Richard Hough.,1984,m,high_male,171.35290910507047
mdp.39015019996431,"Pullinger, Kate.",When the monster dies / | $c: Kate Pullinger.,1989,f,high_female,170.64601706460172
mdp.39015073480447,"Henty, G. A.",When London burned,1895,m,high_male,168.18823891524082
uc2.ark:/13960/t9862hm6r,"Sinclair, Catherine,","London homes, including The murder hole; The drowning dragoon; The priest and the curate; Lady Mary Pierrepoint; and Frank Vansittart",1853,f,mixed,167.63431188159294
inu.30000120843341,"Sisson, Rosemary Anne.",The Stratford story / | $c: Rosemary Anne Sisson.,1975,f,,165.43916124338492
mdp.49015000534751,"James, Henry,",A London life,1889,m,high_female,165.29916579591975
uc1.b3553822,"Corry, John,",The history of Henry Thomson,1803,m,high_male,164.20361247947454
uva.x030794682,"Trask, Katrina,",In my lady's garden;,1907,u,high_female,163.9757820383451
inu.32000005765484,"Ireland, Annie Elizabeth Nicholson,",Life of Jane Welsh Carlyle,1891,f,high_female,162.41664520191182
dul1.ark:/13960/t1qf9cr59,"Ford, Douglas Morey.",A time of terror,1906,m,high_male,161.96911965800618
uc1.$b313869,"Matters, Leonard.","The mystery of Jack the Ripper; | the world's greatest crime problem, | $c: by Leonard Matters; with 10 illustrations and 5 diagrams.",1929,m,,160.7667809897109
uc2.ark:/13960/t88g8mj8t,"Bennett, Arnold,",The regent;,1913,m,high_male,160.006244146113
mdp.39015000604796,"Gissing, George,",Eve's ransom.,1929,m,mixed,157.6636312733917
mdp.39015024871959,"Alexander, Louis Charles,",The autobiography of Shakespeare;,1911,m,,156.286029053829
uiuo.ark:/13960/t9x06bv3q,"Ainsworth, William Harrison,",The Spanish match,1865,m,high_male,156.13573927307942
uc1.b3872923,"Harben, Henry Devenish,","Love letters to a dead woman, | $c: by H. D. Harben.",1923,m,mixed,155.2739603783687
mdp.39015056812483,"Keyes, John.",The importance of being Micheál / | $c: John Keyes.,2002,m,,154.81587968594494
njp.32101068144953,"Alexander, Louis C.",The autobiography of Shakespeare,1911,m,high_male,153.74365807410447
inu.30000110447988,"Beauchamp, Michelle.",On the streets : | a journey through London with the young homeless / | $c: Michelle Beauchamp ; photographs by Glynn Griffiths.,1989,f,,151.43534369238873
uc1.b4948680,"Allbeury, Ted.",The girl from Addis / | $c: Ted Allbeury.,1984,m,high_male,150.89740427445918
uc1.b3321893,"Black, William,",Magic ink and other tales,1892,m,mixed,148.83831693631208
uc2.ark:/13960/t1mg7jr51,"Morley, Charles Robert,",Travels in London,1916,m,high_male,147.63779527559055
wu.89097347694,"Shute, Nerina,","We mixed our drinks; | the story of a generation, | $c: by Nerina Shute.",1945,u,high_female,147.55400855056564
mdp.39015059392152,"Davidson, John,",Baptist Lake,1894,m,,147.25607978071966
uc2.ark:/13960/t0pr7p89f,"Williams, Bransby.",My sketches from Dickens,1913,u,,146.04225489241554
uc1.$b243821,"Kruger, Rayne.","Young villain with wings, | a novel.",1953,u,high_male,145.05037442220146
mdp.39015066080386,"Littlewood, Joan.",Joan's book : | Joan Littlewood's peculiar history as she tells it.,1994,f,,144.99226096159848
inu.30000107499703,,London noir : | capital crime fiction / | $c: edited by Cathi Unsworth.,2006,u,,144.98283098054176
uc2.ark:/13960/t7br8pf30,"Russell, George William Erskine,","""For better? For worse?""",1902,m,,144.88885499675908
mdp.39015063541489,"Boddingon, Harry.","Outline of an address delivered to the ""Link Association of Spirit Circles"" Wortley Hall, Finsbury Park, | preliminary to the public demonstration o[f] kilnascrene, November 28th, 1936. The development of clairvoyance and the scientific formation of circles.",1937,m,high_female,144.64168310322157
uva.x030825961,"Hardy, Robina F.",The story of a coral necklace,1893,f,high_female,143.206132592031
mdp.39015082679484,"Ripley, Mike.",Angels unaware / | $c: Mike Ripley.,2008,m,high_female,142.58964736483364
mdp.39015002758822,"Salkey, Andrew.",The adventures of Catullus Kelly.,1969,m,,142.5270801452276
uiuo.ark:/13960/t7xk8mq77,"Chorley, Henry Fothergill,",A prodigy,1866,m,,141.91365100158288
mdp.39015039762805,"Sharp, Margery,",The gipsy in the parlour.,1953,f,high_female,141.85171040427738
uc2.ark:/13960/t47p8wg3g,"Abbott, J. H. M.",Letters from Queer Street ;,1908,u,,141.8113525736844
mdp.39015055048741,"Leitch, David.",Family secrets / | $c: David Leitch.,1984,m,,141.40029137029737
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,140.84235303196928
uc2.ark:/13960/t5z60fh7d,"Wedmore, Frederick,",English episodes,1894,m,,140.80045056144178
mdp.39015038701317,"De Quincey, Thomas,",Confessions of an English opium-eater,1867,m,high_female,140.1233085114901
dul1.ark:/13960/t7mp5q31m,"Dickberry, F.",The storm of London,1904,m,mixed,139.55743734698945
uiuo.ark:/13960/t13n2fw29,"Collins, Mortimer,",Marquis and merchant,1871,m,mixed,139.54837072746383
inu.32000005542370,"Baring, Maurice,",Darby and Joan / | $c: by Maurice Baring.,1935,m,high_female,139.33310111149814
mdp.39015013731008,"Craufurd, Russell.",The ramblings of an old mummer,1909,m,high_male,139.17294961939223
mdp.39015000550809,"Houghton, Claude,","Three fantastic tales, | $c: by Claude Houghton [pseud.] With a frontispiece by John Farleigh, and a preface by Clemence Dane.",1934,m,high_male,139.17004048582996
uc1.b3548995,"Topolski, Feliks,",Portrait of G.B.S. / | $c: with an introduction by Hesketh Pearson.,1946,u,high_male,138.82461823229983
njp.32101068166394,"Chorley, Henry Fothergill,",Roccabella,1859,m,high_female,138.60626972190275
mdp.39015059392269,"Davidson, John,",A random itinerary,1894,m,high_male,138.2574246895855
uc1.b3322521,"Gladstone, Alfred.",The man of the hour,1863,m,,137.51332643191546
dul1.ark:/13960/t3cz3xx41,"Flecker, James Elroy,",The last generation,1908,m,high_male,137.50114584288204
uiuo.ark:/13960/t2p567g2p,"Westall, William,",Her two millions,1887,m,mixed,137.46659870565156
uiuo.ark:/13960/t0tq6jr5n,"Strauss, G. L. M.",The old ledger,1865,u,,136.86911890504703
nyp.33433074892526,"Mathew, Frank James,",A child in the temple,1897,m,mixed,136.7416420159625
yale.39002037389138,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,136.2675229070405
mdp.39015005315372,"Wilson, A. N.,",Who was Oswald Fish? / | $c: A.N. Wilson.,1981,m,high_female,136.0282938851281
uiuo.ark:/13960/t0qr5b57j,"Leys, John K.",The Lindsays,1888,m,,135.53973134811457
mdp.39015038922673,"Williams, Allan.",The man who gave the Beatles away / | $c: Allan Williams and William Marshall.,1975,m,high_male,135.49022828050585
uiuo.ark:/13960/t8jd5fz3c,"Lee, Holme,",This work-a-day world,1875,f,,134.67030114226378
uc2.ark:/13960/t80k28t34,"Vachell, Horace Annesley,",The fourth dimension,1920,m,high_female,134.45873000294432
mdp.39015018608078,"Ardizzone, Edward,",Tim all alone / | $c: by Edward Ardizzone.,1957,m,high_male,134.40860215053763
uiuo.ark:/13960/t4hm5ts3b,"McCarthy, Justin,",The riddle ring,1896,m,mixed,134.19923794004168
mdp.39015063933876,"Letts, E. F.","Nicholas Mosley, loyalist;",1903,u,mixed,134.00754015759287
mdp.39015064983151,"Smith, Donald,",The English spy / | $c: Donald Smith.,2007,m,high_female,132.84012180417324
mdp.39015064962650,"Deloney, Thomas,",The gentle craft / | $c: edited by Simon Barker.,2007,m,,132.7310703886242
mdp.39015039402428,"Johnson, Samuel,","Rasselas, prince of Abyssinia",1884,m,high_female,132.5149951178686
nyp.33433074936968,"Barrie, J. M.",Better dead,1888,m,high_male,132.3140252866804
uiuo.ark:/13960/t1hh6wn89,"Fitzgerald, G. Beresford",Clare Strong,1889,u,,131.89448441247004
mdp.39015031332862,"Beresford, J. D.",Goslings,1913,m,high_female,131.15510927843704
uc1.$b244924,"Spring, Howard,",Rachel Rosing : | a novel / | $c: by Howard Spring.,1935,m,,131.03412128518266
uc1.$b302067,"Morton, H. V. (Henry Vollam),","I, James Blunt, | $c: by H.V. Morton.",1942,m,,130.53467000835423
uiuo.ark:/13960/t3805gj3d,"Gore,",The diary of a désennuyée,1836,f,,130.45982853851106
mdp.39015074267256,"Ewing, Barbara.","The mesmerist : | or the Misses Preston, of Bloomsbury / | $c: Barbara Ewing.",2007,f,high_female,130.43478260869566
uiuo.ark:/13960/t9086vr6d,"McCarthy, Justin.",Red diamonds,1893,m,,130.2891177565455
uc2.ark:/13960/t4xg9tm3z,"Rutherford, Mark,",Clara Hopgood,1896,m,,130.0879805552703
nyp.33433074859913,"Gull, Cyril Arthur Edward Ranger,",The hypocrite,1898,m,,130.0827595487474
uiuo.ark:/13960/t95721n6t,"Reid, Mayne,","Lost Lenore, or, The adventures of a rolling stone",1864,m,mixed,128.13187193738852
uiuo.ark:/13960/t1cj8rk2q,"Ouida,",Syrlin,1890,f,,127.80790085205268
mdp.39015014583184,"Baring, Maurice,","Cat's cradle, | $c: by Maurice Baring ; illustrated by Daphne Baring.",1926,m,high_female,126.51802401150584
mdp.39015051353905,"Bracewell, Michael,",The Crypto-Amnesia Club / | $c: Michael Bracewell.,1988,m,high_female,126.4102645134785
uc1.b3872914,"Earl of, Halsbury, Hardinge Goulburn Giffard,",Nineteen forty-four / | $c: by the Earl of Halsbury.,1926,u,mixed,125.81750233572096
nyp.33433074909916,"Defoe, Daniel,",Memoirs of a cavalier,1809,m,high_male,125.66572916043326
mdp.39015048892155,"Levi, Peter.",To the goat / | $c: Peter Levi ; with illustrations by André Yaniw.,1988,m,,124.49947844813084
mdp.39015063747995,"Black, William,",White heather,1885,m,,124.28748982128316
uc1.32106016184910,"Morin, Carole",Penniless in Park Lane / | $c: Carole Morin,2001,f,high_female,123.4831754173494
uiuo.ark:/13960/t69316638,"Ouida,",Syrlin,1890,f,,123.44556050781604
uiuo.ark:/13960/t1fj33j7j,"Oliphant,",Kirsteen,1890,f,high_female,123.33715091181394
inu.30000001666621,"Briggs, Katharine Mary.","A dictionary of British folk-tales in the English language, | incorporating the F. J. Norton collection | $c: [by] Katharine M. Briggs.",1970,f,high_male,123.28847951454772
uc1.$b300166,"Downes, Carl Sawyer,","Robin Redbeard; | being a fictional biography of Robert Greene, author of tales, pamphlets and plays.  Describing the varying fortunes of his life from the year 1579, when he returned, bachelor of arts from Cambridge, to his home in Norwich, till the year of his untimely death, 1592. | $c: By Carl S. Downes",1937,m,,123.2694860610658
mdp.39015046410471,"Selvon, Samuel.",Moses ascending / | $c: [by] Sam Selvon.,1975,m,mixed,122.63882864962686
njp.32101067632578,"Ouida,",Syrlin,1890,f,,122.59537006847084
uiuo.ark:/13960/t88g8zb4b,"Craik, Dinah Maria Mulock,",Mistress and maid,1863,f,high_female,122.51327227116272
mdp.39015022061835,"Rayner, Richard,",The elephant / | $c: Richard Rayner.,1991,m,mixed,122.47488891378217
mdp.39015017751713,"Taylor, Alistair.",Yesterday : | the Beatles remembered / | $c: Alistair Taylor with Martin Roberts.,1988,u,high_male,121.69237300127354
inu.39000002570237,"Newman, G. F. (Gordon F.)",The Guvnor / | $c: G. F. Newman.,1977,m,high_male,121.6917571967377
mdp.39076002870140,"Arlen, Michael,",The London venture,1919,m,high_male,121.54124644427203
mdp.39015016454343,"Arlen, Michael,",The London venture; | $c: with an introduction by Noel Coward.,1968,m,high_male,121.51898734177216
uc2.ark:/13960/t8mc8tj6d,"Horn, Holloway.",Half-caste,1920,u,mixed,121.48208139299452
uc2.ark:/13960/t3125st0s,"Harris, Edwin.",William d'Albini,1901,u,high_male,121.33499209018724
mdp.39015063761186,"Black, William,",Macleod of Dare,1878,m,,121.26980228417048
nyp.33433082397815,"Sherard, Robert Harborough,","Oscar Wilde, the story of an unhappy friendship",1902,m,high_male,120.93663337434056
uc2.ark:/13960/t04x5ms7c,"Norway, Arthur H.",The government official,1887,f,high_male,120.72849339674032
nyp.33433075752414,,Almack's;,1827,u,high_female,120.4028021015762
uc2.ark:/13960/t43r0vm76,"Henty, G. A.",A search for a secret,1867,m,,120.20919522285536
uc1.$b440744,"Canning, Albert Stratford George,",Dickens & Thackeray studied in three novels,1911,m,,120.19875723070648
uc1.b3123857,"Hudson, Marianne Spencer Stanhope.",Almack's,1826,f,high_female,120.15620306398318
uiuo.ark:/13960/t8ff45v3r,"Hardinge, William M.",The willow-garth,1886,m,high_female,119.96880810989144
njp.32101068581584,"Collins, Wilkie,",The woman in white,1860,m,high_female,119.57736263305432
mdp.39015070772671,"McKay, Malcolm.",Forgotten voices / | $c: Malcolm McKay ; adapted from Forgotten voices of the Great War by Max Arthur.,2007,m,high_male,119.55593509820666
mdp.39015014278033,"Moorcock, Michael,",Mother London : | anovel / | $c: Michael Moorcock.,1988,m,,119.37182280319534
njp.32101037989959,"Nares, Edward,",Thinks-I-to-myself,1812,m,,118.94377924034572
uiuo.ark:/13960/t2x35587p,"Fitzgerald, G. Beresford",Clare Strong,1889,u,,118.93007808993806
mdp.39015063170917,"Black, William,",Shandon bells,1883,m,,118.72806111914105
uc2.ark:/13960/t1cj8d526,"Mason, A. E. W.",The courtship of Morrice Buckler,1896,m,high_male,118.36755699655193
uc2.ark:/13960/t4wh2jt5p,"Farjeon, B. L.",The march of fate,1893,m,,118.2104145378774
njp.32101067644664,"Fletcher, J. S.",When Charles the First was king,1892,m,high_male,117.52492507786026
mdp.39015050923211,"Tennant, Emma.",The time of the crack. -,1973,f,,117.38586776226808
mdp.39015060667410,"Gavron, Jeremy,",An acre of barren ground / | $c: Jeremy Gavron / with artwork by Temple Clark.,2005,m,,117.05667494011684
uc1.$b301217,"McArthur, Alexander, of Glasgow.",No mean city : | a story of the Glasgow slums / | $c: by Alexander McArthur (of Glasgow) and H. Kingsley Long.,1935,m,,116.9649694123983
uc2.ark:/13960/t3319tq2m,"Laffan, May.",A singer's story,1885,f,high_female,116.90917421046812
mdp.39015030746633,"Goldsmith, Oliver,",The vicar of Wakefield,1885,m,,116.88260232180356
uc1.$b684798,"Baring, Maurice,","C,",1924,m,,116.1455631951556
uc1.b3326183,"Nares, Edward,",Thinks I-to-myself;,1811,m,mixed,116.04293588627792
njp.32101067627453,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,115.38578325691556
uc1.b4089222,"Milne, A. A.",Lovers in London,1905,m,high_female,115.09687320161136
mdp.39015063739745,"Kennard, Nina H.,",Mrs. Siddons,1887,f,high_female,114.9721702877528
mdp.39015031222725,"Calthrop, Dion Clayton,",The sentimental cynic.,1933,m,,114.95045635331172
uc1.$b302150,"Houghton, Claude,","A hair divides, | $c: by Claude Houghton [pseud.]",1930,m,,114.7187652089272
uiuo.ark:/13960/t3bz6v35r,"Scott, Walter",Rob Roy,1818,m,,114.66448856496606
uc1.b4948381,"Lom, Herbert.",Enter a spy : | the double life of Christopher Marlowe / | $c: by Herbert Lom.,1978,m,high_male,114.6404205346158
mdp.39015063276797,,Underwords : | the hidden city / | $c: edited by Maggie Hamand.,2005,u,mixed,113.7294910605275
uc2.ark:/13960/t01z4824d,"Braddon, M. E.",Rough justice,1898,f,,113.617093437341
uc1.b4948960,"Moore, Brian,",The temptation of Eileen Hughes / | $c: Brian Moore.,1981,m,high_female,113.37315616237962
mdp.39015064690533,"Self, Will.",The book of Dave : | a revelation of the recent past and the distant future / | $c: Will Self.,2006,m,high_male,113.3060236763447
uc1.b3324315,"Hall, S. C.,",Uncle Horace,1837,f,,113.23678407533224
mdp.39015032703897,,"T'ien wai yu t'ien : | Lun-tun Hua fen hsin hsieh tso hsüeh = Another province : new Chinese writing from London / | $c: selected by Jung Chang, Lynn Pan and Henry Zhao ;edited by Jessie Lim and Li Yan.",1994,u,,112.94722757997532
uva.x030581129,"Thackeray, William Makepeace,",The works of William Makepeace Thackeray,1878,m,mixed,112.6154152460118
mdp.39015030855608,"Bates, H. E. (Herbert Ernest),",Sally go round the moon.,1932,m,,112.3939920302442
nyp.33433074868278,"Hocking, Joseph,",Fields of fair renown,1896,m,mixed,112.25255563753775
uiuo.ark:/13960/t6m04mk6h,"Tytler, Sarah,",Saint Mung's city,1884,f,mixed,112.10952761121776
uc2.ark:/13960/t8cf9mk7r,"Wingate, Ashmore Kyle Patterson,",That mighty city: a study in contemporary manners,1911,u,,112.0616277716882
mdp.39015031607966,"Briggs, Katharine Mary.","A dictionary of British folk-tales in the English language, | incorporating the F. J. Norton collection | $c: [by] Katharine M. Briggs.",1970,f,high_male,111.74649153473506
mdp.39015055183647,"Riley, Gwendoline,",Cold water / | $c: Gwendoline Riley.,2002,f,,111.55971100722482
mdp.39015068802886,"Walsh, John,",Sunday at the cross bones : | a novel / | $c: John Walsh.,2007,m,,111.44220752477167
mdp.39015037452037,"Murdoch, Iris.",Jackson's dilemma / | $c: Iris Murdoch.,1995,f,,111.14785420340976
uc1.32106007059766,"Deighton, Len,",Mexico set / | $c: Len Deighton.,1984,m,,110.71449023612728
nyp.33433081604344,"Black, William,",Judith Shakespeare;,1884,m,high_female,110.61752673256896
uiuo.ark:/13960/t5n87vx0x,"Riddell, J. H.,",A struggle for fame,1883,f,,110.57567608152569
nyp.33433074895115,"Marshall, Emma,",Under the dome of St. Paul's;,1898,f,mixed,110.4077727071986
mdp.39015052546952,,The golden cage : | Urdu short stories by Asian women in Britain / | $c: foreword by Ranjana Sidhanta Ash ; translated and compiled by Safia Siddiqi.,2002,u,,110.33929332698048
uc1.32106017112365,"James, Richard",Red / | $c: Richard James,2002,m,high_male,110.05640390700236
mdp.39015029187476,"Bracewell, Michael,",The conclave / | $c: Michael Bracewell.,1992,m,mixed,109.80547654814283
uc2.ark:/13960/t2w37nf56,"Lucas, E. V.",A little of everything,1912,m,mixed,109.74071708187968
uc1.$b396610,"Pereira, W. D. (Wilfred Dennis),",An uncertainty of marriages | $c: [by] W. D. Pereira.,1969,m,high_female,109.6799595027842
inu.30000026000749,"Mason, David N.",The Game show handbook / | $c: David N. Mason ; with a foreword by Michael Barrymore.,1991,m,high_male,109.58358238692966
uc1.b3321466,"Butler, Alfred,",Elphinstone,1844,m,,109.39186757826556
uiuo.ark:/13960/t8tb1rf82,"Panton, J. E.",Having and holding,1890,f,mixed,109.23306887432447
mdp.39015029404871,,Beyond the gaslight : | science in popular fiction 1895-1905 / | $c: Hilary and Dik Evans ; with ill. from the Mary Evans Picture Library.,1976,u,high_male,109.1933779499824
uc2.ark:/13960/t5r788w3v,"Corelli, Marie,",Jane,1897,f,high_female,109.14796370830206
uc1.32106001932869,"Darton, F. J. Harvey (Frederick Joseph Harvey),","Vincent Crummles, | his theatre and his times, | $c: arranged by F. J. Harvey Darton ... With an historical introductory note and appendices from Nicholas Nickleby by Charles Dickens.",1926,m,,108.84883760899206
mdp.39015047748093,"Trollope, Anthony,",An old man's love,1884,m,,108.70047473268556
uc1.b4101372,"Willis, Nathaniel Parker,",Loiterings of travel,1840,m,mixed,108.56607629427792
uiuo.ark:/13960/t9g459825,"McCarthy, Justin,",The riddle ring,1896,m,mixed,108.54443442234486
mdp.39015024945795,"Tinniswood, Peter.",Winston / | $c: Peter Tinniswood.,1991,m,,108.202017739035
iau.31858006313583,"Russell, William.","Recollections of a detective police-officer, | $c: by ""Waters"" (William Russell).",1972,m,,108.06984724864284
uc1.$b783870,"Greenwall, Harry J. (Harry James),",Such is life / | $c: Harry J. Greenwall.,1948,m,mixed,108.0680150577426
uc1.$b245001,"McKenna, Stephen,","To-morrow and to-morrow; | a novel, | $c: by Stephen McKenna.",1924,m,,108.05979850503738
mdp.39015078575910,"Purves, William Laidlaw,",The authorship of 'Robinson Crusoe.',1903,m,high_male,107.78575025176232
uc1.32106018079886,"Sinclair, Iain,","Dining on stones, or, The middle ground / | $c: Iain Sinclair",2005,m,,107.69268424015468
uiuo.ark:/13960/t2z32j87d,"Collins, Wilkie,",The moonstone,1868,m,mixed,107.64977938440272
mdp.39015067689664,"Guo, Xiaolu,",A concise Chinese-English dictionary for lovers / | $c: Xiaolu Guo.,2007,u,,107.6114399238442
uiuo.ark:/13960/t4fn1tn28,"Smart, Hawley,",Without love or licence,1890,m,mixed,107.51036707111042
njp.32101068175320,"Caine, Hall,",The Christian;,1897,m,,107.34593235592035
mdp.39015038101666,"Naher, Gaby,",The underwharf / | $c: Gaby Naher.,1996,u,,107.27728403510557
nyp.33433074930656,"Mills, George,","The beggar's benison, or, A hero, without a name, but, with an aim",1866,m,,107.22342789010028
njp.32101068177532,"Edgar, John G.",Runnymede and Lincoln Fair,1866,m,high_male,107.0367293168362
uc2.ark:/13960/t77s7pf8f,"Farjeon, B. L.",The march of fate,1893,m,,107.01129792356924
mdp.39015001068413,"Walker, David Esdaile,",Operation Amsterdam.,1980,m,,106.44488283966562
uc1.b4091143,"Hopkins, Kenneth.",The girl who died / | $c: Kenneth Hopkins.,1955,m,mixed,106.2287680782552
mdp.39015078576058,"Purves, William Laidlaw,","The ""O"" edition of 'Robeson Cruso'",1903,m,high_male,106.15954481231144
uiuo.ark:/13960/t1jh43q68,"Merrywhistle, Marmaduke.",Isn't it odd?,1822,m,,106.05803495672832
mdp.39015059975998,"Ackroyd, Peter,",The Clerkenwell tales / | $c: by Peter Ackroyd.,2003,m,mixed,105.92046112349584
mdp.39015013417376,"Selvon, Samuel.",Moses migrating / | $c: Sam Selvon.,1983,m,,105.72323719395057
mdp.39015062273449,,Only a ghost,1870,m,high_male,105.6574776678513
