htid,author,title,year,authgender,female_category,urban_gb_intensity
uiuo.ark:/13960/t1hh76s3s,"Burdett, C. D.,",At home,1828,f,,45.82386013147923
mdp.39015030737624,"Graves, Robert,",The real David Copperfield.,1933,m,mixed,45.77220541810786
mdp.39015011425355,"Braddon, M. E.","Only a clod, in three vols",1865,f,,45.769693682087095
mdp.39015004743376,"Taylor, Elizabeth,","A dedicated man, | and other stories.",1965,f,high_female,45.75522263184041
mdp.39015080845434,"Duffy, Maureen.",The Orpheus trail / | $c: Maureen Duffy.,2009,f,,45.74515591473974
njp.32101069165981,"Grant, James,",The Ross-Shire buffs,1877,m,mixed,45.73300433931762
pst.000032248166,"Murdoch, Iris.",The black prince / | $c: Iris Murdoch.,1973,f,mixed,45.73053146591147
mdp.39015015335774,"Feinstein, Elaine,",All you need / | $c: Elaine Feinstein.,1989,f,high_female,45.721078560243235
mdp.39015058730436,"Riley, Gwendoline,",Sick notes / | $c: Gwendoline Riley.,2004,f,,45.71201430984795
uc1.$b104152,"Priestley, J. B. (John Boynton),","Black-out in Gretley, | a story of and for wartime, | $c: by J.B. Priestley.",1942,m,,45.7117979973879
uc2.ark:/13960/t05x2774c,"Scott, P. E. S.",The gates of Kut,1917,f,high_female,45.70111470979792
uc1.b3339465,"James, G. P. R.","The works of G.P.R. James, esq",1844,m,mixed,45.69752081349267
uc1.b3321932,"Chatterton, Georgiana,",Life and its realities,1857,f,high_female,45.67127642083341
uc2.ark:/13960/t2s46jq43,"Halifax, Robert.",The grip of gold,1907,m,,45.66980729326966
uiuo.ark:/13960/t81j9st2g,"Greville, Violet,",Creatures of clay,1885,f,high_female,45.664334523867765
mdp.39015065711627,"Smith, Logan Pearsall,","The youth of Parnassus, and other stories",1895,m,high_male,45.65793078257693
uiuo.ark:/13960/t50g40g18,"Beale, Anne.","Simplicity and fascination, or, Guardians and wards",1855,f,,45.65515142291888
uc1.b4538445,"Berridge, Elizabeth.",People at play : | a novel / | $c: Elizabeth Berridge.,1982,f,high_female,45.62493834467791
uiuo.ark:/13960/t6vx0z923,"Peile, W. O.",West of Swardham,1885,u,,45.6248199020267
uc1.$b392090,"Canning, Victor.",The python project.,1967,m,high_male,45.61236932987052
uc2.ark:/13960/t4qj79244,"Sewell, Anna,",Black Beauty,1877,f,high_male,45.58435116038988
uc1.$b242966,"Gibbs, Philip,",The healing touch / | $c: Phillip Gibbs.,1957,m,mixed,45.583918882860445
uc1.b3164053,"Raven, Simon,",The rich pay late / | $c: by Simon Raven.,1964,m,,45.556933512186475
uiuo.ark:/13960/t71v6361b,"Jennings, Louis John,",The Philadelphian,1891,m,mixed,45.54729631249089
mdp.39015051324294,"Barstow, Stan,",B-movie / | $c: Stan Barstow.,1987,m,high_female,45.53635318862892
uc2.ark:/13960/t6542nw90,"Cannan, Gilbert,",Annette and Bennett;,1922,m,mixed,45.53055514164143
njp.32101064792128,"Green, R. E.",Friends of the river-side,1914,u,high_male,45.51891563827635
uc1.b4088948,"(Victoria), Sackville-West, V.",The Easter party / | $c: V. Sackville-West.,1953,f,,45.50625711035267
mdp.39015040341078,"Defoe, Daniel,",The Shakespeare Head edition of the novels and selected writings of Daniel Defoe.,1974,m,high_female,45.49446131383772
njp.32101069166039,"Grant, James,",Morley Ashton,1876,m,,45.48148352329892
uiuo.ark:/13960/t7hq4g562,"Mangin, Edward,",George the third,1807,m,high_male,45.48038658328595
uiuo.ark:/13960/t43r15q84,"Clarke, Charles,",Crumbs from a sportsman's table,1865,m,,45.47825738018485
mdp.39015046012889,"Carr, Rocky.",Brixton bwoy : | a novel / | $c: Rocky Carr.,1998,m,high_male,45.46581797139787
uiuo.ark:/13960/t5x640t2v,"Marryat, Florence,",On circumstantial evidence,1889,f,high_female,45.45266724515516
uc2.ark:/13960/t7tm7472s,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,,45.44765944553855
mdp.39015058515126,"Raphael, John N.",Pictures of Paris & some Parisians,1908,m,mixed,45.44352884149297
njp.32101067633253,"Diehl, Alice M.",The knave of hearts,1884,f,,45.43201718156286
uc1.$b794585,"Fienburgh, Wilfred.",No love for Johnnie.,1959,m,,45.429430904291245
mdp.39015054032639,"Rushdie, Salman.","East, west / | $c: Salman Rushdie.",1994,m,mixed,45.4221010966193
uc1.b3472873,"Williams, Raymond.",The fight for Manod / | $c: by Raymond Williams.,1979,m,mixed,45.41607316116513
mdp.39015050740409,"Tennant, Emma.",The bad sister : | an Emma Tennant omnibus.,2000,f,high_female,45.41552090980353
uc1.$b286484,"Sitwell, Osbert,",Alive--alive oh! : | and other stories / | $c: Osbert Sitwell.,1947,m,high_female,45.40691582256375
nyp.33433084128275,"Travers, Graham,","Mona Maclean, medical student;",1898,m,high_female,45.39072973515037
mdp.39015047764405,"Ouida,","The Massarenes,a novel",1897,f,mixed,45.37242854883156
uva.x030581134,"Thackeray, William Makepeace,",The works of William Makepeace Thackeray,1878,m,mixed,45.36064444905945
njp.32101067643617,"Conway, Hugh,",Living or dead,1886,m,mixed,45.35250232431574
uc1.$b101840,"Golding, Louis,",The loving brothers / | $c: by Louis Golding.,1952,m,mixed,45.34195958474886
mdp.39015000610439,"Woolf, Virginia,","Orlando, | a biography.",1954,f,mixed,45.33189422558014
mdp.39015066796676,"Cox, Michael,",The meaning of night : | a confession / | $c: Michael Cox.,2006,m,mixed,45.328300518390925
uiuo.ark:/13960/t1qf9370v,"Gissing, George,",The unclassed,1884,m,high_female,45.32230003362622
mdp.39015048888534,"Read, Piers Paul,",The Villa Golitsyn : | a novel / | $c: by Piers Paul Read.,1981,m,,45.31353480428039
mdp.39015008778162,"Silverberg, Robert.",The gate of worlds / | $c: Robert Silverberg.,1978,m,high_male,45.30695461753379
mdp.39015028557836,,German narrative prose. | $c: Edited by E. J. Engel.,1965,u,high_male,45.30443387340987
nyp.33433074915269,"Morrison, Arthur,",The Dorrington deed-box,1897,m,high_male,45.29296312054791
mdp.39015063961489,"Winter, John Strange,",The other man's wife,1892,m,,45.29080912557141
uc1.$b244971,"Stern, G. B. (Gladys Bronwyn),","Seventy times seven, | a novel.",1957,f,high_female,45.28048023183606
uc1.l0061274726,"Mayo, Isabella Fyvie,",Premiums paid to experience;,1872,f,,45.273907138186026
uc2.ark:/13960/t87h1gb9b,Officer's wife.,Experiences of an officer's wife in Ireland,1921,u,high_male,45.26593738211996
uc2.ark:/13960/t4fn15j60,"Hocking, Silas K.",Dick's fairy,1883,m,high_male,45.262309226438845
mdp.39015063511037,"Cannan, Gilbert,",Three pretty men,1916,m,mixed,45.25992776515529
