htid,author,title,year,authgender,female_category,walking
mdp.39015005503639,Petronius Arbiter.,The satyricon. | $c: Translated and with an introd. by Paul Dinnage.,1953,u,,19.387359441644048
dul1.ark:/13960/t3611qf54,"Farningham, Marianne,",Nineteen hundred?,1892,f,,19.38143845512316
mdp.39015063972924,"A. L. O. E.,",The golden fleece,1871,f,,19.380470945443975
uiuo.ark:/13960/t7hq4mz42,"Burdon, Hannah D.",The ward of the crown,1845,f,mixed,19.366852886405958
uc2.ark:/13960/t3222tn9g,"Serao, Matilde,","Farewell, love!",1906,f,high_female,19.366708627868693
uiuo.ark:/13960/t4th95j1n,"Smith, Horace,","Jane Lomax; or, A mother's crime",1838,m,,19.35767707875055
uc1.32106014919937,"Foley, Michael,",Getting used to not being remarkable / | $c: Michael Foley,1998,m,,19.354561224928673
uc2.ark:/13960/t2r49mw40,"Herbert, George,",Gerald Fitzgerald,1858,m,,19.348909205243555
njp.32101007989260,"Balzac, Honoré de,",Comedy of human life,1887,f,high_female,19.346321922796797
uc1.$b784307,"Green, Henry,",Back; | a novel.,1946,m,mixed,19.336749492410327
uc2.ark:/13960/t3bz6637v,"Hook, Theodore Edward,",Jack Brag,1837,m,mixed,19.333729922665082
uiuo.ark:/13960/t7pn9gh3v,"Gifford, George,",King's baynard,1866,f,,19.33286736165846
uiuo.ark:/13960/t2v41dm1c,"Ainsworth, William Harrison,","Guy Fawkes, or, The gunpowder treason",1841,m,mixed,19.32393821860895
uiuo.ark:/13960/t70v94t43,"Vincent, Francis,",Arundel,1840,m,mixed,19.322134072878544
mdp.39015062198174,"Twells, Julia Helen (Watts)","Et tu, Sejane!",1904,f,,19.315484164418386
uc1.b3324271,"Deale,",Life in the West;,1828,m,high_male,19.309368261835033
uiuo.ark:/13960/t1jh3wp5g,"Curling, Henry,",John of England,1846,m,mixed,19.29517482806621
mdp.39015038142017,"Foley, Michael,",The road to notown / | $c: Michael Foley.,1996,m,,19.287547662497587
uc2.ark:/13960/t0gt5g961,"Saltus, Edgar,",Enthralled;,1894,m,,19.28547321729907
mdp.39015063994266,"Galt, John,",Stanley Buxton;,1832,m,,19.26101890790023
mdp.39015001677288,"Mitchell, Carleton,",Beyond horizons : | sea adventure in the age of discovery / | $c: by Carleton Mitchell.,1953,m,high_male,19.256515120949256
uiuo.ark:/13960/t3417mv2g,"Scott, Walter",Rob Roy,1818,m,,19.25184373426532
inu.32000000855694,"Powys, John Cowper,","Morwyn; | or, The vengeance of God, | $c: by John Cowper Powys.",1937,m,high_male,19.250625645333475
uiuo.ark:/13960/t8w95st29,"Robins, Arthur.",Crispin Ken,1861,m,mixed,19.249278152069298
hvd.hwaduv,"Scott, Walter,",The Waverley novels,1829,m,,19.24878411846985
uc2.ark:/13960/t6h139244,"Dumas, Alexandre,",The Count of Monte-Cristo,1888,m,high_male,19.23532196969697
mdp.39015030159027,"Aveline, Claude,",The passenger on the U; | $c: translated by Mervyn Savill.,1968,m,,19.229712653150926
uiuo.ark:/13960/t8x92g77j,"Banim, Michael,",The mayor of Wind-Gap ; and Canvassing,1835,m,mixed,19.210819533561303
mdp.39015029146803,"Thirkell, Angela,","Three score and ten, | $c: by Angela Thirkell and C. A. Lejeune.",1961,f,high_female,19.21060425354796
uiuo.ark:/13960/t0ns1fr1q,"Croffts,",Ankerwick Castle,1800,f,mixed,19.206555837725944
mdp.39015028424425,"Sadoveanu, Mihail,",Mitrea Cocor / | $c: Mihail Sadoveanu ; [translated from the Rumanian by P. M.],1953,u,mixed,19.193857965451055
mdp.39015036753898,"Roscoe, Thomas,",The Italian novelists,1836,m,high_male,19.191402251791196
uc1.b4536200,"Mohr, U. (Ulrich)",Atlantis : | the story of a German surface raider / | $c: by Ulrich Mohr ; as told to A. V. Sellwood.,1955,m,high_male,19.18649270913277
uiuo.ark:/13960/t5db8cm5d,"Curling, Henry,",John of England,1846,m,mixed,19.17760056254295
mdp.39015002753518,"Sabatini, Rafael,",The sea-hawk,1915,m,high_male,19.174798835815785
uiuo.ark:/13960/t78s5d297,"West,",The infidel father,1802,f,high_female,19.17345000087152
uiuo.ark:/13960/t4hm5ts3b,"McCarthy, Justin,",The riddle ring,1896,m,mixed,19.171319705720244
njp.32101068166394,"Chorley, Henry Fothergill,",Roccabella,1859,m,high_female,19.168952195582293
njp.32101067178556,"Trollope, Frances Milton,","Second love, or, Beauty and intellect",1851,f,,19.147612133203555
njp.32101067707503,"Gowing, Aylmer.",An unruly spirit,1890,u,high_female,19.136009185284408
njp.32101064791484,"Trollope, Frances Milton,",Petticoat government;,1850,f,high_female,19.134178426213825
mdp.39015003931675,"Golding, William,",Pincher Martin.,1956,m,high_male,19.13387333375853
njp.32101067640746,"Moore, Alicia Radford.",The sisters,1821,f,high_female,19.132531042531618
njp.32101063606022,"Cobbold, Richard,","Zenon, the martyr;",1847,m,high_male,19.13189046992706
uc1.b3581586,"Morgan,",The O'Briens and the O'Flahertys;,1827,f,mixed,19.130700948882765
uc1.b4368215,"Kaniuk, Yoram.",His daughter / | $c: Yoram Kaniuk ; translated by Seymour Simckes.,1989,u,high_female,19.12806622901651
uc1.$b244954,"Stern, G. B. (Gladys Bronwyn),",For all we know.,1956,f,high_female,19.120255786532965
uc2.ark:/13960/t3cz33z70,"Dell, Ethel M.",The safety curtain,1917,f,,19.119960369536688
uiuo.ark:/13960/t0jt0603z,,The Master of Wingbourne,1866,u,,19.115585574104752
