htid,author,title,year,authgender,female_category,farm
umn.31951002099754j,"Sir, Jones, L. E. (Lawrence Evelyn),","Jesus, discoverer and genius : | a reintroduction for modern youth / | $c: Lawrence Evelyn Jones.",1948,m,high_male,0.0
mdp.39015063561446,"Ferrier, Susan,",Marriage,1818,f,high_female,0.0
mdp.39015049643805,"Noon, Jeff.",Pixel juice : | stories from the avant pulp / | $c: Jeff Noon.,2000,m,,0.0
mdp.39015063558327,"Oliphant,",Zaidee,1856,f,high_female,0.0
hvd.hn2hej,"Semple, Elizabeth,","Summer rambles, or, Conversations, instructive and entertaining",1801,f,high_female,0.0
umn.31951002108018v,"Waugh, Alec,",So lovers dream.,1973,m,mixed,0.0
mdp.39015049647210,"Haverty, Anne.",The far side of a kiss / | $c: Anne Haverty.,2000,f,,0.0
umn.31951002087730d,"Oppenheim, E. Phillips (Edward Phillips),",The missing Delora.,1927,m,mixed,0.0
mdp.39015063751468,"Banim, John,",The Boyne water,1826,m,,0.0
umn.319510020873846,"Westheimer, David.",The long bright days.,1950,m,,0.0
umn.31951002085561k,"Ready, Oliver George,",Ch'un-kwang,1905,m,mixed,0.0
umn.31951002041619n,"Raymond, Diana.",Between the stirrup and the ground : | a novel / | $c: by Diana Raymond.,1956,f,mixed,0.0
mdp.39015063914728,"Farjeon, B. L.",Miser Farebrother,1888,m,mixed,0.0
mdp.39015063914702,"Farjeon, B. L.",Miser Farebrother,1888,m,mixed,0.0
mdp.39015049211009,"Williams, Denis,",Other leopards / | $c: Denis Williams ; introd. by Edward Baugh.,1983,m,high_female,0.0
mdp.39015049478863,"Lessing, Doris May,",The diaries of Jane Somers / | $c: by Doris Lessing.,1984,f,high_female,0.0
mdp.39015049523544,"Ali, Tariq.",The stone woman / | $c: Tariq Ali.,2000,u,,0.0
mdp.39015063913522,"Byron, Medora Gordon.",The Englishman,1812,f,mixed,0.0
umn.31951002049311b,"Scott-Moncrieff, George,",Death's bright shadow.,1948,m,high_male,0.0
umn.319510020517648,"Dunstan, Mary.",Banners in Bavaria : | A novel / | $c: by Mary Dunstan.,1939,f,mixed,0.0
mdp.39015063913514,"Byron, Medora Gordon.",The Englishman,1812,f,mixed,0.0
mdp.39015063891389,"Kingsley, Henry,",Number seventeen,1875,m,,0.0
mdp.39015063891371,"Kingsley, Henry,",Number seventeen,1875,m,,0.0
hvd.hnnq41,"Grey, Elizabeth Caroline.",De Lisle ;,1828,f,,0.0
mdp.39015063870078,"Gaspey, Thomas,",The Lollards,1822,m,mixed,0.0
umn.31951002071214v,"Hilton, Harold H.",My golfing reminiscences,1907,m,high_male,0.0
umn.31951002071639z,"Griggs, George Philip.",The readiness if all : | a novel.,1946,m,,0.0
mdp.39015063761319,"Black, William,",The new prince fortunatus,1890,m,mixed,0.0
mdp.39015063761210,"Black, William,",Madcap Violet,1876,m,,0.0
mdp.39015049548467,"Edric, Robert,",The sword cabinet / | $c: Robert Edric.,1999,m,,0.0
umn.319510020777820,"Oppenheim, E. Phillips (Edward Phillips),",Passers-by.,1924,m,mixed,0.0
mdp.39015063755634,"Fitzgerald, Percy Hetherington,",Proverbs & comediettas,1869,m,,0.0
hvd.hnmy63,"Crombie, Alexander,","The strike, or, A dialogue between Andrew Plowman and John Treadle",1834,m,high_male,0.0
mdp.39015063751930,"Banim, John,",The smuggler;,1831,m,mixed,0.0
