htid,author,title,year,authgender,female_category,ni_gb_fraction
uc1.b3915819,"Moreland, A. Maud.",Through south Westland,1911,f,mixed,0.0714285714285714
inu.30000041291562,"Patterson, Glenn,",Fat lad / | $c: Glenn Patterson.,1993,m,,0.0691823899371069
mdp.39015042010309,"MacLaverty, Bernard.","A time to dance, and other stories / | $c: Bernard Mac Laverty.",1982,m,mixed,0.0689655172413793
mdp.39015058133573,"Patterson, Glenn,",That which was / | $c: Glenn Patterson.,2004,m,high_male,0.0666666666666667
uc1.b3478068,"Stuart, Francis,",A hole in the head / | $c: Francis Stuart.,1977,m,high_female,0.0666666666666666
mdp.39015047069128,"Collins, Jude.","Only human, and other stories / | $c: Jude Collins.",1998,u,mixed,0.0652173913043478
mdp.39015029863118,"McCrum, Robert.",The psychological moment / | $c: Robert McCrum.,1993,m,,0.0632911392405063
mdp.39015034897945,"Weldon, Fay.",Splitting.,1995,f,high_female,0.0625
mdp.39015053531623,"Burns, Anna,",No bones / | $c: Anna Burns.,2001,f,,0.0601503759398496
mdp.39015073645346,,"Short story introductions. | $c: Gary Allen, D.W. Lewis, Heather Richardson. | $n: 1 /",2007,u,,0.0588235294117647
mdp.39015050742553,"Bolger, Dermot,",Temptation / | $c: Dermot Bolger.,2000,m,,0.0588235294117647
mdp.39015025002828,"Clewlow, Carol.",Love in the modern sense / | $c: Carol Clewlow.,1992,f,,0.0588235294117647
mdp.39015058736599,"Bryant-Jefferies, Richard.",Counselling for progressive disability : | person-centred dialogues / | $c: Richard Bryant-Jefferies.,2004,m,,0.0555555555555555
inu.30000055891166,"Haining, Peter.","The Hollywood nightmare: | tales of fantasy and horror from the film world; | $c: edited by Peter Haining, introduced by Christopher Lee.",1970,m,,0.0555555555555555
uc1.32106018712015,"Dean, Louise",This human season / | $c: Louise Dean,2005,f,mixed,0.0547263681592039
mdp.39015002334871,"O'Faolain, Julia.",No country for young men / | $c: [by] Julia O'Faolain.,1980,f,,0.0545454545454545
mdp.39015055857760,"Wheatle, Alex,",The seven sisters / | $c: Alex Wheatle.,2002,m,high_male,0.0545454545454545
mdp.39015031219358,,The Bodley Head book of Irish short stories / | $c: selected and introduced by David Marcus.,1980,u,,0.0526315789473684
inu.30000038749259,"North, Sam.",Chapel Street / | $c: Sam North.,1993,m,high_female,0.0526315789473684
mdp.39015030851813,"Blackwood, Caroline.",Great Granny Webster / | $c: Caroline Blackwood.,1977,f,,0.0522388059701492
uc1.$b244545,"Innes, Michael,",The journeying boy / | $c: by Michael Innes.,1949,m,high_male,0.0518518518518518
mdp.39015040539515,,Finbar's hotel / | $c: devised and edited by Dermot Bolger.,1997,u,,0.0512820512820512
uc1.$b794628,"Montague, John.","Death of a chieftain, | and other stories.",1964,m,high_male,0.05
wu.89093075133,"Hall, Michael,",The battle of Moira : | an adaptation of Sir Samuel Ferguson's Congal / | $c: by Michael Hall ; artwork by Gary Hamilton.,1995,m,,0.05
uc1.b4450849,"Fine, Anne.",Taking the devil's advice / | $c: Anne Fine.,1990,f,,0.05
inu.30000126311368,"Flower, Robin,","The Western island; | or, The Great Blasket, | $c: by Robin Flower, with illustrations by Ida M. Flower.",1944,m,high_male,0.0499999999999999
mdp.39015064983177,"Johnston, Fred,",The neon rose / | $c: Fred Johnston.,2007,m,,0.0499999999999999
inu.30000101926644,"Hickey, Patricia.",Green poppies / | $c: Patricia Hickey.,2004,f,high_female,0.0499999999999999
mdp.39015028913195,"Connaughton, Shane.",The Run of the country / | $c: Shane Connaughton.,1991,u,,0.0491803278688524
uc1.$b282854,"Dennis, Owen.","The rest go on, | $c: by Owen Dennis ...",1942,m,,0.048780487804878
mdp.39015010389347,"O'Connor, John J. (John Joseph),","Come day, go day.",1984,m,,0.0476190476190476
mdp.39015034935109,"Forbes, Bryan,",Partly cloudy / | $c: Bryan Forbes.,1995,m,,0.0476190476190476
