htid,author,title,year,authgender,female_category,ni_gb_fraction
uc1.b3435477,"Middleton, Stanley,",Distractions / | $c: [by] Stanley Middleton.,1975,m,high_female,0.0
uc1.b3435470,"Marlowe, Derek.",The memoirs of a Venus lackey.,1968,m,high_female,0.0
uc1.b3435455,"Khanna, Balraj.","Nation of fools, or, Scenes from Indian life / | $c: Balraj Khanna.",1984,u,high_male,0.0
uc1.b3435276,,The poem. | $c: Translated by Alec Brown.,1959,u,,0.0
uc1.b3425684,"Wilson, Charles Augustus.","Legends and mysteries of the Maori, | $c: by Charles A. Wilson.",1932,m,mixed,0.0
uc1.b3425597,"Browne, Charles Robert.","Maori witchery; | native life in New Zealand, | $c: by C.R. Browne ...",1929,m,high_male,0.0
uc1.b3407022,"Household, Geoffrey,",The Spanish cave.,1960,m,high_male,0.0
uc1.b3407007,"Lewis, C. S. (Clive Staples),","The last battle, | a story for children; | $c: illustrated by Pauline Baynes.",1956,m,mixed,0.0
uc1.b3401748,"Disraeli, Benjamin,",Endymion,1880,m,,0.0
uc1.b3401746,"Disraeli, Benjamin,",Endymion,1880,m,,0.0
uc1.b3325206,"Taylor, Meadows,",Tippoo Sultaun,1840,m,,0.0
uc1.b3378150,"Chiang, Yee,",The men of the Burma road / | $c: written and illustrated by Chiang Yee.,1943,m,high_male,0.0
uc1.b3354176,"Locke, William John,","The red planet, | $c: by William J. Locke ...",1925,m,,0.0
uc1.b3347153,"Lytton, David.",The grass won't grow till spring.,1965,m,high_female,0.0
uc1.b3347086,"Kiely, Benedict.",A journey to the seven streams : | seventeen stories / | $c: Benedict Kiely.,1963,m,mixed,0.0
uc1.b3435480,"Middleton, Stanley,",Him they compelled / | $c: Stanley Middleton.,1964,m,,0.0
uc1.b3435482,"MacInnes, Colin.",Three years to play / | $c: Colin MacInnes.,1970,m,,0.0
uc1.b3435487,"Raphael, Frederic,",Orchestra & beginners.,1967,m,mixed,0.0
uc1.b3435566,"Shaw, Robert,",The man in the glass booth.,1967,m,high_male,0.0
uc1.b3441234,"Döblin, Alfred,",Men without mercy. | $c: Trans. by Trevor and Phyllis Blewitt.,1937,u,,0.0
uc1.b3440940,"Enzensberger, Christian.",Smut: | an anatomy of dirt; | $c: translated by Sandra Morris.,1972,m,high_male,0.0
uc1.b3438232,"Schneider, Rolf,",November : | a novel / | $c: by Rolf Schneider ; translated from the German by Michael Bullock,1981,m,,0.0
uc1.b3438085,"Bienek, Horst,",The first polka : | a novel / | $c: [by] Horst Bienek ; translated from the German by Ralph R. Read,1978,u,,0.0
uc1.b3435609,"Cowlin, Dorothy.",A woman in the desert: | the story of Gertrude Bell; | $c: illustrated by Penny Carey.,1967,f,high_female,0.0
uc1.b3435599,"Kilpatrick, Sarah.",Ladies' Close.,1967,f,high_female,0.0
uc1.b3435560,"Smith, Wilbur A.",Shout at the devil | $c: [by] Wilbur Smith.,1968,m,high_male,0.0
uc1.b3435504,"Charles, Gerda.",A logical girl.,1967,f,high_female,0.0
uc1.b3435552,"Summers, John,","Dylan, | $c: by John Summers.",1970,m,high_male,0.0
uc1.b3435551,"Storey, David,",Saville / | $c: David Storey.,1976,m,,0.0
uc1.b3435538,"King, Francis Henry.","The Brighton Belle, | and other stories | $c: [by] Francis King.",1968,m,,0.0
uc1.b3435521,"Farrell, J. G. (James Gordon),",The Singapore grip / | $c: [by] J. G. Farrell,1978,m,high_male,0.0
uc1.b3435511,"Christopher, John,",The pool of fire.,1968,m,high_male,0.0
uc1.b3435509,"Christopher, John,",The world in winter / | $c: by John Christopher.,1962,m,,0.0
uc1.b3325207,"Taylor, Meadows,",Tippoo Sultaun,1840,m,,0.0
uc1.b3322071,"Fox, S. M.",George,1890,u,mixed,0.0
uc1.b3325189,"French, Gerald,",John Jorrocks and other characters from the works of Robert Surtees.  Illustrated by the Rt. Hon. the Earl of Ypres.,1947,m,high_male,0.0
uc1.b2793193,"Vulliamy, C. E. (Colwyn Edward),",Floral tribute / | $c: C.E. Vulliamy.,1963,m,,0.0
uc1.b2797914,"Bruce, Jean,",Deep freeze / | $c: by Jean Bruce ; translated from the French by Lawrence Wilson.,1963,f,high_male,0.0
uc1.b2797508,"Benary-Isbert, Margot.",A time to love / | $c: Margot Benary ; translated from the German by Joyce Emerson and the author.,1963,f,,0.0
uc1.b2796601,"Kenneth, Claire.",The love riddle / | $c: by Claire Kenneth ; [translated by Eva Johnson from the Hungarian].,1963,f,high_female,0.0
uc1.b2795239,"Carew, Jan.",The last barbarian / | $c: Jan Carew.,1961,u,mixed,0.0
uc1.b2794678,"Borrelli, Mario,","A street lamp and the stars, | the autobiography of Don Borrelli of Naples, | $c: written with the help of Anthony Thorne.",1963,m,high_male,0.0
uc1.b2793542,"Faulkner, William,",The best of Faulkner / | $c: chosen by the author William Faulkner.,1955,m,,0.0
uc1.b2793279,"Young, Francis Brett,",The iron age / | $c: by Francis Brett Young.,1962,m,,0.0
uc1.b2792596,"Lee, Joseph,",Journey for Betsy.,1963,m,high_male,0.0
uc1.b2798666,"Cook, Kenneth,",Blood red roses.,1963,m,,0.0
uc1.a0008656316,"Kaye-Smith, Sheila,","Little England, | $c: by Sheila Kaye-Smith.",1923,f,,0.0
uc1.32106020071673,"Vine, Barbara,",Gallowglass / | $c: Barbara Vine.,1990,f,mixed,0.0
uc1.32106019992277,"Saramago, José",Death at intervals / | $c: José Saramago ; translated from the Portuguese by Margaret Jull Costa,2008,u,high_male,0.0
uc1.32106019990925,"Day, Sallie",The palace of strange girls / | $c: Sallie Day,2008,f,,0.0
uc1.32106019864419,"Solstad, Dag,","Novel 11, book 18 / | $c: Dag Solstad ; translated from the Norwegian by Sverre Lyngstad",2008,m,high_male,0.0
uc1.32106019864211,"Khemir, Sabiha",The blue manuscript / | $c: Sabiha Al Khemir,2008,u,mixed,0.0
uc1.32106019864146,"Lewis, Susan",Out of the shadows / | $c: Susan Lewis,2008,f,high_female,0.0
uc1.b2798604,"Sugimoto, Etsuko,",Samurai daughter in America | $c: [by] Etsu Sugimoto. Illus. by Jane Paton.,1963,f,high_female,0.0
uc1.b2799084,"Smith, Anthony,",Throw out two hands.,1963,m,high_male,0.0
uc1.b2801501,"Heym, Stefan,",The Lenz papers / | $c: Stefan Heym.,1964,m,high_male,0.0
uc1.b2800312,"Asturias, Miguel Angel.",The president / | $c: by Miguel Angel Asturias ; translated from the Spanish by Frances Partridge.,1963,m,,0.0
uc1.b2801349,"Jullian, Marcel.",The bird : | a novel / | $c: by Marcel Jullian ; translated by Hugh Shelley.,1963,m,high_male,0.0
uc1.b2801320,"Kildare, David.",In the end is justice.,1964,m,mixed,0.0
uc1.b2801278,"Klein-Haparash, Jacob,",He who flees the lion. | $c: Translated from the German by Richard and Clara Winston.,1963,m,mixed,0.0
uc1.b2801236,"Budrys, Algis,",The furious future.,1964,u,,0.0
uc1.b2800726,"Ohlsson, Berndt.",Noah / | $c: Berndt Ohlsson ; translated from the Swedish by Joan Tate ; drawings by Douglas Hall.,1964,u,mixed,0.0
uc1.b2800622,"Burén, Märtha.",A need to love. | $c: Translated from the Swedish by Joan Tate.,1964,u,mixed,0.0
uc1.b2800520,"La Capria, Raffaele,",The mortal wound / | $c: by Raffaele La Capria ; translated by Marguerite Waldman.,1964,m,,0.0
uc1.b2800163,"Abraham, Parappillil John.",Last hours on Dara / | $c: by P. J. Abraham.,1963,m,high_male,0.0
uc1.b2799144,"Hearn, C. V.","Desert assignment, | $c: by C. V. Hearn.",1963,u,high_male,0.0
uc1.b2800124,"Anderson, Patrick.",The character ball : | chapters of autobiography / | $c: by Patrick Anderson.,1963,m,mixed,0.0
uc1.b2800122,"Chaundler, Christine.",Everyman's book of legends ...,1963,f,,0.0
uc1.b2799824,"Rea, Domenico.",A blush of shame. | $c: Translated by Maureen Duffy.,1963,m,high_female,0.0
uc1.b2799823,"Broderick, John.",Don Juaneen : | a novel / | $c: by John Broderick.,1963,m,high_female,0.0
uc1.b2799822,"Cibotto, Gian Antonio.",Scano Boa | $c: [by] Giovanni A. Cibotto. Translated from the Italian by Jean Grigson.,1963,m,high_male,0.0
uc1.b2799778,"Hill, Pamela.",Maddalena / | $c: Pamela Hill.,1963,f,mixed,0.0
uc1.b2799231,"Tetley, William C.",Blanco y Colorado;,1921,m,high_male,0.0
uc1.32106019839627,,"Wrongteous : | with 11 stories, 48 plates many in colour / | $c: edited by Leo Fitzmaurice & Paul Rooney",2008,u,,0.0
uc1.32106019834404,"Beard, G. S",Lieutenant Fury / | $c: G.S. Beard,2007,u,high_male,0.0
uc1.32106019830956,"Groves, Annie",Daughters of Liverpool / | $c: Annie Groves,2008,f,,0.0
uc1.32106019365136,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,,0.0
uc1.32106019365607,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,mixed,0.0
uc1.32106019365599,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.32106019365581,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.32106019365573,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.32106019365565,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.32106019365151,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,,0.0
uc1.32106019365144,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,mixed,0.0
uc1.32106019365110,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,,0.0
uc1.32106019815320,"Serna, Enrique,",Fear of animals / | $c: [Enrique Serna ; translated by Georgina Jiménez Reynoso],2008,m,,0.0
uc1.32106019365094,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,high_female,0.0
uc1.32106019365086,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,high_female,0.0
uc1.32106019365060,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,,0.0
uc1.32106019365052,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,mixed,0.0
uc1.32106019294609,"Wang, Lixiong,",China tidal wave : | a novel / | $c: Wang Lixiong ; translated from the Chinese by Anton Platero,2008,u,high_male,0.0
uc1.32106019293932,"Yardley, Jane",Dancing with Dr Kildare / | $c: Jane Yardley,2008,f,high_female,0.0
uc1.32106019293817,"Ferraris, Zoë",The night of the Mi'raj / | $c: Zoe Ferraris,2008,u,high_female,0.0
uc1.32106019365615,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.32106019365623,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.32106019365631,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.32106019365649,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,mixed,0.0
uc1.32106019568176,"Horne, Anthony",In the shadow of Caesar / | $c: Anthony Horne,2007,m,high_male,0.0
uc1.32106019522462,"Jansson, Tove",Fair play : | a novel / | $c: Tove Jansson ; translated from the Swedish by Thomas Teal ; introduced by Ali Smith,2007,f,high_female,0.0
uc1.32106019519823,"Coelho, Paulo",Brida / | $c: Paulo Coelho ; translated from the Portuguese by Margaret Jull Costa,2008,m,,0.0
uc1.32106019494522,"George, Christopher",Towards the sun / | $c: Christopher George,2008,m,mixed,0.0
uc1.32106019491643,"Oulton, Caroline",Unsafe attachments / | $c: Caroline Oulton,2008,f,high_female,0.0
uc1.32106019462990,"Atkinson, Kate",Behind the scenes at the museum / | $c: Kate Atkinson,1995,f,,0.0
uc1.32106019391561,"Rohan, Zina,",The officer's daughter / | $c: Zina Rohan,2007,f,high_female,0.0
uc1.32106019365730,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,mixed,0.0
uc1.32106019365722,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.32106019365714,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,mixed,0.0
uc1.32106019365706,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,mixed,0.0
uc1.32106019365698,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.32106019365680,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.32106019365672,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.32106019365664,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,mixed,0.0
uc1.b2801401,"Monsarrat, Nicholas,",A fair day's work.,1964,m,high_male,0.0
uc1.b2801628,"Arnothy, Christine,",The captive Cardinal : a novel.,1964,f,,0.0
uc1.b3116855,"Simpson, Helen,","Boomerang, | $c: by Helen Simpson.",1932,f,mixed,0.0
uc1.b2847996,"Butler, William,",A god novel.,1969,m,high_male,0.0
uc1.b2854351,"Cremer, Jan.",Jan Cremer 2 / | $c: translation by Jon Lulius.,1970,u,,0.0
uc1.b2854093,"Wilson, Colin,",The killer: a novel.,1970,m,mixed,0.0
uc1.b2850777,,The Penguin book of American short stories / | $c: edited by James Cochrane.,1969,u,,0.0
uc1.b2850773,"Bullock, Lotte.",Aquarius Angel / | $c: by Lotte Bullock.,1970,f,mixed,0.0
uc1.b2849133,"Haggard, William.","Haggard for your holiday: | three complete novels, | $c: by William Haggard.",1969,m,high_male,0.0
uc1.b2849084,"Tripp, Miles,",Malice and the maternal instinct / | $c: Miles Tripp.,1969,m,mixed,0.0
uc1.b2848202,"Lyall, Gavin.",Midnight plus one / | $c: by Gavin Lyall.,1965,m,high_male,0.0
uc1.b2843736,"Daniel, Yury,",The man from M.I.S.P. | $c: [by] Y. Daniel (N. Arzhak): translated by M.V. Nesterov.,1966,u,high_female,0.0
uc1.b3039412,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,mixed,0.0
uc1.b2841234,"Fisher, Michael.",The executive : | a novel / | $c: by Michael Fisher.,1969,m,,0.0
uc1.b2841106,"Church, Richard,",Little Miss Moffatt: a confession.,1969,m,high_female,0.0
uc1.b2840598,"Simenon, Georges,",Maigret takes the waters / | $c: Georges Simenon ; translated from the French by Eileen Ellenbogen.,1969,m,high_female,0.0
uc1.b2838975,"(Novelist) Murray, James",Coloured. A glimpse of a quadroon girl.,1932,m,mixed,0.0
uc1.b2838857,"Carter, Angela,",The magic toyshop / | $c: Angela Carter.,1968,f,high_female,0.0
uc1.b2838848,"Butler, William,",Spying at the fountain of youth : | a novel.,1968,m,high_male,0.0
uc1.b2838587,"Deighton, Len,",Only when I larf.,1967,m,,0.0
uc1.b2857393,"Kollek, Amos.",Don't ask me if I love : | a novel / | $c: by Amos Kollek.,1971,m,,0.0
uc1.b3039413,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.b2801672,"Lindsay, Jack,",Choice of times / | $c: Jack Lindsay.,1964,m,,0.0
uc1.b3073044,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.b3116715,"Neill, Robert.",Moon in Scorpio / | $c: by Robert Neill.,1952,m,high_male,0.0
uc1.b3114920,"Kuehnelt-Leddihn, Erik von,",Night over the east / | $c: translated and adapted from the German by Edwin and Willa Muir.,1936,m,mixed,0.0
uc1.b3114119,"Hallé, Clifford.",To Menelek in a motor-car,1913,m,,0.0
uc1.b3073048,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,mixed,0.0
uc1.b3073047,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.b3073046,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,mixed,0.0
uc1.b3073045,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,mixed,0.0
uc1.b3073043,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.b3039415,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.b3073042,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.b3073039,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,mixed,0.0
uc1.b3047254,"Richardson, Dorothy M.",Backwater,1917,f,high_female,0.0
uc1.b3039420,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,mixed,0.0
uc1.b3039419,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.b3039418,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,mixed,0.0
uc1.b3039417,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,0.0
uc1.b2838583,"Scott, Paul,",The day of the scorpion: | a novel.,1968,m,mixed,0.0
uc1.b2838581,"Masters, Anthony,",A literary lion.,1968,m,mixed,0.0
uc1.b2838527,"Wheeler, Terence,",The conjunction: | a novel.,1969,m,high_male,0.0
uc1.b2803611,"Rutter, Frank,","""Varsity types""",1903,m,,0.0
uc1.b2808856,"Benzoni, Juliette.",Catherine / | $c: Juliette Benzoni ; translated by Jocasta Goodwin.,1965,f,high_female,0.0
uc1.b2807206,"Bitsch, Jørgen,",Why Buddha smiles | $c: [by] Jørgen Bisch. Translated by Gwynne Vevers.,1964,u,high_male,0.0
uc1.b2806825,,Lesbian love in literature / | $c: edited by Stella Fox.,1964,u,high_female,0.0
uc1.b2806719,"Wahlöö, Per,",The assignment | $c: [by] Peter Wahlöö.  Translated from the Swedish by Joan Tate.,1965,u,high_male,0.0
uc1.b2806718,"Vidal, Nicole,",Emmanuel. | $c: Translated by Eric Earnshaw Smith.,1965,u,mixed,0.0
uc1.b2806594,"Grayland, Valerie.",Night of the reaper.,1963,f,,0.0
uc1.b2806176,"Addison, Doris M.",Mara.,1964,f,,0.0
uc1.b2803013,"Ward, Henry.",The green suns / | $c: Henry Ward; translated by Alan Neame.,1961,m,,0.0
uc1.b2838252,"Bray, Christopher.",The Scarecrow Man.,1969,m,high_male,0.0
uc1.b2802929,"Val Baker, Denys,","The flame swallower, and other stories from Cornwall.",1963,m,mixed,0.0
uc1.b2802533,"Greer, Herb,",The trip / | $c: Herb Greer.,1963,m,,0.0
uc1.b2801926,"Moorcock, Michael,",The stealer of souls and other stories | $c: / by Michael Moorcock.,1963,m,,0.0
uc1.b2801806,"Gore, Walter.",To the keepers of the slaughter house : | two narrative stories.,1963,m,high_male,0.0
uc1.b2801775,"Brémond d'Ars, Yvonne de.",The mysterious château / | $c: by Yvonne de Bremond d'Ars ; translated by Barbara Lucas.,1964,f,,0.0
uc1.b2801756,"Vyvyan, C. C. (Clara Coltman)",Coloured pebbles /cC.C. Vyvyan.,1964,f,high_female,0.0
uc1.b2801673,"Caspary, Vera,",A chosen sparrow / | $c: Vera Caspary.,1964,f,,0.0
uc1.b2808912,"Gwynn, Gordon.",Did Adelaide Bartlett---? : | a medical opinion / | $c: by Gordon Gwynn.,1950,m,,0.0
uc1.b2822358,"Mataamu, Bwana",The beautiful Nyakiemo : | the origin of the Kikuyu-Masai / | $c: Bwana Mataamu ; illustrated by Ruth Yudelowitz.,1951,u,high_male,0.0
uc1.b2828656,"Church, Richard,",The room within.,1965,m,mixed,0.0
uc1.b2828899,"Treece, Henry,",Hounds of the king / | $c: by Henry Treece ; with two radio plays by the author ; illustrated by Stuart Tresilian.,1965,m,high_male,0.0
uc1.b2838035,"Mann, Roderick,",The headliner.,1968,m,,0.0
uc1.b2837788,"Ryan, Isobel.",The crane.,1968,f,high_male,0.0
uc1.b2837721,"Goolden, Barbara,",The reluctant wife.,1968,f,mixed,0.0
uc1.b2834851,"Szymański, Leszek,",On the wallaby track.,1967,u,mixed,0.0
uc1.b2834747,"Hall, Julian Henry,",The senior commoner / | $c: by Julian Hall.,1933,m,,0.0
uc1.b2832376,"Target, G. W. (George William)",The scientists : | a novel / | $c: by G.W. Target.,1966,m,,0.0
uc1.b2832371,"Chavchavadze, Paul.",Because the night was dark.,1966,m,,0.0
uc1.b2832089,"Fowkes, Aubrey.",New face at Repton Hall : | from the private papers of Francis Gresley / | $c: by Aubrey Fowkes.,1965,m,high_male,0.0
uc1.b2831300,"Knowler, John,",The singing lizard.,1967,m,high_female,0.0
uc1.b2831277,"Mathew, Ray,",The joys of possession.,1967,m,,0.0
uc1.b2831273,"Leslie, Doris.",The sceptre and the rose.,1967,f,mixed,0.0
uc1.b2831241,"Levene, Ralph.",The camel's back.,1967,m,high_male,0.0
uc1.b2830317,"Crosthwaite, Charles.",Thakur Pertáb Singh,1913,m,,0.0
uc1.b2829780,"Christian, Carol.",Into strange country; | a novel / | $c: by Carol Christian.,1958,f,mixed,0.0
uc1.b2829693,"Compton-Burnett, Juliet.",And it came to pass : | Old Testament reader / | $c: adapted from the authorised version by Juliet Compton-Burnett.,1964,f,high_male,0.0
uc1.32106019161485,"Jelinek, Elfriede,",Greed / | $c: Elfriede Jelinek ; translated by Martin Chalmers,2006,f,high_male,0.0
uc1.32106019106068,"Wingate, Jennifer",Unused language / | $c: Jennifer Wingate,2006,f,mixed,0.0
uc1.32106019102984,"Moers, Walter,",Rumo & his miraculous adventures : | a novel in two books illustrated by the author / | $c: Walter Moers ; translated by John Brownjohn,2006,m,high_male,0.0
uc1.32106017432326,"Kennedy, B. A",Exits and other stories / | $c: B.A. Kennedy,2008,u,,0.0
uc1.32106017521136,"Markham, Philip",The fair cop / | $c: Philip Markham,1999,m,high_male,0.0
uc1.32106017520823,"Alcoe, Tony",The gardener's boy / | $c: Tony Alcoe,2004,m,high_female,0.0
uc1.32106017520799,"Osborne, Charles,",Blithe spirit : | a novelisation / | $c: by Charles Osborne,2004,m,high_female,0.0
uc1.32106017509099,"May, Sarah",The internationals / | $c: Sarah May,2003,f,,0.0
uc1.32106017483899,"Perriam, Wendy,",Little marvel and other stories / | $c: Wendy Perriam,2008,f,high_female,0.0
uc1.32106017442895,"Stead, C. K. (Christian Karlson),",The death of the body / | $c: C.K. Stead,1991,m,,0.0
uc1.32106017435006,"Moyes, Jojo,",Night music / | $c: Jojo Moyes,2008,f,mixed,0.0
uc1.32106017320273,"Dawes, Kwame Senu Neville,",A place to hide / | $c: Kwame Dawes,2002,m,,0.0
uc1.32106017532174,"Stark, Richard",The green eagle score / | $c: Richard Stark,1986,m,mixed,0.0
uc1.32106017308997,"Berg, Jean de",The image / | $c: Jean de Berg,2004,f,high_female,0.0
uc1.32106017282655,"Morris, Paula",Queen of beauty / | $c: Paula Morris,2002,f,high_female,0.0
uc1.32106017269595,"Wu, Cheng'en,",Monkey. | $c: Translated from the Chinese by Arthur Waley,1942,u,high_male,0.0
uc1.32106017248482,,Further up in the air / | $c: Will Self ... [et al.],2003,u,high_male,0.0
uc1.32106017126498,"Ulit͡skai͡a, Li͡udmila",Sonechka and other stories / | $c: Ludmila Ulitskaya,1998,u,,0.0
uc1.32106017112365,"James, Richard",Red / | $c: Richard James,2002,m,high_male,0.0
uc1.32106017098341,"North, Freya",Sally / | $c: Freya North,1996,f,high_female,0.0
uc1.32106017526077,,The voice of war : | the second world war told by those who fought it / | $c: edited by James Owen and Guy Walters,2004,u,high_male,0.0
uc1.32106017532224,"Sayers, Dorothy L. (Dorothy Leigh),","Lord Peter views the body, | $c: by Dorothy L. Sayers ..",1928,f,high_male,0.0
uc1.32106019093969,"Stanley, Oliver",Hotel Victoire / | $c: Oliver Stanley,2007,m,,0.0
uc1.32106017817120,,The Heinemann book of contemporary African short stories / | $c: edited by Chinua Achebe and C.L. Innes.,1992,u,,0.0
uc1.32106017938587,"Oates, Joyce Carol,","Mother, missing / | $c: Joyce Carol Oates",2005,f,high_female,0.0
uc1.32106017927358,"Jackson, Ross",Shaker of the speare : | the Francis Bacon story / | $c: Ross Jackson,2005,m,,0.0
uc1.32106017921815,"Dickson, Jack",Oddfellows / | $c: Jack Dickson,1997,m,high_male,0.0
uc1.32106017921724,"Parkes, Matthew",Camera shy / | $c: Matthew Parkes,2002,m,high_male,0.0
uc1.32106017920841,"Hunt, Chris",The honey and the sting / | $c: Chris Hunt,1999,m,high_male,0.0
uc1.32106017858892,"Pearse, Lesley",Secrets / | $c: Lesley Pearse,2004,u,high_female,0.0
uc1.32106017817773,"Adams, Richard,",Maia / | $c: Richard Adams.,1984,m,,0.0
uc1.32106017817005,"Cannon, Michael,",A conspiracy of hope / | $c: Michael Cannon,1996,m,mixed,0.0
uc1.32106017607919,"Kidd, John",A light in the darkness / | $c: John Kidd,2004,m,,0.0
uc1.32106017800589,"Druzhnikov, I͡Uriĭ,",Madonna from Russia / | $c: Yuri Druzhnikov ; translated from the Russian by Thomas Moore,2006,u,mixed,0.0
