htid,author,title,year,authgender,female_category,gb_england_suba1_intensity
uc2.ark:/13960/t1vd6rd35,"Keable, Robert,","Peradventure; or, The silence of God",1922,m,,31.154346420755033
mdp.39015062198174,"Twells, Julia Helen (Watts)","Et tu, Sejane!",1904,f,,31.15400671680384
mdp.39015064951653,"Robson, Simon,",The separate heart : | short stories / | $c: Simon Robson.,2007,m,,31.151403810056312
mdp.39015019873507,"Fell, Alison.",Mer de Glace / | $c: Alison Fell.,1991,f,high_female,31.14973678472417
uc2.ark:/13960/t4hm5k49t,"Lawrence, D. H.",The white peacock,1911,m,high_female,31.14527401612079
uc2.ark:/13960/t11n8692f,"Kennedy, Edward B.",The black police of Queensland,1902,m,high_male,31.14340797864453
inu.30000111288217,"Clough, Lara.",Facing into the west wind / | $c: by Lara Clough.,2006,f,,31.13530649407014
mdp.39015050746174,"Harris, Christopher,",False ambassador / | $c: Christopher Harris.,2001,m,high_male,31.13372313767179
uc2.ark:/13960/t2t43kz2v,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,high_male,31.12767061264915
mdp.39015079207372,"Ogden, John.",On fire : | a novel of the 1950s / | $c: John Ogden.,2007,m,high_male,31.12632842723108
njp.32101064906959,"Roche, Regina Maria,",Bridal of Dunamore;,1823,f,high_female,31.123560535325243
uc1.b3741294,"Sinclair, Clive,",Bedbugs / | $c: by Clive Sinclair.,1982,m,mixed,31.115585247551937
inu.39000001728729,"Marsh, Ngaio,",Enter a murder / | $c: by Ngaio Marsh.,1935,f,,31.11261413594859
dul1.ark:/13960/t83j4512f,"Harris-Burland, J. B.",Dr. Silex,1905,m,,31.11162561861488
mdp.39015014641297,"Ṭarābīshī, Jūrj.","Woman against her sex : | a critique of Nawal el-Saadawi / | $c: Georges Tarabishi, with a reply by Nawal el-Saadawi ; translated by Basil Hatim and Elisabeth Orsini.",1988,u,high_male,31.107424305267525
mdp.39015058691356,,Tales from  Blackwood.,1858,u,mixed,31.106760230921953
uiuo.ark:/13960/t7wm1sj6z,"Kevill-Davies, Albert.",Miss Blanchard of Chicago,1892,m,mixed,31.102586698460417
uiuo.ark:/13960/t5t733b0w,"Blackmore, R. D.",The maid of Sker,1872,m,,31.095271126844786
uiuo.ark:/13960/t8bg3551v,"Eliot, George,",Adam Bede,1899,f,mixed,31.094769082471103
wu.89004684510,"Thackeray, William Makepeace,",The Irish sketch-book,1845,m,high_male,31.09372165936828
mdp.39015010908401,"Hartley, L. P. (Leslie Poles),","Poor Clare, | $c: by L. P. Hartley.",1968,m,,31.091474390443462
mdp.39015014855442,"Burgess, Anthony,",The eve of Saint Venus | $c: [by] Anthony Burgess. Illustrated by Edward Pagram.,1964,m,,31.083375176338375
mdp.39015030737657,"Dick, Kay.",They : | a sequence of unease / | $c: Kay Dick.,1977,f,,31.079065141720537
uc1.$b116738,,"The English review book of short stories, | $c: compiled by Horace Shipp; with a foreword by Ford Madox Ford.",1932,u,,31.06682297772567
hvd.hn5cdp,,Moral tales,1831,u,high_male,31.05590062111802
mdp.39015000655343,"Lessing, Doris May,",The habit of loving.,1957,f,mixed,31.038323200233705
uc1.32106017817120,,The Heinemann book of contemporary African short stories / | $c: edited by Chinua Achebe and C.L. Innes.,1992,u,,31.037336766599232
mdp.39015029226167,,The Heinemann book of contemporary African short stories / | $c: edited by Chinua Achebe and C.L. Innes.,1992,u,,31.029132908119287
uiuo.ark:/13960/t22b9kq65,"Oliphant,",Mrs. Arthur,1877,f,high_female,31.029020299511703
uiuo.ark:/13960/t87h23k1f,"Stuart, Esmè,",A mine of wealth,1896,u,high_female,31.021860070729844
uc1.32106013037244,"Hammick, Georgina",The Arizona game / | $c: Georgina Hammick,1996,f,high_female,31.01576634789351
uc2.ark:/13960/t03x8573q,"Perrin, Alice,",Star of India,1919,f,high_female,31.00841504228906
mdp.39015022004983,"Dyer, Geoff.",But beautiful : | a book about jazz / | $c: Geoff Dyer.,1991,m,high_male,31.00731490747135
uiuo.ark:/13960/t6tx3xk23,"Marryat, Frederick,",Peter Simple,1837,m,,31.00254479221837
inu.39000005770560,"Mackintosh, William R.",Around the Orkney peat-fires,1914,m,high_male,30.99470876043304
uc1.$b244984,"Stirling, Monica,",Adventurers please abstain; | short stories.,1952,f,,30.992447025872963
uiuo.ark:/13960/t1xd1ft60,,The Navy  at home.,1831,u,high_male,30.991153434383275
uiuo.ark:/13960/t8qc0p34v,, That little Frenchman,1874,u,mixed,30.984015892977563
nyp.33433074876669,"Keon, Miles Gerald,",Harding the money-spinner,1879,m,mixed,30.98401589297756
inu.30000011424490,"Joyce, James,",Ulysses / | $c: James Joyce.,1960,m,,30.98314580099336
uiuo.ark:/13960/t7zk5nt75,,Constancy and contrition,1844,u,,30.97816658818865
uc2.ark:/13960/t12n51664,"O'Riordan, Conal,",Adam and Caroline ;,1921,u,,30.975140648749104
mdp.39015064965893,"Felton, Paul.",The ten commandments of typography : | type heresy / | $c: Paul Felton.,2006,m,high_male,30.974136595942387
uiuo.ark:/13960/t44q87r9h,"Cuthbertson, Catherine.","Santo Sebastiano, or, The young protector",1814,f,high_female,30.97071055658791
inu.30000087144949,"Biswas, Tina,",Dancing with the two-headed tigress / | $c: Tina Biswas.,2006,f,,30.97053927451513
uc1.$b251262,"Lehmann, John,",English stories from New writing.,1951,m,,30.95975232198142
dul1.ark:/13960/t7fr0gj3r,,The three chances,1858,u,,30.953363598844412
mdp.39015060827410,"Nicholson, William.",The trial of true love / | $c: William Nicholson.,2005,m,,30.953363598844412
mdp.39015002716416,"Eliot, George,",The works of George Eliot,1878,f,,30.95327728280419
inu.30000027384795,,The Omnibus of 20th century ghost stories / | $c: edited by Robert Phillips.,1992,u,,30.951091323575795
uiuo.ark:/13960/t4hm5w088,"Smith, M. E.",Love and liking,1887,f,high_female,30.95085446466076
uc1.$b233472,"(John Boynton), Priestley, J. B.","The thirty-first of June; | a tale of true love, enterprise, and progress, in the Arthurian and ad-atomic ages.",1961,m,,30.94250881861501
uiuo.ark:/13960/t6pz5tw8n,"Russell, William Clark,","Jilted! or, My uncle's scheme",1875,m,,30.93450322000055
uiuo.ark:/13960/t7mp5jm0s,"Lockhart, Laurence W. M.",Fair to see,1871,m,mixed,30.93102381688834
nyp.33433008143889,"Hall, S. C.,",Boons and blessings,1875,f,high_female,30.922865640148792
mdp.39015005622959,"Lauder, Thomas Dick,",Legendary tales of the Highlands,1841,m,high_male,30.922328732465637
uc1.$b794336,"Brophy, John,","The rocky road, | a novel",1932,m,high_male,30.91938107465014
mdp.39015039745727,"Bosanquet, David.",Escape through China / | $c: by David Bosanquet.,1983,m,high_male,30.903795547980483
uc2.ark:/13960/t79s1p44t,"Dowdall, Mary Frances Harriet Borthwick,",The book of Martha,1913,f,,30.892801977139328
uc1.$b282854,"Dennis, Owen.","The rest go on, | $c: by Owen Dennis ...",1942,m,,30.890681311137804
wu.89041256702,"Tute, Warren.",Escape Route Green.,1971,m,high_male,30.887349424171557
mdp.39015014741485,"Isherwood, Christopher,","The world in the evening, | a novel.",1954,m,,30.881592254896667
mdp.39015063749637,"Crawford, F. Marion",An American politician,1884,m,mixed,30.874361929853453
mdp.39015020725753,"Amis, Martin.",Success / | $c: Martin Amis.,1978,m,mixed,30.85705469412944
mdp.39015047612836,"Ward, R. Plumer",De Vere;,1827,m,mixed,30.85009140767825
uiuo.ark:/13960/t9377qf6p,"Dickens, Helen.",Wild wood;,1872,f,mixed,30.845157310302284
nyp.33433074864236,"Kaye, John William,",Jerningham: a story,1854,m,,30.836886278926325
uiuo.ark:/13960/t25b0r426,"Russell, William Clark,",An ocean tragedy,1890,m,mixed,30.833269097356045
uiuo.ark:/13960/t8gf1313b,"Chamier, Frederick,",The life of a sailor,1832,m,high_male,30.82696689451816
uc1.b4538467,"Beaty, David.",The white sea-bird / | $c: David Beaty.,1979,m,,30.826890783570892
uc2.ark:/13960/t7kp7xr0k,"Fyleman, Rose,",The rainbow cat,1922,f,high_male,30.82402904308514
inu.30000041558622,"Quantrill, Malcolm,",Gotobedlam / | $c: Malcolm Quantrill.,1962,m,mixed,30.819662944958885
mdp.39015048903002,"Malory, Thomas,",La mort d'Arthure,1858,m,high_male,30.819447071101862
mdp.39015002757170,"Sansom, William,",The marmalade bird. -,1973,m,,30.818160525634543
mdp.39015002752965,"Hon., Sackville-West, Edward,","Mandrake over the water-carrier, | a recital,",1928,m,mixed,30.810776522188288
uc1.32106013145930,"Williamson, Nicol",Ming's kingdom / | $c: Nicol Williamson,1996,u,mixed,30.810776522188288
njp.32101067644037,"Ferrier, Susan,",The novels of Susan Edmonstone Ferrier,1894,f,high_female,30.810598846003025
mdp.39015073748371,,The British essayists;,1823,m,,30.809380550219288
uiuo.ark:/13960/t7cr65n7z,"Daniel, Mackenzie,",The student's wife,1852,f,high_female,30.798217326714735
mdp.39015008877386,"Linklater, Eric,",The faithful ally.,1954,m,mixed,30.77125964349297
uiuo.ark:/13960/t3bz6sc8z,"Lever, Charles James,",Sir Brook Fossbrooke,1866,m,,30.768529492205307
dul1.ark:/13960/t0ft99k1b,"Grogan, Gerald,",A drop in infinity,1915,m,,30.768216432425305
uiuo.ark:/13960/t0000px9h,"Munster, Wilhelmina Fitzclarence,",Dorinda,1889,f,high_female,30.76765294087482
mdp.39015015391173,"Humphreys, Emyr.",An absolute hero / | $c: Emyr Humphreys.,1986,m,,30.75537395239508
mdp.39015014753852,"Weldon, Fay.",The cloning of Joanna May / | $c: Fay Weldon.,1989,f,high_female,30.747648285338173
uiuo.ark:/13960/t3zs3707n,"Clayton, Ellen C.",Cruel fortune,1865,f,high_female,30.739566013218013
dul1.ark:/13960/t82j77v6s,"Oliphant,",Salem Chapel,1863,f,,30.73833480194266
mdp.39015049647970,"Creer, Gareth,",Cradle to grave / | $c: Gareth Creer.,1999,m,,30.73518564052127
mdp.39015008398441,"Amis, Kingsley.",Russian hide-and-seek : | a melodrama / | $c: Kingsley Amis.,1980,m,mixed,30.735063750470943
mdp.39015050556532,"Higgins, Aidan,",Balcony of Europe. -,1972,m,mixed,30.72624078937452
njp.32101067633683,"Grogan, Mercy,","The Roua Pass, or, Englishmen in the Highlands",1857,f,,30.7181913128955
uiuo.ark:/13960/t54f2fn0j,"Vane, Capel.",The desire of the moth,1895,f,high_female,30.698781002571025
uc1.b3322566,"Griffin, Gerald,",The Duke of Monmouth,1836,m,high_male,30.698388334612435
uc1.$b276925,"Wood, Walter.",The Fleeters; | $c: illus. by A.E. Bestall.,1934,m,high_male,30.695126558367964
njp.32101065848333,"Murray, David Christie,",The weaker vessel,1888,m,mixed,30.69426592744643
uc1.b2802533,"Greer, Herb,",The trip / | $c: Herb Greer.,1963,m,,30.690380100357544
mdp.39015031224572,"Benson, Stella,","Mundos; | an unfinished novel, | $c: by Stella Benson.",1935,f,,30.68908806194474
uc2.ark:/13960/t3ws8kw5r,"Wedmore, Frederick,",Pastorals of France,1877,m,mixed,30.685114929703197
mdp.39015022282530,"Sinclair, Clive,",For good or evil : | Collected stories / | $c: Clive Sinclair.,1991,m,,30.68025802096996
mdp.39015019639650,"Plunkett, James,",The circus animals.,1990,m,,30.679207728167256
uc2.ark:/13960/t5z60f63f,"Minney, R. J.",Maki,1921,u,high_male,30.677983433888947
mdp.39015059418098,"Strong, L. A. G. (Leonard Alfred George),","The unpractised heart, | $c: by L. A. G. Strong.",1942,m,mixed,30.675543638801155
uiuo.ark:/13960/t0rr2dk6f,"Norris, W. E.",Matrimony,1881,f,high_female,30.667007411193463
