htid,author,title,year,authgender,female_category,urban_intensity
uc1.b3460485,"Waltari, Mika,",The sultan's renegade / | $c: by Mika Waltari ; translated by Naomi Walford.,1951,u,mixed,77.62117935374266
uva.x000206056,"Forbes, Rosita Torr.",Quest,1922,u,high_female,77.61129675541662
mdp.39015010409038,"Padfield, Peter.",The Titanic and the Californian.,1965,m,high_male,77.58849512349502
uc2.ark:/13960/t84j0hc2v,"Whyte-Melville, G. J.",Uncle John,1874,m,,77.58639799605419
uc2.ark:/13960/t5q816x3v,"Murray, Charles Augustus,",Hassan,1901,m,,77.57534793695659
nyp.33433051569915,"Karamzin, Nikolaĭ Mikhaĭlovich,",Russian tales,1803,m,high_female,77.5748896049648
uva.x030765296,"Caine, William,",Hoffman's chance,1912,m,mixed,77.56648093803732
uiuo.ark:/13960/t07w6z61z,"Norris, W. E.",Matrimony,1881,f,high_female,77.54991506437874
uiuo.ark:/13960/t1hh76s3s,"Burdett, C. D.,",At home,1828,f,,77.54807099173408
mdp.39015063748019,"Black, William,",White heather,1885,m,,77.54574518740222
mdp.39015066824072,"Lewycka, Marina,",Two caravans / | $c: Marina Lewycka.,2007,f,,77.50811413069808
mdp.39015059421944,"Graham, Stephen,","Midsummer music, | $c: by Stephen Graham.",1926,m,,77.50415938988726
mdp.39015067084635,"Sedley, Charles,",Asmodeus;,1808,m,high_male,77.49535027898325
mdp.39015019873556,"Melville, Pauline.",Shape-shifter : | stories / | $c: Pauline Melville.,1990,f,,77.46587980112393
uiuo.ark:/13960/t3gx51j74,"Black, William,",Highland cousins,1894,m,,77.45706978443552
mdp.39015050286049,"Hassel, Sven,",Comrades of war | $c: [by] Sven Hassel; [translated from the Danish by Sverre Lyngstad].,1982,m,mixed,77.44612520693747
uc1.b3579186,"Banks, G. Linnaeus",The Manchester man,1876,f,mixed,77.42784692514664
mdp.39015050981698,"Willis, Ted.",The most beautiful girl in the world / | $c: Ted Willis.,1982,m,mixed,77.4248212290095
uiuo.ark:/13960/t3pv73f43,"Braddon, M. E.","Weavers and weft, and other tales",1877,f,mixed,77.42046480953132
uiuo.ark:/13960/t78s5br6x,"Riddell, J. H.,",The senior partner,1881,f,high_male,77.37563201216665
uc2.ark:/13960/t8cf9m31k,"Henningsen, C. F.",The white slave;,1845,u,high_male,77.35776077584174
nyp.33433082132113,"Hugo, Victor,",The man who laughs,1889,m,,77.35233990828223
uiuo.ark:/13960/t9x06nx3b,"Norris, W. E.",Marcia,1890,f,,77.35172936366364
mdp.39015016935176,"Brett, Simon.",The Booker book / | $c: by Simon Brett.,1989,m,high_female,77.34791635569186
mdp.39015063556255,"Opie, Amelia Alderson,",New tales,1818,f,,77.33473566987348
mdp.39015061751411,"Buckley, Jonathan,",Invisible / | $c: Jonathan Buckley.,2004,m,mixed,77.33382434174186
uiuo.ark:/13960/t84j12g5n,"Murray, David Christie,",Hearts,1883,m,high_male,77.32733807798604
nyp.33433074970629,"Charleton, R. J.",Netherdyke,1897,u,high_male,77.31924987222666
uiuo.ark:/13960/t0ms43w0q,,Modern French life,1842,f,mixed,77.31125511308528
mdp.39015062631083,"Mehran, Marsha,",Pomegranate soup / | $c: Marsha Mehran.,2005,f,mixed,77.29829144121331
uiuo.ark:/13960/t10p1qf0v,"Russell, William Clark,","List, ye landsmen!",1893,m,high_male,77.29150300296496
uiuo.ark:/13960/t8cg09c0w,"Pardoe,",The poor relation,1858,f,high_female,77.28319833543881
wu.89006594758,"McKee, Alexander,",The Coal-Scuttle Brigade / | $c: by Alexander McKee.,1957,m,high_male,77.26695733760141
uc1.b3322375,"Henniker, Florence,",In scarlet and grey,1896,f,,77.25842944649854
uiuo.ark:/13960/t0cv53g26,"Lee, Holme,",Annis Warleigh's fortunes,1863,f,high_female,77.25686620398389
uc1.b3872846,"Hudson, Stephen,",A true story / | $c: Stephen Hudson [i.e. S. Schiff].,1948,u,mixed,77.2564602683536
uc1.32106016638337,"Hansson, Carola",Steinhof / | $c: Carola Hansson ; translated by Irene Scobbie,2002,f,,77.25279106858054
uc1.b3578247,,A. E. Housman; | catalogue of an exhibition on the centenary of his birth. | $c: Assembled by John Carter [and] Joseph W. Scott.,1959,u,,77.2515766180415
mdp.39015064001236,,Sketches of character,1808,u,high_female,77.23458439443911
uiuo.ark:/13960/t3zs3cq9p,"Spence, Elizabeth Isabella,","Dame Rebecca Berry; or, Court scenes in the reign of Charles the Second",1827,f,high_female,77.21723782909251
uiuo.ark:/13960/t10p1mg3h,,The Gables,1857,u,mixed,77.21489240272602
uc1.b3754558,"Mauriac, François,",The knot of vipers : | (Le noeud de vipères) / | $c: Francois Mauriac ; translated by Gerard Hopkins.,1951,u,,77.21128044149664
mdp.39015031219713,"Black, William,",Sabina Zembra,1887,m,high_female,77.19821929440828
uiuo.ark:/13960/t1jh3wp5g,"Curling, Henry,",John of England,1846,m,mixed,77.18069931226482
