htid,author,title,year,authgender,female_category,vertical
mdp.39015028007972,"Dandurova, Aleksandra Ivanovna.","Semi-precious stones, | $c: by A.I. Voinova [pseud.] Tr. by Valentine Snow.",1934,u,high_female,254.297767780518
uiuo.ark:/13960/t6tx3pv19,"Eiloart,",Meg,1868,f,,254.26807119505995
nyp.33433075753529,"Stretton, Julia Cecilia,",The valley of a hundred fires,1860,f,high_female,254.23874392317867
njp.32101067630697,"Bray,",Warleigh,1884,f,,254.2169738717939
uiuo.ark:/13960/t5t732x5h,"Yates, Edmund Hodgson,",The forlorn hope,1867,m,,254.19586116995274
uc1.$b243197,"Goodwin, Inge Dorothea Rose,",Bury me in lead.,1952,f,mixed,254.18941818866503
uc1.b3741281,"Rubens, Bernice.",Brothers : | a novel / | $c: by Bernice Rubens.,1983,f,,254.18627756706385
uc2.ark:/13960/t4kk9844g,"Thomas, Richard Henry,",Penelve;,1898,m,,254.16792314651272
uc2.ark:/13960/t9x066b4t,"Braddon, M. E.",Thou art the man,1894,f,,254.15896487985214
uiuo.ark:/13960/t7vm4j87s,"Chatterton, Georgiana,",Country coteries,1868,f,high_female,254.15021900178445
uiuo.ark:/13960/t6h13gm9s,"Neil, Ross,",Carleton Grange,1866,f,,254.13575690099597
uiuo.ark:/13960/t4cn7r52t,"Savile, Charles Stuart,","Leonard Normandale; or, The three brothers",1850,m,high_male,254.13210929650717
mdp.39015056208088,"Mortimer, John,",Rumpole and the Primrose Path / | $c: John Mortimer.,2002,m,,254.13121262311455
uiuo.ark:/13960/t48p6m24t,"Hope, Anthony,",The god in the car,1894,m,,254.12292539301424
uiuo.ark:/13960/t5h99rx11,"Smith, Constance.",The repentance of Paul Wentworth,1889,f,high_female,254.1192852169877
inu.32000009097975,"Kersh, Gerald,",Guttersnipe; | little novels.,1954,m,mixed,254.08390569890477
uiuo.ark:/13960/t1vd7d824,"Oliphant,",Carità,1877,f,,254.07921984461512
uc1.b3321285,"Cooper, Thomas,",Wise saws and modern instances,1845,m,high_male,254.04808950704407
uiuo.ark:/13960/t0cv4vb9h,,The curse of Ulrica; or The white cross knights of Riddarholmen,1815,u,,254.03574517151918
uiuo.ark:/13960/t41r7c564,"Murray, David Christie,",Time's revenge,1893,m,high_male,254.03097766644322
njp.32101063605628,"Chamier, Frederick,",The perils of beauty,1843,m,high_female,254.0298369590319
mdp.39076006480441,"Kessel, Joseph,",The magic touch. | $c: Translated from the French by Denise Folliot. With an introd. by H. R. Trevor-Roper.,1961,m,high_male,254.02753050501542
uiuo.ark:/13960/t1bk20037,"Praed, Campbell,",Outlaw and lawmaker,1893,f,,254.00289751453462
uc1.b3331970,"Scott, Walter,",Peveril of the peak,1823,m,,253.994506630438
uiuo.ark:/13960/t7vm4mt9r,"Fothergill, John M.",Gaythorne Hall,1884,m,mixed,253.9795522194901
mdp.39015059974694,"Judd, Alan.",The Kaiser's last kiss / | $c: Alan Judd.,2003,m,high_male,253.97593275684827
uc1.$b111895,"Donald, David Lamie.","The conversations of Padan Aram, | $c: by David Donald; with a foreword by Sir J.M. Barrie.",1933,m,,253.92262546412744
mdp.39015059376528,,The New British novelist;,1830,u,high_male,253.91172445631565
mdp.39015066639884,"Bacchelli, Riccardo,",Nothing new under the sun.,1955,m,,253.89652198209362
uiuo.ark:/13960/t0ht34m31,"Jolly, Emily.",Bond and free,1860,f,mixed,253.89202700309
