htid,author,title,year,authgender,female_category,political_content
uc2.ark:/13960/t9862cg69,"Heidenstam, Verner von,",A king and his campaigners,1902,u,,5.320917858330562
uc1.b3073047,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,5.318663951615354
hvd.32044090334368,"Cumberland, Richard,",Henry,1825,m,mixed,5.318653848710891
uc1.$b146907,"Fullerton, Alexander,",The white men sang / | $c: by Alexander Fullerton.,1958,m,high_male,5.317357627749517
mdp.39015032196019,"Friel, George.",The bank of time / | $c: George Friel ; introduced by Gordon Jarvie.,1995,m,high_male,5.317112595176315
uc1.b3325626,"Marsh-Caldwell, Anne,",Two old men's tales,1834,f,,5.316509534273765
mdp.39015050246241,"Preece, Siân,",From the life and other stories.,2000,u,high_female,5.314720002834517
uc1.32106009085157,,Passages west : | nineteen stories of youth and identity / | $c: edited by Hugh Nichols.,1990,u,,5.314654095738179
uc1.31175021780286,"Goodsir, Robert Anstruther.","An Arctic voyage to Baffin's Bay and Lancaster Sound, in search of friends with Sir John Franklin / | $c: by Robert Anstruther Goodsir.",1996,m,high_male,5.31434341287134
nyp.33433074895933,"Martineau, Harriet,",Dawn island,1845,f,high_male,5.312931675698651
mdp.39015055183647,"Riley, Gwendoline,",Cold water / | $c: Gwendoline Riley.,2002,f,,5.31236719082023
njp.32101071958878,"Gorky, Maksim,",The individualists,1906,m,high_male,5.311802825879103
uc2.ark:/13960/t77s7x44c,"Black, William,",Three feathers,1875,m,,5.310298438772259
uc1.32106014651258,"Day, Marele",Lambs of God / | $c: Marele Day,1997,u,high_female,5.309358629477559
mdp.39015056902664,"Tremain, Rose.",The colour / | $c: Rose Tremain.,2003,f,,5.30704576663593
uc1.32106005651358,"Westlake, Donald E.",The handle / | $c: Richard Stark.,1985,m,high_male,5.306353473892741
njp.32101064791088,"Stepney, Catherine Pollock Manners,",The new road to ruin,1833,f,,5.305321237200912
njp.32101066458801,"Elwes, Alfred,",Perils afloat and brigands ashore,1886,m,high_male,5.304589530862102
nyp.33433074963764,"De Iongh, Anna M.",Mossdale;,1872,f,high_female,5.3027189691514325
uiuo.ark:/13960/t2x35f832,"Pigott, Harriet,","The pride of ancestry: or, Who is she?",1804,f,high_female,5.3013836611355565
mdp.39015024519756,"Hauptmann, Gerhart,","The heretic of Soana, | $c: by Gerhart Hauptmann.",1923,u,high_male,5.3004001802136065
uc1.$b389151,"Audemars, Pierre.",The veins of compassion.,1967,m,,5.2997915415326995
mdp.39015031222733,"Callow, Philip.",Yours.,1972,m,,5.298200377938294
uiuo.ark:/13960/t4xh06m7c,"Meteyard, Eliza,",The Lady Herbert's gentlewomen,1862,f,high_female,5.295712591086256
mdp.39015010558701,"Linklater, Eric,","Sealskin trousers, | and other stories, | $c: with wood engravings by Joan Hassall.",1947,m,,5.293806246691371
uiuo.ark:/13960/t0gt5vw09,"Blessington, Marguerite,",Meredith,1843,f,,5.291565244999471
uc1.$b745203,"Benyon-Tinker, W E","Dust upon the sea, | $c: by W.E. Benyon-Tinker.",1947,u,high_male,5.291355248362987
uiuo.ark:/13960/t7gq7kp8t,"Henty, G. A.",Dorothy's double,1894,m,,5.290352161108858
mdp.39015028872946,"Rose, Dilys,",Red tides / | $c: Dilys Rose.,1993,u,,5.287741253194677
njp.32101066111095,"Bremer, Fredrika,",New sketches of every-day life,1844,f,,5.287088928835783
uc2.ark:/13960/t5fb4z20n,"Winter, John Strange,",Army society,1887,m,,5.286599791179309
uiuo.ark:/13960/t1fj33j7j,"Oliphant,",Kirsteen,1890,f,high_female,5.2858778962205974
uc1.b3325355,"Waldy, Frances Helen.",Frolic,1886,f,mixed,5.284993261633591
mdp.39015001347403,"Thirkell, Angela,",Ankle deep : | a novel / | $c: by Angela Thirkell.,1933,f,high_female,5.284853609555015
uc1.b3750429,"Butor, Michel.",Second thoughts. | $c: Translated from the French by Jean Stewart.,1958,m,high_female,5.2842392280783335
mdp.39015068355521,"Jesse, F. Tennyson",The milky way,1913,f,mixed,5.284155459853629
mdp.39015053240464,,Best Irish short stories / | $c: edited by David Marcus.,1976,u,,5.2830388039200145
mdp.39015054454502,"Lustig, Arnošt.",Lovely green eyes / | $c: Arnošt Lustig ; translated from the Czech by Ewald Osers.,2001,u,,5.282731806271659
inu.30000067331961,"Kersh, Gerald,",Clock without hands / | $c: by Gerald Kersh.,1949,m,,5.2816715434100585
inu.30000078382425,"Andahazi, Federico,",The merciful women / | $c: Federico Andahazi ; translated from the Spanish by Alberto Manguel.,2000,m,,5.281085791238679
uc1.b3588958,"Couteaux, André.",Portrait of the boy as a young wolf; | $c: translated from the French by Barbara Wright.,1968,u,high_female,5.280388636603654
mdp.39015014938636,"Owen, Daniel.","Rhys Lewis, minister of Bethel",1888,m,high_male,5.280261900990289
uiuo.ark:/13960/t0zp4nt0h,"Saunders, John,","One against the world; or, Reuben's war. A novel in three volumes",1865,m,mixed,5.280040128304975
mdp.39015064544813,"Hofland,",Tales of the Priory,1820,f,high_female,5.277601857715854
uiuo.ark:/13960/t9d515817,"Macquoid, Katharine S.",Appledore farm,1894,f,high_female,5.276348766653475
uc1.$b243834,"Niall, Ian.","No resting place, | $c: by Ian Niall [pseud.]",1948,u,,5.276042546007091
uc1.b3346986,"Punshon, E. R. (Ernest Robertson),",The golden dagger.,1951,m,mixed,5.271370134525366
mdp.39015008780564,,Everyday matters : | new short stories by women.,1982,u,high_female,5.268056262840887
uiuo.ark:/13960/t0tq68p4z,"Elliot, Frances,",The ill-tempered cousin,1885,f,,5.267686256606557
uc1.b3322475,"Cathcart,",The heir of Mordaunt,1835,f,high_female,5.267038870746866
uc1.b4350201,"Larsen, May,",The golden cowrie : | New Caledonia: its people and places.,1961,f,high_male,5.26454330086865
uc1.$b301016,"Jones, Timothy.",The small hours of the night.,1950,m,high_female,5.264404727435445
uc1.b3272213,"Farrar, C.D.",Birdroom and aviary: | trials and triumphs of a Yorkshire parson | $c: by C.D. Farrar.,1927,u,high_male,5.263822798669306
njp.32101037077581,"Fenn, George Manville,",Sweet mace,1884,m,mixed,5.263619615755768
umn.31951002087402u,"Hutchinson, Horace G.",'Bert Edward the Golf Caddie,1903,m,,5.262696254714498
mdp.39015031224101,"Bennett, Arnold,",Sacred & profane love,1910,m,mixed,5.259282633848743
njp.32101075688943,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,5.2566759784926855
mdp.39015008818026,"Tey, Josephine,","The man in the queue, | $c: by Josephine Tey [pseud.]",1953,f,,5.2544741847683305
