htid,author,title,year,authgender,female_category,geo_range
nyp.33433074946850,"Clouston, J. Storer",Our lady's inn;,1903,m,high_female,4642.857456683809
njp.32101068971306,"Kennedy, Grace,",Philip Colville,1825,f,,4631.619024009781
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,4630.335362481897
hvd.32044086799103,"Ollier, Charles,","Inesilla, or The tempter",1824,m,,4619.85367749138
mdp.39015054264240,"Atxaga, Bernardo.",Two brothers : | the fourth song / | $c: Bernardo Atxaga ; translated from the Spanish by Margaret Jull Costa.,2001,m,,4619.591080520441
uiuo.ark:/13960/t3417br2t,"Gibbon, Charles,",In honour bound,1874,m,mixed,4617.002787138255
uc1.$b605193,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,4606.973471811642
uiuo.ark:/13960/t2z32c481,"Craik, Georgiana M.",Dorcas,1879,f,high_female,4604.129271188813
uc1.31822038199006,"Bloxam, John Francis",The priest and the acolyte,1907,m,high_male,4589.113731411231
uiuo.ark:/13960/t0pr8f278,"Stretton, Hesba,",Through a needle's eye,1879,m,,4587.540859875098
njp.32101068971330,"Kennedy, Grace,","Dunallan, or, Know what you judge",1825,f,high_female,4559.554419003267
uiuo.ark:/13960/t8v98sn3c,"Tinsley, Lily.",In the ring,1886,f,mixed,4556.053318569446
mdp.39015024844600,"Caṭṭopādhyāẏa, Baṅkimacandra,",Chandra Shekhar,1904,u,,4551.79178315943
uiuo.ark:/13960/t70v90t6d,"Martin, Herbert,",Britomart,1893,f,high_female,4550.751197488203
uiuo.ark:/13960/t40r9r526,"Werner, E.,",No surrender,1881,f,mixed,4545.731422685096
uiuo.ark:/13960/t1wd4cf3m,"Le Fanu, Joseph Sheridan,",In a glass darkly,1872,m,high_male,4542.398256402562
uc2.ark:/13960/t1pg1k841,"Oliphant,",Harry Muir,1853,f,,4542.3050694617405
uiuo.ark:/13960/t0bv7vg8n,"Gissing, Algernon,",At society's expense,1894,m,high_female,4533.036460689695
uiuo.ark:/13960/t10p1p26d,"Praed, Campbell,",Nadine,1882,f,,4531.393227402915
nyp.33433082256847,,Short stories and poems for children,1846,u,mixed,4526.527405785242
mdp.39015002672585,"Lewis, C. S. (Clive Staples),",The silver chair; | $c: with illus. by Pauline Baynes.,1953,m,high_female,4525.965611280883
mdp.39015031222238,"Cochrane, Ian,",Jesus on a stick / | $c: Ian Cochrane.,1975,m,high_female,4519.584390286252
mdp.39015074083612,"Burke, John Frederick,",Nurse is a neighbor. | $c: Joanna Jones [pseud.].,1961,m,high_female,4503.374398899276
nyp.33433074943683,"Austen, Jane,",The novels of Jane Austen,1892,f,high_female,4489.895300729539
njp.32101064918079,"Saunders, John,",A noble wife;,1883,m,high_female,4471.614008246401
nyp.33433075729792,"Edgeworth, Maria,",Leonora,1806,f,high_female,4429.155280386762
dul1.ark:/13960/t04x5tt3c,"Bury, Charlotte Campbell,",The exclusives,1830,f,,4420.824138984734
uc1.b4353999,"Okudzhava, Bulat Shalvovich,","The extraordinary adventures of secret agent Shipov in pursuit of Count Leo Tolstoy, in the year 1862; | $c: translated [from the Russian] by Heather Maisner.",1973,u,high_male,4416.269101199096
mdp.39015025389233,"García Morales, Adelaida.","The South ; and, Bene / | $c: Adelaida García Morales ; translated by Sarah Marsh.",1992,f,high_female,4401.776193386277
uiuo.ark:/13960/t6ww7wn88,"Kettle, Rosa Mackenzie,",Lewell pastures,1854,f,,4389.821118457701
mdp.39015035775363,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,4382.703951258493
mdp.39015011705624,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,4382.703951258492
mdp.39015047684694,"Warburton, Edward.","'Disallowed'; | the tragedy of the means test, | $c: by Edward Warburton and Carl Butler.",1935,m,,4359.355572471752
inu.39000000646567,"Sagan, Françoise,",The still storm / | $c: Françoise Sagan ; translated from the French by Christine Donougher.,1984,u,high_female,4356.524646159656
uiuo.ark:/13960/t9c540z9t,"Hardy, Iza Duffus.",A hero's work,1868,f,,4349.543900678476
mdp.39015066608921,"Biert, Cla,","Only a game, | and other stories; | $c: translated from the German by Alan Brown.",1969,u,,4349.2323619731815
uc1.32106017435006,"Moyes, Jojo,",Night music / | $c: Jojo Moyes,2008,f,mixed,4332.003204230902
mdp.39015065251095,"James, G. P. R.",Charles Tyrrell;,1839,m,,4331.167527305702
uiuo.ark:/13960/t2k65444z,"Somers, Robert,",The martyr of Glencree,1878,m,high_female,4324.0857223413195
njp.32101068598281,"Ford, Ford Madox,",The queen who flew,1894,m,high_female,4310.780460610835
