text_string,occurs_100k
greek street,0.00665
londinium,0.00665
threadneedle street,0.00655
great ormond street,0.00651
haverley,0.00645
court road,0.00644
vauxhall bridge,0.00632
isleworth,0.00631
hornsey,0.00629
tavistock square,0.00627
north kensington,0.00618
belgravian,0.00618
red lion square,0.00617
st paul s,0.00616
little russell street,0.00615
walworth road,0.00614
camden lock,0.00611
london parks,0.00609
maresfield gardens,0.00602
fitzroy road,0.00596
upper grosvenor street,0.00594
lexham gardens,0.00591
holloway prison,0.00589
cadogan place,0.00588
old brompton road,0.00586
cowley street,0.00584
london town,0.00582
wenlock,0.00565
great russell street london,0.00561
grosvenor gardens,0.00546
new kent road,0.00545
brixton prison,0.00544
kennington park,0.00543
harlesden,0.00541
catford,0.0054
queen s square,0.00539
hurlingham,0.00539
shoe lane,0.00535
middle temple,0.00532
st james street,0.00532
dornton,0.00531
cafe royal,0.0053
sussex gardens,0.0053
marshalsea,0.00528
walham green,0.00527
buckingham palace road,0.00527
cheapside,0.00526
tate gallery,0.00524
farringdon,0.00523
southall,0.00521
norfolk square,0.0052
new street square,0.00517
upton lane,0.00516
carshalton,0.00511
hyde park gate,0.00508
highgate cemetery,0.00502
stockwell,0.00496
turnham green,0.00492
albert bridge,0.00492
pont street,0.00489
hammersmith broadway,0.00488
ilford,0.00487
devonshire terrace,0.00487
tyburnia,0.00486
pancras road,0.00484
vigo street,0.00484
marylebone high street,0.0048
vauxhall bridge road london,0.00479
cricklewood,0.00477
st thomas s hospital,0.00468
hammersmith bridge,0.00467
east hill,0.00465
guilford street,0.00462
north end road,0.00462
bloomsbury street,0.00459
gunnersbury,0.00458
brompton oratory,0.00456
sloan street,0.00455
minories,0.00453
grosvenor gallery,0.00446
whitechapel road,0.00445
meard street,0.00443
stamford hill,0.00438
caxton hall,0.00438
houndsditch,0.00437
guildford street,0.00436
petticoat lane,0.00433
rosoman street,0.00433
denmark hill,0.00431
havering bower,0.0043
white hall,0.00425
grosvenor road,0.00424
albert hall mansions,0.00423
quiney,0.00423
golders green,0.00423
westbourne park,0.00421
camley,0.0042
caledonian road,0.00417
kensington road,0.00417
great george street,0.00411
torrington square,0.00411
praed street,0.0041
plumstead,0.00409
camden road,0.00408
halkin street,0.00407
carlton house terrace,0.00407
london magazine,0.00403
finsbury,0.004
london hospital,0.00398
beauchamp tower,0.00395
mornington crescent,0.00395
kew bridge,0.00395
wilton crescent,0.00394
heathrow airport,0.00392
battersea bridge,0.00391
south east london,0.00391
eccleston square,0.00389
st luke s square,0.00387
chingford,0.00387
lowndes,0.00386
walcot square,0.00381
south kensington station,0.0038
museum street,0.0038
lower sloane street,0.00379
fulham broadway,0.00379
voysey,0.00377
northumberland avenue,0.00375
hanway street,0.00373
tufnell park,0.00371
redriff,0.0037
surbiton,0.00367
tulse hill,0.00367
tregunter road,0.00366
west hill,0.00365
london hotel,0.00365
penge,0.00363
upper brook street,0.00362
leytonstone,0.00361
coventry street,0.00361
herne hill,0.0036
feltham,0.00359
acre lane,0.00359
south lambeth road,0.00358
new burlington street,0.00358
cork street,0.00358
brixton road,0.00357
broadwick street,0.00356
davies street,0.00356
