htid,author,title,year,authgender,female_category,gb_fraction
uiuo.ark:/13960/t2d79ps6c,"Eyre, Mary.",A family history,1861,f,high_female,0.5617977528089888
mdp.39015030922531,"Thomas,",The noble traytour,1857,u,high_male,0.5617977528089888
uiuo.ark:/13960/t3rv13t3w,,"Melcombe Lodge; or, traits of family pride!",1819,u,high_female,0.5617977528089888
uc1.$b252117,"Hamilton, Alex.","Beam of malice : | fifteen short, dark stories / | $c: Alex Hamilton.",1966,m,,0.5617977528089888
uc2.ark:/13960/t3mw2f73w,"Smart, Hawley,",At fault,1883,m,,0.5616438356164384
uiuo.ark:/13960/t7qn6n524,"Le Fanu, Joseph Sheridan,",In a glass darkly,1872,m,high_male,0.5616438356164384
uiuo.ark:/13960/t3st84p72,"Merrick, Leonard,",Violet Moses,1891,m,high_female,0.5616438356164384
njp.32101068971140,"Kelty, Mary Ann,",The favourite of nature;,1821,f,high_female,0.5616438356164384
uiuo.ark:/13960/t8z89vr6z,"St. John, James Augustus,",The ring and the veil,1856,m,,0.5616438356164383
mdp.39015061320605,"Frame, Ronald.",Time in Carnbeg : | short stories / | $c: by Ronald Frame.,2004,m,high_female,0.5615615615615616
mdp.39015021995215,"Pitt-Kethley, Fiona,",The misfortunes of Nigel / | $c: Fiona Pitt-Kethley.,1991,f,mixed,0.5615384615384615
mdp.39015021854842,"Holbrook, David,",Jennifer / | $c: David Holbrook.,1991,m,,0.5615384615384615
uc1.$b662558,,"Countryside tales from ""Blackwood.""",1947,u,high_male,0.5615384615384614
mdp.39015020167139,"Geake, Charles,",John Bull's adventures in the fiscal wonderland,1904,m,high_male,0.5614754098360656
inu.32000001390519,"Shaw, Bernard,",The works of Bernard Shaw,1930,m,mixed,0.5614754098360655
uc1.$b146765,"Pereira, W. D. (Wilfred Dennis),",The wheat from the chaff | $c: [by] W. D. Pereira.,1967,m,mixed,0.5614525139664804
uiuo.ark:/13960/t9474s15t,"Godwin, William,",Things as they are;,1816,m,mixed,0.5614035087719299
uc1.$b119540,"Alexander, Joan.",Where have all the flowers gone?,1969,f,high_female,0.5614035087719298
nyp.33433074857750,"Hawkins, Laetitia Matilda,","The countess and Gertrude; or, Modes of discipline",1812,f,high_female,0.5614035087719298
inu.32000005270824,,"The Abduction, or, The adventures of Major Sarney",1825,u,,0.5614035087719298
mdp.39015057979646,"Carroll, Lewis,",Sylvie and Bruno,1889,f,mixed,0.5614035087719297
mdp.39015011425348,"Braddon, M. E.","Only a clod, in three vols",1865,f,,0.5611510791366907
nyp.33433075758189,"Trafford-Taunton, Winefride.",The redemption of Damian Gier,1904,u,mixed,0.5610687022900763
uc1.$b396470,"Williams, John Stanley,",The spinsters | $c: [by] John Williams.,1967,m,high_female,0.5609756097560976
uiuo.ark:/13960/t59c7bm0m,,The Hallow isle tragedy,1860,u,,0.5609756097560976
nyp.33433075752430,,Almack's;,1827,u,high_female,0.5609756097560975
inu.32000009368046,"Trollope, Anthony,",Rachel Ray,1880,m,high_female,0.5609756097560975
umn.31951002026868p,"Gloag, John,",Kind Uncle Buckby.,1946,m,,0.5609195402298851
inu.30000047607704,"Wilson, Colin,",Ritual in the dark / | $c: by Colin Wilson.,1960,m,high_male,0.5608365019011406
mdp.39015074299101,"Gittins, Chrissie.",Family connections / | $c: Chrissie Gittins.,2007,f,high_female,0.5608108108108107
uc1.32106014700402,"Lawrence, D. H. (David Herbert),",The complete short stories / | $c: D.H. Lawrence.,1960,m,high_female,0.5607476635514019
mdp.39015000630981,"Lawrence, D. H. (David Herbert),",Complete short stories.,1955,m,high_female,0.5607476635514018
mdp.39015031644456,"Hook, Theodore Edward,",Maxwell,1830,m,mixed,0.560693641618497
uiuo.ark:/13960/t3mw3061g,"Merivale, Herman Charles,",Faucit of Balliol,1882,m,mixed,0.560693641618497
uc1.b4105180,"Shaw, Bernard,","Immaturity, | $c: by Bernard Shaw.",1931,m,mixed,0.5606361829025845
uiuo.ark:/13960/t54f22v91,"Black, William,","Stand fast, Craig-Royston!",1890,m,,0.5606060606060608
mdp.39015010487109,"Cooper, William,",Scenes from married life / | $c: by William Cooper [pseud.],1961,m,mixed,0.5606060606060606
njp.32101067640688,,The School of fashion,1829,f,,0.5606060606060604
uiuo.ark:/13960/t6zw21w1d,"Payn, James,",Less black than we're painted,1878,m,mixed,0.5605095541401274
uva.x030581129,"Thackeray, William Makepeace,",The works of William Makepeace Thackeray,1878,m,mixed,0.5604838709677419
uc1.$b312336,"Quennell, Peter,","The phoenix-kind, | a novel | $c: by Peter Quennell ...",1931,m,,0.5603448275862067
uc1.b4281558,,Cracks in the image : | stories by gay men.,1981,u,high_male,0.5602836879432624
mdp.39015078806463,"Lightburn, Thomas E.",The ship that would not die / | $c: Thomas E. Lightburn.,2008,m,,0.5602294455066921
mdp.39015041172266,"Cooper, William,","Memoirs of a new man: | a novel, | $c: by William Cooper.",1966,m,,0.5602094240837696
