htid,author,title,year,authgender,female_category,streets
uc1.$b119552,"Brathwaite, Errol,",The flying fish / | $c: by Errol Brathwaite.,1964,m,mixed,131.30948078544753
uc1.b3598647,"Berto, Guiseppe.",The brigand / | $c: by Giuseppe Berto ; translated by Angus Davidson.,1951,m,high_female,131.2915112866568
uc2.ark:/13960/t15m6714c,"Ransome, Arthur,",The hoofmarks of the faun,1911,m,high_male,131.2286753402572
mdp.39015015527248,"Ashford, Kent.",The Singalong tribe / | $c: Kent Ashford.,1986,m,,131.20514780545128
uc2.ark:/13960/t0ns0ns2r,"Smithes, M. F.",Children of the desert,1910,u,high_female,131.11888111888112
mdp.39015034275845,"McLean, Duncan,",Blackden / | $c: Duncan McLean.,1994,m,mixed,131.1053097650455
inu.30000027138738,"Russo, Richard Paul.",Subterranean gallery / | $c: Richard Paul Russo.,1991,m,,131.05949136052618
uc1.$b284277,"Buck, Pearl S. (Pearl Sydenstricker),",O-Lan. | From The good earth.,1958,f,high_male,130.90822540016265
mdp.39015016975818,"Endō, Shūsaku,",Foreign studies / | $c: Shusaku Endo ; translated from the Japanese by Mark Williams.,1989,m,high_male,130.906430778412
uc1.32106007155168,"Pavese, Cesare.",The leather jacket : | stories / | $c: by Cesare Pavese ; translated by Alma Murch ; introd. by Margaret Crosland.,1980,m,high_female,130.89734306244083
mdp.39015050127300,"King, John,",Human punk / | $c: John King.,2000,m,high_male,130.8591265153305
inu.30000060703083,"Ajima, Maria,",The web : | a collection of short stories / | $c: Maria Ajima.,1997,f,mixed,130.82304760821341
umn.319510020543924,"Orgill, Douglas,",The death-bringers.,1962,m,mixed,130.75218828315113
mdp.39015017693923,"Fyson, Jenny Grace.",The three brothers of Ur. | $c: Illustrated by Victor G. Ambrus.,1964,f,,130.69311280243375
uc2.ark:/13960/t5s75kx4p,"Quiller-Couch, Arthur,",Two sides of the face;,1903,m,,130.61326035576565
mdp.39015031693701,"Williams-Ellis, Clough, Sir,",The adventure of building : | being something about architecture and planning for intelligent young citizens and their backward elders / | $c: by Clough Williams-Ellis; with drawings by Geoffrey Robson.,1946,u,,130.5897716443723
mdp.39015032951421,"Vik, Bjørg,",An aquarium of women / | $c: by Bjørg Vik ; translated by Janet Garton.,1987,u,high_female,130.58586574002345
nyp.33433007631165,"Bensusan, S. L.",A country-side chronicle,1907,u,high_male,130.56237647481584
nyp.33433075909923,"Borrow, George Henry,",Wild Wales,1862,m,high_male,130.52011776251226
mdp.39015033992341,"Ben Jelloun, Tahar,",State of absence / | $c: Tahar Ben Jelloun ; translated by James Kirkup.,1994,u,,130.22467679176603
uc1.$b802554,"Schnitzler, Arthur,","Beatrice; | a novel & other stories, | $c: translated from the German by Agnes Jacques.",1926,m,,130.22152127674968
mdp.39015082701189,"Penney, Bridget,",Index / | $c: Bridget Penney ; [edited by Stewart Home and Gavin Everall].,2008,f,high_female,130.16596160104132
uc1.b2831241,"Levene, Ralph.",The camel's back.,1967,m,high_male,130.13821576018668
nyp.33433075728547,"Fletcher, J. S.",The making of Matthias,1898,m,high_male,129.8774634366706
uc1.$b318443,"Istrati, Panait,",The bitter orange tree / | $c: by Panaït Istrati.,1931,u,,129.85936507059375
mdp.39015064950341,"Barker, Pat,",Life class / | $c: Pat Barker.,2007,u,mixed,129.78901965376582
mdp.39015019360232,"Jones, Glyn,",Selected short stories.,1971,m,,129.75613479372592
uc1.b3472656,"Freeman, Gillian.",The leather boys / | $c: by Eliot George [i.e. G. Freeman],1961,f,,129.70168612191958
nyp.33433075861371,"Yoxall, J. H.",The Rommany stone,1902,m,,129.69729778499573
mdp.39015063276946,"Doyle, Mogue.",Down a road all rebels run / | $c: Mogue Doyle.,2005,u,mixed,129.64878290384138
mdp.39015017652390,"Milne, Ewart,",Drums without end : | short stories mainly about the Spanish Civil War / | $c: Ewart Milne.,1985,m,mixed,129.6456352636128
uc2.ark:/13960/t54f2124w,"Fetterless, Arthur.",Battle days,1918,m,high_male,129.6434295280775
wu.89005367651,"Keable, Robert,",The adventures of Paul Kangai;,1918,m,high_male,129.55232474449403
mdp.39015003682286,"Gale, John M.,","The family man, | $c: by John Gale.",1968,m,high_female,129.40415269690018
mdp.39015028467465,"Beattie, Geoffrey.",We are the people : | journeys through the heart of Protestant Ulster / | $c: Geoffrey Beattie.,1992,m,,129.34491114004604
