text_string,occurs_100k
port land place,0.00577
hornsey,0.0057
eastcheap,0.00569
tower bridge,0.00564
golders green,0.00563
edwardes square,0.00561
old kent road,0.00559
cleveland square,0.00558
wenlock,0.00554
west end of london,0.00552
weymouth street,0.00549
waterloo road,0.00549
ave maria lane,0.00546
neasden,0.00539
liverpool street station,0.00537
kensington gore,0.00536
romford,0.00535
lancaster gate,0.00533
great ormond street,0.00532
ebury,0.0053
grosvenor gardens,0.00528
greenwich park,0.00527
battersea bridge,0.00527
euston station,0.00524
caledonian road,0.00522
aldersgate street,0.00519
campden hill square,0.00518
ladbroke square,0.00513
basinghall street,0.0051
little russell street,0.00507
brick lane,0.00505
mountview,0.00505
lothbury,0.00504
walworth road,0.00503
marylebone high street,0.00497
bedford row,0.00495
limehouse,0.00495
berkeley street,0.00488
london hospital,0.00485
jubilee gardens,0.00483
burlington street,0.00482
st james s palace,0.00481
st mungo,0.0048
gray s inn road,0.00478
lalage,0.00476
eegent s park,0.00473
londinium,0.00473
upper street,0.00471
stepney,0.00471
northwood,0.00466
peckham rye,0.00465
stamford hill,0.00463
greek street,0.00463
haverstock hill,0.00461
torrington square,0.00457
heme hill,0.00457
british islands,0.00451
bouverie street,0.00446
south molton street,0.00444
central london,0.00443
carlton house terrace,0.00443
whitehall,0.00442
tyburnia,0.00442
minories,0.00442
goodge street,0.0044
belgravian,0.00439
great russell street london,0.00439
hurlingham,0.00436
chepstow villas,0.00433
farringdon street,0.00432
cadogan square,0.00432
westbourne terrace,0.00432
st paul s churchyard,0.00431
finsbury,0.0043
swaffield,0.00428
billiter square,0.00426
blackfriars,0.00423
heathrow airport,0.0042
cloak lane,0.0042
cadogan place,0.0042
highgate cemetery,0.00417
harlesden,0.00417
south lambeth road,0.00411
homerton,0.00405
turnmill street,0.00402
holloway prison,0.00398
north end road,0.00397
fitzroy road,0.00397
south east london,0.00397
vauxhall bridge,0.00396
bread street,0.00395
new street square,0.00394
cricklewood,0.00394
dolphin square,0.0039
elgood street,0.00389
glenthorn,0.00386
cressingham,0.00384
tate gallery,0.00384
moorgate street,0.00382
bina gardens,0.0038
camden lock,0.00379
albert museum,0.00377
chiltern street,0.00376
great george street,0.00376
alleyn,0.00376
gray s inn lane,0.0037
camberwell grove,0.00367
maygrove road,0.00362
monplaisir,0.00362
tavistock square,0.00362
turnham green,0.00361
camden road,0.00359
melchester,0.00358
wanstead,0.00358
whitechapel road,0.00358
athole,0.00356
tavistock street,0.00355
pleasaunce,0.00354
harrods,0.00353
stamford street,0.00352
kensington church street,0.00351
montague place,0.0035
devonshire terrace,0.00348
doughty street,0.00348
fetter lane,0.00347
barbican,0.00347
flood street,0.00346
upton lane,0.00344
port man square,0.00343
canonbury,0.00343
wigmore hall,0.00341
mitre court,0.00341
wilton crescent,0.00341
albert bridge,0.00339
upper belgrave street,0.00339
albany street,0.00336
southall,0.00336
young england,0.00335
chesham place,0.00335
archer street,0.00334
old street,0.00333
botolph lane,0.00332
wembley stadium,0.00332
vauxhall bridge road london,0.00332
sutton,0.00331
houndsditch,0.0033
euston road london,0.00329
brompton road london,0.00329
tulse hill,0.00327
stamford bridge,0.00326
westbourne park,0.00325
lisson grove,0.00324
newington butts,0.00323
northumberland avenue,0.00323
london hotel,0.00323
myddleton,0.00321
paddington green,0.00321
earls court road,0.0032
court road,0.00317
brompton oratory,0.00317
london magazine,0.00316
scrope,0.00314
st thomas s hospital,0.0031
brockwell park,0.00305
guilford street,0.00304
sloan street,0.00303
compayne gardens,0.00302
almeida,0.00302
norwood cemetery,0.00301
berwick street,0.003
tufnell park,0.00298
albert hall mansions,0.00297
halkin street,0.00296
prince regent,0.00295
white hart lane,0.00294
lowndes,0.00294
hungerford bridge,0.00293
belgrave road,0.00292
london longmans,0.0029
old palace,0.0029
waddon,0.00289
hampstead road,0.00287
canning town,0.00287
havering bower,0.00287
hammersmith bridge,0.00285
walham green,0.00284
cafe royal,0.00284
petty france,0.00283
mme tussaud,0.00283
camley,0.0028
guildford street,0.0028
kilburn high road,0.00278
southwark bridge,0.00277
holland park avenue,0.00276
kensington road,0.00276
st matthew s,0.00276
umfreville,0.00276
lambeth bridge,0.00275
norfolk square,0.00274
gough square,0.00271
lower sloane street,0.00271
st james park,0.0027
west end lane,0.0027
alwyne,0.00269
gerrard street,0.00266
east hill,0.00265
inner temple,0.00264
camden market,0.00264
gros venor square,0.00264
floral street,0.00264
voysey,0.00262
lord brook,0.00262
south kensing,0.0026
beauchamp tower,0.00259
silvertown,0.00258
st paul s cathedral,0.00257
archway road,0.00256
moorgate,0.00256
tite street,0.00256
mornington crescent,0.00256
harefield,0.00256
yarico,0.00253
frontispiece,0.00253
south kensington station,0.00253
woburn place,0.00251
titchfield street,0.00251
almayne,0.00251
london city,0.0025
covent garden market,0.0025
brompton cemetery,0.00249
museum street,0.00249
fen court,0.00247
cornhill,0.00247
mansford,0.00247
east putney,0.00246
buckingham palace road,0.00244
cheam,0.00242
farringdon road,0.00242
toynbee hall,0.0024
grosvenor gallery,0.0024
basuto,0.00239
cork street,0.00239
st thomas s,0.00239
ken sington gardens,0.00238
stanhope gate,0.00238
broomwood,0.00236
castelnau,0.00236
great tower street,0.00235
shooter s hill,0.00235
lollard,0.00235
kennington park,0.00234
london wall,0.00234
lambeth,0.00234
villiers street,0.00233
upper berkeley street,0.00232
beauchamp place,0.00232
south belgravia,0.00231
prince of wales drive,0.00231
broadwick street,0.0023
cockspur street,0.0023
vauxhall gardens,0.00229
north audley street,0.00229
north west london,0.00229
st mark s place,0.00228
neustria,0.00228
brixton road,0.00227
whiteleys,0.00226
leigham court road,0.00226
greenwich palace,0.00225
spayne,0.00225
kew green,0.00224
catford,0.00223
edric,0.00222
berners street,0.00222
wellington barracks,0.00221
priory park,0.00221
cheyne row,0.00219
addiscombe,0.00219
thames tunnel,0.00219
bulstrode street,0.00218
seething lane,0.00218
dowgate hill,0.00218
davies street,0.00217
rutland gate,0.00216
bel grave square,0.00216
charing cross station,0.00215
mecklenburgh square,0.00214
apsley house,0.00213
marechale,0.00211
kentish town road,0.00211
smith square,0.0021
feltham,0.00206
st pancras station,0.00205
hanwell,0.00205
covent garden theatre,0.00205
marble arch,0.00203
hatchard,0.00203
st bartholomew s hospital,0.00202
aldwych,0.00202
old bond street,0.00202
snaresbrook,0.00202
hans place,0.00201
porchester terrace,0.002
claridges,0.002
queen victoria street,0.00199
queensborough terrace,0.00199
willesden green,0.00198
hammersmith broadway,0.00198
trafal gar square,0.00198
merton road,0.00198
gunnersbury,0.00197
the theatre,0.00196
penge,0.00196
margiana,0.00195
kingsway,0.00195
gloucester terrace,0.00195
clay hall,0.00194
horseferry road,0.00194
marchmont street,0.00194
edgeware road,0.00193
aytoun,0.00193
granta,0.00193
cranbourn alley,0.00193
praed street,0.00192
malmsey,0.00192
kensington park gardens,0.00191
greater london,0.00191
albert gate,0.0019
brixton hill,0.0019
earls court,0.0019
haggerston,0.00189
old brompton,0.00189
hanipstead,0.00187
bucklersbury,0.00187
surrey street,0.00187
