htid,author,title,year,authgender,female_category,urban_metric_gb
nyp.33433074877980,"Lefroy, Ella Napier.",The man's cause,1899,f,high_female,-0.40799246772167663
mdp.39015030849429,"Adams, Francis William Lauderdale,",Essays in modernity criticisms and dialogues,1899,m,high_male,-0.40805222969939625
mdp.39015005144889,"Lewis, Wyndham,","Tarr, | $c: by Wyndham Lewis.",1935,m,mixed,-0.4080671323570568
inu.32000009195985,"Kingsley, Henry,",Silcote of Silcotes,1867,m,,-0.40812857707483263
uc1.b3327071,"Massie, W.",Sydenham;,1830,u,,-0.4082473886829431
inu.30000118485758,"Maddock, Llywelyn W.,","West Country folk tales, | $c: by Llywelyn W. Maddock. Illus. by Harold W. Hailstone.",1965,u,mixed,-0.40833091734726923
mdp.39015012304955,"Balchin, Nigel,",Kings of infinite space.,1967,m,,-0.4084140174499377
uiuo.ark:/13960/t6xw5019g,"Mudford, William 1782-1848.",The premier,1831,m,,-0.4084663082407359
nyp.33433074931845,"Cruikshank, Robert,",Cruikshank at home,1845,m,mixed,-0.4084885142349976
mdp.39015002966581,"Blackwood, Algernon,",Tales of the uncanny and supernatural.,1949,m,mixed,-0.40850599878036414
mdp.39015063976552,"Ewing, Juliana Horatia Gatty,",The Brownies & other tales,1886,f,mixed,-0.408638203824374
uiuo.ark:/13960/t10p1pk26,"Holstein, Anthony Frederick,","The inhabitants of Earth, or, The follies of woman",1811,m,high_female,-0.4086787822104264
inu.30000054083039,"Maillu, David G.,",Thorns of life / | $c: David G. Maillu.,1988,m,,-0.4087780764603994
uc2.ark:/13960/t6m040h3q,"Castle, Egerton,", La bella,1892,m,,-0.4088475168945615
uiuo.ark:/13960/t9280xt7z,"Power, Marguerite A.,",Sweethearts and wives,1861,f,,-0.4088491203027073
inu.32000000663056,"Haggard, H. Rider","Colonel Quaritch, V. C",1889,m,mixed,-0.4088556510849936
uiuo.ark:/13960/t15m6vj0m,"Tabor, Eliza.",Hester's sacrifice,1866,f,high_female,-0.40890337208144084
mdp.39015060771196,"Shacklady, Helen,",The Vinland sheep / | $c: Helen Shacklady.,2004,f,,-0.40891898873970367
mdp.39015018428543,"Collins, William Edmund Wood.",The don and the undergraduate,1899,m,high_male,-0.4089707835927098
mdp.39015031941878,"Aldanov, Mark Aleksandrovich,","The key, | $c: by M. Aldanov.",1931,m,,-0.40900996807004963
nyp.33433074902119,,"The Miz Maze; or, The Winkworth puzzle",1883,f,,-0.4090750216072932
uiuo.ark:/13960/t3vt1zp31,"Colquhoun, Katharine.","Maurice, the Elector of Saxony",1844,f,,-0.4091671977508746
uiuo.ark:/13960/t44q87r9h,"Cuthbertson, Catherine.","Santo Sebastiano, or, The young protector",1814,f,high_female,-0.4091928302775191
mdp.39015063617446,"Hook, James,",Percy Mallory,1824,m,,-0.4092349825327394
uiuo.ark:/13960/t7wm1sj6z,"Kevill-Davies, Albert.",Miss Blanchard of Chicago,1892,m,mixed,-0.40927398644941504
uiuo.ark:/13960/t09w0rn24,,Clara Harrington,1852,u,high_female,-0.40928795074659496
uc2.ark:/13960/t0ht2jp5g,"Leblanc, Georgette,",The girl who found the blue bird;,1914,f,high_female,-0.40931416518249586
uc1.b4105428,"Yonge, Charlotte M.",The pillars of the house,1896,f,mixed,-0.4094046909391887
