htid,author,title,year,authgender,female_category,urban_metric_gb
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,14.34693743057094
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,8.182320805726807
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,8.002273503667682
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,7.515183980096537
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,7.128062302152598
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,5.844701304842953
mdp.39015018955651,"Farson, Negley,",Bomber's moon / | $c: Negley Farson ; with 48 illustrations by Tom Purvis.,1970,u,high_female,5.825555573841458
mdp.39015010344334,"Hanley, Clifford.",Dancing in the streets / | $c: Clifford Hanley.,1983,m,mixed,5.7629216044030445
uiuo.ark:/13960/t7hq4g15s,"McCarthy, Justin H.",A London legend,1895,m,,5.7620308093484445
mdp.39015079360940,"Derbyshire, Ron.",The dormant register / | $c: Ron Derbyshire.,2009,m,,5.6232019415971495
uiuo.ark:/13960/t13n2p45s,"McCarthy, Justin H.",A London legend,1895,m,,5.51593207256043
mdp.39015084107138,"Mills, Magnus.",The maintenance of headway / | $c: Magnus Mills.,2009,m,high_male,5.4276014545532805
inu.30000000222921,,A Visual history of costume.,1983,u,high_male,5.38907955555947
coo.31924003623588,"Crowder, Dorothy Elizabeth.",The flying nation. | $c: Illustrated by Helen Haywood.,1952,f,high_female,5.338055979317743
mdp.39015016605449,,A Visual history of costume.,1983,u,high_male,5.334367449608381
mdp.49015002057033,,A Visual history of costume.,1983,u,high_male,5.317100732059985
uc2.ark:/13960/t6xw4dn8n,"Ainsworth, William Harrison,",Beatrice Tyldesley,1878,m,,5.2794828203250495
uiuo.ark:/13960/t8w95vn3c,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,5.269498015893019
uc1.32106015901462,"Carey, Edward,",Alva & Irva / | $c: Edward Carey,2003,m,mixed,5.222147579573532
mdp.39015038922228,,A Visual history of costume.,1983,u,high_male,5.195710477610561
uc1.b4311947,"Berry, Bernard.",A lost Roman road: | a reconnaissance in the West Country.,1963,m,high_male,4.996789398667761
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,4.979820925378731
uc1.b3328718,"Matz, Bertram Waldron,","The inns & taverns of ""Pickwick""",1922,m,high_male,4.908579123937657
uiuo.ark:/13960/t52f87g8b,"Yorke, Curtis.",A romance of modern London,1892,f,,4.8791987140772335
mdp.39015063925815,"Rendall, Vernon Horace,",The London nights of Belsize,1917,m,high_male,4.84133407762469
uc2.ark:/13960/t8nc65r78,"Matz, B. W.","The inns & taverns of ""Pickwick""",1921,u,high_male,4.714542222393675
uc1.32106018430477,,A Visual history of costume.,1983,u,high_male,4.56752429098567
uiuo.ark:/13960/t1mg86494,"Warden, Florence,",Scheherazade,1887,f,mixed,4.530333496986459
nyp.33433075959621,"Robinson, F. W.","Memoirs of Jane Cameron, female convict",1864,m,high_female,4.517472234132171
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,4.427494659265763
uiuo.ark:/13960/t5j96p02r,"Yorke, Curtis.",A romance of modern London,1892,f,,4.4130317750178145
mdp.39015030854338,"Baring, Maurice,",Passing by,1921,m,high_female,4.345916379775362
mdp.39015019996431,"Pullinger, Kate.",When the monster dies / | $c: Kate Pullinger.,1989,f,high_female,4.336202026069804
uc2.ark:/13960/t06w97g82,"Ballantyne, R. M.",Fighting the flames,1876,m,,4.159319525262516
pst.000032008142,"Brook, Peter.",Peter Brook.,1994,m,high_male,4.155376147344914
inu.32000006712584,"Ganier-Raymond, Philippe.",The tangled web; | $c: translated from the French by Len Ortzen.,1968,m,high_male,4.151282780025894
mdp.39076000963459,"Hamilton, Ian Robertson,",No stone unturned; | the story of the Stone of Destiny. | $c: With a foreword by Sir Compton Mackenzie.,1952,m,high_male,4.144691872713151
mdp.39015033516314,"Abernethy, Cecil.",Mr. Pepys of Seething Lane.,1974,m,,4.0242321187598105
mdp.39015063552759,"Galt, John,","The Ayrshire legatees, or, The Pringle family",1821,m,,4.016728298158055
mdp.39015050697781,"Bracewell, Michael,",Perfect tense / | $c: Michael Bracewell.,2001,m,,3.9986110882618306
uc1.b3811083,"Bennett, Arnold,",The regent : | a five towns story of adventure in London.,1929,m,high_male,3.9771342255490167
uc1.$b812567,"Begbie, Harold,",The little that is good,1917,m,high_male,3.9663226321115324
uiuo.ark:/13960/t1ng5561x,"Yorke, Curtis.",A romance of modern London,1892,f,,3.943604897043387
uc1.$b313869,"Matters, Leonard.","The mystery of Jack the Ripper; | the world's greatest crime problem, | $c: by Leonard Matters; with 10 illustrations and 5 diagrams.",1929,m,,3.939238454158251
uc2.ark:/13960/t7sn0686c,"Gorrie, Daniel.","Geordie Purdie in London, or, The adventures of a Fifeshireman in the metropolis",1875,m,high_male,3.9365234694124496
mdp.39015017751713,"Taylor, Alistair.",Yesterday : | the Beatles remembered / | $c: Alistair Taylor with Martin Roberts.,1988,u,high_male,3.9165097893809135
mdp.39015084102576,"Russell, Craig,",Lennox / | $c: Craig Russell.,2009,m,,3.896579800736521
uc2.ark:/13960/t3125st0s,"Harris, Edwin.",William d'Albini,1901,u,high_male,3.8780555202632785
mdp.39015065549191,"Ross, Martin,",The silver fox,1898,f,,3.8450002317353666
mdp.39015051353905,"Bracewell, Michael,",The Crypto-Amnesia Club / | $c: Michael Bracewell.,1988,m,high_female,3.766021695192536
uc1.b4692439,"Vince, Charles,",Wayfarers in Arcady,1921,m,high_male,3.7641240806307037
mdp.39015073484324,"Henty, G. A.",A march on London,1898,m,high_male,3.716387698211084
uc1.b4948960,"Moore, Brian,",The temptation of Eileen Hughes / | $c: Brian Moore.,1981,m,high_female,3.7119333474881833
mdp.39015066080386,"Littlewood, Joan.",Joan's book : | Joan Littlewood's peculiar history as she tells it.,1994,f,,3.7100099647315345
inu.39000003654576,"Barber, Noel,",A handful of ashes; | a personal testament of the battle of Budapest.,1957,m,,3.6992708266177856
uiuo.ark:/13960/t0bv8241n,"Warden, Florence,",Scheherazade,1887,f,mixed,3.6887915054358356
wu.89073622094,"Budd, Jackson.",Around France in an 8 h p car.,1950,m,,3.675200259839967
uc1.b3548418,"Birrell, Francis,",A letter from a black sheep | $c: [by] Francis Birrell.,1932,m,,3.6617843457384835
inu.30000110447988,"Beauchamp, Michelle.",On the streets : | a journey through London with the young homeless / | $c: Michelle Beauchamp ; photographs by Glynn Griffiths.,1989,f,,3.605852285241702
dul1.ark:/13960/t1qf9cr59,"Ford, Douglas Morey.",A time of terror,1906,m,high_male,3.598810960665684
uiuo.ark:/13960/t1sf3bm7d,"Warden, Florence,",Scheherazade,1887,f,mixed,3.5768324654971337
mdp.39015056812483,"Keyes, John.",The importance of being Micheál / | $c: John Keyes.,2002,m,,3.565770193091799
njp.32101065853366,"Reid, Mayne,",No quarter!,1888,m,,3.500697882556997
mdp.39015082679484,"Ripley, Mike.",Angels unaware / | $c: Mike Ripley.,2008,m,high_female,3.500278444274154
wu.89013740311,"Sims, George R.,",Behind the veil,1913,m,,3.4550966297123558
mdp.39015030747276,"Henrey, Robert, Mrs.,",An exile in Soho.,1952,f,high_female,3.454507035610564
mdp.39015032438247,"Penn, Margaret.",The foolish virgin / | $c: by Margaret Penn.,1980,f,high_female,3.4121396541190783
uc1.32106008123272,"Spicer, Jack.",Lament for the maker / | $c: Jack Spicer.,1971,m,,3.402046975620756
inu.39000002570237,"Newman, G. F. (Gordon F.)",The Guvnor / | $c: G. F. Newman.,1977,m,high_male,3.359020399373216
uc1.b3872923,"Harben, Henry Devenish,","Love letters to a dead woman, | $c: by H. D. Harben.",1923,m,mixed,3.3332126603566063
njp.32101075688976,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,3.315827487821452
mdp.39015027339442,"Garby-Czerniawski, Roman.",The big network.,1961,m,,3.3002897175619186
uc2.ark:/13960/t88g8mj8t,"Bennett, Arnold,",The regent;,1913,m,high_male,3.2994295644226246
uc1.32106018079886,"Sinclair, Iain,","Dining on stones, or, The middle ground / | $c: Iain Sinclair",2005,m,,3.263360795540466
nyp.33433075752430,,Almack's;,1827,u,high_female,3.2389613202581082
uc1.32106017248482,,Further up in the air / | $c: Will Self ... [et al.],2003,u,high_male,3.2218343521211725
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,high_male,3.22112305400843
uiuo.ark:/13960/t8ff4947x,"McCarthy, Justin H.",A London legend,1895,m,,3.2008778821509156
inu.30000107499703,,London noir : | capital crime fiction / | $c: edited by Cathi Unsworth.,2006,u,,3.1961774739782967
njp.32101068179116,"Harris, Edwin.",Richard Watts,1903,u,,3.1905428281044914
mdp.39015029187476,"Bracewell, Michael,",The conclave / | $c: Michael Bracewell.,1992,m,mixed,3.161872372563062
uc1.b3553822,"Corry, John,",The history of Henry Thomson,1803,m,high_male,3.141003889582999
mdp.39015013731008,"Craufurd, Russell.",The ramblings of an old mummer,1909,m,high_male,3.1172259110673113
mdp.39015059392152,"Davidson, John,",Baptist Lake,1894,m,,3.1001553762136145
mdp.39015055183043,,Glasgow kiss : | a collection of the best short stories from Glasgow's writing groups.,2001,u,,3.093157883467228
mdp.39015012414341,"Poliakoff, Stephen,","Runners ; &, Soft targets / | $c: Stephen Poliakoff.",1984,m,,3.0810594854261932
uc1.32106017112365,"James, Richard",Red / | $c: Richard James,2002,m,high_male,3.0699054785622746
mdp.39015034864994,"Norquay, Glenda,",Voices and votes : | a literary anthology of writings of the women's suffrage campaign / | $c: Glenda Norquay.,1995,f,high_female,3.067745977401096
inu.39000001687552,"Manifold, J. S. (John Streeter),",The death of Ned Kelly : | and other ballads / | $c: by John Manifold.,1941,m,high_male,3.0673859087834203
inu.32000002424788,"Lowther, Anthony William George.","The Roman theatre at Verulamium (St. Albans), | a reconstruction, | $c: by Anthony W. G. Lowther.",1935,m,high_male,3.055166033309873
uc1.b3929709,"Sansom, William,","South : | aspects and images from Corsica, Italy and southern France.",1948,m,high_male,3.0505085227699933
mdp.39015063642733,"Sansom, William,","South : | aspects and images from Corsica, Italy and southern France.",1948,m,high_male,3.0425176724575644
inu.32000005557592,"Burke, Thomas,","Dark nights, | $c: by Thomas Burke.",1944,m,high_male,3.0340031013909474
uc1.$b372446,"Jefferies, Richard,","After London, or, Wild England",1886,m,mixed,3.0287857214933833
mdp.39015059392269,"Davidson, John,",A random itinerary,1894,m,high_male,3.02517498967773
uc1.b4961679,"Kemp, Will,","Kemps nine daies wonder : | performed in a daunce from London to Norwich : containing the pleasure, paines and kinde entertainment of William Kemp between London and that Citty in his late Morrice : wherein is somewhat set downe worth note; to reproove the slaunders spred of him; many things merry, nothing hurtfull / | $c: map and drawings by Robert Yaxley.",1985,m,high_male,2.9961553016677445
umn.319510020680239,"Rowdon, Maurice.",Perimeter West.,1956,m,,2.9875879616600827
mdp.39015000604796,"Gissing, George,",Eve's ransom.,1929,m,mixed,2.9798638627557046
uc1.$b783870,"Greenwall, Harry J. (Harry James),",Such is life / | $c: Harry J. Greenwall.,1948,m,mixed,2.973862092827469
mdp.39015009367114,"Anderson, Sherwood,",Windy McPherson's son | $c: [by] Sherwood Anderson.,1923,m,high_male,2.950010848773013
uc1.b4948680,"Allbeury, Ted.",The girl from Addis / | $c: Ted Allbeury.,1984,m,high_male,2.946099605029677
uc1.$b244924,"Spring, Howard,",Rachel Rosing : | a novel / | $c: by Howard Spring.,1935,m,,2.9440619870249405
uc2.ark:/13960/t5w66b96n,,Red Riding Hood,1871,m,high_male,2.9433483245498366
uc2.ark:/13960/t47p8wg3g,"Abbott, J. H. M.",Letters from Queer Street ;,1908,u,,2.9420273480122954
mdp.39015064690533,"Self, Will.",The book of Dave : | a revelation of the recent past and the distant future / | $c: Will Self.,2006,m,high_male,2.9413381377619885
uc1.$b302067,"Morton, H. V. (Henry Vollam),","I, James Blunt, | $c: by H.V. Morton.",1942,m,,2.9340556689996444
mdp.39015038101666,"Naher, Gaby,",The underwharf / | $c: Gaby Naher.,1996,u,,2.924629285786904
mdp.39015030855608,"Bates, H. E. (Herbert Ernest),",Sally go round the moon.,1932,m,,2.9169982300567283
mdp.49015001034512,"(Gilbert Keith), Chesterton, G. K.","The sword of wood, | a story | $c: by G.K. Chesterton.",1928,u,high_male,2.9134293463486483
wu.89100103373,"La Barre, Georges.",Captive of the kaiser in Belgium (with the fall of Namur),1914,u,high_male,2.910377599583279
uc1.b4101372,"Willis, Nathaniel Parker,",Loiterings of travel,1840,m,mixed,2.9100587165261453
mdp.39015000550809,"Houghton, Claude,","Three fantastic tales, | $c: by Claude Houghton [pseud.] With a frontispiece by John Farleigh, and a preface by Clemence Dane.",1934,m,high_male,2.902573528040775
mdp.39015063276797,,Underwords : | the hidden city / | $c: edited by Maggie Hamand.,2005,u,mixed,2.8864314019894657
uiuo.ark:/13960/t9x06bv3q,"Ainsworth, William Harrison,",The Spanish match,1865,m,high_male,2.8833754625122
mdp.39015064872859,"Ballard, J. G.,",Kingdom come / | $c: J.G. Ballard.,2006,m,mixed,2.880054273921368
uc1.b4362247,"Anderman, Janusz,",The edge of the world / | $c: by Janusz Anderman ; preface by Jerzy Pilch ; translated by Nina Taylor.,1988,u,high_male,2.879149358091639
uc1.32106008858273,"Pritchett, V. S. (Victor Sawdon),",A careless widow : | & other stories / | $c: by V.S. Pritchett.,1989,m,,2.867054527897464
uc2.ark:/13960/t1mg7jr51,"Morley, Charles Robert,",Travels in London,1916,m,high_male,2.861181731455859
uc1.$b243821,"Kruger, Rayne.","Young villain with wings, | a novel.",1953,u,high_male,2.8498178207942564
mdp.39015037443770,"Bracewell, Michael,",Saint Rachel / | $c: Michael Bracewell,1995,m,mixed,2.843784714848712
mdp.39015073480447,"Henty, G. A.",When London burned,1895,m,high_male,2.8292316655613003
uiuo.ark:/13960/t0ft9464s,"Mexborough, Elizabeth (Stephenson),",Drifted together,1879,f,high_female,2.811449966107479
mdp.39015060667410,"Gavron, Jeremy,",An acre of barren ground / | $c: Jeremy Gavron / with artwork by Temple Clark.,2005,m,,2.806433609624811
mdp.39015001159428,"Burrowes, John.",Frontline report : | a journalist's notebook / | $c: John Burrowes.,1984,m,high_male,2.803954216320392
mdp.39015038922673,"Williams, Allan.",The man who gave the Beatles away / | $c: Allan Williams and William Marshall.,1975,m,high_male,2.788338965157557
uc1.$b120264,"Bradley, Marjorie D.",The long walkabout | $c: [by] Marjorie D. Bradley.,1968,f,,2.7845629285105407
mdp.39015005201168,"Calvino, Italo.","Marcovaldo, or, The seasons in the city / | $c: Italo Calvino ; translated from the Italian by William Weaver.",1983,m,,2.783617521969913
nyp.33433074936968,"Barrie, J. M.",Better dead,1888,m,high_male,2.774575556959333
uc2.ark:/13960/t3610z158,"Courlander, Alphonse,",Mightier than the sword,1912,m,,2.7668163794491694
mdp.39015053238880,,London tales / | $c: edited by Julian Evans.,1983,u,high_female,2.757350633807862
mdp.39015067689664,"Guo, Xiaolu,",A concise Chinese-English dictionary for lovers / | $c: Xiaolu Guo.,2007,u,,2.7555159035532384
uva.x030825961,"Hardy, Robina F.",The story of a coral necklace,1893,f,high_female,2.7317966520930983
mdp.39015031332862,"Beresford, J. D.",Goslings,1913,m,high_female,2.7148027446582157
mdp.39015019489411,"Mills, Joseph,",Towards the end.,1989,m,high_male,2.710014375512525
inu.39000001367619,"Okpi, Kalu,",Coup! / | $c: Kalu Okpi.,1982,u,high_male,2.7038571444584787
mdp.39015019622474,"Renwick, Alistair.",Last night another soldier- / | $c: Aly Renwick.,1989,u,high_male,2.688782084646344
mdp.39015034655129,"Rothnie, Niall.",Unknown Bath : | secrets and scandals from the past / | $c: Niall Rothnie ; cartoons by Fraser May.,1986,u,,2.687931735487237
mdp.39015031222725,"Calthrop, Dion Clayton,",The sentimental cynic.,1933,m,,2.683764705731506
uc2.ark:/13960/t5z60fh7d,"Wedmore, Frederick,",English episodes,1894,m,,2.6797896025233885
mdp.39015014278033,"Moorcock, Michael,",Mother London : | anovel / | $c: Michael Moorcock.,1988,m,,2.6766094086227175
uc1.b4253908,"Tilden, William A.","Sir William Ramsay, K. C. B., F. R. S;",1918,m,high_male,2.672465105689635
mdp.39015028457037,"Palliser, Charles.",The sensationist / | $c: Charles Palliser.,1991,m,,2.671667422342874
uiuo.ark:/13960/t0qr5b57j,"Leys, John K.",The Lindsays,1888,m,,2.670923326961934
uc1.32106007017350,"Hough, Richard Alexander,",Buller's victory / | $c: Richard Hough.,1984,m,high_male,2.664224244891844
mdp.39015019780264,"Clarke, Pauline,",The white elephant. | $c: Illustrated by Richard Kennedy.,1952,f,high_female,2.6526770427267174
mdp.39015049677266,"Lane, Joel,",From blue to black / | $c: Joel Lane.,2000,m,high_male,2.6454375018819762
mdp.39015002758822,"Salkey, Andrew.",The adventures of Catullus Kelly.,1969,m,,2.6416015196659752
mdp.39015032226394,"Gee, Sue.",Letters from Prague / | $c: Sue Gee.,1994,f,high_female,2.638974879253909
inu.30000120843341,"Sisson, Rosemary Anne.",The Stratford story / | $c: Rosemary Anne Sisson.,1975,f,,2.630250792766451
mdp.39015042816945,,Does the sun rise over Dagenham? : | and other stories : new writing from London : [with stories / | $c: by Nicola Barker ... et al.] ; foreword by Mark Lawson,1998,u,high_female,2.623538589128516
mdp.39015050979924,"Waten, Judah L.",Scenes of revolutionary life / | $c: Judah Waten.,1982,m,mixed,2.6186541923555686
wu.89097347694,"Shute, Nerina,","We mixed our drinks; | the story of a generation, | $c: by Nerina Shute.",1945,u,high_female,2.6121167227064617
mdp.39015037403378,"Bryher,",West.,1925,u,high_female,2.6103879307591664
mdp.39015021991388,"Lively, Penelope,",City of the mind / | $c: Penelope Lively.,1991,f,mixed,2.6022001898113185
mdp.39015025221246,"Crace, Jim.",Arcadia / | $c: Jim Crace.,1992,m,,2.5727098588535813
mdp.39015059978638,"Ballard, J. G.,",Millennium people / | $c: J.G. Ballard.,2003,m,,2.5722483301140935
mdp.39015055048741,"Leitch, David.",Family secrets / | $c: David Leitch.,1984,m,,2.570820185254037
mdp.49015000534751,"James, Henry,",A London life,1889,m,high_female,2.567938657178469
mdp.39015005315372,"Wilson, A. N.,",Who was Oswald Fish? / | $c: A.N. Wilson.,1981,m,high_female,2.562469155759244
uc1.b3322521,"Gladstone, Alfred.",The man of the hour,1863,m,,2.5573750056836255
uc1.32106009000859,"Okri, Ben.",Stars of the new curfew / | $c: Ben Okri.,1988,m,,2.548420873127649
wu.89044543270,"Rimmer, Dave.",Once upon a time in the East / | $c: Dave Rimmer.,1992,m,high_male,2.5454873967379275
mdp.39015002699091,"Williams, Gordon M.,","Walk, don't walk / | $c: Gordon Williams.",1972,m,high_male,2.5430788408038794
mdp.39015059975998,"Ackroyd, Peter,",The Clerkenwell tales / | $c: by Peter Ackroyd.,2003,m,mixed,2.5399265788400704
mdp.39015001068413,"Walker, David Esdaile,",Operation Amsterdam.,1980,m,,2.537351192449018
uc1.$b149289,"Priestley, J. B. (John Boynton),",The world of J. B. Priestley; | $c: chosen and introduced by Donald G. MacRae.,1967,m,,2.53379113983745
mdp.39015062281574,"Baring, Maurice,",A triangle : | passages from three notebooks / | $c: by Maurice Baring.,1923,m,,2.5313002036556687
uc2.ark:/13960/t9862hm6r,"Sinclair, Catherine,","London homes, including The murder hole; The drowning dragoon; The priest and the curate; Lady Mary Pierrepoint; and Frank Vansittart",1853,f,mixed,2.5288188551493263
mdp.39015033319909,"Wilson, Paul.",The fall from grace of Harry Angel / | $c: Paul Wilson.,1994,m,high_male,2.5261793125950547
uc1.b3321893,"Black, William,",Magic ink and other tales,1892,m,mixed,2.521938143932578
mdp.39015010553710,"Green, Henry,",Living; | a novel.,1948,m,,2.514294218219262
mdp.39015064136289,"Baron, Dunsany, Edward John Moreton Drax Plunkett,","The story of Mona Sheehy, | $c: by Lord Dunsany.",1939,m,high_female,2.5096368321684857
uc1.$b119623,"Naipaul, V. S. (Vidiadhar Surajprasad),",The mimic man.,1967,m,mixed,2.50838103549822
uc2.ark:/13960/t2w37nf56,"Lucas, E. V.",A little of everything,1912,m,mixed,2.5050553022566158
uiuo.ark:/13960/t13n2fw29,"Collins, Mortimer,",Marquis and merchant,1871,m,mixed,2.5012687537652463
mdp.39015064983151,"Smith, Donald,",The English spy / | $c: Donald Smith.,2007,m,high_female,2.498933688224799
mdp.39015016424627,"Henrey, Robert, Mrs.,",Madeleine grown up.,1953,f,mixed,2.4967721058783963
nyp.33433074892526,"Mathew, Frank James,",A child in the temple,1897,m,mixed,2.4918425980213317
dul1.ark:/13960/t3cz3xx41,"Flecker, James Elroy,",The last generation,1908,m,high_male,2.485400084261028
uc1.b3898302,"Beechey, Winifred.",The rich Mrs. Robinson / | $c: by Winifred Beechey : illustrated by Mary P. Taylor.,1984,f,high_female,2.480231940755613
mdp.39015050923211,"Tennant, Emma.",The time of the crack. -,1973,f,,2.479974203927245
njp.32101065101592,"Gilkes, A. H.",A dialogue,1904,u,high_male,2.4798477073327483
mdp.39015029213868,"Modiano, Patrick,",Honeymoon / | $c: Patrick Modiano ; translated from the French by Barbara Wright.,1992,m,high_female,2.471027887892227
mdp.39015054181956,"Williamson, Graeme.",Strange faith / | $c: Graeme Williamson.,2001,m,,2.47094068917389
mdp.39015024871959,"Alexander, Louis Charles,",The autobiography of Shakespeare;,1911,m,,2.46560400615241
mdp.39015016415252,"Henrey, Robert, Mrs.,",Paloma.,1957,f,high_female,2.4622297725705478
mdp.39015055183647,"Riley, Gwendoline,",Cold water / | $c: Gwendoline Riley.,2002,f,,2.4597105561287496
mdp.39015059449325,"Dilnot, Frank,",The adventures of a newspaper man,1913,m,,2.457556924031313
uiuo.ark:/13960/t3805gj3d,"Gore,",The diary of a désennuyée,1836,f,,2.449711451793232
mdp.39015048892155,"Levi, Peter.",To the goat / | $c: Peter Levi ; with illustrations by André Yaniw.,1988,m,,2.447897824121075
mdp.39015059287584,"Momjian, Serge.",The singer of the opera / | $c: Serge Momjian.,2004,m,high_female,2.4358858177325438
njp.32101073695114,"Kennedy, Bart,",The German danger,1914,m,high_male,2.435386700350594
uc1.b3872914,"Earl of, Halsbury, Hardinge Goulburn Giffard,",Nineteen forty-four / | $c: by the Earl of Halsbury.,1926,u,mixed,2.4305560268202315
mdp.39015014551033,"Selvon, Samuel.",Ways of sunlight.,1957,m,high_male,2.4292356975043403
uc1.b4098088,"Anderson, Sherwood,",Alice | and The lost novel / | $c: by Sherwood Anderson.,1929,m,high_female,2.4246339022785257
mdp.39015022004801,"Buchan, James.",Slide / | $c: James Buchan.,1991,m,high_female,2.4244603832518354
njp.32101068144953,"Alexander, Louis C.",The autobiography of Shakespeare,1911,m,high_male,2.416914124514456
uc2.ark:/13960/t89g5js2d,"Mack, Louise,",A woman's experiences in the great war,1915,f,,2.4149587711171443
uc1.32106016184910,"Morin, Carole",Penniless in Park Lane / | $c: Carole Morin,2001,f,high_female,2.392116292359279
njp.32101068581584,"Collins, Wilkie,",The woman in white,1860,m,high_female,2.3901185223873704
dul1.ark:/13960/t7mp5q31m,"Dickberry, F.",The storm of London,1904,m,mixed,2.38827440682957
uc1.$b244994,"Mackenzie, Compton, Sir,","Figure of eight, | $c: by Compton Mackenzie.",1936,m,high_female,2.3843930465471583
mdp.39015034434293,"Ackroyd, Peter,",Dan Leno and the Limehouse Golem / | $c: Peter Ackroyd.,1994,m,mixed,2.384146883196686
mdp.39015011346924,"Kubly, Herbert.",Easter in Sicily.,1956,m,mixed,2.38211599584723
mdp.39015062063501,"Haddon, Mark.",The curious incident of the dog in the night-time / | $c: Mark Haddon.,2003,m,high_female,2.3812428805307633
nyp.33433074859913,"Gull, Cyril Arthur Edward Ranger,",The hypocrite,1898,m,,2.3798048911430425
uc1.b4101374,"Willis, Nathaniel Parker,",Loiterings of travel,1840,m,mixed,2.3725880016634675
inu.30000042041305,"Spence, Alan,",Its colours they are fine / | $c: Alan Spence.,1992,m,,2.371216895735862
uc1.b4091143,"Hopkins, Kenneth.",The girl who died / | $c: Kenneth Hopkins.,1955,m,mixed,2.368695871533023
mdp.39015020711639,"Schulz, Bruno,","Cinnamon shops, and other stories. | $c: Translated from the Polish by Celina Wieniewska.",1963,m,,2.3640809222731214
inu.39000003288250,"Ekwensi, Cyprian.",Samankwe and the highway robbers / | $c: Cyprian Ekwensi.,1975,m,high_male,2.362570100762011
mdp.39015051293119,"Sinclair, Iain.","Landor's tower, or The imaginary conversations / | $c: Iain Sinclair.",2001,m,high_male,2.360819125135508
mdp.39015077129032,"Fache, Abdulaziz Anako.",The preordained / | $c: Abdulaziz Anako Fache.,2008,u,,2.3534265633914986
uc2.ark:/13960/t80k28t34,"Vachell, Horace Annesley,",The fourth dimension,1920,m,high_female,2.3518763463481847
inu.30000003963828,"Priest, Christopher,",The glamour / | $c: Christopher Priest.,1985,m,,2.3511318644588544
uc1.b3810859,"Burke, Thomas,","The wind and the rain; | a book of confessions, | $c: by Thomas Burke",1924,m,,2.3471206064249746
inu.32000001014457,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,2.33687395699423
uc2.ark:/13960/t8mc8tj6d,"Horn, Holloway.",Half-caste,1920,u,mixed,2.335027879457209
uc2.ark:/13960/t8cf9mk7r,"Wingate, Ashmore Kyle Patterson,",That mighty city: a study in contemporary manners,1911,u,,2.333844361303309
mdp.39015048915105,"Ackroyd, Peter,",The Plato papers : | a novel / | $c: Peter Ackroyd,1999,m,high_male,2.32601245527741
uc1.b4104688,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,2.3228362708666372
uc2.ark:/13960/t3zs2pc5m,"Alexander, Alexander,",A wayfarer's log,1919,m,,2.321240600146051
uc1.32106007059766,"Deighton, Len,",Mexico set / | $c: Len Deighton.,1984,m,,2.306968368638043
uc1.b4948381,"Lom, Herbert.",Enter a spy : | the double life of Christopher Marlowe / | $c: by Herbert Lom.,1978,m,high_male,2.3061993655015334
uiuo.ark:/13960/t95721n6t,"Reid, Mayne,","Lost Lenore, or, The adventures of a rolling stone",1864,m,mixed,2.3056761232480336
uc1.$b301217,"McArthur, Alexander, of Glasgow.",No mean city : | a story of the Glasgow slums / | $c: by Alexander McArthur (of Glasgow) and H. Kingsley Long.,1935,m,,2.2982723485724295
nyp.33433067352884,"Watson, E. H. Lacon",A conversational tour in America,1914,u,,2.297846735859976
uc1.32106001932869,"Darton, F. J. Harvey (Frederick Joseph Harvey),","Vincent Crummles, | his theatre and his times, | $c: arranged by F. J. Harvey Darton ... With an historical introductory note and appendices from Nicholas Nickleby by Charles Dickens.",1926,m,,2.2932330477377474
mdp.39015015527248,"Ashford, Kent.",The Singalong tribe / | $c: Kent Ashford.,1986,m,,2.284748214616377
uc1.32106005747230,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,2.2763053220662903
inu.32000005765484,"Ireland, Annie Elizabeth Nicholson,",Life of Jane Welsh Carlyle,1891,f,high_female,2.2758819042013307
wu.89087886859,"Fadeev, Aleksandr,","Leningrad in the days of the blockade, | $c: by A. Fadeyev. Translated from the Russian by R. D. Charques.",1946,u,,2.274903410205745
mdp.39015011542118,"Keery, Sam,",The streets of Laredo.,1986,m,high_male,2.2741779887430837
uc1.32106018134871,"Hunt, Chris",Duval's gold / | $c: Chris Hunt,1997,m,high_male,2.273601697722043
mdp.39015000619869,"Greenwood, Walter,",There was a time.,1967,m,mixed,2.2736010990615076
