htid,author,title,year,authgender,period,diff
inu.30000118997760,"Bates, H. E. (Herbert Ernest),","The spring song ; and, In view of the fact that : | two stories / | $c: by H.E. Bates.",1927,m,1901-1950,-0.6976069369715157
uc1.$b244161,"Powys, Theodore Francis,","The only penitent, | $c: by T. F. Powys.",1931,m,1901-1950,-0.6976069369715157
mdp.39015002711391,"Powys, Theodore Francis,",Uriah on the hill / | $c: by T.F. Powys.,1930,m,1901-1950,-0.6976069369715157
mdp.39015063583309,"Southerns, Leonard.",An outline of relativity ...,1923,m,1901-1950,-0.6976069369715157
uc1.b3347023,"Powys, Theodore Francis,",The dewpond : | a story / | $c: by T. F. Powys.,1928,m,1901-1950,-0.6976069369715157
uc1.$b87224,"Davies, Rhys,",Arfon.,1931,m,1901-1950,-0.6976069369715157
uc1.b3579008,"Borrow, George,",The story of Tim;,1913,m,1901-1950,-0.6976069369715157
uc1.b3548995,"Topolski, Feliks,",Portrait of G.B.S. / | $c: with an introduction by Hesketh Pearson.,1946,u,1901-1950,-0.6976069369715157
mdp.39015002741448,"(Sydney Castle), Roberts, S. C.",Zuleika in Cambridge / | $c: by S. C. Roberts.,1941,u,1901-1950,-0.6449753580241471
uc1.$b63960,"Whitfield, Christopher.","Together and Alone, | two short novels | $c: by Christopher Whitfield, with engravings by John O'Conner.",1945,m,1901-1950,-0.6330908079392575
uc1.$b271443,"Wood, Frederick F.",Sport and nature in Sussex Downs.,1928,m,1901-1950,-0.6066978460624247
njp.32101065101592,"Gilkes, A. H.",A dialogue,1904,u,1901-1950,-0.6017165260126118
uc1.$b298774,"Poole, R. Heber.","The Davenham heritage, | $c: by R. Heber Poole.",1928,m,1901-1950,-0.5951972984172988
uc1.32106019365623,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,1901-1950,-0.592955774180818
mdp.39015063953122,"Von Arnim, Elizabeth,","Introduction to Sally, | $c: by the author of ""Elizabeth and her German garden"".",1926,f,1901-1950,-0.5926069369715156
mdp.39015027321770,"Simpson, William Douglas,","Noltland Castle, Westray, Orkney.",1950,m,1901-1950,-0.5923437790767789
wu.89015217631,"Lubbock, Percy,",Earlham | $c: [by] Percy Lubbock.,1924,m,1901-1950,-0.5905732978277849
mdp.39015005709558,"Thomas, Helen.","World without end, | $c: by Helen Thomas.",1931,f,1901-1950,-0.5904640798286585
mdp.39015063942398,"Lustgarten, Edgar,",A case to answer.,1947,m,1901-1950,-0.5883632394925241
inu.39000005786780,"Sturt, George,",The Bettesworth book;,1901,m,1901-1950,-0.5878508394105398
uc1.$b105486,"Sinclair, May.",Fame | $c: by May Sinclair being number thirteen of the Woburn Books.,1929,f,1901-1950,-0.5864958258604045
uc1.b3039420,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,1901-1950,-0.5785593179238967
mdp.39015031228722,"Davies, W. H.",A weak woman,1911,m,1901-1950,-0.575985315349894
uc2.ark:/13960/t9b56vg7c,"Raven-Hill, L.",Our battalion,1902,u,1901-1950,-0.5726069369715157
njp.32101068599958,"Roberts, S. C.",Doctor Johnson in Cambridge,1922,u,1901-1950,-0.5671721543628201
uc1.$b323482,"Bullett, Gerald William,",Judgment in suspense / | $c: Gerald Bullett.,1946,m,1901-1950,-0.5655314652734029
wu.89005272349,"Mais, S. P. B.",Lovers of silver,1918,u,1901-1950,-0.5551338186919457
uc2.ark:/13960/t12n5226r,"Buchanan, Robert Williams,",Andromeda; an idyll of the great river,1901,m,1901-1950,-0.5544942357192797
uc1.b3039413,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,1901-1950,-0.5529788377979619
uc2.ark:/13960/t79s1nw7q,"Rees, Arthur J.",The moon rock,1922,m,1901-1950,-0.5495549889195677
uc2.ark:/13960/t7vm44p0t,"Horniman, Roy,",Jenny,1913,m,1901-1950,-0.5494587888233678
mdp.39015031228524,"Davies, W. H.",A poet's pilgrimage,1918,m,1901-1950,-0.5403488724553865
uc1.$b312658,"Thurston, E. Temple (Ernest Temple),","Sally Bishop, | a romance.",1931,m,1901-1950,-0.5394674020877946
mdp.39015063953114,"Von Arnim, Elizabeth,","Love, | $c: by the author of ""Elizabeth and her German garden.""",1925,f,1901-1950,-0.5388086537097132
uc1.b3073039,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,1901-1950,-0.5321934031369291
uc1.32106018382181,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,1901-1950,-0.5316150341375072
inu.30000108972955,"Williams, Alfred Rowberry,","Legends of the Severn Valley, | $c: collected and arranged by Alfred Rowberry Williams.",1925,m,1901-1950,-0.530940270304849
uc1.b2808912,"Gwynn, Gordon.",Did Adelaide Bartlett---? : | a medical opinion / | $c: by Gordon Gwynn.,1950,m,1901-1950,-0.530940270304849
nyp.33433074959762,"De Sélincourt, Hugh,",A boy's marriage,1907,m,1901-1950,-0.530940270304849
mdp.39015088641736,"Djurklou, Nils Gabriel,",Fairy tales from the Swedish,1901,u,1901-1950,-0.5309402703048489
umn.31951000442949l,"Stevens, Frank,",Adventures in hiveland,1903,m,1901-1950,-0.5309402703048489
uc1.32106019365649,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,1901-1950,-0.5309402703048489
mdp.39015000605769,"Gissing, George,",George Gissing. | [Short stories],1929,m,1901-1950,-0.5263362187394716
uc2.ark:/13960/t9k35vq9k,"Newbigging, Thomas.",Lancashire humour,1901,m,1901-1950,-0.5258277958672213
uc1.$b313869,"Matters, Leonard.","The mystery of Jack the Ripper; | the world's greatest crime problem, | $c: by Leonard Matters; with 10 illustrations and 5 diagrams.",1929,m,1901-1950,-0.523966769607499
uva.x000826097,"Benson, Robert Hugh,",Light invisible,1906,m,1901-1950,-0.5211363487362215
uc1.b3272172,"Kearton, Richard,","The adventures of Cock Robin and his mate, | $c: by R. Kearton...With upwards of 120 illustrations from photographs taken direct from nature by Cherry and Richard Kearton.",1923,u,1901-1950,-0.5211363487362215
inu.30000108972872,"Penny, Georgina.",Witchery of the west; | some legends of Cornwall. | $c: With 11 line drawings by Hilda M. Quick.,1950,f,1901-1950,-0.5157887551533339
mdp.39015030709805,"(Percy Howard), Newby, P. H.",The snow pasture / | $c: by P.H. Newby.,1949,u,1901-1950,-0.5124217517863305
uc2.ark:/13960/t17m05d78,"MacGill, Margaret Gibbons.",Shifting sands,1922,f,1901-1950,-0.511952928532697
mdp.39015012067206,"Hilton, James,","Murder at school, | a detective fantasia, | $c: by James Hilton.",1935,m,1901-1950,-0.511166259005414
mdp.39015030752052,"Linklater, Eric,",A spell for old bones.,1949,m,1901-1950,-0.510441161570446
uc2.ark:/13960/t6m048z3v,"Middleton, Thomas.",Legends of Longdendale;,1906,m,1901-1950,-0.5094046897805045
wu.89092536671,"Beresford, J. D. (John Davys),",The Hampdenshire wonder. | $c: [With an introduction by Walter de la Mare],1948,m,1901-1950,-0.5085522106033565
uc1.32106005850737,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,1901-1950,-0.5081796241961855
mdp.39015030853009,"Burke, Thomas,",The flower of life.,1929,m,1901-1950,-0.5077335192499967
uc1.$b244924,"Spring, Howard,",Rachel Rosing : | a novel / | $c: by Howard Spring.,1935,m,1901-1950,-0.5076628028933032
mdp.39015050960239,"Lowndes, Marie Belloc,",The lodger | $c: [by] Mrs. Belloc Lowndes.,1932,f,1901-1950,-0.5074660919010929
nyp.33433074928791,"Howard, Keble,",Miss Charity,1908,m,1901-1950,-0.5048358526341663
njp.32101068971033,"Kaye-Smith, Sheila,",Isle of Thorns,1913,f,1901-1950,-0.5042736036381823
inu.39000001728729,"Marsh, Ngaio,",Enter a murder / | $c: by Ngaio Marsh.,1935,f,1901-1950,-0.5040585498747414
uc1.$b298745,"Phillpotts, Eden,",Lying prophets / | $c: by Eden Phillpotts.,1926,m,1901-1950,-0.5028700948662526
uc1.b3039419,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,1901-1950,-0.5026916827342276
uc2.ark:/13960/t7tm78v5z,"Benson, Arthur Christopher,",Watersprings,1913,m,1901-1950,-0.5026916827342276
uc1.$b807355,"Crawshay-Williams, Eliot,",The wolf from the west.,1947,u,1901-1950,-0.5013163651013456
mdp.39015000610488,"Woolf, Virginia,",Night and day,1919,f,1901-1950,-0.49993251836686436
mdp.39015000610462,"Woolf, Virginia,",Night and day.,1950,f,1901-1950,-0.49834494435158955
njp.32101064793308,"Rees, Alfred W.",Ianto the fisherman and other sketches of country life,1904,u,1901-1950,-0.49760693697151565
uc1.32106019365615,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,1901-1950,-0.49677011688783357
wu.89099772360,"Charlesworth, Maria Louisa,",Ministering children,1903,f,1901-1950,-0.49421710646304107
uc1.$b236156,"Davies, Rhys,","A pig in a poke, | stories, | $c: by Rhys Davies.",1931,m,1901-1950,-0.4940671139626661
umn.31951002077965s,"Dee, Catherine.",No complaints in Hell : | a novel.,1949,f,1901-1950,-0.49247873184331065
uc1.$b244444,"Brand, Christianna,",Cat & mouse | $c: [by] Christianna Brand [pseud.],1950,f,1901-1950,-0.4924787318433106
mdp.39015063512498,"Cooke, W. Bourne.",Madam Domino,1907,u,1901-1950,-0.4924787318433106
uc1.$b287366,"Pain, Barry,",Barry Pain [Selected pieces],1934,u,1901-1950,-0.49071038524737787
wu.89005272331,"Mais, S. P. B.",Quest sinister,1922,u,1901-1950,-0.4895144514223829
uc1.32106019365631,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,1901-1950,-0.4883046113901205
mdp.39015054151363,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,1901-1950,-0.48819517226563325
mdp.39015063933876,"Letts, E. F.","Nicholas Mosley, loyalist;",1903,u,1901-1950,-0.48752290335807025
uc1.32106019365599,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,1901-1950,-0.48386647895624846
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,1901-1950,-0.48346972283430156
mdp.39015059417850,"Strong, L. A. G. (Leonard Alfred George),",Dewer rides. | $c: By L. A. G. Strong.,1929,m,1901-1950,-0.48332122268580147
uc1.$b250722,"Garnett, Martha Roscoe,",Unrecorded : | a tale of the days of chivalry / | $c: by Mrs. R. S. Garnett.,1931,u,1901-1950,-0.48260693697151574
mdp.39015030709318,"Moorman, Frederic William,",Tales of the Ridings,1920,m,1901-1950,-0.48139072075529926
uc2.ark:/13960/t83j3g41n,"Hicks, William Robert,",Tales and sayings,1903,m,1901-1950,-0.48021563262368966
umn.31951002074823r,"Creighton, Basil.","The leaden cupid, or, The egoist revisited.",1950,m,1901-1950,-0.48021563262368955
uc1.$b300163,"Douglas, Ronald MacDonald.",The sword of freedom; | a romance of Lord James of Douglas and Scotland's war of independence | $c: [by] Ronald MacDonald Douglas.,1936,m,1901-1950,-0.47892328516684496
mdp.39015005155398,"Powell, Anthony,",From a view to a death.,1948,m,1901-1950,-0.47855931792389655
