htid,author,title,year,authgender,female_category,gb_subcity_intensity
njp.32101067630457,"Bristow, Amelia,",Emma de Lissau,1830,f,high_female,1.966955153422502
uiuo.ark:/13960/t5db8d137,"Du Bois, Edward,",Old Nick;,1801,m,,1.966297658139489
uc1.b3444529,,"Writings beyond the wall : | literature from the German Democratic Republic / | $c: edited by Edward Mackinnon, Gina Kalla, and John Green.",1980,u,,1.9635178385595633
uiuo.ark:/13960/t10p1rt7k,"Davenport, Selina.",An angel's form and a devil's heart,1818,f,mixed,1.961553550411926
uiuo.ark:/13960/t9q24jg3b,"Russell, William Clark,",The death ship,1888,m,,1.9611303955600008
mdp.39015058691315,,Tales from  Blackwood.,1858,u,mixed,1.9606689802560633
njp.32101076207701,,Tales from  Blackwood,1858,u,mixed,1.9588254882372529
uiuo.ark:/13960/t7qn6r32g,"Reid, Mayne,",The child wife,1868,m,,1.9587871190159056
mdp.39015056165783,"Hofmann, Gert.",Luck / | $c: Gert Hofmann ; translated from the German by Michael Hofmann.,2002,u,mixed,1.9586912025384635
inu.30000004154112,"Defoe, Daniel,","The life & strange surprizing adventures of Robinson Crusoe of York, mariner ... / | $c: written by himself.",1981,m,high_male,1.958556935250108
uc1.32106015022251,"Husain, ʻAbdullāh",The weary generations / | $c: Abdullah Hussein ; translated from the Urdu by the author,1999,u,high_male,1.9580328296837777
mdp.39015005404150,"Defoe, Daniel,",The Shakespeare Head edition of the novels and selected writings of Daniel Defoe.,1974,m,high_male,1.957138663274293
uiuo.ark:/13960/t3xs62m60,"Du Bois, Edward,",Old Nick;,1801,m,,1.9564494355643376
nyp.33433067303697,"Griffin, Gerald,",The invasion,1832,m,high_male,1.9561815336463224
uiuo.ark:/13960/t6h13p96s,"Tabor, Eliza.",Dimplethorpe,1880,f,,1.9557606931215896
njp.32101068581576,"Collins, Wilkie,",The woman in white,1860,m,high_female,1.9557033198063851
mdp.39015027470528,"Mahjoub, Jamal,",In the hour of signs / | $c: Jamal Mahjoub.,1996,m,high_male,1.955607705094358
inu.30000048161057,"Grace, Patricia,",The sky people / | $c: Patricia Grace.,1995,f,,1.9540409566984525
mdp.39015030703915,"Marshall, Sybil.",Once upon a village / | $c: Sybil Marshall ; drawings by Ewart Oakeshott.,1979,f,mixed,1.9532775998124856
mdp.39015058267173,"Kjærstad, Jan,",The seducer / | $c: Jan Kjærstad ; translated from the Norweigian by Barbara J. Haveland.,2003,f,,1.949933507267402
nyp.33433074850946,"Hamilton, Rowan.",The story of Sylvia,1893,m,,1.94984986156066
uiuo.ark:/13960/t0ft94c03,,Miss Russell's hobby,1865,u,high_female,1.9498118431571352
mdp.39015011393066,"Sedgwick, Catharine Maria,",The Linwoods;,1835,f,,1.949735810797637
mdp.39015021924884,"Kiely, Benedict.","The cards of the gambler, | a folktale.",1953,m,mixed,1.947002589513444
uc1.b3548203,"Conrad, Joseph,",The works of Joseph Conrad.,1923,m,,1.9459985405010949
uiuo.ark:/13960/t81j9s90s,"Fothergill, Jessie,",From Moor isles,1888,f,high_female,1.94484421797814
uc2.ark:/13960/t7qn6219p,"Firth, Andrew.",The toll of the river,1913,m,,1.943823500826125
mdp.39015008274535,"Desai, Anita,",Fire on the mountain / | $c: Anita Desai.,1977,f,high_female,1.942464210096929
mdp.39015049624565,"Vallejo, Fernando.",Our lady of the assassins / | $c: Fernando Vallejo ; translated by Paul Hammond.,2001,m,high_female,1.942200124300808
mdp.39015018648801,"Monfreid, Henri de.","Hashish,",1946,u,high_male,1.9421435438293244
uiuo.ark:/13960/t8w95tf0t,,Stretton of Ringwood Chace,1860,u,high_female,1.9420869666543668
njp.32101063580326,"Hume, Fergus,",The harlequin opal,1893,m,high_male,1.941747572815534
uc1.32106007144451,"Grass, Günter,",Cat and mouse : | a novel / | $c: by Günter Grass ; translated from the German by Ralph Manheim.,1963,u,high_male,1.9406171162429653
uc2.ark:/13960/t2697881b,"Merezhkovsky, Dmitry Sergeyevich,",The forerunner,1902,m,,1.940155891525884
uiuo.ark:/13960/t62528p76,"Smith, Horace,","Jane Lomax; or, A mother's crime",1838,m,,1.9390742859358945
nyp.33433074857727,"Hawkins, Laetitia Matilda,",Rosanne;,1814,f,high_female,1.9389614922247644
