htid,author,title,year,authgender,female_category,gb_scotland_intensity
uc1.32106015673079,"Karason, Einar",Devil's island / | $c: Einar Karason,2000,m,,3.671071953010279
njp.32101071987307,"Hunt, Leigh,",A book for a corner;,1849,m,,3.670802437412818
njp.32101067644649,"Fletcher, J. S.",When Charles the First was king,1892,m,high_male,3.6696574374782114
mdp.39015028485996,,Femmes de Sic̀le : | stories from the '90s : women writing at the end of two centuries / | $c: edited and introduced by Joan Smith.,1992,u,high_female,3.668782331144293
mdp.39015040339635,,"The Vintage book of Indian writing, 1947-1997 / | $c: edited by Salman Rushdie and Elizabeth West.",1997,u,,3.6677805852147687
mdp.39015055183290,"Jones, Vanessa,",The kindest use a knife / | $c: Vanessa Jones.,2002,f,,3.66246703779666
uc1.32106013945446,"MacKenna, John",The last fine summer / | $c: John MacKenna,1997,m,mixed,3.662019970215571
uiuo.ark:/13960/t7dr36h2b,"Dalton, James,",The maiden's talisman,1834,m,,3.6611931828582938
uc2.ark:/13960/t3126594x,"Croker, B. M.",A bird of passage,1887,f,high_female,3.661014467108836
mdp.39015063934270,"Macfarlan, Alexander.",The curtain;,1921,m,mixed,3.660947453200889
mdp.39015012924240,"Green, Henry,",Blindness : | a novel / | $c: by Henry Green.,1977,m,high_female,3.659652333028362
njp.32101068178902,"Harding, Anne Raikes,","The refugees, an Irish tale",1822,f,,3.653702113666673
uc1.$b794703,"Galsworthy, John,",The burning spear;,1919,m,high_male,3.652567755131858
mdp.39015030701125,"Kersh, Gerald,",Sad road to the sea; | a collection of stories.,1947,m,,3.652434347492604
mdp.39015059423734,"Sala, George Augustus,",Lady Chesterfield's letters to her daughter,1860,m,mixed,3.6511008068932784
mdp.39015058230056,"Mortier, Erwin,",My fellow skin / | $c: Erwin Mortier ; translated from the Dutch by Ina Rilke.,2000,m,high_male,3.650167907723755
uiuo.ark:/13960/t5q81z68z,"Norris, W. E.",A victim of good luck;,1894,f,high_female,3.649102320829076
uc1.b3468423,"Paustovsky, Konstantin,",Story of a life / | $c: Konstantin Paustovsky ; translated by Manya Harari and Michael Duncan.,1965,m,,3.648902592545292
uiuo.ark:/13960/t8kd2768m,"Broughton, Rhoda,"," Good-bye, Sweetheart!",1872,f,high_female,3.647704681828959
uiuo.ark:/13960/t3st87v62,"Wallace, Ellen.",Constance D'Oyley,1844,f,high_female,3.646707023557727
mdp.39015002716150,"Reveley, Edith.","The Etruscan couple, and other stories / | $c: by Edith Reveley.",1976,f,high_female,3.64573206299825
uiuo.ark:/13960/t4qj8424f,"Gissing, George,",A life's morning,1888,m,,3.644912613220098
mdp.39015003699959,"Garnett, David,","A man in the Zoo, | $c: by David Garnett; illustrated with wood engravings by R. A. Garnett.",1924,m,,3.6443148688046647
mdp.39015005385292,"Woolf, Virginia,",To the lighthouse.,1927,f,high_female,3.644270599239562
mdp.39015073621057,"Diamond, Elizabeth.",An accidental light / | $c: Elizabeth Diamond.,2008,f,high_female,3.643684129022855
uc1.b4238430,,Fairy and folk tales of Ireland / | $c: edited by W.B. Yeats ; with a foreword by Kathleen Raine ; and a list of sources by Mary Helen Thuente.,1988,u,high_male,3.6417766407341823
inu.30000006633253,"Shaw, Bernard,",The works of Bernard Shaw,1930,m,high_female,3.641229643250526
hvd.32044004799219,"Bunbury, Selina,",Coombe abbey,1843,f,mixed,3.6402355232383536
wu.89079729414,"Moorehead, Alan,","African trilogy : | comprising Mediterranean front, A year of battle, The end in Africa : a personal account of the three years' struggle against the axis in the Middle East and North Africa, 1940-3 / | $c: Alan Moorehead ; with a foreword by Field-Marshal Viscount Wavell.",1944,m,high_male,3.640047805961185
mdp.49015002143551,"Shaw, Bernard,",Works.,1930,m,high_female,3.64000364000364
uiuo.ark:/13960/t3xs60k95,"Allen, Grant,",The scallywag,1893,m,,3.6389219087358384
nyp.33433076071475,"Harte, Bret,",In the Carquinez woods,1883,m,,3.638679159465114
uiuo.ark:/13960/t22b9kw0h,"Alexander,",Found wanting,1893,f,mixed,3.6385467644222897
uva.x030581130,"Thackeray, William Makepeace,",The works of William Makepeace Thackeray,1878,m,,3.63744825729854
mdp.39015056187845,"Rendell, Ruth,",The babes in the wood / | $c: Ruth Rendell.,2002,f,,3.636866185145584
uiuo.ark:/13960/t2z326117,"Edwards, Amelia Ann Blanford,",Barbara's history,1864,f,,3.636672202489908
uc2.ark:/13960/t78s4qn0v,"Pollard, Eliza Frances.",The silver hand,1908,f,,3.6353060927730114
mdp.39015050127300,"King, John,",Human punk / | $c: John King.,2000,m,high_male,3.6349757365369584
uc1.$b267542,"Sullivan, Alan,",Under the northern lights.,1940,u,high_male,3.633060853769301
uc1.b3810587,"Close, Robert S.,",Eliza Callaghan.,1957,m,high_female,3.625487174839119
uiuo.ark:/13960/t6g16nh2z,"Wallace, Ellen.","Mr. Warrenne, the medical practitioner",1848,f,,3.6248300860897142
inu.30000063840767,"Masters, David,","Up periscope, | $c: by David Masters.",1942,m,high_male,3.624676799652031
uiuo.ark:/13960/t2891qf76,"Lucas, Reginald Jaffray,",Hoist with her own petard,1894,m,mixed,3.624435947155724
mdp.39015049688719,"English, Lucy.",Our dancing days / | $c: Lucy English.,2000,f,high_female,3.623976226715953
mdp.39015063928249,"Austin, Alfred,",Won by a head,1866,m,,3.622400927334638
uc1.$b397253,"Disraeli, Benjamin,",Novels and tales,1881,m,mixed,3.6212952855908664
uiuo.ark:/13960/t1ng58437,"Putney, Charlotte.",The brazen mask,1826,f,,3.616178783879075
