htid,author,title,year,authgender,female_category,transit
mdp.39015041445845,"Asch, Sholem,",From many countries; | the collected short stories of Sholem Asch. | $c: [Translated by Maurice Samuel and Meyer Levin],1958,m,,2.371874314380081
njp.32101037977582,"Dacre, Charlotte,",The libertine;,1807,f,,2.3696682464454977
mdp.39015009062095,"Pieyre de Mandiargues, André,",Blaze of embers; | $c: translated from the French by April Fitzlyon.,1971,u,,2.3649607416516885
njp.32101063693772,"Pardoe,",The rival beauties,1848,f,high_female,2.363256094246653
mdp.39015062286052,"James, G. P. R.","Morley Ernstein; or, The tenants of the heart",1842,m,mixed,2.3627256402986485
uc1.b4706895,"Chotzner, Jospeh,",Hebrew satire,1911,u,,2.3617212224269046
uiuo.ark:/13960/t2k65444z,"Somers, Robert,",The martyr of Glencree,1878,m,high_female,2.3613866062151696
uc1.$b276925,"Wood, Walter.",The Fleeters; | $c: illus. by A.E. Bestall.,1934,m,high_male,2.3611635814129204
hvd.hntfbm,"Sterne, Laurence,","The life and opinions of Tristram Shandy, gentleman",1832,m,,2.358268087916234
mdp.39015046854066,"Schreiner, Olive,",The story of an African farm / | $c: by Olive Schreiner ; With an introd. by S.C. Cronwright-Schreiner.,1924,f,,2.357878852184575
uiuo.ark:/13960/t49p3pv44,"Taylor, Meadows,",A noble queen,1878,m,mixed,2.355601620653915
uc2.ark:/13960/t1vd6ts1z,"Pyne, W. H.",The twenty-ninth of May,1825,m,high_male,2.352194008961859
mdp.39015063961505,"Winter, John Strange,",A seventh child,1894,m,,2.3517514669049775
uiuo.ark:/13960/t1ng4x78g,"Blessington, Marguerite,","Strathern, or, Life at home and abroad",1845,f,,2.3502591160675466
uiuo.ark:/13960/t2b85xg8d,"Ward, R. Plumer",Pictures of the world at home and abroad,1839,m,,2.3492928628482828
inu.32000007335336,Longus.,Daphnis & Chloe  / | $c: translated from the Greek of Longus by Jack Lindsay ; with fourteen decorations by Lionel Ellis and with a critical essay by the author ; illustrated from original Grecian sources.,1948,u,high_female,2.3469220117815484
uc1.b3322506,"Gaskell, Elizabeth Cleghorn,",Round the sofa,1859,f,,2.346591575736243
njp.32101064911900,"Marryat, Frederick,",The novels of Captain Marryat,1895,m,,2.3462245336878738
inu.30000011823097,"Dickens, Charles,",A tale of two cities,1898,m,mixed,2.3438964935308455
mdp.39015006945060,"Hogg, James,",Winter evening tales,1821,m,,2.3438415563107933
mdp.39015053777424,"Brun, Vincenz,","Alcibiades, forsaken by gods and men. | $c: [Translated from the German by Carl Ehrenstein and John Dorman]",1936,u,,2.3437866216659637
hvd.32044086801925,"Wilson, Alexander,","Alice Allan ; The country town, et cet",1825,m,mixed,2.342359224210625
uc1.$b398528,"Sitwell, Constance,",Seek paradise / | $c: by Constance Sitwell.,1948,f,,2.3422494964163585
uiuo.ark:/13960/t7mp5jb63,"Jenkins, Edward,",Lutchmee and Dilloo,1877,m,,2.3407691767514804
uc2.ark:/13960/t71v5h271,"Brown, T. E.",Fo'c's'le yarns,1881,f,high_male,2.340276152586005
dul1.ark:/13960/t93783d7n,"Gore,","The Hamiltons, or, Official life in 1830",1850,f,high_female,2.3398563328211646
uiuo.ark:/13960/t9p27cz8s,"Tytler, Sarah,",The Huguenot family,1867,f,,2.339290727051558
nyp.33433074929385,"Bramston, Mary,",Espérance,1870,f,high_male,2.338524858519246
uc1.$b156165,"Hampden, John,",Great English short stories : | Defoe to Dickens / | $c: selected by John Hampden.,1939,m,,2.338278792980487
hvd.32044010418184,"Morgan,",O'Donnell,1835,f,mixed,2.3378824629591746
umn.31951001843870t,,The Oxford illustrated Old Testament; | with drawings by contemporary artists.,1968,u,,2.3366533282705846
wu.89015336670,"Cahuet, Albéric,",Colonel Pontcarral : | a novel / | $c: Translated from the French by Claud W. Sykes.,1940,u,,2.335330040517976
uc1.32106011946701,,The Oxford illustrated Old Testament; | with drawings by contemporary artists.,1968,u,,2.334989229862177
hvd.32044011625829,"Trollope, Frances Milton,","Life and adventures of Michael Armstrong, the factory boy",1840,f,,2.333885686279086
njp.32101067173011,"Scott, Walter,",Novels and tales of the author of Waverley,1819,m,high_male,2.333232226603514
mdp.49015001269712,"Head, Bessie,",Maru / | $c: Bessie Head.,1987,f,high_female,2.3292106305173177
uc1.b3325598,"Manning, Anne,",The year nine,1858,f,mixed,2.327205026762858
nyp.33433074857743,"Hawkins, Laetitia Matilda,","The countess and Gertrude; or, Modes of discipline",1812,f,high_female,2.32642900901879
uc1.b4050866,,The Spanish omnibus : | being a collection of stories representing the work of leading Spanish writers of to-day / | $c: translated for the first time into English by Warre B. Wells ; with biographical notes by J.G. Gorkin ; and an introduction by Henri Barbusse.,1932,u,,2.322125208991269
uc1.$b247956,"Edwards, S. L.","Bede--Stevenson, | an anthology of English prose.",1953,u,mixed,2.3193999248514423
nyp.33433074867395,"Sherwood,","Jamie Gordon, or, The orphan",1851,f,,2.316933307074756
inu.39000000358973,"Middlemore, Maria Trinidad Howard",Spanish legendary tales,1885,f,mixed,2.316673874096497
nyp.33433074919618,"Allardyce, Alexander,",The city of sunshine,1877,m,high_male,2.3150827642088205
mdp.39015019155483,"Lytton, Edward Bulwer Lytton,",[Novels],1890,m,mixed,2.3149862952811318
mdp.39015014674348,"Meinhold, Wilhelm,",The amber witch;,1844,m,,2.31476123237888
inu.30000082344098,"Skiadaresēs, Spyros A.",Cephalonian tales / | $c: by Spyridon Skiadaressi ; translated by Maki Razi and Alec Reid.,1987,u,high_male,2.314439789848867
njp.32101068169398,"Aulney, Léonie, d',",The notary's daughter,1878,m,mixed,2.314359443165118
njp.32101068574019,"Thomson, John Cockburn,",Heart or head,1864,m,high_female,2.312299119014036
njp.32101065858092,"Lover, Samuel,","He would be a gentleman, or, Treasure trove",1873,m,,2.3118393918937663
uiuo.ark:/13960/t6zw1zc7c,"Jeaffreson, John Cordy,",A noble woman,1868,m,high_female,2.3082693750360668
uva.x030797335,"Anderdon, W. H.",Bracton;,1889,u,high_male,2.3082249749942294
nnc1.cu58325697,"Nordhoff, Charles,",Whaling and fishing;,1860,m,,2.3080562704118726
nyp.33433074964762,"Banim, John,",Tales,1825,m,,2.304519162076833
mdp.39015051155904,"Banim, John,",Tales,1826,m,,2.304359848833994
uc1.b3322503,"Gascoigne, Caroline Leigh,",The school for wives,1842,f,high_female,2.303112656755605
nyp.33433074848536,"Burrow, Charles Kennett,",The yeoman,1904,m,,2.3026088558336597
uiuo.ark:/13960/t2m626t6w,"Hardy, Thomas,",The trumpet-major,1880,m,high_female,2.30170786723749
