htid,author,title,year,authgender,female_category,transit
mdp.39015084107138,"Mills, Magnus.",The maintenance of headway / | $c: Magnus Mills.,2009,m,high_male,756.6204287515762
mdp.39015006100492,,A Book of railway journeys / | $c: compiled by Ludovic Kennedy.,1981,u,,687.816971012849
mdp.39015064331484,"Williams, Herbert Darkin,","The steel highway, a romance of the railway, | $c: by Herbert D. Williams.",1925,m,high_male,570.6325180164492
wu.89100091255,"Aleksinskaia, Tatiana.",With the Russian wounded,1916,u,high_male,543.511637904563
mdp.39015021319069,"Webster, Henry Charles,",2750: | legend of a locomotive. | $c: Illustrated by R. Barnard Way.,1953,m,high_male,418.90583797857073
mdp.39015047594034,,The Penguin book of Indian railway stories / | $c: edited by Ruskin Bond.,1994,u,high_male,408.277833065401
mdp.39015028025560,"Matveev, Vladimir.","The commissar of the gold express; | an episode in the civil war, | $c: by V. Matveyev; illustrations by Ernst.",1933,u,high_male,387.84985735329764
mdp.39015065648167,"Gamow, George,",Puzzle-math | $c: [by] George Gamow & Marvin Stern.,1958,m,high_male,378.01101861905335
mdp.39015020727973,"Francis, Dick.",The edge / | $c: Dick Francis.,1988,m,,371.7998390605907
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,359.7591178080763
mdp.39015030855764,"Bayley, Victor,",Indian artifex. | $c: Woodcut decorations by P. Youngman Carter.,1939,m,high_male,351.4122125841925
mdp.39015021059772,"Prebble, John,",The high girders / | $c: John Prebble.,1956,m,high_male,337.17516442096894
uc1.b3752270,"Simenon, Georges,",The train. | $c: Translated from the French by Robert Baldick.,1964,m,high_female,327.38409546942654
inu.39000003288250,"Ekwensi, Cyprian.",Samankwe and the highway robbers / | $c: Cyprian Ekwensi.,1975,m,high_male,324.22793223636216
mdp.39015054068088,"Hrabal, Bohumil,",A close watch on the trains; | $c: translated by Edith Pargeter.,1968,m,,322.75943011769306
mdp.39015077638164,"Marston, Edward.",Murder on the Brighton Express / | $c: Edward Marston.,2008,m,,302.2980719651397
mdp.39015024775663,"Rendell, Ruth,",King Solomon's carpet.,1991,f,mixed,292.6639888907139
uc2.ark:/13960/t1gh9f65g,"Littlefair, Mary.",An English girl's adventures in hostile Germany,1915,f,mixed,270.31650983746795
uc1.$b322906,"Aiken, Conrad,",A heart for the gods of Mexico.,1939,m,high_female,268.91841015435915
inu.30000060703083,"Ajima, Maria,",The web : | a collection of short stories / | $c: Maria Ajima.,1997,f,mixed,267.3340538080883
uc1.32106016706043,"Buĭda, I͡Uriĭ",The zero train / | $c: Yuri Buida ; translated and with an afterword by Oliver Ready,2001,u,high_male,262.02398975195064
uc1.$b83911,"Bayley, Victor,","Permanent way through the Khyber, | $c: by Victor Bayley.",1934,m,high_male,258.53390683627714
pst.000049380361,"Jewesbury, Daniel.",Lived between lines / | $c: Daniel Jewesbury.,2001,m,,246.87874726669958
inu.30000003994732,"Morley, Des.",Children of fear / | $c: Des Morley.,1990,u,high_male,244.47570683502607
uiuo.ark:/13960/t55d9b38m,"Kevill-Davies, Albert.",Miss Blanchard of Chicago,1892,m,mixed,240.2431069320478
mdp.39015002741448,"(Sydney Castle), Roberts, S. C.",Zuleika in Cambridge / | $c: by S. C. Roberts.,1941,u,high_female,237.39435951001803
mdp.39015008009964,"Wain, John.",A winter in the hills.,1970,m,,236.80171000172885
uc1.b3750429,"Butor, Michel.",Second thoughts. | $c: Translated from the French by Jean Stewart.,1958,m,high_female,228.279134652984
mdp.39015035775363,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,226.23400365630712
uc1.b3762859,"Japrisot, Sébastien,",The 10:30 from Marseille. | $c: Translated by Francis Price.,1964,u,,226.21103213802888
mdp.39015011705624,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,223.47897473319347
mdp.39015008442041,"Wain, John.",The smaller sky / | $c: John Wain.,1967,m,high_male,223.05705564686545
mdp.39015035917627,"Jecchinis, Chris.","Beyond Olympus; | the thrilling story of the ""train-busters"" in Nazi-occupied Greece. | $c: With a foreword by C. M. Woodhouse.",1960,m,,220.2517162471396
uc1.$b605193,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,218.5163887291547
mdp.39015063583309,"Southerns, Leonard.",An outline of relativity ...,1923,m,high_male,217.84428869103996
mdp.39015029533471,"Drevet, Patrick,",La micheline / | $c: Patrick Drevet ;translated by James Kirkup.,1993,m,high_female,217.29928037251304
uc1.$b105776,"McDonell, Gordon,",Burning secret / | $c: Gordon McDonell.,1959,m,,213.0673895340406
mdp.39015053482330,"Rees, David,",Out of the winter gardens / | $c: David Rees.,1984,m,,210.64396870432466
mdp.39015058264964,"Baricco, Alessandro,",Lands of glass / | $c: Alessandro Baricco.,2003,m,high_male,210.47771652046387
mdp.39015066053714,"Lawrence, D. H. (David Herbert),",Works.,1954,m,high_male,208.8187453290544
mdp.39015029173054,"Theroux, Paul.",Travelling the world : | the illustrated travels of Paul Theroux / | $c: picture editor Jenny de Gex.,1990,m,,207.99718592042578
mdp.39015000630858,"Lawrence, D. H. (David Herbert),",Works.,1954,m,high_male,206.13754148954754
mdp.39076005032920,"Christie, Agatha,",Murder on the Orient express.,1968,f,,199.23295313044778
mdp.39015014612710,"Blyton, Enid.",The big Noddy book / | $c: by Enid Blyton.,1959,f,mixed,199.16711931921057
mdp.39015062063501,"Haddon, Mark.",The curious incident of the dog in the night-time / | $c: Mark Haddon.,2003,m,high_female,198.9968378584669
uc1.b3148809,"Kellermann, Bernhard,",The tunnel / | $c: by Bernhard Kellerman.,1936,u,mixed,198.03054553346175
mdp.39015000618754,"Greene, Graham,",The collected edition.,1970,m,,197.6631819379777
inu.32000000359739,"Greene, Graham,","Stamboul train, | $c: by Graham Greene.",1932,m,mixed,196.48997454561695
uc2.ark:/13960/t55d8sb4t,"Price, Julius M.",On the path of adventure,1919,m,high_male,195.2627557517616
mdp.39015011956490,"MacHarg, William Briggs,",The blind man's eyes,1916,m,mixed,194.99982969447188
mdp.39015033585244,"Strati, Saverio,",The lights of Reggio. | $c: Translated from the Italian by Angus Davidson.,1965,m,,192.68672962080427
uc1.32106005226854,"Avery, Gillian,",The lost railway / | $c: Gillian Avery.,1980,f,,190.81900383806405
uc2.ark:/13960/t78s4p168,"Bone, Gertrude,",Mr. Paul,1921,f,,189.91468012131864
uc1.$b479444,"Hámori, Laszlo,",Dangerous journey. | $c: Translated from the Swedish by Annabelle MacMillan. Illustrated by W.T. Mars.,1963,u,high_male,187.6517021233198
uc1.b3481020,"Meynell, Laurence.",Airmen on the run; | true stories of evasion and escape by British airmen of World War II. | $c: Told by Laurence Meynell. Illustrated by Richard Kennedy.,1963,m,high_male,185.01007277062862
mdp.39015026305204,"Griffith, George.",Briton or Boer?,1897,m,high_male,184.1066402308414
mdp.39015059587298,"Drummond, Andrew.","An abridged history of the construction of the railway line between Garve, Ullapool and Lochinver; And other pertinent matters : | being the professional journal and regular chronicle of Alexander Auchmuty Seth Kininmonth / | $c: edited by Andrew Drummond ; with a foreword by Alfred Marjoribanks.",2004,m,high_male,183.93538750898932
wu.89041256702,"Tute, Warren.",Escape Route Green.,1971,m,high_male,180.91161805586196
mdp.39015010474073,"Manning, Olivia.",My husband Cartwright. | $c: With illus. by Len Deighton.,1956,f,high_male,180.74142439624674
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,180.70112034694614
uiuo.ark:/13960/t6b28dx0b,"Moore, Frank Frankfort,",A gray eye or so,1893,m,mixed,178.8474276882314
nyp.33433075763676,"Thomson, Edward.",The adventures of a carpet bag,1853,m,high_male,178.78426698450536
uc1.b4180718,"Mahoff, Alexis.","Smell of smoke,",1936,m,,178.48795206323572
mdp.39015049860797,"Josipovici, Gabriel,",The air we breathe / | $c: Gabriel Josipovici.,1981,m,,177.90543147425728
mdp.39015078785808,"Fleming, James,",Cold blood / | $c: James Fleming.,2009,m,high_male,177.27515855429053
wu.89016963142,"Elsbree, Elizabeth Sellers,",Across the Isthmus of Panama.,1937,f,high_male,177.12261455833618
mdp.39015061859792,"Raj Rao, R. (Ramachandrapurapu),",The boyfriend / | $c: R. Raj Rao.,2003,u,high_male,174.7798337900161
mdp.39015032154414,"Morazzoni, Marta,",His mother's house / | $c: Marta Morazzoni ; translated from the Italian by Emma Rose.,1994,f,high_male,174.74730169607676
mdp.39015055183043,,Glasgow kiss : | a collection of the best short stories from Glasgow's writing groups.,2001,u,,174.3218098129468
mdp.39015004256973,"Ekwensi, Cyprian,","Lokotown, and other stories.",1966,m,,174.18697303808023
mdp.39015019789240,"Ihimaera, Witi,",Tangi | $c: [by] Witi Ihimaera.,1973,u,high_female,172.13486054487802
mdp.39015074275531,"Stasiuk, Andrzej,",Nine / | $c: Andrzej Stasiuk ; translated from the Polish by Bill Johnston.,2007,m,,171.30471262760454
mdp.39015010833559,"Yevtushenko, Yevgeny Aleksandrovich,",Ardabiola : | a fantasy / | $c: by Yevgeny Yevtushenko ; translated by Armorer Wason.,1984,u,,170.49606235284566
mdp.39015065677026,"Paustovsky, Konstantin,",Story of a life / | $c: Konstantin Paustovsky ; translated by Manya Harari and Michael Duncan.,1965,m,,169.04839404025662
uc1.b3468424,"Paustovsky, Konstantin,",Story of a life / | $c: Konstantin Paustovsky ; translated by Manya Harari and Michael Duncan.,1965,m,,168.84982852827972
mdp.39015031605572,"Jovanovski, Meto,","Faceless men & other Macedonian stories / | $c: by Meto Jovanovski ; edited with an introduction by Jeffrey Folks ; translated by Jeffrey Folks, Milne Holton and Charles Simic.",1992,u,,165.24895703527116
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,162.41299303944317
uc1.b3472748,"Levine, Norman,","I don't want to know anyone too well, and other stories.",1971,m,,161.65602955995968
uc1.32106002020177,"Waugh, Alec,",Brief encounter : | a novel / | $c: by Alec Waugh.,1975,m,high_female,159.45472736368185
mdp.39015030175445,"Keith, Eric A.",My escape from Germany,1918,m,high_male,157.92174977298748
wu.89100064526,"Ellison, Wallace.",Escaped! adventures in German captivity,1918,m,,157.6378988924224
uc1.$b120418,"Mulholland, Brendan,",The commuter; | $c: illustrated by Trog.,1967,m,,157.0647735125966
uc2.ark:/13960/t87h1gb9b,Officer's wife.,Experiences of an officer's wife in Ireland,1921,u,high_male,154.65861938890984
uc2.ark:/13960/t0dv1hg1g,"Howe, Sonia Elizabeth,",Real Russians,1917,f,,154.43336765185947
mdp.39015058119853,"Fleming, James,",Thomas Gage / | $c: James Fleming.,2003,m,,153.86123828127947
mdp.39015018993504,"Hopkins, John,",In the Chinese mountains / | $c: John Hopkins.,1990,m,mixed,153.6407367439138
mdp.39015016454624,"Bonnar, Robert.",Stewartie.,1964,m,,151.9037586638576
uc1.b3477299,"De Polnay, Peter,",The other shore of time / | $c: Peter de Polnay,1978,m,mixed,148.35973915257802
mdp.39015003875179,"Wittlin, Józef,","Salt of the earth,",1939,u,high_male,148.263753413968
mdp.39015038555606,"Pervent͡sev, Arkadiĭ Alekseevich,",The test.,1944,u,high_male,146.6434933738866
uc1.$b120264,"Bradley, Marjorie D.",The long walkabout | $c: [by] Marjorie D. Bradley.,1968,f,,146.59962177297584
mdp.39015076865743,"Jha, Raj Kamal,",Fireproof / | $c: Raj Kamal Jha.,2007,m,mixed,145.07754437167
mdp.39015019780264,"Clarke, Pauline,",The white elephant. | $c: Illustrated by Richard Kennedy.,1952,f,high_female,144.77017734346725
uiuo.ark:/13960/t83j3v84f,,The Golden calf,1849,u,mixed,143.97051483856106
mdp.39015063542578,"Audemars, Pierre.","Hercule and the gods, | $c: by Pierre Audemars.",1944,m,high_male,143.93343078826044
njp.32101072858358,"Dickens, Charles,",Mugby Junction,1898,m,,143.88489208633092
mdp.39015034332851,"Tlali, Miriam.",Soweto stories / | $c: Miriam Tlali ; with an introduction by Lauretta Ngcobo.,1989,f,,143.73849284537613
uc1.$b745559,"Clarke, Basil.",My round of the war;,1917,m,high_male,143.38739098474468
inu.30000036578213,"Fink, Ida.",The journey / | $c: Ida Fink ; translated by Joanna Weschler and Francine Prose.,1992,f,high_female,142.19874814316367
nyp.33433082444211,"Hare, Francis Augustus.",The last of the bushrangers,1895,m,high_male,141.8953909891248
uc1.$b674189,"Makucewicz, Peter.","I escaped from Germany, | $c: by Peter Makucewicz.",1944,m,mixed,141.69130369623565
uc1.$b176799,"Ceccherini, Silvano.",The transfer (La traduzione);,1966,m,,141.4242251378589
uc1.32106006749425,"Ambler, Eric,",The dark frontier / | $c: Eric Ambler.,1977,m,high_male,141.2559143736506
inu.30000092668809,"Mulrine, Stephen.",Moscow stations : | a play / | $c: by Stephen Mulrine ; translated and adapted from Moscow-Petushki by Venedikt Yerofeev.,1993,m,,140.48890137679123
mdp.39015024982368,"Pristavkin, Anatoly,",The Inseparable twins / | $c: Anatoly Pristavkin ; translated from the Russian by Michael Glenny.,1991,u,mixed,139.99898182558672
uc1.32106017532174,"Stark, Richard",The green eagle score / | $c: Richard Stark,1986,m,mixed,139.55502799120964
mdp.39015011047738,"Saʻdāwī, Nawāl.",Two women in one / | $c: Nawal el-Saadawi ; translated by Osman Nusairi and Jana Gough.,1985,f,mixed,139.48802727765866
inu.30000038771980,"Grace, Patricia,",Cousins / | $c: Patricia Grace.,1993,f,,139.1995545614254
mdp.39015011581264,"Narayan, R. K.,",Talkative man : | a novel / | $c: R.K. Narayan.,1986,m,high_male,138.4938790651663
mdp.39015043786907,"McCabe, John (C. John)",Stickleback / | $c: John McCabe.,1998,m,high_male,137.8698508607874
mdp.39015031309944,"Thiha, Maung.",The Chindits and the stars / | $c: by Maung Thiha.,1971,u,,137.1551244334897
mdp.39015066086391,"Seiffert, Rachel.",The dark room / | $c: Rachel Seiffert.,2001,f,,136.6308215542493
mdp.39015002754417,"St. John, Robert,","The man who played God, | a novel.",1963,m,,136.48340751717183
uc2.ark:/13960/t4fn1478h,"Warner, Anne,",Seeing France with Uncle John,1906,f,,135.78541140597457
uc1.b3977304,"Liksom, Rosa.",One night stands / | $c: Rosa Liksom ; translated by Anselm Hollo.,1993,f,,135.13140840020958
uva.x000875409,"Wood, Walter,",Survivors' tales of famous crimes,1916,m,mixed,134.87362927344162
mdp.39015014551033,"Selvon, Samuel.",Ways of sunlight.,1957,m,high_male,134.7389617696704
mdp.39015028467465,"Beattie, Geoffrey.",We are the people : | journeys through the heart of Protestant Ulster / | $c: Geoffrey Beattie.,1992,m,,134.5187075856479
inu.39000001049829,"Böll, Heinrich,",The casualty / | $c: Heinrich Böll ; translated from the German by Leila Vennewitz.,1986,u,high_male,134.08662900188324
inu.30000107642666,,The: Brighton book / | $c: Melissa Benn ... [et al.].,2005,u,high_female,133.83533841221285
uc1.32106008858273,"Pritchett, V. S. (Victor Sawdon),",A careless widow : | & other stories / | $c: by V.S. Pritchett.,1989,m,,133.0053748747381
uc2.ark:/13960/t4qj79244,"Sewell, Anna,",Black Beauty,1877,f,high_male,132.73090484937055
mdp.39015030159027,"Aveline, Claude,",The passenger on the U; | $c: translated by Mervyn Savill.,1968,m,,132.54766221636174
uc1.32106012155815,"Paling, Chris",After the raid / | $c: Chris Paling,1995,m,high_male,132.21774610060945
mdp.39015007061354,"Solzhenit͡syn, Aleksandr Isaevich,",Stories and prose poems | $c: [by] Alexander Solzhenitsyn. Translated by Michael Glenny.,1971,m,mixed,132.04636814060018
mdp.39015016446802,"Comyn, Kenneth Fitzwilliam,",Dawn behind the tamarisks.,1950,m,,131.36610950443605
nyp.33433043830078,"Stevenson, Rennie.",Through Rhodesia with the sharpshooters,1901,f,high_male,131.02071375093587
mdp.39015031918884,"Poli͡akov, A. (Aleksandr),","With a Soviet unit through the Nazi lines | $c: [by] A. Polyakov. Published by authority of Soviet war news, issued by the Press department of the Soviet embassy in London.",1941,u,,130.81471403903512
uc1.$b745616,"Burton, Reginald.",The road to three pagodas.,1963,m,high_male,130.4973698725969
uc1.32106010982954,Bảo Ninh.,"The sorrow of war : | a novel / | $c: Bao Ninh ; English version by Frank Palmos ; based on the translation from the Vietnamese by Vo Bang Thanh and Phan Thanh Hao, with Katerina Pierce.",1993,u,high_female,129.89024869811837
uc1.$b120148,,"A calendar of letters; | extracts from the publications of Number Five John Street, 1910-1925.",1926,u,,129.63930998431783
nyp.33433067352884,"Watson, E. H. Lacon",A conversational tour in America,1914,u,,129.33138116154223
uc1.b4362247,"Anderman, Janusz,",The edge of the world / | $c: by Janusz Anderman ; preface by Jerzy Pilch ; translated by Nina Taylor.,1988,u,high_male,129.2212267401792
mdp.39015064950598,"Davey, Janet,",The taxi queue / | $c: Janet Davey.,2007,f,,128.95267997308812
mdp.39015059975840,"Darling, Julia,",The taxi driver's daughter / | $c: Julia Darling.,2003,f,high_female,128.70426976414942
mdp.39015031309316,"Themba, Can,",The will to die; | $c: selected by Donald Stuart and Roy Holland. -,1972,u,mixed,128.66390575368902
uc1.$b557779,"Mackenzie, Kenneth.",Living rough / | $c: Kenneth Mackenzie.,1936,m,,127.51548402305994
mdp.39015030663762,"Wittlin, Tadeusz.",A reluctant traveller in Russia. [Translated from the Polish by Noel E. P. Clark],1952,m,,127.17030310673897
mdp.39015019623761,"Lynch, Malcolm.",The kid from Angel Meadow.,1989,m,high_female,127.00204614407677
inu.30000045089632,"Macgoye, Marjorie Oludhe.","Victoria ; and, Murder in Majengo / | $c: Marjorie Oludhe Macgoye.",1993,f,high_female,126.93679353629788
mdp.39015077121302,"Tagholm, John.",No identifiable remains / | $c: John Tagholm.,2008,m,high_female,126.39755478184931
mdp.39015031288627,"Balestier, Charles Wolcott,",The average woman,1892,m,mixed,125.65632993762061
mdp.39015080819553,"Okri, Ben.",Tales of freedom / | $c: Ben Okri.,2009,m,high_male,125.30837608176371
uc1.b3475417,"Jay, Simon.",Sleepers can kill.,1968,m,high_male,125.29968329765087
uc1.$b63960,"Whitfield, Christopher.","Together and Alone, | two short novels | $c: by Christopher Whitfield, with engravings by John O'Conner.",1945,m,,124.96155029221778
mdp.39015027936700,"Ganzhorn, John W.",I've killed men,1910,m,high_male,124.85851313348192
mdp.39015064690533,"Self, Will.",The book of Dave : | a revelation of the recent past and the distant future / | $c: Will Self.,2006,m,high_male,124.58535635000794
inu.30000110573494,"Su, Tong,",Madwoman on the bridge / | $c: by Su Tong ; translated from the Chinese by Josh Stenberg.,2008,m,high_male,124.33171702101205
mdp.39015049526307,"Pekárková, Iva,",Gimme the money / | $c: Iva Pekárková ; translated by Raymond johnston and Iva Pekárková.,2000,f,mixed,123.80952380952381
mdp.39015080892956,"Bilton, Alan.",The sleepwalkers' ball / | $c: Alan Bilton.,2009,m,,123.53998203054807
mdp.39015054266971,"Tighe, Carl.",Burning worm / | $c: Carl Tighe.,2001,m,high_female,123.47905711946946
mdp.39015030845740,"Bacon, Walter.",The last experiment / | $c: Walter Bacon.,1974,m,,123.2386523927601
inu.39000005519793,"King, Rosa E. (Rosa Eleanor),",Tempest over Mexico : | a personal chronicle / | $c: by Rosa E. King ; illustrated by Carroll Bill.,1936,f,mixed,123.16180998595955
mdp.39076005051995,"Thomas, Dylan,",Adventures in the skin trade.,1955,m,,123.09299115968518
uc1.b3494242,"Berridge, Elizabeth.",Sing me who you are.,1967,f,high_female,122.81901288966547
uc1.$b528548,"Lyall, Archibald,",Russian roundabout : | a non-political pilgrimage / | $c: by Archibald Lyall.,1933,m,mixed,122.34910277324633
uc1.32106014483421,"Kristof, Agota",Yesterday / | $c: Agota Kristof ; translated from the French by David Watson,1997,u,,122.29469315149719
inu.30000045131764,"Meena, Gladstone.",Remember death / | $c: Gladstone Meena.,1994,m,high_male,121.95121951219512
mdp.39015029983908,"Palandri, Enrico.",The way back / | $c: Enrico Palandri ; translated by Stuart Hood.,1993,m,mixed,121.65450121654501
uc1.32106013460719,"Magrs, Paul,",Does it show? / | $c: Paul Magrs,1997,m,,121.51056822178876
mdp.39015029452953,"Fuller, John,",Look twice : | an entertainment / | $c: John Fuller.,1991,m,high_male,121.18706962150178
mdp.39015066973192,"Stancu, Zaharia.",A gamble with death: | $c: a novel transisted from the Romanian by Richard A. Hillard.,1969,u,,120.6697706206484
mdp.39015058120448,,Uncut diamonds : | a selection of new writing / | $c: edited by Maggie Hamand.,2003,u,,120.45539912184128
uc2.ark:/13960/t7zk57t2s,"Brereton, F. S.",The hero of Panama,1912,m,high_male,119.87149775440727
mdp.39015053577055,"Mokoso, Ndeley.","Man pass man, and other stories / | $c: Ndeley Mokoso.",1987,u,high_male,119.71534351652737
mdp.39015012269489,"Matshoba, Mtutuzeli,",Call me not a man : | and other stories / | $c: Mtutuzeli Matshoba.,1981,u,,119.47313335571397
wu.89099799983,"Fineman, Irving,","Lovers must learn,/ | $c: by Irving Fineman.",1932,m,,119.30436378653697
mdp.39015064701801,,The remarkable everyday : | a collection of short stories.,2005,u,mixed,119.29993781173455
mdp.39015074228654,"Thomas, Leslie",Soldiers and lovers / | $c: Leslie Thomas.,2007,m,mixed,119.22059535784807
inu.30000009170220,"Jolley, Elizabeth,",Cabin fever / | $c: Elizabeth Jolley.,1991,f,high_female,119.20197415199297
mdp.39015077120007,"Curzon, Clare.",Off track / | $c: Clare Curzon.,2008,f,mixed,119.18556530375766
uc2.ark:/13960/t2z31qm1p,"Swinton, E. D.",The great tab dope,1916,u,high_male,118.96098079829815
inu.32000007466461,"Mackworth, Cecily.",I came out of France.,1942,u,,118.56498125908361
inu.30000110626037,"Gooch, Ivan A. V.",The new lords of tomorrow / | $c: Ivan A. V. Gooch.,2009,m,,118.34623993413774
uc1.b4948689,"Bargate, Verity.",No mama no / | $c: Verity Bargate.,1978,u,high_male,118.28958296630006
mdp.39015050559577,"Household, Geoffrey,",The lives and times of Bernardo Brown.,1973,m,high_male,117.74987351087806
uc1.32106008817899,"Vittorini, Elio,",Conversation in Sicily / | $c: Elio Vittorini ; translated by Wilfrid David ; introduction by Sir Stephen Spender.,1988,m,high_male,117.36880479433785
mdp.39015018941461,"White, Kenneth,",The blue road / | $c: Kenneth White.,1990,m,high_male,117.25735057016387
inu.32000009107717,"Hughes, M. V. (Mary Vivian),",A London home in the nineties | $c: [by] M. Vivian Hughes.,1937,f,,117.14218132258029
mdp.39015017425524,"Winder, Robert.",The marriage of time & convenience / | $c: Robert Winder.,1994,m,,116.98085861879768
mdp.39015021576452,"Denny, John Howard.",Chindit indescretion.,1956,m,high_male,116.64911267398271
mdp.39015008468202,"Brome, Vincent,",The way back; | the story of Pat O'Leary.,1958,m,high_male,116.61179052994669
wu.89100102326,"Hay, Ian.",The last million,1918,m,high_male,116.49803708786824
uiuo.ark:/13960/t3ws90t6p,"Cresswell, Henry.",A wily widow,1888,m,high_female,116.27126981642556
uc1.b3435455,"Khanna, Balraj.","Nation of fools, or, Scenes from Indian life / | $c: Balraj Khanna.",1984,u,high_male,116.16371452555178
uc1.$b242978,"Hanley, James,",Winter song.,1950,m,,115.80266639304011
uc2.ark:/13960/t7sn0686c,"Gorrie, Daniel.","Geordie Purdie in London, or, The adventures of a Fifeshireman in the metropolis",1875,m,high_male,115.72247646099626
mdp.39015050127300,"King, John,",Human punk / | $c: John King.,2000,m,high_male,115.71339427975985
mdp.39015079359660,"King, Nicholas,",A decent deceit / | $c: by Nicholas King.,2008,m,,115.67290786267313
uc1.b3321970,"Coleman, John,",The rival queens,1887,m,mixed,115.45642134224231
mdp.39015064708210,"Collins, Richard,",Overland / | $c: Richard Collins.,2006,m,mixed,115.44451584094796
mdp.39015015528881,"Berberova, Nina Nikolaevna.",The revolt / | $c: Nina Berberova ; translated from the Russian by Marian Schwartz.,1989,f,,115.32695190866106
mdp.39015014163953,"Yeats, Jack Butler,","The Amaranthers,",1936,m,high_male,115.30407991956388
uiuo.ark:/13960/t3gx4pc1g,"Fenn, George Manville,",By birth a lady,1871,m,,115.08778264205444
uiuo.ark:/13960/t7pn9m92b,"Lewis, Helen Prothero.",Hooks of steel,1894,f,,115.0289784541875
mdp.39015011039826,"Khan, Ismith.",The obeah man.,1964,u,high_male,114.66412430106419
inu.30000057588091,"Royle, Nicholas,",Saxophone dreams / | $c: Nicholas Royle.,1996,m,,114.02413649604661
mdp.39015037702654,,The Oxford book of travel stories / | $c: edited by Patricia Craig.,1996,u,mixed,113.7362122719143
mdp.39015056675856,"Phillips, Caryl.",A distant shore / | $c: Caryl Phillips.,2003,f,,113.59053082995169
mdp.39015063536539,"Collins, Mortimer,",[Works,1883,m,mixed,113.39909280725755
mdp.39015056944732,"Smith, Ali,",The whole story and other stories / | $c: Ali Smith.,2003,m,high_female,113.34563943132873
mdp.39015061175090,"Clarke, George Elliott.",George & Rue / | $c: George Elliott Clarke.,2005,m,high_male,113.19900384876613
mdp.39015011346924,"Kubly, Herbert.",Easter in Sicily.,1956,m,mixed,113.1912045512707
wu.89095838025,"Millar, George Reid.",Horned pigeon.,1946,m,,113.15852604230318
uiuo.ark:/13960/t05x2q24x,,The Golden calf,1849,u,mixed,112.78698552885626
njp.32101065605469,"Wood, Eric,",How we baffled the Germans,1920,m,high_male,112.74751603128743
uc1.$b243186,"Heppenstall, Rayner,",The woodshed.,1962,u,,112.56775713073446
mdp.39015000550510,"Houghton, Claude,","The last command. | Based upon the play of the same name by Lajos Biró. | $c: Novelised by Claude Houghton [pseud.] Illustrated with scenes from the photo-play, a Paramount production starring Emil Jannings.",1929,m,,112.32574465951258
mdp.39015011299693,"Cooke, Alistair,",Christmas Eve; | $c: illustrated by Marc Simont.,1952,u,high_male,112.22375690607734
mdp.39015000649551,"(Victor Sawdon), Pritchett, V. S.","Blind love, and other stories, | $c: by V. S. Pritchett.",1969,u,,112.00362031904062
uiuo.ark:/13960/t6n01t845,"Wood, Henry,",Oswald Cray,1864,f,,111.9904434821562
inu.30000038744680,"Lloyd-Jones, Robin,",Fallen angels : | stories of los gamines / | $c: Robin Lloyd-Jones.,1992,u,,111.83134176900614
uiuo.ark:/13960/t76t16s20,"Braddon, M. E.",Wyllard's weird,1880,f,,111.35696414884232
uc1.$b744342,"Baron, Phillimore, Godfrey Walter Phillimore,","Recollections of a prisoner of war, | $c: by Lord Phillimore.",1930,m,high_male,111.22710819275463
uc1.$b189644,"Mauriac, François,",The Holy Terror. | $c: Translated by Anne Carter and illustrated by Eileen Green.,1964,m,,110.99503786889527
uc2.ark:/13960/t89g5js2d,"Mack, Louise,",A woman's experiences in the great war,1915,f,,110.71685830910013
mdp.39015021871309,"Thomas, Leslie,",The loves and journeys of revolving Jones / | $c: Leslie Thomas.,1991,m,mixed,110.65864022662889
mdp.39015048693579,"Nyamfukudza, S.,",The non-believer's journey / | $c: S. Nyamfukudza.,1980,u,,110.627364213832
mdp.39015060606376,"Griffiths, Niall,",Wreckage / | $c: Niall Griffiths.,2005,m,high_male,110.60147685501448
pst.000061716865,"Tidhar, Lavie.",An occupation of angels / | $c: Lavie Tidhar ; introduction by Liz Williams.,2005,u,mixed,110.4675464262256
mdp.39015014513736,"Hamilton, Patrick,",Hangover square; | a story of darkest Earl's Court. With an introd. by J. B. Priestley.,1972,m,high_male,110.43671886223244
wu.89009785056,"Fox-Davies, Arthur Charles,",The Mauleverer murders,1907,m,,110.35643992400196
mdp.39015042816945,,Does the sun rise over Dagenham? : | and other stories : new writing from London : [with stories / | $c: by Nicola Barker ... et al.] ; foreword by Mark Lawson,1998,u,high_female,109.97664693423125
uc1.$b445470,"Beneš, Bohuš.",God's village : | a novel / | $c: by Bohus Benes ; foreword by Thomas Mann.,1947,u,high_female,109.97359186774229
wu.89081044299,"Hobson, Charlotte,",Black earth city : | a year in the heart of Russia / | $c: Charlotte Hobson.,2002,f,,109.93541294489488
