htid,author,title,year,authgender,female_category,intl_intensity
uc1.b3591601,"Yourcenar, Marguerite.",Two lives and a dream / | $c: Marguerite Yourcenar ; translated by Walter Kaiser in collaboration with the author.,1987,f,,300.46015354223584
nyp.33433075821847,"Le Sage, Alain René,",The adventures of Gil Blas;,1831,m,,300.4267991235845
uiuo.ark:/13960/t03x8j28f,"Boyle, Frederick,",The golden prime,1882,m,mixed,300.37246185269737
uiuo.ark:/13960/t42r4d21z,,"The mountain chief, or, The descendant of William Tell, the deliverer of Switzerland",1811,u,high_male,300.3683763105696
uc1.b3123860,"Hume, Fergus,",The island of fantasy,1892,m,,300.29167085733985
uiuo.ark:/13960/t6tx3q616,"Glemham, Henry.",George Hern,1878,m,mixed,300.263496537778
uc2.ark:/13960/t39z9256f,"Travers, John.",The Mortimers,1922,m,,300.18229251945723
mdp.39015029497743,"Moore, Thomas,",The Epicurean,1827,m,high_female,300.12277749988635
mdp.39015016976733,,The Faber book of contemporary Latin American short stories / | $c: edited by Nick Caistor.,1989,u,mixed,300.10653782092646
mdp.39015063959954,"Thackeray, William Makepeace,",Roundabout papers,1907,m,,300.0808436976172
uc1.$b447386,"Kuncewiczowa, Maria Szczepańska,","The forester, | a novel. | $c: [Translated from the Polish by H. C. Stevens]",1954,f,,300.0796892120729
uc1.32106018262607,"Aboulela, Leila,",The translator / | $c: Leila Aboulela,1999,f,,300.05310674455654
uc1.$b119613,"Greig, Desmond.","The angel upstairs, | and other stories.",1969,m,,299.9931819731369
mdp.39015076147670,"Kāniṭakara, Hemanta,",Taking a chance / | $c: V.P. (Hemant) Kanitkar.,2008,u,high_female,299.96730214242046
uc1.$b299820,"Christian, Catherine,","The legions go north, | $c: by Catherine Christian.",1935,f,mixed,299.7817050925511
nyp.33433075802268,"Balzac, Honoré de,",Balzac's Contes drolatiques =,1874,m,,299.76673780336495
uc2.ark:/13960/t8hd7sb5v,"Hope, Thomas,",Anastasius,1819,m,,299.67943697856293
uiuo.ark:/13960/t0ms47d1k,,Lemira of Lorraine,1822,u,high_female,299.60472318034186
inu.30000027389893,"Brooke, Cassandra.",Dear Venus / | $c: Cassandra Brooke.,1992,f,mixed,299.53785587950017
uc1.$b787431,"O'Riordan, Conal,","Judith's love,",1940,u,high_female,299.5005864605079
wu.89080114168,"Brown, John,",The Enterkin,1865,m,high_male,299.47292764734067
mdp.39015005593200,"James, Henry,",Roderick Hudson,1883,m,mixed,299.4710163604452
mdp.39015063268448,"Pullinger, Kate.",A little stranger / | $c: Kate Pullinger.,2006,f,,299.47044859699304
njp.32101068167129,Dalton.,"Chartley, the fatalist",1831,u,,299.41299294803616
uc1.32106010207691,"Lindgren, Torgny,",Light / | $c: Torgny Lindgren ; translated from the Swedish by Tom Geddes.,1992,u,high_male,299.3766883792728
mdp.39015035775363,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,299.36014625228523
mdp.39015080878013,"Gray, Simon M.",Blinkered : | a novel / | $c: by Simon M. Gray.,2008,m,mixed,299.3481166298448
inu.30000025826607,"Ricci, N. P. (Nino Pio),",Lives of the saints / | $c: Nino Ricci.,1991,m,,299.2561002205045
nyp.33433074944293,"Cox, George Valentine,",Jeannette Isabelle,1837,m,,299.23494570582426
mdp.39015040132444,"Harvey, Andrew,",Burning houses / | $c: Andrew Harvey.,1986,m,,299.1979194236988
uc1.b4180718,"Mahoff, Alexis.","Smell of smoke,",1936,m,,299.17980536313803
njp.32101068169588,"Galt, John,",Eben Erskine;,1833,m,,299.1617073014654
nyp.33433082132105,"Hugo, Victor,",The man who laughs,1889,m,,299.1344715699656
uiuo.ark:/13960/t1fj3175q,"Morier, James Justinian,",Abel Allnutt,1837,m,mixed,299.1123118487071
mdp.39015049971420,"Johnson-Davies, Denys.",Fate of a prisoner and other stories / | $c: Denys Johnson-Davies.,1999,f,high_male,299.0603388217703
nyp.33433075765085,"Vachell, Horace Annesley,",A drama in sunshine;,1906,m,,299.02253943666125
uc1.32106014461054,"Keates, Jonathan,",Soon to be a major motion picture / | $c: Jonathan Keates,1997,m,,298.9925251868703
uc1.$b86166,"Brinig, Myron,",Singermann / | $c: Myron Brinig.,1930,m,mixed,298.9783075849258
mdp.39015005236727,"Rabelais, François,",Gargantua and Pantagruel | $c: [by] François Rabelais.,1954,u,high_male,298.95607769626065
uc1.32106005492688,"Fitzgerald, F. Scott (Francis Scott),",The Bodley Head Scott Fitzgerald / | $n: Scott Fitzgerald with an introd. by J.B. Priestley.,1963,m,mixed,298.9365582246887
uc2.ark:/13960/t00z71j53,"Miller, Joaquin,",First fam'lies in the Sierras,1875,m,mixed,298.9249191504239
inu.30000038734996,"Tolstai͡a, Tatʹi͡ana,",Sleepwalker in a fog / | $c: Tatyana Tolstaya ; translated from the Russian by Jamey Gambrell.,1991,u,,298.91869411520076
mdp.39015029551986,"Djaman, Noor.",Campus drama : | a contemporary novel / | $c: Noor Djaman.,1992,u,,298.90054763596845
uc1.b4539006,"Warner, Marina,",The lost father / | $c: Marina Warner,1988,f,,298.87369554827984
uc2.ark:/13960/t1pg1tn2w,"Paton, Margaret (Whitecross)",Letters and sketches from the New Hebrides,1905,f,high_male,298.8653695263116
inu.39000000164132,"Anand, Mulk Raj,","The barber's trade union and other stories, | $c: by Mulk Raj Anand.",1944,m,high_male,298.80478087649396
hvd.32044090315813,"White, Charles,",The cashmere shawl,1840,m,high_male,298.7925506514769
uc1.b3771922,"Soldati, Mario,",The Commander comes to dine; | $c: tr. from the Italian.,1952,m,mixed,298.75358718464895
mdp.39015063317658,"Ings, Simon.",The weight of numbers / | $c: Simon Ings.,2006,m,,298.74701590170343
mdp.39015011705624,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,298.7320988780443
mdp.39015063812914,"Peacock, William,","English prose,",1921,m,high_male,298.7288883954929
uiuo.ark:/13960/t6543cv5p,"Brookfield, Arthur Montagu,",The autobiography of Thomas Allen,1882,m,mixed,298.63568491889794
mdp.39015029232769,"Cleary, Jon,",Dark summer / | $c: Jon Cleary.,1992,m,,298.6316183504555
uc1.$b312582,"Stephens, James,","In the land of youth, | $c: by James Stephens.",1924,m,high_male,298.6049549759716
uc1.b3472758,"Freeman, Gillian.",The marriage machine : | a novel / | $c: by Gillian Freeman.,1975,f,,298.47721347569336
uc2.ark:/13960/t6930px2m,"Harte, Bret,","The hoodlum band, and other stories",1878,m,,298.47084798429955
uiuo.ark:/13960/t1hh75806,"Smart, Hawley,",Bitter is the rind,1870,m,,298.4228601913908
mdp.49015002584614,"Swinfen, Ann.",A running tide / | $c: Ann Swinfen.,1998,f,high_female,298.3998092102584
inu.32000009144025,"Hughes, Richard Arthur Warren,",The fox in the attic / | $c: Richard Hughes.,1961,m,mixed,298.2974782732583
uc2.ark:/13960/t14m93151,"Wallace, Edgar,",The book of all power,1920,m,,298.2751912851769
uc1.b2838583,"Scott, Paul,",The day of the scorpion: | a novel.,1968,m,mixed,298.2238638735872
uiuo.ark:/13960/t1sf38s5v,"Lewis, Arthur,",The master of Riverswood,1876,f,,298.21073558648106
mdp.39015032966403,"Schmidt, Susan,",Winging it.,1992,f,high_male,298.190892077355
njp.32101035036035,"Blessington, Marguerite,",Two friends,1835,f,,298.18810889556585
mdp.39015035080772,"Rivolier, Jean.",Emperor penguins. | $c: Translated from the French by Peter Wiles.,1956,f,high_male,298.10832730540756
nyp.33433081604062,Author of Spring flowers & summer blossoms.,"Silver blossoms to produce golden fruit for the young and good, or, Golden keys to good old proverbs",1850,f,,298.08444096950745
uc1.b2799144,"Hearn, C. V.","Desert assignment, | $c: by C. V. Hearn.",1963,u,high_male,298.0136202422636
uiuo.ark:/13960/t9280xx79,"Reid, Mayne,",The flag of distress,1876,m,high_male,298.0088453580851
mdp.39015053499847,"Ballard, J. G.,",The atrocity exhibition / | $c: J. G. Ballard.,1969,m,,297.7548325129067
mdp.39015039573152,"Humphreys, Henry Noel,",Stories by an archæologist and his friends,1856,m,mixed,297.6369430581444
uc1.b4103140,"Mason, A. E. W. (Alfred Edward Woodley),",Königsmark / | $c: A. E. W. Mason.,1940,m,high_male,297.5478266366259
njp.32101068166360,"Church, Alfred John,",Stories of the magicians;,1887,m,high_male,297.5438596491228
uc1.$b244203,"Fisher, Dorothy Canfield,","Rough-hewn, | $c: by Dorothy Canfield ...",1923,f,,297.4864010052248
uc1.32106010174479,,"Storm : | new writing from Mexico / | $c: [editor, Joanna Labor]",1992,u,mixed,297.47508948437644
njp.32101057193193,"Le Sage, Alain René,","The life and adventures of Guzman D'Alfarache, or The Spanish rogue",1823,m,,297.4475782139747
uiuo.ark:/13960/t8kd2g57k,"Murray, Hamilton.",Mildred Vernon;,1848,m,,297.42803024373444
nyp.33433076076268,"Harte, Bret,",Tales of trail and town,1898,m,,297.4266132160869
uc1.b4105552,"Trollope, Anthony,",Tales of all countries,1867,m,high_female,297.2288195303131
inu.32000002538702,"Thompson, Edward John,",An Indian day.,1928,m,,297.2215806966633
uiuo.ark:/13960/t6j10mc9g,,The Navy  at home.,1831,u,high_male,297.19988910451895
pst.000045449451,"Greene, Graham,",The quiet American.,1955,m,,297.06399531091824
mdp.39015062842300,"Drewe, Robert,",Grace / | $c: Robert Drewe.,2005,m,,296.99641362821274
uc2.ark:/13960/t5db83p50,"Müller-Casenov, Hans.",The humour of Germany;,1909,m,,296.9949927570263
mdp.39015047750396,"Jarves, James Jackson,",Kiana,1857,m,,296.98399031682453
uc2.ark:/13960/t0qr51s6d,"Everett-Green, Evelyn,",In Taunton town,1896,f,,296.9666071883762
uc1.b4375980,"Jones, Gwyn,","Eirik the Red, | and other Icelandic sagas.",1961,u,high_male,296.9158768523296
uiuo.ark:/13960/t2k65535d,"Henslowe, J. R.",White and red,1882,u,,296.85636718849105
uiuo.ark:/13960/t7rn3pf5r,"Mathews, William,",The two homes,1859,m,mixed,296.81337858821263
mdp.39015030910205,,Great sea stories of all nations / | $c: by Giovanni Boccaccio ... [et al.] ; edited and with an introduction by H.M. Tomlinson.,1930,u,high_male,296.7798267463661
mdp.39015012184530,"Fitzgerald, Penelope.",Innocence / | $c: Penelope Fitzgerald.,1986,f,mixed,296.7160449759058
uiuo.ark:/13960/t61556w10,"Roy, Gordon.",His cousin Adair,1891,f,,296.67272314331143
