htid,author,title,year,authgender,female_category,gb_strict_london_intensity
mdp.39015002699091,"Williams, Gordon M.,","Walk, don't walk / | $c: Gordon Williams.",1972,m,high_male,68.54474239228684
uc1.$b244852,"Sitwell, Sacheverell,","Far from my home : | stories, long & short / | $c: by Sacheverell Sitwell.",1931,u,,68.50622732836943
uiuo.ark:/13960/t2697pp25,"Middleton, Colin.",Innes of Blairavon,1893,m,high_male,68.50136146455911
mdp.39015013934982,"Ṣāliḥ, al-Ṭayyib.","Season of migration to the North / | $c: [by] Tayeb Salih, translated from the Arabic by Denys Johnson-Davis.",1969,u,,68.45983389482407
uc1.$b268541,"Conquest, Joan.","The naked truth: | shocking revelations about the slums, | $c: by an ex-nursing sister (Joan Conquest).",1933,f,high_female,68.43887328002306
uiuo.ark:/13960/t84j0rz88,"Besant, Walter,",All in a garden fair;,1883,m,,68.41646971016296
mdp.39015066796676,"Cox, Michael,",The meaning of night : | a confession / | $c: Michael Cox.,2006,m,mixed,68.40452623684449
uiuo.ark:/13960/t97661p1n,"Merrywhistle, Marmaduke.",Isn't it odd?,1822,m,,68.39945280437756
mdp.39015066189096,"Thackeray, William Makepeace,",Works,1883,m,,68.36827711941659
uc1.b2798666,"Cook, Kenneth,",Blood red roses.,1963,m,,68.31417689956109
pst.000050354788,"Glover, Fi.",Travels with my radio / | $c: Fi Glover.,2002,u,,68.309448994413
mdp.39015008636089,"Trevor, William,",Elizabeth alone. -,1973,m,high_female,68.28890760510802
mdp.39015055804275,"Brookner, Anita.",The next big thing / | $c: Anita Brookner.,2002,f,,68.2324594603239
uc1.b4937283,"Stanford, Derek.",Short stories of the 'Nineties: | a biographical anthology.,1968,m,mixed,68.22091712641634
uc2.ark:/13960/t06w9kb11,"Besant, Walter,",The seamy side,1888,m,,68.2201892496761
uiuo.ark:/13960/t1dj5tj7p,"Gray, Arnold.",Like lost sheep,1885,m,high_female,68.21282401091406
uc2.ark:/13960/t2r49mj31,"Keith, Leslie",The mischief-maker,1898,f,,68.20525021809819
mdp.39015056885810,"Heller, Zoë.",Notes on a scandal / | $c: Zoe Heller.,2003,u,high_female,68.17296455005842
uc2.ark:/13960/t6b27s27p,"Lubbock, Percy,",George Calderon;,1921,m,high_male,68.08725255327198
uc2.ark:/13960/t14m93151,"Wallace, Edgar,",The book of all power,1920,m,,68.08455453248607
uc1.32106018277571,"Gummerson, Drew",The lodger / | $c: Drew Gummerson,2002,m,,68.07686944824928
uc1.32106001985073,"Gilbert, Michael Francis,",Death has deep roots.,1951,m,,68.06872594122618
uiuo.ark:/13960/t9r21mm8j,"Yates, Edmund Hodgson,",The forlorn hope,1867,m,,68.04969572064627
inu.30000101133936,"Dunn, Suzannah,",The queen of subtleties / | $c: Suzannah Dunn.,2005,f,,68.04429359492585
uc1.$b120397,"Prior, Allan,",The loving cup.,1968,m,mixed,68.01110038316968
uc1.b3321851,"Disraeli, Benjamin,",Henrietta Temple,1837,m,mixed,67.99857526794676
mdp.39015047667145,"Black, William,",Green pastures and Piccadilly,1877,m,high_female,67.99449410437984
uc1.$b300923,"Hopkins, Gerard,",Something attempted / | $c: Gerard Hopkins.,1929,m,high_female,67.98566539529631
njp.32101013270481,"Reynolds, George W. M.",The mysteries of the court of London,1850,m,,67.97926423915357
uiuo.ark:/13960/t76t16s20,"Braddon, M. E.",Wyllard's weird,1880,f,,67.97113396098169
hvd.hxkelx,"Brunton, Mary,",Self-control,1811,f,high_female,67.97059231516161
mdp.39015047112548,"Duncan, Glen,",Hope / | $c: Glen Duncan.,1998,m,high_female,67.96664197212009
njp.32101067486900,"Walpole, Hugh,",A Hugh Walpole anthology,1921,m,mixed,67.9603227392348
uiuo.ark:/13960/t66403x8w,,"False positions, or, Sketches of character",1863,u,,67.95300513224012
mdp.39015040576186,"Smith, Drew",The circus / | $c: Drew Smith,1997,m,high_female,67.93555180651956
uc2.ark:/13960/t1qf8q81v,"Hook, Theodore Edward,","Births, deaths, and marriages",1839,m,mixed,67.89467469594993
uc1.32106007017350,"Hough, Richard Alexander,",Buller's victory / | $c: Richard Hough.,1984,m,high_male,67.8735549052552
uc1.$b808648,"Fleetwood, Hugh.",A conditional sentence / | $c: Hugh Fleetwood.,1974,m,high_female,67.8710161879594
uc1.$b254302,"Mack, Angela.",Continuity girl.,1958,f,,67.84107098437394
mdp.39015050556524,"Higgins, Aidan,",Scenes from a receding past / | $c: Aidan Higgins.,1977,m,,67.8279636195468
uc1.b4105470,"Pain, Barry,",The octave of Claudius,1897,m,mixed,67.81397872148045
uiuo.ark:/13960/t3kw5qs74,"Croker, B. M.",Interference,1891,f,high_female,67.81138746942433
uc2.ark:/13960/t5cc0wq9w,"Mack, Louise,",The marriage of Edward,1913,f,mixed,67.79194749562791
wu.89099762619,"Oppenheim, E. Phillips (Edward Phillips),","The Oppenheim omnibus,: | forty-one stories / | $c: by E. Phillips Oppenheim.",1931,m,,67.78767394128835
nyp.33433074870076,"Holt, Emily Sarah,",The White Rose of Langley: a story of the court of England in the olden time,1875,f,,67.77274127535978
uiuo.ark:/13960/t5gb2n32w,"Braddon, M. E.",The golden calf,1883,f,high_female,67.77035531029141
uc1.b3321925,"Besant, Walter,",The ivory gate,1892,m,mixed,67.76559879377234
uc1.b3575717,"Defoe, Daniel,","The history and remarkable life of the truly honourable Colonel Jack, | $c: by Daniel Defoe. Printed from the first edition.",1923,m,high_male,67.75577806218473
njp.32101066477751,"Baker, Henry Barton,",Strafford,1878,m,,67.75067750677506
umn.319510020884392,"Maugham, W. Somerset (William Somerset),",Works.,1948,m,high_female,67.72900871070307
njp.32101068150943,"Doyle, Arthur Conan,",The man from Archangel,1899,m,high_female,67.68444009927052
uc1.b4584892,"Wilson, A. N.,",Kindly light / | $c: [by] A. N. Wilson.,1979,m,high_male,67.67548252619042
uiuo.ark:/13960/t6xw50s5d,"Oliphant,",The son of his father,1887,f,mixed,67.67181874780067
mdp.39015008683057,"Moorcock, Michael,","The lives and times of Jerry Cornelius / | $c: [by] Michael Moorcock ; illustrated by Mal Dean, Richard Glyn Jones and Harry Douthwaite.",1976,m,,67.66604205704768
njp.32101063693517,"Newby, C. J.,",Margaret Hamilton;,1858,f,high_female,67.65899864682002
mdp.39015024909353,"Parks, Tim.",Goodness / | $c: Tim Parks.,1991,m,high_female,67.63952450853408
uc1.32106017112365,"James, Richard",Red / | $c: Richard James,2002,m,high_male,67.6388315678452
uc1.b4101357,"Gore,",Self,1845,f,mixed,67.63465772546085
mdp.39015063961547,"Winter, John Strange,",The truth-tellers,1896,m,high_female,67.618332081142
uc1.$b245271,"Leslie, Shane,",Masquerades : | studies in the morbid / | $c: by Shane Leslie.,1924,u,,67.60002134737516
mdp.39015031299459,"Morley, Henry.",Gossip,1857,m,mixed,67.59756245207636
mdp.39015031304903,"Symons, Arthur,",Spiritual adventures,1905,m,,67.56465362333424
njp.32101075728475,"Opie, Amelia Alderson,",Tales of the heart,1820,f,mixed,67.53843943095272
uc1.b3324456,"Jerrold, Blanchard,",The chronicles of the Crutch,1860,m,high_male,67.53131417787563
uc1.$b794585,"Fienburgh, Wilfred.",No love for Johnnie.,1959,m,,67.5302351280005
mdp.39015037400606,"Symons, Arthur,",The collected works of Arthur Symons.,1924,m,high_female,67.52291469126224
nyp.33433075772685,"Williamson, C. N.",Scarlet runner,1908,m,high_male,67.48961698200276
mdp.39015033170062,"Morgan,",The princess;,1835,f,,67.48531202032498
mdp.39015030855533,"Batchelor, David.",Brogan & sons / | $c: [by] David Batchelor.,1976,m,mixed,67.4568757829816
mdp.39015048881729,"MacBeth, George.",Dizzy's woman / | $c: George Macbeth.,1986,m,,67.40929237095334
uc2.ark:/13960/t25b00t60,"Lorimer, Norma Octavia,",On desert altars,1915,f,high_female,67.40228561907864
uiuo.ark:/13960/t6h13jd0k,"Mathews, William,",The two homes,1859,m,mixed,67.39733940979187
uiuo.ark:/13960/t1gj01z3b,"Braddon, M. E.",The lady's mile,1866,f,high_female,67.34778683709
uiuo.ark:/13960/t9x06rz7z,"Yates, Edmund Hodgson,",The rock ahead,1868,m,mixed,67.32927220262904
uc1.b4948377,"Lively, Penelope,",Corruption / | $c: Penelope Lively.,1984,f,high_female,67.31740154830024
mdp.39015030745627,"Hood, Stuart,",In and out the windows.,1974,m,,67.30690306164327
uiuo.ark:/13960/t8w95pg0m,"Kennedy, Theo.",Farnorth,1866,m,high_female,67.30513061401909
uiuo.ark:/13960/t84j12g5n,"Murray, David Christie,",Hearts,1883,m,high_male,67.30342388269156
uc2.ark:/13960/t0pr7sw88,"Wood, Henry,",Roland Yorke,1869,f,,67.29389657055066
uiuo.ark:/13960/t57d3dn41,"Braddon, M. E.",The day will come,1889,f,,67.29378749480978
uc1.b4102789,"Gissing, George,",Thyrza;,1892,m,high_female,67.28392972003114
mdp.39015048881166,"Linklater, Eric,","Mr. Byculla, | a story.",1950,m,,67.26759047490918
mdp.39015030542362,"Onions, Oliver,",A case in camera,1920,m,mixed,67.26619821796317
mdp.39015009219885,"Gore,",The two aristocracies,1857,f,,67.25413440480091
uiuo.ark:/13960/t1qf9370v,"Gissing, George,",The unclassed,1884,m,high_female,67.25244521118731
njp.32101066121839,"Gore,","The popular member, The wheel of fortune, etc",1844,f,high_female,67.24088245653357
uva.x030581128,"Thackeray, William Makepeace,",The works of William Makepeace Thackeray,1878,m,,67.23442402510086
uc1.$b300992,"Jameson, Storm,",None turn back / | $c: Storm Jameson.,1936,f,,67.22601035455173
nyp.33433075763338,"Thackeray, William Makepeace,",The Virginians,1868,m,mixed,67.21798033637391
mdp.39015001573248,"Firbank, Ronald,","The new rythum, | and other pieces.",1962,m,,67.20618296883313
mdp.39015031231841,"Durack, Mary.","Keep him, my country / | $c: Mary Durack.",1983,f,high_male,67.20053760430083
mdp.39015048933389,"St. John, Madeleine.",A stairway to paradise / | $c: Madeleine St. John.,1999,f,,67.19301192675964
uiuo.ark:/13960/t44q8936c,"Griffiths, Arthur,",The queen's shilling,1872,m,,67.18423409973127
uiuo.ark:/13960/t1ng51548,"Fenton, J. D.",Memoirs of a lady in waiting,1860,u,mixed,67.16097141629056
uc2.ark:/13960/t17m05d78,"MacGill, Margaret Gibbons.",Shifting sands,1922,f,,67.15837594551924
uiuo.ark:/13960/t7xk8tj3j,"Lennox, William Pitt,",The tuft-hunter,1843,m,mixed,67.14752962072477
uc1.b3327283,"Whyte-Melville, G. J.",Black but comely,1879,m,,67.13235961172094
njp.32101066597442,"Baring-Gould, S.",Arminell,1890,m,,67.10980442285567
mdp.39015080875274,"Clary, Julian.",Devil in disguise / | $c: Julian Clary.,2009,m,high_female,67.09111112664145
umn.31951002097653z,"Eliot, Elizabeth.",Henry.,1950,f,mixed,67.08430949604202
uiuo.ark:/13960/t5h99q32b,"Hunter, P. Hay",My ducats and my daughter,1884,m,,67.06568641097347
mdp.39015008011788,"Maclaren-Ross, J. (Julian),",The funny bone.,1956,m,high_male,67.05409029950827
mdp.39015061327717,"North, Sam.",Unnumbered / | $c: Sam North.,2004,m,high_female,67.04483458987623
uiuo.ark:/13960/t8nc6j78k,"Hunter, P. Hay",My ducats and my daughter,1884,m,,67.02522437102547
uiuo.ark:/13960/t9w09q43p,"Norris, W. E.",No new thing,1883,f,mixed,67.02260592979667
inu.30000027170517,"Miss. Read,",Christmas at Fairacre / | $c: Miss Read ; illustrated by John S. Goodall.,1991,m,high_female,67.02136434875857
uc2.ark:/13960/t8sb44f2j,"Lynch, Bohun,",The tender conscience,1919,u,,67.02092010148883
mdp.39015054387736,"Sinclair, Andrew,",Blood & kin : | an empire saga / | $c: [Andrew Sinclair].,2001,m,mixed,66.96983649018968
uiuo.ark:/13960/t0pr8f278,"Stretton, Hesba,",Through a needle's eye,1879,m,,66.90977217222576
