text_string,occurs_100k
chislehurst,0.00701
bedford row,0.00695
moorfields,0.00695
st alphage,0.00693
south kensington museum,0.0069
stepney green,0.00687
jamaica road,0.00685
whitechapel road,0.0068
red lion street,0.00678
londres,0.00676
gunnersbury,0.00675
british museum,0.00673
frith street,0.00668
cloak lane,0.00667
east hill,0.00664
purley,0.00663
brixton road,0.00662
highgate cemetery,0.00662
ilford,0.00661
beauchamp tower,0.00657
dagenham,0.00656
lon don,0.00654
brixton hill,0.0065
lowndes,0.00649
whitehall,0.00645
wembley park,0.00645
albert memorial,0.00644
putney bridge,0.00643
swaffield,0.00641
queen s gate,0.00639
haverstock hill,0.00638
smith square,0.00638
athole,0.00633
london magazine,0.00632
british islands,0.0063
new burlington street,0.00626
barnsbury park,0.00626
heathrow airport,0.00626
wigmore street,0.00623
nelson square,0.00616
pembridge square,0.00614
uxbridge road,0.00612
marryat,0.00602
shoe lane,0.00601
rignold,0.00594
new bond street,0.00592
harefield,0.0059
trinity square,0.00588
battersea bridge,0.00587
kilburn high road,0.00582
campden hill square,0.00581
hammersmith bridge,0.00579
greek street,0.00579
compton street,0.00578
cockspur street,0.00576
queen s square,0.00576
blackfriars,0.00574
coventry street,0.00569
court road,0.00559
hampstead road,0.00556
westbourne terrace,0.00556
walham green,0.00552
silvertown,0.00551
maygrove road,0.00543
marlborough street,0.00543
moorgate,0.00533
vauxhall bridge,0.00532
mitre court,0.00532
bryanston square,0.00532
houndsditch,0.0053
marshalsea,0.00527
st george s hospital,0.00525
goodge street,0.00521
tavistock square,0.00516
brick lane,0.00515
king william street,0.0051
brompton square,0.00505
great russell street london,0.00503
great ormond street,0.005
harecourt,0.00498
gloucester place,0.00497
stamford bridge,0.00496
carlton terrace,0.00494
wanstead,0.00493
albany street,0.00493
mecklenburgh square,0.0049
east ham,0.00489
farringdon street,0.00488
garamond,0.00487
great george street,0.00482
st ethelburga,0.00482
lisson grove,0.00478
leman street,0.00476
liverpool street station,0.00475
botolph lane,0.00474
herne hill,0.00473
brentham,0.00472
tulse hill,0.0047
lambeth road,0.00468
basinghall street,0.00468
denmark hill,0.00468
doughty street,0.00466
cornhill,0.00465
blackfriars road,0.00464
caledonian road,0.00463
cadogan place,0.00463
new cross,0.00463
carnaby street,0.00463
stockwell,0.00453
compayne gardens,0.00452
clifford street,0.00451
beauchamp place,0.00449
farringdon road,0.00442
monmouth street,0.0044
turnham green,0.00439
wellclose square,0.00439
heme hill,0.00434
ely place,0.00434
walworth road,0.00432
clarges,0.00428
central london,0.00428
petticoat lane,0.00425
tufnell park,0.00423
montpelier square,0.00423
pentonville road,0.00423
tooley street,0.00423
wilton crescent,0.00423
new scotland yard,0.00421
south hampstead,0.0042
carlton house,0.0042
aldgate east,0.0042
hounslow heath,0.0042
guy s hospital,0.00419
upper street,0.00416
mafeking road,0.00416
gerrard street,0.00412
twitenham,0.00411
hyde park gardens,0.0041
st paul s churchyard,0.00409
st gildas,0.00408
london street,0.00408
st thomas s hospital,0.00408
alwyne,0.00404
st mark s place,0.00401
furnival,0.00401
keston,0.004
cork street,0.00399
young england,0.00397
farringdon,0.00393
villiers street,0.00391
connaught square,0.00391
hobart hall,0.0039
old street,0.00386
middlesex street,0.00385
pumblechook,0.00384
weymouth street,0.00383
st james street,0.00383
berners street,0.00377
great tower street,0.00375
wardour,0.00375
greater london,0.00375
old broad street,0.00371
america square,0.0037
norbiton,0.00369
grosvenor road,0.00369
goswell road,0.00369
cumberland hotel,0.00368
paddington green,0.00367
hammersmith broadway,0.00365
railton road,0.00363
netherhall gardens,0.00362
ormond street,0.00361
mitre street,0.0036
new ormond street,0.0036
fetter lane,0.0036
covent garden market,0.00358
kilburn park,0.00357
surrey street,0.00355
west end lane,0.00355
gray s inn lane,0.00354
bucklersbury,0.00352
granta,0.00352
albert bridge,0.00351
aldersgate street,0.00349
kensington church street,0.00349
westbourne park,0.00349
warwick gardens,0.00348
commercial road,0.00347
onslow square,0.00346
kensington gore,0.00344
hendon hall,0.00344
montagu square,0.00343
cranbourne alley,0.00343
kennington road,0.00342
lambeth,0.00341
west drayton,0.00341
st bartholomew s hospital,0.0034
broadhurst gardens,0.0034
elgood street,0.00338
coldharbour lane,0.00337
camden road,0.00337
scrope,0.00336
edric,0.00333
acre lane,0.00333
greenford,0.00331
southall,0.00331
london wall,0.0033
stanhope gate,0.00329
south kensing,0.00329
brockwell park,0.00325
vauxhall gardens,0.00323
north end road,0.00323
st james park,0.00323
guilford street,0.00322
streatham hill,0.0032
chester square,0.00315
poplar,0.00314
wellington barracks,0.00313
totteridge,0.00313
berwick street,0.00313
change alley,0.00312
covent garden theatre,0.00311
upminster,0.00308
east finchley,0.00308
pont street,0.00307
theobald s road,0.00307
anerley,0.00307
southwark bridge,0.00307
lower thames street,0.00306
cumberland gate,0.00305
bethlem,0.00303
chingford,0.00302
montague square,0.00301
kew green,0.003
quex road,0.003
bethnal green road,0.003
barnsbury,0.00299
st thomas s street,0.00299
moorgate street,0.00298
tristram shandy,0.00297
great northern hotel,0.00294
malmsey,0.00293
st matthew s,0.00291
horseferry road,0.0029
albert gate,0.00287
gutter lane,0.00287
kensington palace gardens,0.00287
south quay,0.00287
borough road,0.00286
tavistock street,0.00285
northwood,0.00285
southampton row,0.00284
st pancras station,0.00284
wandle,0.00283
marylebone gardens,0.00283
havering,0.00282
childeric,0.00282
holborn bridge,0.00281
floral street,0.00279
old palace,0.00278
finsbury square,0.00278
bread street,0.00277
hoxton square,0.00276
catford,0.00275
port man square,0.00274
eel pie island,0.00274
camden hill,0.00273
canning town,0.00272
milton street,0.0027
barbican,0.0027
inner temple,0.00269
thornhaugh street,0.00269
belgrave road,0.00269
turnmill street,0.00268
