htid,author,title,year,authgender,female_category,urban_others
uiuo.ark:/13960/t4dn4qw1h,"Payn, James,",The burnt million,1890,m,,5.133382385653907
uc1.$b803945,"Stock, Ralph,",The recipe for rubber,1912,m,high_male,5.1313628899835795
mdp.39015021856847,"Galloway, Janice.",Blood / | $c: Janice Galloway.,1991,f,high_female,5.131275121867784
inu.32000006995510,"Holbrook, Ann Catherine,",Constantine Castriot,1829,f,mixed,5.130046683424819
uc2.ark:/13960/t6g15wj1f,"Castle, Agnes (Sweetman),",Incomparable Bellairs,1907,f,mixed,5.128073639137458
mdp.39015083385156,"Monro, W. D.",Stories of Indian gods & heroes,1911,u,,5.1268905408869525
uiuo.ark:/13960/t0ns1b71r,"Kavanagh, Julia,",Adèle,1858,f,,5.117916803144448
nyp.33433074911300,"Summersett, Henry.","Martyn of Fenrose; or, The wizard and the sword",1801,m,mixed,5.116921659929386
uc1.b3122363,"Stern, G. B. (Gladys Bronwyn),",Dogs in an omnibus / | $c: by G. B. Stern. With frontispiece and illustrations in the text by K. F. Barker.,1942,f,,5.115743701240568
wu.89005896576,"Gotthelf, Jeremias,","Ulric, the farm servant",1886,f,,5.114827886041635
uiuo.ark:/13960/t5x645f3g,"Wilton, Maurice.",The old love is the new,1880,m,,5.112605127942944
uiuo.ark:/13960/t1sf3f894,"Whyte-Melville, G. J.",Cerise,1866,m,,5.107839256298604
hvd.32044097914444,"Cooper, James Fenimore,",The spy; a tale of the neutral ground;,1825,m,,5.101607006206955
mdp.39076002872849,"Glass, Lisa.",Prince Rupert's teardrop / | $c: Lisa Glass.,2007,f,high_female,5.097151711623545
wu.89095838801,"Holmsen, Sverre,",Polynesian trade wind. | $c: Translated from the Swedish by Joan Bulman.,1949,u,high_male,5.092600451543906
uiuo.ark:/13960/t0zp49h3s,"Carey, Rosa Nouchette,",Lover or friend?,1890,f,,5.089965133738834
uc1.32106013464307,"Galloway, Janice,",Blood,1991,f,high_female,5.087505087505088
uiuo.ark:/13960/t7wm1jp8t,"Bradshaw, John,",Roger North,1885,f,high_female,5.085952598921778
uiuo.ark:/13960/t5k93t33d,"Riddell, J. H.,",Berna Boyle,1884,f,,5.082764346102367
hvd.hn2heb,"Porter, Jane,",The two princes of Persia,1801,f,high_male,5.079236082893133
uc1.$b63959,"Whitfield, Christopher.","Mr. Chambers and Persephone, | $c: a tale by Christopher Whitfield. Printed, with wood-engravings by Dorothea Braby, at the Golden cockerel press.",1937,m,high_male,5.078720162519045
uiuo.ark:/13960/t15m6k41d,"Daniel, Mackenzie,",Gertrude Cameron,1853,f,high_female,5.078032431700464
mdp.39015000638307,"Le Butt, Paul.",We too can die; | tales of the Chindits.,1947,m,high_male,5.063803929511849
uiuo.ark:/13960/t8kd2ht61,"Roche, Regina Maria,",The discarded son;,1807,f,,5.062009617818274
uc1.b3325365,"Broughton, Rhoda,",Joan,1876,f,high_female,5.0603872883071315
uiuo.ark:/13960/t86h55c3c,Author of Rare pale Margaret.,Pomegranate seed,1886,u,high_female,5.060301931348571
uc2.ark:/13960/t15m6448d,"Goy, Mathilde Keck.","Alone in Africa; or, Seven years on the Zambesi",1902,f,high_male,5.0584248065152515
uiuo.ark:/13960/t2j67st9n,"Daniel, Mackenzie,",Elsie's married life,1865,f,,5.0584248065152515
uc2.ark:/13960/t9b56hq1g,"Bercovici, Konrad,",Gypsy blood,1922,u,,5.0576572931418164
inu.30000001664782,"Gore,",Castles in the air,1847,f,mixed,5.055952541458811
uc1.$b391279,"Cooper, Edmund,",All Fools' Day.,1966,m,mixed,5.0526103047987165
uiuo.ark:/13960/t0ns1d08t,"Oliphant,",The second son,1888,f,mixed,5.051780752715332
mdp.39015008844709,"Spenser, Edmund,",The faerie queene. | $c: Introd. by J.W. Hales.,1955,m,,5.049569944959687
inu.30000108972872,"Penny, Georgina.",Witchery of the west; | some legends of Cornwall. | $c: With 11 line drawings by Hilda M. Quick.,1950,f,mixed,5.047191238076011
wu.89092531771,"Hogg, James,",The three perils of woman,1823,m,,5.04693650953871
uiuo.ark:/13960/t3320jn49,"Mathers, Helen,", Cherry ripe!,1878,f,,5.037106685919608
inu.32000007038484,"MacDonald, George,",Malcolm,1875,m,mixed,5.030079877668458
uiuo.ark:/13960/t4th8s06z,"Armstrong, F. C.",The frigate and the lugger,1861,m,,5.025293979697812
wu.89018081869,"Horst, Kate A. ter.","Cloud over Arnhem, | September 17th-26th 1944.",1959,f,high_male,5.0208364713561275
mdp.39015059378540,"Yonge, Charlotte M.",Heartsease;,1854,f,high_female,5.0151888576832695
dul1.ark:/13960/t6b28fr9v,"Harvey, Jane,",Brougham Castle,1816,f,,5.010271055664111
mdp.39015065597067,"Trollope, Anthony,",The chronicles of Barsetshire,1891,m,,5.002289509429316
mdp.39015031607966,"Briggs, Katharine Mary.","A dictionary of British folk-tales in the English language, | incorporating the F. J. Norton collection | $c: [by] Katharine M. Briggs.",1970,f,high_male,4.99425660490436
nyp.33433074967070,"Ede, Charles.",Warm hearts in cold regions,1862,m,high_male,4.993633117774837
