htid,author,title,year,authgender,period,diff
mdp.39015014846300,"Bergengruen, Werner,","The last captain of horse, | a portrait of chivalry.",1953,u,1951-2009,0.2201082389432304
mdp.39015061186386,"Meek, James,",The people's act of love / | $c: James Meek.,2005,m,1951-2009,0.22017195350200713
mdp.39015001528036,"Cendrars, Blaise,",To the end of the world; | $c: translated from the French by Alan Brown.,1967,u,1951-2009,0.22017195350200713
mdp.39015048497278,"Stickley, Caroline.",Broken snare / | $c: by Caroline Stickley.,1975,f,1951-2009,0.22017195350200713
mdp.39015000549371,"Pohl, Frederik.",Rogue star | $c: [by] Frederick Pohl [and] Jack Williamson.,1972,m,1951-2009,0.22017195350200713
mdp.39015008013065,"Vesaas, Tarjei,",The bridges; | $c: translated from the Norwegian by Elizabeth Rokkan.,1969,m,1951-2009,0.22017195350200713
uc1.b3589883,"Roblès, Emmanuel.",Knives. | $c: Translated by Geoffrey Sainsbury.,1958,m,1951-2009,0.22017195350200713
mdp.39015064957809,"Ikonnikov, Alexander.",Lizka and her men / | $c: Alexander Ikonnikov ; translated by Andrew Bromfield.,2007,m,1951-2009,0.22017195350200713
mdp.39015025250260,"Barillé, Elisabeth.","Anaïs Nin, naked under the mask / | $c: Elisabeth Barillé ; translated by Elfreda Powell.",1992,f,1951-2009,0.22024395292601195
inu.30000132128434,"Werner, Bruno E. (Bruno Erich),",The slave ship.,1953,m,1951-2009,0.2202576418363974
uc1.32106012432289,"Pineau, Gisèle",The drifting of spirits / | $c: Gisèle Pineau ; translated by Michael Dash,1999,u,1951-2009,0.22029182883166432
mdp.39015040132576,"Meersch, Maxence van der,",Mask of flesh / | $c: by Maxence van der Meersch.,1960,m,1951-2009,0.22038728511268757
umn.31951000930285q,"Blond, Georges,",The great whale game. | $c: Translated from the French by James Cleugh.,1954,u,1951-2009,0.22038728511268757
mdp.39015066835904,"Harris, Wilson.",The ghost of memory / | $c: Wilson Harris.,2006,m,1951-2009,0.22052973525513775
mdp.39015060400457,"O'Grady, Timothy.",Light / | $c: Timothy O'Grady.,2004,m,1951-2009,0.22052973525513775
mdp.39015074239040,"Tsutsui, Yasutaka,",Hell / | $c: Yasutaka Tsutsui ; trans. by Evan Emswiler.,2007,u,1951-2009,0.22052973525513797
mdp.39015019364358,"Ekwensi, Cyprian.",Survive the peace / | $c: [by] Cyprian Ekwensi.,1976,m,1951-2009,0.22061312070437678
mdp.39015033593578,"Simenon, Georges,",The watchmaker of Everton / | $c: Georges Simenon ; [translated by Norman Denny].,1975,m,1951-2009,0.22063094983003673
inu.30000003141797,"Lamport, F. J. (Francis John)",The Penguin book of German stories / | $c: edited by F. J. Lamport.,1974,m,1951-2009,0.22065847680647355
mdp.39015024945225,"Mulkerns, Val,",Very like a whale / | $c: Val Mulkerns.,1987,m,1951-2009,0.22070656991473114
uc1.$b547610,"McCloy, Helen.",Two-thirds of a ghost.,1957,f,1951-2009,0.22070656991473114
mdp.39015067683485,"Habila, Helon,",Measuring time / | $c: Helon Habila.,2007,f,1951-2009,0.22078194206472157
uc1.32106011414205,"Simenon, Georges,",Maigret's first case / | $c: by Georges Simenon. Translated from the French by Robert Brain,1953,m,1951-2009,0.22081202177595638
uc1.$b251618,"Sinclair, Upton,",What Didymus did.,1954,m,1951-2009,0.22081202177595638
inu.30000111282186,"Oakes, Andy,",Citizen one / | $c: Andy Oakes.,2007,m,1951-2009,0.22091699101996798
uc1.$b690098,"Wignall, Sydney.",Prisoner in Red Tibet.,1957,m,1951-2009,0.22095187409191075
mdp.39015070426179,"Riesen, René.",Jungle mission / | $c: René Riesen ; translated by James Oliver.,1957,u,1951-2009,0.22096929569469836
uc1.b2807206,"Bitsch, Jørgen,",Why Buddha smiles | $c: [by] Jørgen Bisch. Translated by Gwynne Vevers.,1964,u,1951-2009,0.22106954632126474
inu.30000122549797,"Ṭaḥāwī, Mīrāl.",Gazelle tracks : | a modern Arabic novel from Egypt / | $c: Miral al-Tahawy ; translated by Anthony Calderbank.,2008,u,1951-2009,0.22122903595443832
inu.39000005781823,"Ćurčija-Prodanović, Nada.","Yugoslav folk-tales, | $c: re-told by Nada Ćurčija-Prodanović; illustrated by Joan Kiddell-Monroe.",1957,f,1951-2009,0.22122903595443855
mdp.39015062495117,"Nabokov, Vladimir Vladimirovich,",Laughter in the dark : | a novel / | $c: by Vladimir Nabokov.,1961,m,1951-2009,0.22122903595443855
uc1.b3475721,"Harriott, Ted,",Keep on running / | $c: [by] Ted Harriott.,1980,m,1951-2009,0.22122903595443855
inu.39000002201098,"Traven, B.",The cotton-pickers / | $c: B. Traven.,1979,u,1951-2009,0.22122903595443855
mdp.39015066609572,"Vittorini, Elio,",Tune for an elephant / | $c: Elio Vittorini ; translated from the Italian by Eric Mosbacher.,1955,m,1951-2009,0.22122903595443855
mdp.39015000221278,"Musil, Robert,",The man without qualities. | $c: Translated from the German and with a foreword by Eithne Wilkins & Ernst Kaiser.,1953,m,1951-2009,0.22122903595443855
uc1.b3445681,"Meckel, Christoph.","The figure on the boundary line : | selected prose / | $c: Christoph Meckel : edited by Christopher Middleton ; graphics by the author ; translations by Christopher Middleton, Brian Harris and Margaret Woodruff.",1983,u,1951-2009,0.22122903595443855
