htid,author,title,year,authgender,female_category,urban_generics
mdp.39015063938347,"Duchess,",Nora Creina,1893,f,high_female,10.279010902175939
nyp.33433082345954,"Kingston, William Henry Giles,",In the wilds of Africa,1872,m,high_male,10.266163804748372
uiuo.ark:/13960/t3jw8x70w,"Craik, Georgiana M.",Dorcas,1879,f,high_female,10.264411233371654
nyp.33433074911300,"Summersett, Henry.","Martyn of Fenrose; or, The wizard and the sword",1801,m,mixed,10.233843319858773
mdp.39015032457106,"Liddell, Robert,",The deep end : | a novel / | $c: Robert Liddell.,1993,m,,10.22704029453876
mdp.39015024518659,,"The story of Burnt Njal, from the Icelandic of the Njals saga, | by George Webbe Dasent.",1923,u,,10.211375472276115
mdp.39015030062668,,"The story of Burnt Njal, from the Icelandic of the Njals saga, | $c: by George Webbe Dasent.",1923,u,,10.20219474714498
mdp.39015017695944,,"The story of Burnt Njal, from the Icelandic of the Njals saga, | $c: by George Webbe Dasent.",1923,u,,10.2014792144861
inu.30000007145497,,The story of Burnt Njal. | $c: Translated by Sir George Webbe Dasent; introduction by E. O. G. Turville-Petre.,1960,u,,10.197643069745505
mdp.39015030062650,,"The story of Burnt Njal, from the Icelandic of the Njals saga, | $c: by George Webbe Dasent.",1923,u,,10.184595798854232
uc2.ark:/13960/t2988792t,"Maclean, Donald.","The luck of the ""Gold Moidore""",1920,m,high_male,10.17722917666216
uiuo.ark:/13960/t0ns18n38,"Mant, Alicia Catherine,","Montague Newburgh; or, The mother and son",1817,f,high_female,10.098587460079022
uc1.b3327588,"Ponsonby, Emily,",Edward Willoughby,1854,f,mixed,10.094212651413189
nyp.33433075771612,"Prest, Thomas Peckett.","The brigand; or, The mountain chief",1851,m,,10.03690679462312
mdp.39015001057093,,Gon̈gu-Hrolfs saga / | $c: translated [from the Icelandic] by Hermann Pálsson and Paul Edwards.,1980,u,high_male,10.006604358876858
nyp.33433067294722,"Kennedy, Grace,",The works of Grace Kennedy,1827,f,mixed,9.97340425531915
