htid,author,title,year,authgender,female_category,urban_global_fraction
uc2.ark:/13960/t3st7gj33,"MacDonald, George,",The wise woman;,1875,m,high_female,1.0
uc2.ark:/13960/t9571977v,,The robins' nest; and where do you think they built it?,1864,u,,1.0
uc2.ark:/13960/t5w66b96n,,Red Riding Hood,1871,m,high_male,1.0
mdp.39015027553141,"Beaton-Jones, Cynon,",So Hi and the White Horse of Fu. | $c: Illustrated by John Ward.,1952,u,mixed,1.0
uc2.ark:/13960/t78s4kw9p,,Jack and Jill and old Dame Gill,1806,u,mixed,1.0
uc1.32106010943360,"Darvas, Robert.",Right through the pack : | a bridge fantasy / | $c: by Robert Darvas and Norman de V. Hart ; introduction by Guy Ramsey.,1978,m,,0.952054794520548
uiuo.ark:/13960/t8z89xh0r,"Collins, Wilkie,",Basil,1852,m,,0.9193548387096774
uc2.ark:/13960/t2b854q62,"Nicholson, John Gambril,",In Carrington's duty-week,1910,m,high_male,0.909547738693468
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,0.9036144578313252
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,0.8947368421052632
wu.89099916504,"Bretherton, Ralph Harold.",The child mind,1903,m,high_female,0.875
uc1.$b389725,"Langley, Noel,",The loner.,1967,m,mixed,0.8426501035196688
uiuo.ark:/13960/t3zs3358q,"Curtois, Margaret Anne.",Tracked,1888,f,,0.8421052631578947
uiuo.ark:/13960/t0zp49609,"Banim, John,",Father Connell,1842,m,mixed,0.838709677419355
nyp.33433074875943,"MacDonald, George,",David Elginbrod,1863,m,mixed,0.8360655737704917
hvd.hn2hcf,,"Variety, or, Stories for children from the age of seven years to twelve",1823,u,,0.8333333333333334
uc1.32106008123272,"Spicer, Jack.",Lament for the maker / | $c: Jack Spicer.,1971,m,,0.8333333333333334
umn.31951000442949l,"Stevens, Frank,",Adventures in hiveland,1903,m,high_female,0.8333333333333333
uiuo.ark:/13960/t1ng5561x,"Yorke, Curtis.",A romance of modern London,1892,f,,0.8282208588957053
uiuo.ark:/13960/t72v3222s,"James, G. P. R.",The gentleman of the old school,1839,m,mixed,0.8264840182648402
mdp.39015010309220,"McEwan, Ian.",The comfort of strangers / | $c: Ian McEwan.,1981,m,high_female,0.823529411764706
uiuo.ark:/13960/t3rv14r6v,"Oliphant,",Squire Arden,1871,f,,0.816901408450704
uiuo.ark:/13960/t13n2sh8d,"Simpson, J. Palgrave","The lily of Paris, or, The king's nurse",1849,m,,0.8098765432098769
uiuo.ark:/13960/t71v6546p,"Tabor, Eliza.",Alec's bride,1867,f,,0.8059701492537313
uc2.ark:/13960/t0js9k39t,"Makower, Stanley Victor.",The mirror of music,1895,m,,0.8046875000000001
mdp.39015025389233,"García Morales, Adelaida.","The South ; and, Bene / | $c: Adelaida García Morales ; translated by Sarah Marsh.",1992,f,high_female,0.8028169014084507
uc2.ark:/13960/t3xs5xp5c,"Pearse, Mark Guy,",Gold and incense,1895,m,high_female,0.8
uc1.b3339470,"James, G. P. R.","The works of G.P.R. James, esq",1844,m,,0.7972972972972971
mdp.39015059376494,,The New British novelist;,1830,u,mixed,0.7969924812030074
uc1.32106018775459,"Platonov, Andreĭ","Happy Moscow / | $c: Andrey Platonov ; translated from the Russian by Robert and Elizabeth Chandler with Angela Livingstone, Nadya Bourova and Eric Naiman ; with an introduction by Eric Naiman",2001,u,,0.7960526315789473
mdp.39015065549191,"Ross, Martin,",The silver fox,1898,f,,0.7844827586206895
nyp.33433082521190,"Charlesworth, Maria Louisa,",Ministering children,1855,f,,0.784313725490196
uiuo.ark:/13960/t0bv84w96,"Young, Mary Julia.","Right and wrong; or, The kinsmen of Naples",1803,f,high_male,0.7792207792207791
uc1.32106007762690,"Roy, Namba.",Black Albino / | $c: Namba Roy.,1986,u,mixed,0.7766749379652608
uiuo.ark:/13960/t1jh43q68,"Merrywhistle, Marmaduke.",Isn't it odd?,1822,m,,0.7761194029850746
uiuo.ark:/13960/t7hq4mf5t,"Young, Mary Julia.","Right and wrong; or, The kinsmen of Naples",1803,f,high_male,0.7720588235294117
uiuo.ark:/13960/t0zp4pz92,"Young, Mary Julia.","Right and wrong; or, The kinsmen of Naples",1803,f,high_male,0.7678571428571428
uiuo.ark:/13960/t52f8dw6t,"Colmore, G.",A daughter of music,1894,u,high_female,0.7647058823529411
mdp.39015030742483,"Dornfeld, Iris.",Boy Gravely.,1965,f,high_male,0.7597402597402597
mdp.39015005498665,"Cooper, William,",Scenes from provincial life | $c: [by] William cooper [pseud.],1961,m,high_male,0.7559681697612732
uc1.b4088954,"Sharp, Margery,","Martha, Eric, and George.",1964,f,high_female,0.7515151515151515
uc1.b3548995,"Topolski, Feliks,",Portrait of G.B.S. / | $c: with an introduction by Hesketh Pearson.,1946,u,high_male,0.75
uiuo.ark:/13960/t3xs6cp6m,"Young, Mary Julia.","Right and wrong; or, The kinsmen of Naples",1803,f,high_male,0.7483870967741935
njp.32101063606022,"Cobbold, Richard,","Zenon, the martyr;",1847,m,high_male,0.7431693989071038
uc2.ark:/13960/t6pz56n1p,"Mayo, Isabella Fyvie,",The occupations of a retired lfe,1869,f,high_female,0.7415730337078651
uc1.$b614959,"Frank, Leonhard,",The cause of the crime / | $c: by Leonhard Frank.,1928,u,high_male,0.7391304347826088
uiuo.ark:/13960/t20c5g35k,"Law, Agnes.",Eyes so blue;,1878,f,,0.7358490566037736
uiuo.ark:/13960/t0gt5ww8k,"Collins, Wilkie,",Jezebel's daughter,1880,m,mixed,0.7301587301587302
uiuo.ark:/13960/t9474p035,"Charlton, Mary.",The homicide,1805,f,high_female,0.73015873015873
mdp.39015055609716,"Bailey, Eleanor.",Marlene Dietrich lived here / | $c: Eleanor Bailey.,2002,f,,0.7253521126760561
uc1.$b119569,"Lovelace, Earl,",The schoolmaster.,1968,m,,0.7252747252747253
njp.32101065848374,"Murray, David Christie,",The weaker vessel,1888,m,mixed,0.7234042553191488
dul1.ark:/13960/t7fr0gj3r,,The three chances,1858,u,,0.7222222222222222
uc1.b3322521,"Gladstone, Alfred.",The man of the hour,1863,m,,0.7222222222222222
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,0.7219251336898396
njp.32101037077284,"Fenn, George Manville,",Sweet mace,1884,m,mixed,0.7199999999999999
uiuo.ark:/13960/t6rx9ws21,"Simpson, J. Palgrave","The lily of Paris, or, The king's nurse",1849,m,,0.7197452229299365
uc1.$b285039,"Farrell, James T. (James Thomas),",The girls at the Sphinx.,1959,m,mixed,0.7194029850746267
mdp.39015073496062,"Neukrantz, Klaus,",Barricades in Berlin / | $c: Klaus Neukrantz.,1932,u,,0.7183908045977012
uiuo.ark:/13960/t4hm5ts3b,"McCarthy, Justin,",The riddle ring,1896,m,mixed,0.717948717948718
uc1.$b396080,"Simenon, Georges,",The prison / | $c: Georges Simenon ; translated from the French by Lyn Moir.,1969,m,,0.7155963302752294
uiuo.ark:/13960/t9j39b076,"Needell, J. H.,","Lucia, Hugh, and another",1884,f,,0.7150537634408602
nyp.33433075723407,"Watson,","Rosamund, countess of Clarenstein",1812,f,,0.7142857142857143
mdp.39015040573068,"Cusk, Rachel,",The country life / | $c: Rachel Cusk.,1997,f,,0.7115384615384616
uiuo.ark:/13960/t8sb4qd43,"Sedley, Charles,",A winter in Dublin,1808,m,high_female,0.7105263157894737
uc2.ark:/13960/t5db82v88,"Zola, Émile,",A love episode,1897,m,high_female,0.7095435684647302
uc2.ark:/13960/t1kh0kh08,"Grey,",The gambler's wife,1844,f,mixed,0.7090909090909091
njp.32101066458348,"Cross, Victoria.",The woman who didn't,1895,f,mixed,0.7087378640776699
uiuo.ark:/13960/t2x353998,"Collins, Wilkie,",Jezebel's daughter,1880,m,mixed,0.7070707070707071
uiuo.ark:/13960/t7hq4g15s,"McCarthy, Justin H.",A London legend,1895,m,,0.7043010752688171
uc1.$b115271,"Marshall, Peter,",Excluded from the cemetery.,1966,m,high_male,0.7037037037037037
inu.39000003808560,"Daudet, Alphonse,",Artists' wives,1896,m,,0.7017543859649122
uc1.$b244768,"Strong, L. A. G. (Leonard Alfred George),",Light above the lake / | $c: L.A.G. Strong.,1958,m,,0.7014218009478674
nyp.33433074902317,"Montgomery, Florence,",Peggy,1876,f,high_female,0.7
njp.32101067301109,"Hamilton, Cosmo,",The infinite capacity,1910,m,,0.6988636363636362
inu.32000009137540,"Isherwood, Christopher,",Goodbye to Berlin.,1940,m,mixed,0.698170731707317
nyp.33433074875950,"MacDonald, George,",David Elginbrod,1863,m,mixed,0.6972477064220183
mdp.39015056837084,"Bryant-Jefferies, Richard.",Time limited therapy in primary care : | a person-centred dialogue / | $c: Richard Bryant-Jefferies ; [forewords by Graham Curtis Jenkins and Jerold D. Bozarth].,2003,m,high_female,0.696969696969697
uc2.ark:/13960/t5r788w3v,"Corelli, Marie,",Jane,1897,f,high_female,0.6956521739130435
nyp.33433040405569,"Balzac, Honoré de,",A distinguished provincial at Paris=,1897,f,high_male,0.6953020134228182
uiuo.ark:/13960/t8gf1c96p,"Murray, David Christie,",A rising star,1894,m,mixed,0.6938775510204083
dul1.ark:/13960/t4pk1061h,,The three chances,1858,u,,0.6923076923076923
uiuo.ark:/13960/t50g45q3f,"Law, Agnes.",Eyes so blue;,1878,f,,0.6923076923076922
mdp.39015021071926,"Crawford, F. Marion",The witch of Prague,1891,m,high_female,0.6907216494845361
uc1.32106007027466,"Queneau, Raymond,",Zazie / | $c: Raymond Queneau ; translated from the French by Barbara Wright.,1982,m,high_male,0.6901408450704225
nyp.33433074875281,"Macdonald, W. A.",The oldest story,1908,u,high_male,0.6874999999999999
mdp.39015030709813,"Newby, P. H. (Percy Howard),",Mariner dances : | a novel / | $c: by P.H. Newby.,1948,m,high_female,0.6874999999999998
nyp.33433075746887,"Sharp, William,",The mountain lovers,1895,m,high_male,0.6862745098039217
mdp.39015059376619,,The New British novelist;,1830,u,mixed,0.6862745098039215
mdp.39015069302597,"Harris, Joanne,",The lollipop shoes / | $c: Joanne Harris.,2007,f,,0.6846846846846847
mdp.39015065801287,"Dorat, Claude Joseph,","Chevalier de Versenai, a novel",1810,f,high_male,0.6842105263157895
uiuo.ark:/13960/t45q58r2q,,"David Armstrong, or, Before the dawn",1880,u,mixed,0.6842105263157894
uiuo.ark:/13960/t9280wh3k,"Needell, J. H.,","Lucia, Hugh, and another",1884,f,,0.6823529411764707
uc1.32106014295098,"Reed, Jeremy",Dorian / | $c: Jeremy Reed,1997,m,high_male,0.6822429906542057
mdp.39015040376280,"Reed, Jeremy",Dorian / | $c: Jeremy Reed,1997,m,high_male,0.6822429906542057
hvd.hn21hm,"Porter, Jane,",Thaddeus of Warsaw,1805,f,,0.6816143497757847
mdp.39015032196019,"Friel, George.",The bank of time / | $c: George Friel ; introduced by Gordon Jarvie.,1995,m,high_male,0.6796116504854369
njp.32101067630614,"Forrester,",The light of other days,1894,f,high_female,0.6785714285714286
inu.32000009139157,"Hanley, James,",The German prisoner / | $c: by James Hanley ; with an introd. by Richard Aldington.,1930,m,high_male,0.6785714285714285
uc1.b4689840,"Tagore, Rabindranath,",Sacrifice and other plays,1917,m,,0.675
dul1.ark:/13960/t3ws9fc67,"Wood, Henry,",A life's secret,1867,f,,0.673913043478261
uiuo.ark:/13960/t52f87g8b,"Yorke, Curtis.",A romance of modern London,1892,f,,0.6739130434782609
uiuo.ark:/13960/t8kd2kn35,"Collins, Wilkie,",Basil,1852,m,,0.6724137931034483
uc2.ark:/13960/t06w97g82,"Ballantyne, R. M.",Fighting the flames,1876,m,,0.6711956521739132
uiuo.ark:/13960/t6zw20r54,"Middlemass, Jean.","Nelly Jocelyn, widow",1887,f,,0.6699999999999998
uc1.32106017308997,"Berg, Jean de",The image / | $c: Jean de Berg,2004,f,high_female,0.6666666666666667
mdp.39015002757238,"Sansom, William,",Fireman Flower.,1952,m,high_male,0.6666666666666667
mdp.39015040554423,"Zayyāt, Laṭīfah.",The owner of the house / | $c: Latifa Zayyat ; translated from the Arabic by Sophie Bennett.,1997,u,high_female,0.6666666666666667
uc2.ark:/13960/t8nc5wf3m,"Maeterlinck, Maurice,",Three plays. with introd. by H. Granville Barker,1911,m,high_female,0.6666666666666667
uc2.ark:/13960/t45q4tq9w,"Ransome, Arthur,",The soldier and death,1920,m,high_male,0.6666666666666667
inu.30000105174845,"Sinclair, Upton,","Damaged goods : | ""Les avariš"" by Brieux ; novelized with the approval of the author / | $c: by Upton Sinclair.",1931,m,,0.6666666666666666
mdp.39015026427222,"Godfrey, Walter Scott,","Philosophies of life; | a survey and a speculation; including a friendly criticism of Mr. McCabe's outlook, | $c: by W. S. Godfrey ... With prefatory letter by William Archer.",1923,m,high_male,0.6666666666666666
uc1.b3331938,,The little merchant,1855,u,high_male,0.6666666666666666
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,0.6666666666666665
uiuo.ark:/13960/t84j0w803,"Gore,","Greville, or, A Season in Paris",1841,f,,0.6652719665271966
mdp.39015064690525,"Myerson, Julie.",The story of you / | $c: Julie Myerson.,2006,f,,0.6626506024096385
uc1.$b372446,"Jefferies, Richard,","After London, or, Wild England",1886,m,mixed,0.6610738255033559
wu.89099772360,"Charlesworth, Maria Louisa,",Ministering children,1903,f,mixed,0.6610169491525423
pst.000049849950,,The Time Out book of Paris short stories / | $c: edited by Nicholas Royle.,1999,u,,0.658682634730539
uc2.ark:/13960/t3cz3700q,"Pratt, Ambrose,",A daughter of the bush,1912,m,high_female,0.6583333333333333
nyp.33433074870134,"Holmes, F. M.",Faith's father: a story of child-life in London bye-ways,1880,u,,0.6578947368421053
wu.89073510208,"Glavinic, Thomas.",Carl Haffner's love of the draw / | $c: Thomas Glavinic ; translated from the German by John Brownjohn.,1999,m,,0.6573033707865166
uc1.b3752241,"Simenon, Georges,",Maigret and the Saturday caller / | $c: Georges Simenon ; translated from the French by Tony White.,1964,m,mixed,0.6567164179104475
uiuo.ark:/13960/t41r7ct36,"Duchess,",Under-currents,1888,f,,0.6551724137931035
uva.x030794682,"Trask, Katrina,",In my lady's garden;,1907,u,high_female,0.6551724137931034
wu.89098012180,"Birdsall, Anna Huntington.",A conflict of sex,1898,f,,0.6551724137931034
uc1.$b177203,"Strati, Saverio,",Terrarossa; | a novel. | $c: Translated from the Italian by Elizabeth Ellman.,1962,m,,0.6551724137931032
nyp.33433082539341,"Hamilton, Grace.",Behind the clouds: a story of village lives,1879,f,,0.6538461538461539
inu.30000115166245,"Lake, Elizabeth.",Siamese counterpart / | $c: Elizabeth Lake.,1958,f,mixed,0.6536796536796536
uiuo.ark:/13960/t74t7899k,"Trollope, Frances Milton,",The Robertses on their travels,1846,f,high_female,0.6510067114093959
uc1.$b244225,"Fuller, Roy Broadbent,",Image of a society.,1956,m,high_male,0.65
uiuo.ark:/13960/t3hx1p71v,"Craik, Dinah Maria Mulock,",The Ogilvies,1849,f,,0.65
mdp.39015058455778,"Molesworth,",The boys and I;,1883,f,,0.6481481481481481
mdp.39015063913514,"Byron, Medora Gordon.",The Englishman,1812,f,mixed,0.6470588235294117
uc1.$b189226,"Philippe, Charles-Louis,",Marie Donadieu. | $c: Translated by Violet Hudson.,1949,u,high_female,0.6458333333333333
uc1.32106009467207,"Troyat, Henri,",Sylvie-happiness / | $c: Henri Troyat ; translated by Anthea Bell.,1989,m,high_female,0.644736842105263
uiuo.ark:/13960/t04x5xf7m,"Sedley, Charles,",A winter in Dublin,1808,m,high_female,0.6439024390243901
mdp.39015053605450,"Drieu La Rochelle, Pierre,",Will o' the wisp: | a novel; | $c: translated [from the French] by Martin Robinson.,1966,m,,0.6435643564356436
mdp.39015059960818,"Bosco, John,",Cautionary tales of war and conflicts / | $c: John Bosco.,2002,m,mixed,0.6428571428571429
uiuo.ark:/13960/t2h711b53,"Ponsonby, Emily,",The two brothers,1858,f,mixed,0.6415094339622642
uiuo.ark:/13960/t8gf1fc8c,"Sedley, Charles,",A winter in Dublin,1808,m,high_female,0.641304347826087
uiuo.ark:/13960/t1mg86494,"Warden, Florence,",Scheherazade,1887,f,mixed,0.6409090909090908
njp.32101038161764,"Lewis, Alethea,",Rhoda,1816,f,high_female,0.6400000000000001
mdp.39015063546280,"Dawe, W. Carlton.",Yellow and white,1895,m,mixed,0.6395348837209301
uiuo.ark:/13960/t2s475k5m,"Kevill-Davies, Albert.",Miss Blanchard of Chicago,1892,m,mixed,0.6390977443609022
uiuo.ark:/13960/t8hd8g29v,"Roy, Gordon.",His cousin Adair,1891,f,,0.6390977443609022
uiuo.ark:/13960/t0ht34k80,"Johnston, Henry.",The Dawsons of Glenara,1877,m,,0.638888888888889
uiuo.ark:/13960/t7rn3k14n,"Hardy, Duffus,",Madge,1878,m,high_female,0.6382978723404256
mdp.39015030736170,"Caine, Jeffrey,",The cold room / | $c: by Jeffrey Caine.,1976,m,high_female,0.6368715083798884
uiuo.ark:/13960/t13n2p45s,"McCarthy, Justin H.",A London legend,1895,m,,0.6367521367521368
uva.x000043075,"Brontë, Anne,",The tenant of Wildfell hall,1898,f,mixed,0.6363636363636364
njp.32101067178523,"Trollope, Frances Milton,",A romance of Vienna,1838,f,,0.6363636363636364
uc1.b3768666,"Sagan, Françoise,",The unmade bed / | $c: Franc̈oise Sagan ï.e. F. Quoirez̈ ; translated from the French by Abigail Israel,1978,f,,0.6349206349206349
mdp.39015049678942,"Mathur, Anurag.",Scenes from an executive life / | $c: Anurag Mathur.,2000,u,high_male,0.6333333333333335
njp.32101068551595,"Hugo, Victor,",History of a crime,1877,m,high_male,0.6333333333333333
uc1.$b299891,"Cowlin, Dorothy.",The slow train home.,1951,f,,0.632183908045977
uc1.$b119708,"Rosenberg, John.",A company of strangers / | $c: John Rosenberg.,1959,m,,0.6315789473684211
hvd.32044086780350,"Knowles, James Sheridan,","The Magdalen, and other tales",1832,m,,0.630952380952381
mdp.39015082751846,"Walden, Celia.",Harm's way / | $c: Celia Walden.,2008,f,high_female,0.6308411214953271
uiuo.ark:/13960/t2w38445b,,"Edith Vernon, or, Contrasts of character",1855,m,high_female,0.6307692307692306
hvd.hn21hl,"Porter, Jane,",Thaddeus of Warsaw,1805,f,,0.630081300813008
uiuo.ark:/13960/t7wm1sj6z,"Kevill-Davies, Albert.",Miss Blanchard of Chicago,1892,m,mixed,0.6297709923664123
mdp.39015058515126,"Raphael, John N.",Pictures of Paris & some Parisians,1908,m,mixed,0.6274509803921569
uc1.$b794663,"Jones, Richard,",A way out.,1969,m,,0.6274509803921569
uc1.32106011414155,"Simenon, Georges,",Maigret loses his temper / | $c: translated from the French by Robert Eglesfield,1967,m,high_male,0.6267605633802819
uc1.32106010982954,Bảo Ninh.,"The sorrow of war : | a novel / | $c: Bao Ninh ; English version by Frank Palmos ; based on the translation from the Vietnamese by Vo Bang Thanh and Phan Thanh Hao, with Katerina Pierce.",1993,u,high_female,0.6266666666666666
mdp.39015026940091,"Unsworth, Barry,",Sacred hunger / | $c: Barry Unsworth.,1992,m,high_male,0.6264020707506471
uc2.ark:/13960/t9b56vg7c,"Raven-Hill, L.",Our battalion,1902,u,high_male,0.625
uc1.31158002716636,"Berg, Frithjuv,",Swedish fairy tales,1907,u,,0.625
mdp.39015065811864,"Smith, John.",Platonic affections,1896,m,,0.6231884057971014
uiuo.ark:/13960/t5j96p02r,"Yorke, Curtis.",A romance of modern London,1892,f,,0.6221198156682027
mdp.39015048759479,"Rhys, Jean.",Quartet.,1969,f,high_female,0.6205128205128206
mdp.39015080837456,"Matthews, Carole.",The difference a day makes / | $c: Carole Matthews.,2009,f,,0.6199095022624435
uc1.b3322035,"Erroll, Henry.",By woman's favour,1890,m,mixed,0.619718309859155
uc2.ark:/13960/t6ww7nt36,"Tresahar, John.",Temptation and other dramatic fragments,1901,m,mixed,0.6190476190476191
mdp.39015062878940,"O'Riordan, Kate.",Loving him : | a novel / | $c: by Kate O'Riordan.,2005,f,high_female,0.6188118811881188
uc1.$b312377,"Rhys, Jean.",After leaving Mr. Mackenzie / | $c: Jean Rhys.,1931,f,high_female,0.6183206106870229
uiuo.ark:/13960/t88g8zb4b,"Craik, Dinah Maria Mulock,",Mistress and maid,1863,f,high_female,0.6174496644295302
uc1.b3750429,"Butor, Michel.",Second thoughts. | $c: Translated from the French by Jean Stewart.,1958,m,high_female,0.6173044925124792
mdp.39015082731475,"Eskapa, Shirley.",In a naked place / | $c: Shirley Eskapa.,2008,f,high_female,0.6171617161716171
wu.89098869100,"Pansy,",The Randolphs,1889,f,high_female,0.6153846153846155
mdp.39015062821841,"Gordon, Mick.",On death : | a theatre essay / | $c: Mick Gordon and Marie de Hennezel.,2005,m,,0.6153846153846154
mdp.39015008524400,"Cocteau, Jean,",Children of the game. | $c: Translated by Rosamond Lehmann; illustrated by the author.,1955,f,,0.6153846153846154
hvd.hn489f,"Kilner, Mary Ann,",Memoirs of a peg-top,1828,f,high_male,0.6153846153846153
uiuo.ark:/13960/t63491f4b,"Garvice, Charles,",Maurice Durant,1875,m,,0.6145833333333333
mdp.39015000604796,"Gissing, George,",Eve's ransom.,1929,m,mixed,0.6141732283464569
nnc1.1002266598,"Cobbold, Richard,",Zenon,1847,m,,0.6140350877192983
uiuo.ark:/13960/t56d6c297,"Law, Agnes.",Eyes so blue;,1878,f,,0.6136363636363638
nyp.33433034410153,"Edwards, Annie,",Leah: a woman of fashion,1876,f,high_female,0.6135831381733022
uc1.$b102383,"King-Hall, Stephen, Sir,","Men of destiny : | or, The moment of no return / | $c: Stephen King- Hall.",1960,m,,0.6119016817593791
uiuo.ark:/13960/t9377vt5s,"Kelty, Mary Ann,",The story of Isabel;,1826,f,,0.6111111111111112
mdp.39015035820771,"Crosland, Newton,",Toil and trial,1849,f,,0.611111111111111
njp.32101068141090,"Marryat, Florence,",Facing the footlights,1883,f,high_female,0.611111111111111
uiuo.ark:/13960/t3xs6018h,"Barrett, Frank,",A prodigal's progress,1882,m,,0.6103896103896104
nyp.33433081639761,"Stephens, Ann S.",High life in New York,1844,f,,0.6103286384976526
mdp.39015010553710,"Green, Henry,",Living; | a novel.,1948,m,,0.6093749999999999
uiuo.ark:/13960/t2z32c481,"Craik, Georgiana M.",Dorcas,1879,f,high_female,0.608695652173913
mdp.39015065648167,"Gamow, George,",Puzzle-math | $c: [by] George Gamow & Marvin Stern.,1958,m,high_male,0.608695652173913
uc1.b3752240,"Simenon, Georges,",The door; | $c: translated from the French by Daphne Woodward.,1964,m,high_male,0.6082474226804121
uc1.$b662448,"Emelʹi︠a︡nova, N. (Nina),",The surgeon. | $c: Translated by J. Fineberg.,1945,f,high_male,0.6078431372549021
uiuo.ark:/13960/t9m33f36n,"Ponsonby, Emily,",Mary Lyndsay,1863,f,high_female,0.607843137254902
uc1.32106015858761,"Beauvoir, Simone de,",A very easy death; | $c: translated [from the French] by Patrick O'Brian,1966,u,high_female,0.6071428571428571
uc1.$b808648,"Fleetwood, Hugh.",A conditional sentence / | $c: Hugh Fleetwood.,1974,m,high_female,0.6069364161849713
uc1.$b769365,"Onstott, Kyle,","Child of the sun, | $c: by Kyle Onstott & Lance Horner.",1966,u,,0.6065128900949794
uc1.b3321871,"Griffith, Cecil.",Valentine Forde,1870,m,,0.6060606060606061
uiuo.ark:/13960/t43r1f081,"Murray, David Christie,",A rising star,1894,m,mixed,0.606060606060606
nyp.33433073356820,"Turgenev, Ivan Sergeevich,",Liza,1869,m,high_female,0.6060606060606059
nyp.33433074942446,"Cartwright, Fairfax L.,",Olga Zanelli,1890,m,high_male,0.6058823529411765
uc2.ark:/13960/t15m6751q,"Montgomery, Florence,","Transformed, or, Three weeks in a life-time",1886,f,high_male,0.6052631578947368
uiuo.ark:/13960/t6xw50s5d,"Oliphant,",The son of his father,1887,f,mixed,0.6049382716049384
uiuo.ark:/13960/t2j68333f,"Smart, Hawley,",Tie and trick,1885,m,high_male,0.6041666666666666
inu.30000126981145,"May, Katherine.",Burning out / | $c: Katherine May.,2009,f,high_female,0.603960396039604
nyp.33433074930656,"Mills, George,","The beggar's benison, or, A hero, without a name, but, with an aim",1866,m,,0.6026785714285713
inu.32000001379231,"Gunn, Neil Miller,",The other landscape / | $c: by Neil M. Gunn.,1954,m,mixed,0.6025641025641025
mdp.39015033516983,"Adair, Gilbert.",The holy innocents : | a romance / | $c: Gilbert Adair.,1988,m,,0.6010101010101009
mdp.39015053602143,"Troyat, Henri,",The web / | $c: Henri Troyat ; translated from the French by Anthea Bell.,1984,m,mixed,0.6000000000000001
uiuo.ark:/13960/t3dz0tb88,"Oliphant,",Mrs. Arthur,1877,f,high_female,0.6000000000000001
nyp.33433074863964,"Grant-Forbes, G. A.",Another wicked woman,1895,u,high_female,0.6000000000000001
uc2.ark:/13960/t5gb1z86d,,Rachel,1818,u,high_female,0.6
uc2.ark:/13960/t7wm18884,"Bourdillon, Francis William,",Gerard & Isabel,1921,m,mixed,0.6
nyp.33433068197874,"Bennett, Charles H.","The fables of Aesop and others, translated into human nature",1857,m,high_male,0.6
uc1.$b518763,"Sïrdani, Sydney,","Don't be fright; | radio magic, | $c: by Sirdani [pseud.] illus. by Michaelson.",1946,u,high_male,0.6
uiuo.ark:/13960/t7xk8tg1p,"Kelty, Mary Ann,",The story of Isabel;,1826,f,,0.6
uiuo.ark:/13960/t81j9st2g,"Greville, Violet,",Creatures of clay,1885,f,high_female,0.6
uc1.$b164862,"Bigiaretti, Libero.",A business convention. | $c: Translated from the Italian by Joseph Green.,1965,m,high_female,0.5999999999999999
njp.32101065848234,"Murray, Eustace Clare Grenville,",The member for Paris,1871,m,,0.5984848484848486
uc1.b3582004,"Fichte, Hubert.",The orphanage / | $c: Hubert Fichte ; translated by Martin Chalmers.,1990,m,mixed,0.5974025974025976
uiuo.ark:/13960/t0bv8500m,"Yates, Edmund Hodgson,",Black sheep,1867,m,,0.5972222222222222
uc1.$b193205,"Morris, Ira J.",My East was gorgeous,1958,m,,0.5971896955503513
mdp.39015078787580,"Tallis, Frank.",Darkness rising / | $c: Frank Tallis.,2009,m,high_male,0.5970873786407768
uc2.ark:/13960/t3319tq2m,"Laffan, May.",A singer's story,1885,f,high_female,0.5964912280701755
njp.32101065848267,"Murray, Eustace Clare Grenville,",The member for Paris,1871,m,,0.5960784313725489
njp.32101067178531,"Trollope, Frances Milton,",A romance of Vienna,1838,f,,0.595959595959596
uc1.b3124541,"James, G. P. R.",The castle of Ehrenstein,1847,m,high_male,0.5955056179775281
mdp.39015012076918,"Raeburn, Anna.",Joan Crawford / | $c: introduction by Anna Raeburn ; photographs from the Kobal Collection.,1986,f,high_male,0.5945945945945945
uiuo.ark:/13960/t4sj1tw2g,"De Merle, William Henry,","Melton de Mowbray, or, The banker's son",1838,m,,0.5945945945945945
mdp.39015019853293,"Holden, Ursula.",Help me please / | $c: Ursula Holden.,1991,f,high_female,0.5937500000000001
uiuo.ark:/13960/t7pn9qw7m,"Simpson, J. Palgrave","The lily of Paris, or, The king's nurse",1849,m,,0.59375
inu.39000003999773,"Percha, Igor von.",Prayer for an assassin / | $c: Igor Sentjurc ; translated by Cornelia Schaeffer.,1960,m,high_male,0.5925925925925928
uiuo.ark:/13960/t7cr65n7z,"Daniel, Mackenzie,",The student's wife,1852,f,high_female,0.5925925925925926
uc1.$b396531,"Hughes, Owain,",Hermit's reprieve: | a novel.,1969,u,mixed,0.5921052631578947
mdp.39015069313578,"Woodward, Gerard,",A curious Earth / | $c: Gerard Woodward.,2007,m,,0.5919540229885061
nyp.33433082303102,,"The four sisters: Patience, Humility, Hope, & Love",1858,u,,0.5916666666666667
uva.x000676502,"Thornton, Marcellus Eugene.",My  budie  and I,1899,m,,0.5916230366492147
