htid,author,title,year,authgender,female_category,urban_global_fraction
mdp.39015025272611,"Prichard, Thomas Jeffery Llewelyn.","The comical adventures of Twm Shon Catty (Thomas Jones, Esq.), commonly known as the Welsh Robin Hood.",1991,m,high_male,0.1446540880503145
mdp.39015031097713,"Duthie, Eric,",Wild company; : | encounters between man and beast.,1965,m,,0.1446540880503144
njp.32101067173052,"Scott, Walter,",Novels and tales of the author of Waverley,1819,m,high_female,0.1446384039900249
uc1.$b556319,"Hendry, Frank Coutts.","Around the Horn and home again, | and other tales, | $c: by Shalimar (F.C. Hendry) ...",1929,m,high_male,0.1446153846153846
uiuo.ark:/13960/t48p6nh04,,St. Clyde,1816,u,mixed,0.144578313253012
uc1.$b785404,"Gee, Maurice.",A special flower / | $c: Maurice Gee.,1965,m,mixed,0.144578313253012
uiuo.ark:/13960/t5gb2c896,"Boyle, Frederick,",The treasure of Thorburns,1887,m,mixed,0.144578313253012
mdp.39015063238458,"Roberts, Michael Symmons,",Patrick's alphabet / | $c: Michael Symmons Roberts.,2006,m,high_male,0.144578313253012
wu.89094594587,"Mījatovīć, Elodie Lawton,",Serbian folk-lore,1874,f,mixed,0.144578313253012
njp.32101068163805,,Lavinia Fitz-Aubyn,1816,u,high_female,0.144578313253012
uiuo.ark:/13960/t6g16kb2w,"Pardoe,",A life-struggle,1859,f,,0.1445086705202312
inu.30000117470645,"Clare, Jai.",The cusp of something : | stories / | $c: Jai Clare.,2007,u,,0.1444444444444444
uc1.$b243365,"Hood, Stuart Clink,",The circle of the Minotaur.,1950,m,high_male,0.1444444444444444
uc1.32106011677876,"Michael, Livi,",Their angel reach / | $c: Livi Michael,1994,u,high_female,0.1444444444444444
mdp.39015064003000,"Bray,",The novels and romances of Anna Eliza Bray,1815,f,,0.1444444444444444
uiuo.ark:/13960/t8tb1pq2x,"James, G. P. R.",Lord Montagu's page,1858,m,high_male,0.1444043321299639
uc2.ark:/13960/t3319x95x,"Old Sailor,",Jem Bunt,1850,m,,0.1443850267379679
uc2.ark:/13960/t7wm15p2c,"Jones, C. A.",Little Sir Nicholas,1892,m,mixed,0.1443850267379679
mdp.39015080871273,"Hilton, Matt,",Dead men's dust / | $c: Matt Hilton.,2009,m,high_male,0.1443661971830986
uc1.b3475705,"Green, G. F. (George Frederick),",A skilled hand : | a collection of stories and writing / | $c: by G. F. Green ; with memoirs and criticism by John Marshall ... [et al.] ; edited by Chloë Green and A. D. Maclean.,1980,m,high_male,0.1443298969072165
mdp.39015005857266,"Wright, Richard,","Black boy, | a record of childhood and youth | $c: by Richard Wright.",1945,m,,0.1443298969072164
uc2.ark:/13960/t9n29qj04,"Reid, Mayne,",The white chief,1855,m,high_male,0.1443298969072164
uc1.$b50003,"Houlson, Jane Harvey.",Blue blaze : | danger and delight in strange islands of Honduras / | $c: by Jane Harvey Houlson.,1934,f,high_male,0.1442786069651741
uiuo.ark:/13960/t9k36f70c,"Steinman, Emma C. C.",Our little gipsy,1881,f,,0.1442786069651741
uc1.32106013189789,"Byatt, A. S. (Antonia Susan),",The virgin in the garden / | $c: by A. S. Byatt.,1978,f,mixed,0.1442307692307692
uiuo.ark:/13960/t9t15c593,"Dering, Edward Heneage,","Sherborne, or, The house at the four ways",1875,m,mixed,0.1442307692307692
mdp.39015059975717,"Wilkins, Christopher,",The poison arrow frog / | $c: Christopher Wilkins.,2002,m,,0.1442307692307692
inu.30000095304410,"Hinds, Jacqueline T.",That river in Egypt / | $c: Jacqueline T. Hinds.,2004,f,mixed,0.1442307692307692
mdp.39015082662209,"Watkins, Gwen.",Nectar of the gods / | $c: Gwen C. Watkins.,2008,f,,0.144208037825059
mdp.39015010447350,"James, M. R.",Ghost-stories of an antiquary,1920,u,high_male,0.1441441441441441
uiuo.ark:/13960/t78s5d297,"West,",The infidel father,1802,f,high_female,0.1441441441441441
uc1.b3346986,"Punshon, E. R. (Ernest Robertson),",The golden dagger.,1951,m,mixed,0.1441441441441441
uiuo.ark:/13960/t5j96qq51,"Oliphant,",Merkland,1851,f,high_female,0.1441441441441441
mdp.39015004692458,"Frank, Anne,","Anne Frank's diary; | $c: translated from the Dutch by B. M. Mooyaart-Doubleday, with a foreword by Strom Jameson.",1954,f,,0.1441441441441441
uc2.ark:/13960/t9571gv0m,"MacCarthy, Desmond,",Remnants,1918,u,high_male,0.1441441441441441
uc1.$b119570,"Langley, Christopher,",One way once.,1968,m,,0.1441441441441441
mdp.39015012848902,"Brookner, Anita.",A friend from England / | $c: Anita Brookner.,1987,f,high_female,0.1441441441441441
uc1.b3293631,"Ouida,",Bimbi,1882,f,,0.1441048034934497
nyp.33433075873103,"Quiller-Couch, Arthur Thomas,",The splendid spur,1893,m,,0.1440677966101695
inu.39000005903799,,Persian folktales | $c: [translated from the German by Alfred Kurti.,1971,u,high_male,0.1440677966101695
uc1.b4692439,"Vince, Charles,",Wayfarers in Arcady,1921,m,high_male,0.1440677966101694
mdp.39015006945052,"Martineau, Harriet,",Illustrations of political economy,1832,f,,0.1440443213296399
uiuo.ark:/13960/t01z4gh18,"Byron, Henry J.",Paid in full,1865,m,mixed,0.144
mdp.39015065597075,"Trollope, Anthony,",The chronicles of Barsetshire,1891,m,mixed,0.1439999999999999
mdp.39015042925258,"Tabucchi, Antonio,",The missing head of Damasceno Monteiro / | $c: Antonio Tabucchi ; translated from the Italian by J.C. Patrick.,2000,m,high_male,0.143979057591623
mdp.39015048903002,"Malory, Thomas,",La mort d'Arthure,1858,m,high_male,0.1439588688946014
nyp.33433074869003,,Hyde Nugent,1827,u,mixed,0.1439393939393939
uc1.b3477354,"Hughes, Richard Arthur Warren,",In the lap of Atlas : | stories of Morocco / | $c: Richard Hughes.,1979,m,high_male,0.1439393939393939
uc1.b3554698,"Rutherfoord, Peggy.",Darkness and light; | an anthology of African writing. | $c: With a pref. by Trevor Huddleston.,1958,f,high_male,0.1439393939393939
uiuo.ark:/13960/t50g40536,,Concealment,1821,u,,0.1439393939393939
mdp.39015030071214,"Strindberg, August,","The German lieutenant, and other stories",1915,m,high_male,0.1439393939393939
uiuo.ark:/13960/t5q81xt36,"Robertson, Anne J.",Society in a garrison town,1869,f,high_female,0.1439393939393939
wu.89099784704,"Hon., Sackville-West, Edward,",Simpson : | a life / | $c: by Edward Sackville West.,1951,m,mixed,0.1439114391143911
inu.30000110600156,"Hayden, Torey L.",The sunflower forest : | a novel / | $c: Torey Hayden.,2008,u,,0.1439024390243902
uiuo.ark:/13960/t70v94b8r,"Sturgis, Julian,",Dick's wandering,1882,m,mixed,0.1438848920863309
mdp.39015047730869,"Fane, Julian,",Evening / | $c: Julian Fane.,1999,m,,0.1438848920863309
wu.89004098703,"Thackeray, William Makepeace,",The Irish sketch-book,1845,m,high_male,0.143859649122807
uc1.b4505377,"Tantri, K'tut.",Revolt in paradise.,1960,u,high_male,0.1438450899031812
mdp.39015059395106,"Crawford, F. Marion",With the immortals,1888,m,,0.1438356164383562
mdp.39015064880910,"Theroux, Marcel,",A blow to the heart / | $c: Marcel Theroux.,2006,m,high_male,0.1438356164383561
uc1.b3322471,,Castle Martyr,1839,u,high_female,0.1438356164383561
uiuo.ark:/13960/t2697pp25,"Middleton, Colin.",Innes of Blairavon,1893,m,high_male,0.1438356164383561
mdp.39015060403766,"Fairbanks, Tash.",Fearful Symmetry / | $c: by Tash Fairbanks.,1996,u,high_female,0.1438356164383561
uiuo.ark:/13960/t8x92ss1j,"Payn, James,",Fallen fortunes,1876,m,,0.1437908496732026
uc2.ark:/13960/t9b56hq1g,"Bercovici, Konrad,",Gypsy blood,1922,u,,0.1437908496732026
mdp.39015063748704,"Black, William,",The strange adventures of a houseboat,1888,m,,0.1437768240343347
nyp.33433074939442,"Bidder, M.",Westminster cloisters;,1887,u,high_male,0.14375
uc2.ark:/13960/t33201j57,"Collins, Frances Cotton,",A broken lily,1882,u,high_female,0.14375
uc1.$b244303,"Young, Francis Brett,","Cold Harbour, | $c: by Francis Brett Young.",1924,m,mixed,0.1437125748502994
mdp.39076005056150,"Fleming, Ian,",On Her Majesty's secret service.,1963,m,high_male,0.1436031331592689
mdp.39015005734341,"Joly, Cyril.",Take these men.,1955,m,,0.1436031331592689
mdp.39015082746093,"Manyika, Sarah Ladipo,",In dependence / | $c: Sarah Ladipo Mayika.,2008,f,mixed,0.143598615916955
mdp.39015031236196,"Howells, William Dean,",Indian summer,1887,m,high_female,0.1435643564356435
uc1.b4594152,"Deloney, Thomas,",The history of John Winchcomb,1859,m,high_male,0.1435643564356435
mdp.39015012192558,"Farah, Nuruddin,",Sweet and sour milk / | $c: Nuruddin Farah.,1980,m,high_female,0.1435406698564593
uiuo.ark:/13960/t52f8d896,"Alexander,",The admiral's ward,1883,f,,0.1435406698564593
uc1.32106006440819,"Fowles, John,",The magus / | $c: John Fowles.,1977,m,,0.143507972665148
dul1.ark:/13960/t2b861307,"Reeve, Clara,","Fatherless Fanny, or, A young lady's first entrance into life",1821,f,high_female,0.1434977578475336
uc1.32106002060223,"Galloway, David D.",Ten modern American short stories; | $c: selected and introduced by David Galloway and John Whitley.,1968,m,,0.1434599156118144
mdp.39015059415581,"James, G. P. R.","Darnley; or, the field of the cloth of gold",1830,m,,0.1434599156118143
uc1.b3327102,"Maxwell, W. H.",Erin-go-bragh;,1859,m,,0.1434599156118143
mdp.39015022882768,"Kassabova, Kapka.",Love in the land of midas / | $c: Kapka Kassabova.,2000,u,mixed,0.1433260393873085
mdp.39015038117910,"Solzhenit͡syn, Aleksandr Isaevich,","August 1914, | $c: [by] Alexander Solzhenitsyn; translated by Michael Glenny.",1972,m,high_male,0.143317230273752
uc1.$b23884,"Hyatt, Ernest.","All over the place; | the true record of the author's striking and varied experiences in many parts of the world, | $c: by Ernest Hyatt.",1935,m,,0.1433070866141732
inu.32000002548420,"Scott, Paul,","The bender; | pictures from an exhibition of middle class portraits, a novel.",1963,m,mixed,0.1432926829268292
inu.30000029310947,"Robins, Peter.",Ruined boys / | $c: Peter Robins.,1993,m,,0.1432584269662921
mdp.39015073478789,"Henty, G. A.",Captain Bayley's heir,1889,m,high_male,0.1432506887052341
mdp.39015024086392,"Harnett, Cynthia.",The wool-pack / | $c: written and illustrated by Cynthia Harnett.,1951,f,high_male,0.1432038834951456
mdp.39015067683691,"Fletcher, Susan,",Oystercatchers / | $c: Susan Fletcher.,2007,f,high_female,0.1431980906921241
mdp.39015014292042,"Caute, David.","Veronica, or, The two nations / | $c: David Caute.",1989,m,mixed,0.1430499325236167
uiuo.ark:/13960/t23b6pc82,"Sheppard, Elizabeth Sara,",Rumour,1858,f,high_female,0.1428571428571429
inu.32000011331545,"Johnson, R. Brimley (Reginald Brimley),","Romance in history, | from Sir Walter Scott, Sophia Lee, John Leland, Maria Edgeworth, Susan Ferrier, Jane Porter and Christopher North; | $c: selected, with introduction, notes and tables, by R. Brimley Johnson.",1929,m,mixed,0.1428571428571429
uiuo.ark:/13960/t1fj2t155,,The Curate of Sadbrooke,1865,u,mixed,0.1428571428571429
inu.30000109858138,"Hellaby, Madeline.",The Wentworths : | alias 'un-named' / | $c: written and illustrated by Madeline Hellaby.,2006,f,,0.1428571428571429
uiuo.ark:/13960/t0ms43w92,"Grant, James,",Derval Hampton,1881,m,mixed,0.1428571428571429
inu.32000007335336,Longus.,Daphnis & Chloe  / | $c: translated from the Greek of Longus by Jack Lindsay ; with fourteen decorations by Lionel Ellis and with a critical essay by the author ; illustrated from original Grecian sources.,1948,u,high_female,0.1428571428571429
uiuo.ark:/13960/t2j682q33,"Robinson, F. W.",No man's friend,1867,m,mixed,0.1428571428571428
uiuo.ark:/13960/t31267p2q,"Dunn, George.",Red cap and blue jacket,1894,m,,0.1428571428571428
umn.319510020990648,"Dilke, Christopher,",France is a star : | a novel.,1946,m,,0.1428571428571428
uiuo.ark:/13960/t4gm84m9j,"Bjørnson, Bjørnstjerne,",Ovind;,1869,m,high_male,0.1428571428571428
inu.30000100689912,"Nesin, Aziz.",Out of the way! Socialism's coming! = | Sosyalizm geliyor savulun / | $c: Aziz Nesin ; English translations by Damian Croft.,2001,u,high_male,0.1428571428571428
uiuo.ark:/13960/t3708nx0s,"MacDonald, George,",St. George and St. Michael,1876,m,,0.1428571428571428
uc2.ark:/13960/t2n58f90d,,Dorothy,1880,u,high_female,0.1428571428571428
umn.31951002040920v,"Webb, Mary,",The house in Dormer forest / | $c: with an introduction by H.R.L. Sheppard.,1929,f,,0.1428571428571428
uiuo.ark:/13960/t3029bx3d,"Tytler, Sarah,",The Huguenot family,1867,f,,0.1428571428571428
uiuo.ark:/13960/t2w38bv57,"Pickering, Ellen,",Who shall be heir?,1840,f,high_female,0.1428571428571428
njp.32101013572068,"Freytag, Gustav,",Our forefathers,1873,m,,0.1428571428571428
pst.000051395018,,The descent of the sun / | $c: F.W. Bain ; translated from the original manuscript by F.W. Bain.,2001,u,high_female,0.1428571428571428
njp.32101064710914,"Pickering, Ellen,",The quiet husband,1840,f,mixed,0.1428571428571428
mdp.39015038165117,,"Soviet short stories, 1944.",1944,u,,0.1428571428571428
mdp.39015038015247,"Beyala, Calixthe.",The sun hath looked upon me / | $c: Calixthe Beyala ; translated from the French by Marjolijn de Jager.,1996,u,high_female,0.1428571428571428
uiuo.ark:/13960/t9z03qb5p,"Marryat, Florence,",The risen dead,1891,f,,0.1428571428571428
uc1.b3477074,"Muir, Lynette R.",The unicorn window. | $c: Illustrated by Pauline Baynes.,1961,f,,0.1428571428571428
uc2.ark:/13960/t8ff3s14j,"Hall, S. C.,",The buccaneer,1832,f,,0.1428571428571428
mdp.39076006987783,"Voříšková, M.","Gypsy folk tales, | $c: by M. Voříšková; illustrated by Mila Dolezelová, translated by Jean Layton.",1966,u,high_female,0.1428571428571428
mdp.39015040053855,"King, Rachel,",Alba / | $c: Rachel King.,1997,f,high_female,0.1428571428571428
mdp.39015055583572,"Baker, Jo.",Offcomer / | $c: Jo Baker.,2001,f,high_female,0.1428571428571428
uiuo.ark:/13960/t4dn4h00w,"Davenport, Selina,",The hypocrite;,1814,f,high_female,0.1428571428571428
inu.30000054507920,"Malet, Lucas,",The carissima,1896,f,mixed,0.1428571428571428
uc1.b4586431,,"The Old man of the mist, and other stories : | an anthology of new writing from Wales / | $c: edited by Lynn Hughes.",1974,u,high_female,0.1428571428571428
