htid,author,title,year,authgender,female_category,intl_subcountry_intensity
uiuo.ark:/13960/t6k07f074,"Fane, Violet,",Sophy,1881,f,mixed,27.338002235283717
uiuo.ark:/13960/t59c7bm0m,,The Hallow isle tragedy,1860,u,,27.324004137634912
uc2.ark:/13960/t13n2ck6c,"Quiller-Couch, Arthur,",Hocken and Hunken;,1912,m,,27.323987977445295
uc1.b4975920,"Howatch, Susan.",Glittering images / | $c: Susan Howatch.,1987,f,,27.316737572149066
uiuo.ark:/13960/t74t75v1n,"Warden, Florence,",Ralph Ryder of Brent,1892,f,high_female,27.31629789664506
uiuo.ark:/13960/t96691q1x,"Oliphant,",A poor gentleman,1889,f,mixed,27.299635046984115
uc1.b4974544,"Morris, G. H.,","Grandmother, Grandmother, come and see / | $c: G.H. Morris.",1989,u,,27.292576419213972
njp.32101068168093,"Crommelin, May.","Joy, or, The light of Cold-home Ford",1884,f,high_female,27.281407720638384
nyp.33433074915608,"More, Hannah,",Cœlebs in search of a wife,1809,f,,27.281069417921184
njp.32101067644078,"Ferrier, Susan,",The novels of Susan Edmonstone Ferrier,1894,f,,27.279437722648353
uc1.$b311939,"Ramuz, C. F. (Charles Ferdinand),","Beauty on earth, translated from the French.",1929,m,high_female,27.263928459451716
njp.32101067647790,"James, G. P. R.",The woodman,1849,m,,27.262441896920706
mdp.39015015472965,"Thubron, Colin,",Falling / | $c: Colin Thubron.,1989,m,high_female,27.25166916473634
uiuo.ark:/13960/t2891tt3f,,The second wife,1857,u,high_female,27.234286533362
uiuo.ark:/13960/t0ns1dm01,"Tabor, Eliza.",The blue ribbon,1873,f,high_female,27.231261488188444
uiuo.ark:/13960/t3cz3pf79,"Hatton, Ann Julia (Kemble)","Secrets in every mansion, or, The surgeon's memorandum-book",1818,f,high_female,27.22570106180234
mdp.39015006575982,"Defoe, Daniel,",The novels and miscellaneous works,1840,m,mixed,27.22375986051064
njp.32101064918079,"Saunders, John,",A noble wife;,1883,m,high_female,27.208036835496024
mdp.39015070470094,"Mitchell, William,","The quality of life, | $c: by Sir W. Mitchell.",1935,m,high_male,27.207182696231804
uva.x000043076,"Brontë, Anne,",The tenant of Wildfell hall,1898,f,mixed,27.20457842979204
njp.32101067645984,"Hofland,",The sisters;,1813,f,high_female,27.18357275787801
mdp.39015080822862,"Fitch, Stona.",Printer's devil / | $c: Stona Fitch.,2009,u,mixed,27.18129926610492
mdp.39015082691083,"Gaffney, David.",Never never / | $c: David Gaffney.,2008,m,,27.179188507086
uc1.b3565307,"Forester, C. S. (Cecil Scott),",Marionettes at home.,1936,m,,27.164827816783685
uc2.ark:/13960/t3hx1bd9t,"Hall, S. C.,",The buccaneer,1832,f,,27.16264707143776
