text_string,occurs_100k
walham green,0.00554
silvertown,0.00553
maygrove road,0.00545
marlborough street,0.00545
moorgate,0.00535
vauxhall bridge,0.00535
bryanston square,0.00534
houndsditch,0.00532
marshalsea,0.0053
st george s hospital,0.00527
goodge street,0.00523
tavistock square,0.00518
brick lane,0.00517
king william street,0.00512
brompton square,0.00507
great russell street london,0.00505
great ormond street,0.00502
harecourt,0.005
gloucester place,0.00499
stamford bridge,0.00498
carlton terrace,0.00496
wanstead,0.00495
albany street,0.00495
mecklenburgh square,0.00492
east ham,0.00491
farringdon street,0.0049
garamond,0.00489
great george street,0.00484
st ethelburga,0.00484
lisson grove,0.0048
leman street,0.00478
liverpool street station,0.00477
botolph lane,0.00476
herne hill,0.00475
brentham,0.00474
tulse hill,0.00472
lambeth road,0.0047
basinghall street,0.0047
denmark hill,0.0047
doughty street,0.00468
cornhill,0.00467
blackfriars road,0.00466
caledonian road,0.00465
cadogan place,0.00464
new cross,0.00464
carnaby street,0.00464
stockwell,0.00455
compayne gardens,0.00454
clifford street,0.00453
beauchamp place,0.00451
farringdon road,0.00443
turnham green,0.00441
wellclose square,0.0044
heme hill,0.00436
ely place,0.00436
walworth road,0.00434
clarges,0.0043
central london,0.0043
petticoat lane,0.00427
tufnell park,0.00425
montpelier square,0.00425
pentonville road,0.00425
tooley street,0.00425
wilton crescent,0.00424
new scotland yard,0.00422
south hampstead,0.00422
carlton house,0.00422
aldgate east,0.00422
guy s hospital,0.0042
upper street,0.00418
mafeking road,0.00417
hyde park gardens,0.00412
st paul s churchyard,0.00411
st gildas,0.0041
london street,0.00409
st thomas s hospital,0.00409
alwyne,0.00406
furnival,0.00402
cork street,0.004
young england,0.00399
farringdon,0.00395
villiers street,0.00393
connaught square,0.00393
old street,0.00387
pumblechook,0.00386
weymouth street,0.00385
st james street,0.00385
berners street,0.00379
great tower street,0.00377
wardour,0.00376
old broad street,0.00373
america square,0.00371
goswell road,0.0037
cumberland hotel,0.00369
paddington green,0.00368
hammersmith broadway,0.00366
london bridge station,0.00364
railton road,0.00364
netherhall gardens,0.00364
ormond street,0.00362
mitre street,0.00362
new ormond street,0.00362
fetter lane,0.00361
covent garden market,0.00359
kilburn park,0.00359
west end lane,0.00356
gray s inn lane,0.00355
bucklersbury,0.00353
granta,0.00353
albert bridge,0.00353
aldersgate street,0.00351
kensington church street,0.00351
westbourne park,0.0035
warwick gardens,0.00349
commercial road,0.00349
onslow square,0.00348
kensington gore,0.00345
hendon hall,0.00345
montagu square,0.00345
