htid,author,title,year,authgender,female_category,urban_metric_global_frac
mdp.39015084107138,"Mills, Magnus.",The maintenance of headway / | $c: Magnus Mills.,2009,m,high_male,6.806406324656848
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,5.333195990228278
uc1.32106015901462,"Carey, Edward,",Alva & Irva / | $c: Edward Carey,2003,m,mixed,5.241081700049589
coo.31924003623588,"Crowder, Dorothy Elizabeth.",The flying nation. | $c: Illustrated by Helen Haywood.,1952,f,high_female,5.057813044396
uc1.b4311947,"Berry, Bernard.",A lost Roman road: | a reconnaissance in the West Country.,1963,m,high_male,4.4915827115794364
mdp.39015010309220,"McEwan, Ian.",The comfort of strangers / | $c: Ian McEwan.,1981,m,high_female,4.392699877515781
mdp.39015073496062,"Neukrantz, Klaus,",Barricades in Berlin / | $c: Klaus Neukrantz.,1932,u,,4.219877172092212
mdp.39015029213868,"Modiano, Patrick,",Honeymoon / | $c: Patrick Modiano ; translated from the French by Barbara Wright.,1992,m,high_female,4.182379254447673
mdp.39015009367114,"Anderson, Sherwood,",Windy McPherson's son | $c: [by] Sherwood Anderson.,1923,m,high_male,4.092743731686578
pst.000032008142,"Brook, Peter.",Peter Brook.,1994,m,high_male,4.04789973950749
mdp.39015028457037,"Palliser, Charles.",The sensationist / | $c: Charles Palliser.,1991,m,,3.983896499892829
inu.39000003654576,"Barber, Noel,",A handful of ashes; | a personal testament of the battle of Budapest.,1957,m,,3.6548941223613993
inu.30000042624605,"Mullen, Michael.",The midnight country / | $c: Michael Mullen.,1995,m,mixed,3.5379894008438937
wu.89044543270,"Rimmer, Dave.",Once upon a time in the East / | $c: Dave Rimmer.,1992,m,high_male,3.5342631351504172
mdp.39015032226394,"Gee, Sue.",Letters from Prague / | $c: Sue Gee.,1994,f,high_female,3.450899688658007
uc1.b4692439,"Vince, Charles,",Wayfarers in Arcady,1921,m,high_male,3.4422539778073387
wu.89073622094,"Budd, Jackson.",Around France in an 8 h p car.,1950,m,,3.3580874943117944
mdp.39015050697781,"Bracewell, Michael,",Perfect tense / | $c: Michael Bracewell.,2001,m,,3.3230002499653293
mdp.39015030742483,"Dornfeld, Iris.",Boy Gravely.,1965,f,high_male,3.2792706089751693
inu.30000060703083,"Ajima, Maria,",The web : | a collection of short stories / | $c: Maria Ajima.,1997,f,mixed,3.2054464699973453
mdp.39015063642733,"Sansom, William,","South : | aspects and images from Corsica, Italy and southern France.",1948,m,high_male,3.205243966990159
uc1.b3929709,"Sansom, William,","South : | aspects and images from Corsica, Italy and southern France.",1948,m,high_male,3.184312805756132
mdp.39015012414341,"Poliakoff, Stephen,","Runners ; &, Soft targets / | $c: Stephen Poliakoff.",1984,m,,3.1599683766234223
inu.39000001367619,"Okpi, Kalu,",Coup! / | $c: Kalu Okpi.,1982,u,high_male,3.1506162317266138
uc1.32106009000859,"Okri, Ben.",Stars of the new curfew / | $c: Ben Okri.,1988,m,,3.142662673725759
uc1.32106011414197,"Simenon, Georges,",Madame Maigret's friend / | $c: Georges Simenon ; translated from the French by Helen Sebba,1967,m,high_male,3.1425315768867796
mdp.39015064983177,"Johnston, Fred,",The neon rose / | $c: Fred Johnston.,2007,m,,3.113515200499821
mdp.39015005201168,"Calvino, Italo.","Marcovaldo, or, The seasons in the city / | $c: Italo Calvino ; translated from the Italian by William Weaver.",1983,m,,3.1068824576478646
uc1.32106012238371,"Stangerup, Henrik",Snake in the heart : | a novel / | $c: Henrik Stangerup ; translated from the Danish by Anne Born,1996,u,mixed,3.0677281394232665
inu.39000003288250,"Ekwensi, Cyprian.",Samankwe and the highway robbers / | $c: Cyprian Ekwensi.,1975,m,high_male,3.0535959241518347
njp.32101067301109,"Hamilton, Cosmo,",The infinite capacity,1910,m,,3.0349638342557332
mdp.39015030736170,"Caine, Jeffrey,",The cold room / | $c: by Jeffrey Caine.,1976,m,high_female,2.991757749695187
mdp.39015025221246,"Crace, Jim.",Arcadia / | $c: Jim Crace.,1992,m,,2.9691548968474026
mdp.39015010344334,"Hanley, Clifford.",Dancing in the streets / | $c: Clifford Hanley.,1983,m,mixed,2.9432339080867678
mdp.39015049678942,"Mathur, Anurag.",Scenes from an executive life / | $c: Anurag Mathur.,2000,u,high_male,2.939778683124479
uc1.b4392665,"Verma, Nirmal,",The world elsewhere : | and other stories / | $c: by Nirmal Verma.,1988,u,,2.937957036716613
mdp.39015058515126,"Raphael, John N.",Pictures of Paris & some Parisians,1908,m,mixed,2.9378149714586645
uc2.ark:/13960/t2891453n,"Lancaster, Percival.",Chaloner of the Bengal Cavalry,1915,m,high_male,2.9327997235759655
mdp.39015015527248,"Ashford, Kent.",The Singalong tribe / | $c: Kent Ashford.,1986,m,,2.926194126160107
njp.32101068551595,"Hugo, Victor,",History of a crime,1877,m,high_male,2.906776958697141
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,2.895834750803308
uc1.b4362247,"Anderman, Janusz,",The edge of the world / | $c: by Janusz Anderman ; preface by Jerzy Pilch ; translated by Nina Taylor.,1988,u,high_male,2.8902701771258337
uc1.$b56595,"Galbraith, Winifred.",Men against the sky / | $c: by Winifred Galbraith.,1940,f,,2.8830455681964073
mdp.39015051353905,"Bracewell, Michael,",The Crypto-Amnesia Club / | $c: Michael Bracewell.,1988,m,high_female,2.8619988730260895
uc1.b3898302,"Beechey, Winifred.",The rich Mrs. Robinson / | $c: by Winifred Beechey : illustrated by Mary P. Taylor.,1984,f,high_female,2.855814712991399
uc1.b4948960,"Moore, Brian,",The temptation of Eileen Hughes / | $c: Brian Moore.,1981,m,high_female,2.8518170478037184
uc2.ark:/13960/t5w66b96n,,Red Riding Hood,1871,m,high_male,2.83691329952576
mdp.39015010944059,"Barea, Arturo,",The clash. | $c: Translated from the Spanish by Ilsa Barea.,1946,u,high_male,2.8288797813903335
mdp.39015010553710,"Green, Henry,",Living; | a novel.,1948,m,,2.8119578151131983
inu.32000002882506,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,2.805033736967224
uiuo.ark:/13960/t13n2sh8d,"Simpson, J. Palgrave","The lily of Paris, or, The king's nurse",1849,m,,2.804317568054387
uiuo.ark:/13960/t8z89xh0r,"Collins, Wilkie,",Basil,1852,m,,2.803435002848433
uc1.32106018775459,"Platonov, Andreĭ","Happy Moscow / | $c: Andrey Platonov ; translated from the Russian by Robert and Elizabeth Chandler with Angela Livingstone, Nadya Bourova and Eric Naiman ; with an introduction by Eric Naiman",2001,u,,2.7882015953586357
uc1.32106018341088,"Prinz, Martin,",On the run / | $c: Martin Prinz ; translated by Mike Mitchell,2005,m,high_male,2.7762591934540195
uiuo.ark:/13960/t3zs3358q,"Curtois, Margaret Anne.",Tracked,1888,f,,2.776042463204961
pst.000049849950,,The Time Out book of Paris short stories / | $c: edited by Nicholas Royle.,1999,u,,2.7681519134940658
uc1.32106019093969,"Stanley, Oliver",Hotel Victoire / | $c: Oliver Stanley,2007,m,,2.744742781178803
mdp.39015013518900,"Simenon, Georges,",The night-club / | $c: Georges Simenon ; translated from the French by Jean Stewart.,1979,m,high_female,2.7364085104789893
mdp.39015055183043,,Glasgow kiss : | a collection of the best short stories from Glasgow's writing groups.,2001,u,,2.729473339443422
mdp.39015020711639,"Schulz, Bruno,","Cinnamon shops, and other stories. | $c: Translated from the Polish by Celina Wieniewska.",1963,m,,2.7211311494089414
uc1.b3634960,"Weiss, Peter,",Leavetaking [and] Vanishing point; | $c: translated by Christopher Levenson.,1966,m,,2.7006604818940145
uc1.$b193205,"Morris, Ira J.",My East was gorgeous,1958,m,,2.6932277803800435
uc1.b3272210,"Dubkin, Leonard,",The murmur of wings | $c: [by] Leonard Dubkin. Illustrations by Susanne Suba.,1944,m,,2.6771686054080153
uc2.ark:/13960/t0js9k39t,"Makower, Stanley Victor.",The mirror of music,1895,m,,2.673006796373379
mdp.39015055609716,"Bailey, Eleanor.",Marlene Dietrich lived here / | $c: Eleanor Bailey.,2002,f,,2.6708926061498137
uc1.b3752240,"Simenon, Georges,",The door; | $c: translated from the French by Daphne Woodward.,1964,m,high_male,2.6329430439712755
inu.32000002424788,"Lowther, Anthony William George.","The Roman theatre at Verulamium (St. Albans), | a reconstruction, | $c: by Anthony W. G. Lowther.",1935,m,high_male,2.6112515820140496
uc1.32106011414155,"Simenon, Georges,",Maigret loses his temper / | $c: translated from the French by Robert Eglesfield,1967,m,high_male,2.607252205264193
mdp.39015032814553,"Moyano, Daniel.",The devil's trill / | $c: Daniel Moyano ; translated by Giovanni Pontiero.,1988,m,high_male,2.6025474916300495
mdp.39015059287584,"Momjian, Serge.",The singer of the opera / | $c: Serge Momjian.,2004,m,high_female,2.6010304120561516
uc2.ark:/13960/t12n51x90,"Harvey, T. Edmund",Poor Raoul & other fables,1905,m,high_male,2.5931235263689008
umn.319510020680239,"Rowdon, Maurice.",Perimeter West.,1956,m,,2.587246515917526
uc1.$b396080,"Simenon, Georges,",The prison / | $c: Georges Simenon ; translated from the French by Lyn Moir.,1969,m,,2.575968250417343
mdp.39015058467526,"Marotta, Giuseppe,",Return to Naples. | $c: Translated from the Italian by Frances Frenaye. With illustrations by Laboccetta.,1951,u,,2.5637668927938764
mdp.39015040376280,"Reed, Jeremy",Dorian / | $c: Jeremy Reed,1997,m,high_male,2.556975568103814
uc1.32106014295098,"Reed, Jeremy",Dorian / | $c: Jeremy Reed,1997,m,high_male,2.556091264402903
inu.30000045132572,"Chitambo, John.",Secret blood / | $c: John Chitambo.,1993,m,,2.5548060504743644
mdp.39015030855608,"Bates, H. E. (Herbert Ernest),",Sally go round the moon.,1932,m,,2.5507980766149005
inu.30000035441025,"Bolger, Dermot,",Night shift / | $c: Dermot Bolger.,1993,m,,2.549717499322345
mdp.39015019489411,"Mills, Joseph,",Towards the end.,1989,m,high_male,2.547949354189834
mdp.39015019638587,"Perec, Georges,",Things : | a story of the Sixties / | $c: translated from the French by David Bellos ; A man asleep / translated from the French by Andrew Leak.,1990,m,,2.5403008386793378
uc1.b2840598,"Simenon, Georges,",Maigret takes the waters / | $c: Georges Simenon ; translated from the French by Eileen Ellenbogen.,1969,m,high_female,2.538112187073854
mdp.39015033319909,"Wilson, Paul.",The fall from grace of Harry Angel / | $c: Paul Wilson.,1994,m,high_male,2.5169605032625038
uc1.$b119569,"Lovelace, Earl,",The schoolmaster.,1968,m,,2.516605889742005
mdp.39015011336198,"Pavese, Cesare.",The house on the hill / | $c: Cesare Pavese ; translated from the Italian by W. J. Strachan.,1956,m,mixed,2.5041490058325704
mdp.39015080822862,"Fitch, Stona.",Printer's devil / | $c: Stona Fitch.,2009,u,mixed,2.501306630550894
uc1.$b105433,"Stonier, George Walter,",The memoirs of a ghost / | $c: G. W. Stonier.,1947,m,high_female,2.4903389366604363
uc1.$b285039,"Farrell, James T. (James Thomas),",The girls at the Sphinx.,1959,m,mixed,2.485270713603412
mdp.39015069302597,"Harris, Joanne,",The lollipop shoes / | $c: Joanne Harris.,2007,f,,2.4832944343389576
mdp.39015043786907,"McCabe, John (C. John)",Stickleback / | $c: John McCabe.,1998,m,high_male,2.4806890762543015
mdp.39015033516983,"Adair, Gilbert.",The holy innocents : | a romance / | $c: Gilbert Adair.,1988,m,,2.4804457213514635
mdp.39015050498065,"Smith, Ali,",Hotel world / | $c: Ali Smith.,2001,m,high_female,2.4737457269856677
mdp.39015014681624,"Johnson, Uwe,",An absence; | $c: translated from the German by Richard and Clara Winston.,1969,u,high_male,2.4731123531246255
uiuo.ark:/13960/t0zp49609,"Banim, John,",Father Connell,1842,m,mixed,2.468346190098948
mdp.39015019780264,"Clarke, Pauline,",The white elephant. | $c: Illustrated by Richard Kennedy.,1952,f,high_female,2.4543165436674736
mdp.39015018913940,"Bolger, Dermot,",The journey home / | $c: Dermot Bolger.,1990,m,mixed,2.4476883713985718
mdp.39015018995442,"Muʾalla, Abdul-Ameer.",The long days / | $c: by Abdul-Ameer Muʾalla. Translated from the Arabic by Mohieddin Ismail.,1979,u,high_male,2.4475641037355578
uc1.$b244225,"Fuller, Roy Broadbent,",Image of a society.,1956,m,high_male,2.445312770409149
uc1.b3752241,"Simenon, Georges,",Maigret and the Saturday caller / | $c: Georges Simenon ; translated from the French by Tony White.,1964,m,mixed,2.442672524886884
mdp.39015061138833,"Guo, Xiaolu,",Village of stone / | $c: Xiaolu Guo ; translated from Chinese by Cindy Carter.,2004,u,high_male,2.438947226495328
uc1.32106011414114,"Simenon, Georges,",Maigret and the lazy burglar; | $c: translated from the French by Daphne Woodward,1966,m,,2.434256731365826
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,2.4314033253021163
uc2.ark:/13960/t9571977v,,The robins' nest; and where do you think they built it?,1864,u,,2.423212158104655
mdp.39015017751713,"Taylor, Alistair.",Yesterday : | the Beatles remembered / | $c: Alistair Taylor with Martin Roberts.,1988,u,high_male,2.417434603869493
mdp.39015054181956,"Williamson, Graeme.",Strange faith / | $c: Graeme Williamson.,2001,m,,2.4110962123349506
mdp.39015027338147,"Kuncewiczowa, Maria Szczepańska,","The keys; | a journey through Europe at war, translated from the Polish.",1945,f,,2.4097807896259043
wu.89100103373,"La Barre, Georges.",Captive of the kaiser in Belgium (with the fall of Namur),1914,u,high_male,2.406809588130385
uc1.b3473209,"Sotabinda, Maurice.",The money-doublers / | $c: Maurice Sotabinda.,1985,m,mixed,2.4058166899549565
mdp.39015005732048,"Tarkington, Booth,",The world does move... | $c: by Booth Tarkington.,1929,m,high_female,2.4033111798316478
uc1.32106013111692,"Balle, Solvej,",According to the law : | four accounts of mankind / | $c: Solvej Balle ; translated from the Danish by Barbara Haveland,1996,u,mixed,2.402437245207394
mdp.39015055109303,"Stuart, Francis,","Black list, section H / | $c: Francis Stuart.",1971,m,mixed,2.4019235212386025
mdp.39015022268208,,"A New book of Dubliners : | short stories of modern Dublin / | $c: edited by Ben Forkner, with a preface by Benedict Kiely.",1989,u,,2.397697819772687
mdp.39015059376494,,The New British novelist;,1830,u,mixed,2.395240868718447
uc2.ark:/13960/t5z60f63f,"Minney, R. J.",Maki,1921,u,high_male,2.3910513898778083
uc1.b2794678,"Borrelli, Mario,","A street lamp and the stars, | the autobiography of Don Borrelli of Naples, | $c: written with the help of Anthony Thorne.",1963,m,high_male,2.3772677759342566
wu.89099916504,"Bretherton, Ralph Harold.",The child mind,1903,m,high_female,2.3735384828159445
mdp.39015030747276,"Henrey, Robert, Mrs.,",An exile in Soho.,1952,f,high_female,2.3718314129475053
mdp.39015056498143,"Youngblood, Shay.",Black girl in Paris / | $c: Shay Youngblood.,2000,f,mixed,2.3710130008695467
mdp.39015000626385,"Koning, Hans.",I know what I'm doing.,1966,m,high_female,2.370817534025538
mdp.39015008009964,"Wain, John.",A winter in the hills.,1970,m,,2.3698157784157265
mdp.39015076865743,"Jha, Raj Kamal,",Fireproof / | $c: Raj Kamal Jha.,2007,m,mixed,2.364882779988284
mdp.39015011028365,"Zagórski, Wacław.","Seventy days, | $c: by W. Zagórski (""Lech"") Translated by John Welsh.",1957,u,,2.3612559859348607
wu.89073510208,"Glavinic, Thomas.",Carl Haffner's love of the draw / | $c: Thomas Glavinic ; translated from the German by John Brownjohn.,1999,m,,2.3600524924119926
uc2.ark:/13960/t89g5js2d,"Mack, Louise,",A woman's experiences in the great war,1915,f,,2.3543007937783305
mdp.39015011346924,"Kubly, Herbert.",Easter in Sicily.,1956,m,mixed,2.3452696167090252
mdp.39015010486895,"Simenon, Georges,",Maigret has doubt; | $c: translated from the French by Lyn Moir.,1968,m,mixed,2.338706489555844
mdp.39015062110344,"Follett, Ken.",On wings of eagles / | $c: by Ken Follett.,1983,m,high_male,2.337022371657938
wu.89046632451,"Cordelli, Franco,",Pinkerton / | $c: Franco Cordelli ; translated by Teresa Waugh.,1990,m,,2.332953790987359
uc1.32106011414247,"Simenon, Georges,",Maigret on the defensive; | $c: translated from the French by Alastair Hamilton,1968,m,mixed,2.3281445863174453
mdp.39015019151714,"Steffens, Lincoln,",The autobiography of Lincoln Steffens ...,1931,m,high_male,2.3248415613644555
uc2.ark:/13960/t3610z158,"Courlander, Alphonse,",Mightier than the sword,1912,m,,2.3222225407965595
uc1.$b243907,"Mais, Roger.",Brother man. | With drawings by the author.,1954,m,,2.3194069780407167
uc1.32106018078417,"Dantzig, Rudi van",For a lost soldier / | $c: Rudi van Dantzig ; translated from the Dutch by Arnold J. Pomerans,1996,m,high_male,2.318831454722694
nyp.33433067352884,"Watson, E. H. Lacon",A conversational tour in America,1914,u,,2.318547924412764
uc1.$b119734,"Coulter, Stephen,",A stranger called the blues.,1968,m,high_male,2.3156304276476662
uc1.32106011414254,"Simenon, Georges,",Maigret's failure / | $c: Georges Simenon ; translated from the French by Daphne Woodward,1962,m,,2.313923855263363
mdp.39015016424627,"Henrey, Robert, Mrs.,",Madeleine grown up.,1953,f,mixed,2.3049730361158094
uc1.b3750429,"Butor, Michel.",Second thoughts. | $c: Translated from the French by Jean Stewart.,1958,m,high_female,2.303953469269716
mdp.39015037755173,"Cooper, John.",A breeze that lingers : | a collection of stories / | $c: by John Cooper.,1992,m,high_female,2.3027521817245287
uc1.32106002184684,"Rechy, John",City of night / | $c: John Rechy,1964,m,,2.3022489221631393
uc1.$b435114,"Vinogradov, Anatoliĭ,","The condemnation of Paganini,",1946,u,,2.3017480115393725
mdp.39015030159027,"Aveline, Claude,",The passenger on the U; | $c: translated by Mervyn Savill.,1968,m,,2.2994373018349163
uc1.32106018792025,Pepetela,"Jaime Bunda, secret agent : | story of various mysteries / | $c: Pepetela ; translated from Portuguese by Richard Bartlett",2006,u,high_male,2.297044673748224
mdp.39015054134492,"Curtin, Michael,",Sing! / | $c: Michael Curtin.,2001,m,,2.2942398636723413
mdp.39015048891561,"Roe, Sue.","Estella, her expectations : | a novel / | $c: by Sue Roe.",1982,f,high_female,2.285314498177117
mdp.39015058209878,"Reed, Jeremy.",Boy Caesar / | $c: Jeremy Reed.,2004,m,high_male,2.2815525222945476
uc1.$b783870,"Greenwall, Harry J. (Harry James),",Such is life / | $c: Harry J. Greenwall.,1948,m,mixed,2.279957621712353
mdp.39015078812941,"Jones, Susanna,",The missing person's guide to love : | a novel / | $c: Susanna Jones.,2008,f,high_female,2.276663764392706
uiuo.ark:/13960/t7pn9qw7m,"Simpson, J. Palgrave","The lily of Paris, or, The king's nurse",1849,m,,2.276448050763273
wu.89099799983,"Fineman, Irving,","Lovers must learn,/ | $c: by Irving Fineman.",1932,m,,2.2744340576096183
uc1.b3782596,"Duncan, Dorothy.",Portrait of Jan.,1948,f,,2.27325323662037
uiuo.ark:/13960/t6rx9ws21,"Simpson, J. Palgrave","The lily of Paris, or, The king's nurse",1849,m,,2.273191237792849
uc1.$b479444,"Hámori, Laszlo,",Dangerous journey. | $c: Translated from the Swedish by Annabelle MacMillan. Illustrated by W.T. Mars.,1963,u,high_male,2.265127998084895
uc1.b3322521,"Gladstone, Alfred.",The man of the hour,1863,m,,2.259599432107405
inu.30000110566167,"Liang, Diane Wei,",Paper butterfly / | $c: Diane Wei Liang.,2008,f,,2.25860026686167
mdp.39015035763963,"(Vasiliĭ), Ilʹenkov, V.",Driving axle; | a novel of socialist construction.,1933,u,high_male,2.2574532490665837
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,2.253617699568954
dul1.ark:/13960/t9863170h,"Braddon, M. E.",Ishmael,1884,f,,2.249975373204096
uc2.ark:/13960/t78s4kw9p,,Jack and Jill and old Dame Gill,1806,u,mixed,2.241635933654556
mdp.39015018885163,"Sharqāwī, ʻAbd al-Raḥmān,",Egyptian earth / | $c: Abdel Rahman al-Sharqawi ; translated by Desmond Stewart ; foreword by Robin Ostle.,1990,u,high_male,2.240469908920276
uc1.$b114284,"Young, Miriam,","Mother wore tights | $c: [by] Miriam Young, illustrated by Howard Williamson.",1944,f,high_female,2.2386451874955346
uc1.$b176818,"Zangrandi, Ruggero.",A train to the Brenner (La tradotta del Brennero). | $c: Translated from the Italian by Roger Wolcott-Behnke.,1963,u,high_male,2.232775835255144
mdp.39015064136289,"Baron, Dunsany, Edward John Moreton Drax Plunkett,","The story of Mona Sheehy, | $c: by Lord Dunsany.",1939,m,high_female,2.226218218832839
uc1.b4098088,"Anderson, Sherwood,",Alice | and The lost novel / | $c: by Sherwood Anderson.,1929,m,high_female,2.2225943220227147
mdp.39015059960818,"Bosco, John,",Cautionary tales of war and conflicts / | $c: John Bosco.,2002,m,mixed,2.2196152003070715
umn.31951000442949l,"Stevens, Frank,",Adventures in hiveland,1903,m,high_female,2.213238837892797
mdp.39015040570791,"Morandini, Giuliana.",The Café of mirrors / | $c: Giuliana Morandini ; translated from the Italian by Luisa Quartermaine.,1997,u,high_female,2.2102591843267856
coo.31924013604990,"Deeping, Warwick,",The lame Englishman.,1928,m,high_male,2.2101633929054896
inu.32000009137540,"Isherwood, Christopher,",Goodbye to Berlin.,1940,m,mixed,2.2087010321433564
uc1.$b389725,"Langley, Noel,",The loner.,1967,m,mixed,2.207013444903274
coo.31924087514372,,"The Vintage book of office life, or, Love among the filing cabinets / | $c: edited, with an introduction, by Jeremy Lewis.",1998,u,,2.2043725573846658
uc1.$b323538,"Camden, George.","My time, my life.",1950,m,,2.2043260687511825
mdp.39015005498665,"Cooper, William,",Scenes from provincial life | $c: [by] William cooper [pseud.],1961,m,high_male,2.203628644601818
uc1.32106008858273,"Pritchett, V. S. (Victor Sawdon),",A careless widow : | & other stories / | $c: by V.S. Pritchett.,1989,m,,2.200969304230936
mdp.39015065549191,"Ross, Martin,",The silver fox,1898,f,,2.1995985676191863
uc1.$b295058,"Hobart, Alice Tisdale,","Within the walls of Nanking, | $c: by Alice Tisdale Hobart; proem by Florence Ayscough.",1928,f,high_male,2.198124702832872
mdp.39015037260877,"Price, David,",Alphabet city : | a novel / | $c: by David Price.,1984,m,high_male,2.1977093572894724
uc1.32106011994172,"Binchy, Maeve.",London Transports / | $c: Maeve Binchy.,1983,f,high_female,2.1975131320010295
uc1.b3811083,"Bennett, Arnold,",The regent : | a five towns story of adventure in London.,1929,m,high_male,2.196888694729542
uc1.b3862766,"Firbank, Ronald,",Sorrow in sunlight.,1924,m,high_female,2.1962676747588974
uc1.32106012861305,"Moor, Margriet de",The virtuoso / | $c: Margriet de Moor ; translated from the Dutch by Ina Rilke,1996,f,mixed,2.1923710690279745
mdp.39015002699091,"Williams, Gordon M.,","Walk, don't walk / | $c: Gordon Williams.",1972,m,high_male,2.192314700001184
uc1.$b120264,"Bradley, Marjorie D.",The long walkabout | $c: [by] Marjorie D. Bradley.,1968,f,,2.191050464610343
mdp.39015054174043,"Ambler, Eric,",The night-comers.,1956,m,mixed,2.1899033783717896
uc1.$b119623,"Naipaul, V. S. (Vidiadhar Surajprasad),",The mimic man.,1967,m,mixed,2.18123634798772
mdp.39015068635559,"(Cecil Ernest Lucas), Phillips, C. E. Lucas",The Spanish pimpernel.,1960,m,high_male,2.1811722479365745
mdp.39015082703342,"Parsons, Tony,",My favourite wife / | $c: Tony Parsons.,2008,m,mixed,2.1791634108313964
uc1.b4379991,"Soriano, Osvaldo.",Winter quarters : | a novel of Argentina / | $c: Osvaldo Soriano ; translated by Nick Caistor.,1989,m,mixed,2.177573114402656
uc2.ark:/13960/t06w97g82,"Ballantyne, R. M.",Fighting the flames,1876,m,,2.1760871170589873
uc1.32106018853751,"Rosendorfer, Herbert,",Grand solo for Anton / | $c: Herbert Rosendorfer ; translated by Mike Mitchell,2006,m,high_male,2.1754290414466175
nyp.33433075959621,"Robinson, F. W.","Memoirs of Jane Cameron, female convict",1864,m,high_female,2.1741190768915715
mdp.39015027548745,"Lukash, Ivan,",The flames of Moscow. | $c: by Ivan Lukash; translated from the Russian by Natalie Duddington.,1930,m,high_male,2.1721217529645296
mdp.39015002206210,"Robbe-Grillet, Alain,",Jealousy; | a novel. | $c: Translated by Richard Howard.,1965,m,high_male,2.1705791978208495
nyp.33433040405569,"Balzac, Honoré de,",A distinguished provincial at Paris=,1897,f,high_male,2.169002739756693
inu.32000003313980,"Chirasha, Ben,",Child of war / | $c: Ben Chirasha.,1985,m,,2.1670563192735894
mdp.39015065134689,"Mrabet, Mohammed,",Love with a few hairs;,1967,m,mixed,2.164271276764952
mdp.39015012847250,"Han, Suyin,","Destination Chungking, | $c: an autobiography by Han Suyin.",1942,u,high_male,2.1593137858284273
uc1.$b312377,"Rhys, Jean.",After leaving Mr. Mackenzie / | $c: Jean Rhys.,1931,f,high_female,2.1588706446109467
uc1.32106010943360,"Darvas, Robert.",Right through the pack : | a bridge fantasy / | $c: by Robert Darvas and Norman de V. Hart ; introduction by Guy Ramsey.,1978,m,,2.1565863897729027
uc1.32106017248482,,Further up in the air / | $c: Will Self ... [et al.],2003,u,high_male,2.155583432645846
inu.32000005557592,"Burke, Thomas,","Dark nights, | $c: by Thomas Burke.",1944,m,high_male,2.1549312756816854
mdp.39015082751846,"Walden, Celia.",Harm's way / | $c: Celia Walden.,2008,f,high_female,2.154743390637908
mdp.39015029187476,"Bracewell, Michael,",The conclave / | $c: Michael Bracewell.,1992,m,mixed,2.146028598035507
inu.30000084051147,"Cossu, Antoni,",The Sardinian hostage / | $c: Antonio Cossu ; translated from the Italian by Isabel Quigly.,1971,m,high_male,2.1445087763434674
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,2.144025201747785
mdp.39015002753336,"Hon., Sackville-West, Edward,",Piano quintet.,1925,m,high_male,2.1433504889367785
inu.30000068200595,"Gee, Sue.",Spring will be ours / | $c: Sue Gee.,1995,f,,2.1429886387429127
uc1.32106011414205,"Simenon, Georges,",Maigret's first case / | $c: by Georges Simenon. Translated from the French by Robert Brain,1953,m,,2.1397545844498427
mdp.39015048759479,"Rhys, Jean.",Quartet.,1969,f,high_female,2.13836399871682
mdp.39015052051268,"Zhou, Weihui,",Shanghai baby / | $c: Wei Hui ; translated from the Chinese by Bruce Humes.,2001,u,,2.1339082200507056
mdp.39015062281541,"Burke, Thomas,",Vagabond minstrel; | the adventures of Thomas Dermody.,1936,m,high_male,2.1312623437329887
mdp.39015029174540,"Goodman, Martin,",On bended knees / | $c: Martin Goodman.,1992,m,,2.1292532489058273
mdp.39015050488306,"Faulks, Sebastian.",On green dolphin street / | $c: Sebastian Faulks.,2001,m,,2.1237357366894463
uc1.b3752397,"Ionesco, Eugène.",The hermit / | $c: Eugène Ionesco ; translated from the French by Richard Seaver.,1983,u,high_female,2.119687190363126
uc1.32106008017268,"Fuller, Roy,",Image of a society / | $c: Roy Fuller ; new introduction by Jeremy Lewis.,1987,m,high_male,2.1176770411655754
mdp.39015030709813,"Newby, P. H. (Percy Howard),",Mariner dances : | a novel / | $c: by P.H. Newby.,1948,m,high_female,2.1174348847693563
uc1.$b244768,"Strong, L. A. G. (Leonard Alfred George),",Light above the lake / | $c: L.A.G. Strong.,1958,m,,2.113893483666777
mdp.39015064872859,"Ballard, J. G.,",Kingdom come / | $c: J.G. Ballard.,2006,m,mixed,2.112246396267177
mdp.39015074275531,"Stasiuk, Andrzej,",Nine / | $c: Andrzej Stasiuk ; translated from the Polish by Bill Johnston.,2007,m,,2.1088527815092144
mdp.39015034995848,"Griffiths, Janette.",The singing house / | $c: Janette Griffiths.,1995,f,,2.1055106093887708
uc1.$b289587,"Körmendi, Ferenc,",Escape to life. | $c: Translated from the Hungarian by E.I. Holt and M.L. Elting.,1933,u,mixed,2.1040904385801698
mdp.39015032138300,"Nayman, Michele.",Jetlag : | a novel / | $c: Michèle Nayman.,1994,f,,2.1025085978593276
