htid,author,title,year,authgender,female_category,urban_metric_global_frac
uc1.b4570834,"Benson, Stella,","Christmas formula, | and other stories, | $c: by Stella Benson, with a front. by Clare Leighton, and a foreword by Geoffrey West.",1932,f,,-0.06485595709574261
uiuo.ark:/13960/t2d79zb8t,"Savile, Charles Stuart,","Leonard Normandale; or, The three brothers",1850,m,high_male,-0.06515062895378504
uc1.$b426357,"Jókai, Mór,",Eyes like the sea =,1893,m,high_female,-0.06518375934626036
uc1.b3554698,"Rutherfoord, Peggy.",Darkness and light; | an anthology of African writing. | $c: With a pref. by Trevor Huddleston.,1958,f,high_male,-0.06521015968187191
uc1.$b675123,"Trevelyan, Raleigh.",The fortress; | a diary of Anzio & after.,1956,m,,-0.06522129079536865
inu.39000003401267,,The book of cats / | $c: edited by George MacBeth and Martin Booth.,1976,u,mixed,-0.0653995612059563
uc1.b4936747,"Tournier, Michel.",The fetishist and other stories / | $c: Michel Tournier ; translated from the French by Barbara Wright.,1983,m,,-0.06541095109645365
uiuo.ark:/13960/t00z7qb46,"Braddon, M. E.",A strange world,1875,f,,-0.06542268585075027
mdp.39015047768885,"Fane, Julian,",Happy endings : | ten stories / | $c: by Julian Fane.,1979,m,high_female,-0.06548391091259514
njp.32101065704601,"Riddell, J. H.,",Mortomley's estate,1874,f,,-0.06552715684199606
inu.30000000209332,"Prichard, Katharine Susannah,",The black opal,1921,f,,-0.0655479933804143
mdp.39015058691273,,Tales from  Blackwood.,1858,u,,-0.06558733196814094
njp.32101067179398,"Trollope, Frances Milton,",The life and adventures of a clever woman,1854,f,high_female,-0.06562473302833527
uiuo.ark:/13960/t0vq3kd0b,"Oliphant,",The last of the Mortimers,1862,f,high_female,-0.0656572230434462
uiuo.ark:/13960/t0pr8f278,"Stretton, Hesba,",Through a needle's eye,1879,m,,-0.06570863831111484
uc1.b3327503,"Wood, Henry,",The story of Charles Strange,1888,f,,-0.06574314872220978
uc1.$b82974,"Krasnov, P. N. (Petr Nikolaevich),","From the two-headed eagle to the red flag, 1894-1921, | $c: by P. N. Krassnoff.  Translated from the 2d Russian ed.",1923,u,high_female,-0.06588155195269196
mdp.39015041787584,"Kent-Payne, Vaughan,",Bosnia warriors : | living on the front line / | $c: Vaughan Kent-Payne.,1998,m,high_male,-0.06592325814171252
uiuo.ark:/13960/t89g5zk35,"Clarke, Cecil.",Love's loyalty,1890,m,high_female,-0.06594951773126631
mdp.39015063317732,"Bauld, Alison.",Mozart's sister : | a novel / | $c: A.M. Bauld.,2005,f,,-0.06610726310165471
