htid,author,title,year,authgender,female_category,intensity
uc1.b3477299,"De Polnay, Peter,",The other shore of time / | $c: Peter de Polnay,1978,m,mixed,443.9720552252522
uc2.ark:/13960/t6sx6503p,"Escott, T. H. S.",A trip to Paradoxia and other humours of the hour,1899,m,,443.9532099106567
uc1.b3834715,"Elstob, Peter,",The armed rehearsal / | $c: Peter Elstob,1964,m,,443.911681682843
uc1.b4295577,"Scott, Hugh Stowell,",Novels of Henry Seton Merriman [pseud.],1897,m,mixed,443.8702313673581
uc1.$b245271,"Leslie, Shane,",Masquerades : | studies in the morbid / | $c: by Shane Leslie.,1924,u,,443.84750858342375
nyp.33433074930573,"Brougham and Vaux, Henry Brougham,",Albert Lunel;,1844,m,,443.7996074080397
uiuo.ark:/13960/t6b28g80n,"Meeke, Mary,","What shall be, shall be",1823,f,mixed,443.79712131596983
uiuo.ark:/13960/t2z326117,"Edwards, Amelia Ann Blanford,",Barbara's history,1864,f,,443.6740087037688
inu.39000003233025,"Price, Anthony.",Our man in Camelot / | $c: by Anthony Price.,1975,m,,443.5964703076556
nyp.33433075749279,"O'Shea, John Augustus,",Mated from the morgue,1889,m,,443.5730915329004
mdp.39015013299287,"Farah, Nuruddin,",A naked needle / | $c: Nuruddin Farah.,1976,m,high_female,443.53423054417783
mdp.39015011488080,"Carter, Bryan,",The arm'd rhinoceros,1965,m,high_male,443.5219952461331
mdp.39015011487181,,The Best of the Fiction Magazine.,1986,u,,443.50850323856935
uc2.ark:/13960/t1hh6cn07,"Low, Charles Rathbone,",The autobiography of a man-o'-war's bell,1875,m,high_male,443.4816374077783
mdp.39076002819055,"Tahta, Haig.",April 1915 / | $c: Haig Tahta.,2005,m,mixed,443.33952512163785
mdp.39015037289199,"Bell, A. Craig.",Alexandre Dumas : | Le Vicomte de Bragelonne (The man in the iron mask) : a critical study / | $c: A. Craig Bell.,1995,m,,443.32840746213935
mdp.39015030744695,"Hayes, Douglas.",A player's hide.,1972,m,,443.3237553509646
uiuo.ark:/13960/t2p567g2p,"Westall, William,",Her two millions,1887,m,mixed,443.2911666126068
uiuo.ark:/13960/t2988wk1s,"Warburton, Eliot,",Reginald Hastings,1850,m,,443.28188334897465
mdp.39015070756153,"Doyle, Roddy,",The deportees and other stories / | $c: Roddy Doyle.,2007,m,,443.2428216760038
mdp.39015063543030,"Henrey, Thomas Selby.","Attic salt, the saving grace of humour",1914,m,,443.206868546235
uiuo.ark:/13960/t6d22j49c,,Poor Nellie,1887,f,,443.1965551540485
mdp.39015000577141,"Brown, George Mackay.",Magnus: | a novel.,1973,m,high_male,443.1540342298288
mdp.39015032835194,"Forbes, Bryan,",The twisted playground / | $c: Bryan Forbes.,1993,m,mixed,443.1355028129075
inu.32000009368038,"Trollope, Anthony,",Marion Fay,1883,m,mixed,443.0862631018487
nyp.33433040405494,"Balzac, Honoré de,",Ursule Mirouet,1895,f,high_male,443.0860317368781
mdp.39015063947488,,Patrick Welwood,1841,u,high_male,443.0445795820012
uc1.$b87094,"Chapman, Hester W.,","Eugénie, | an historical romance.",1961,f,,443.02065542523377
