htid,author,title,year,authgender,female_category,shops
uc1.32106006786880,"Stander, Siegfried.",Into the winter : | a novel / | $c: by Siegfried Stander.,1983,m,high_male,9.503896597605019
inu.30000038749259,"North, Sam.",Chapel Street / | $c: Sam North.,1993,m,high_female,9.502090459901178
uc1.32106012449234,"Mastretta, Angeles,",Mexican bolero / | $c: Angeles Mastretta ; translated by Ann Wright.,1989,f,mixed,9.500184725814114
uiuo.ark:/13960/t5bc4nw5h,"Collins, Wilkie,",The Queen of Hearts,1859,m,,9.496074955684984
mdp.39015002741448,"(Sydney Castle), Roberts, S. C.",Zuleika in Cambridge / | $c: by S. C. Roberts.,1941,u,high_female,9.495774380400722
uc1.$b470338,,Victorian tales for girls / | $c: edited with an introduction by Marghanita Laski.,1947,u,,9.495531621946364
mdp.39015053608322,"Murphy, Clive,","Freedom for Mr. Mildew, and Nigel someone / | $c: Clive Murphy.",1975,m,mixed,9.495516759587082
mdp.39015079360726,"Brackston, Paula.",Book of shadows / | $c: by Paula Brackston.,2009,f,,9.492941320061297
uc2.ark:/13960/t8z89571j,"Frankau, Julia,",Mothers and children,1918,f,high_female,9.491718475630012
uc2.ark:/13960/t7hq3v15z,"Pickthall, Rudolf.",The comic kingdom,1914,m,mixed,9.491268033409263
mdp.39015019480444,"Wings, Mary,",She came too late / | $c: Mary Wings.,1986,f,high_female,9.489766868060608
uc1.$b164862,"Bigiaretti, Libero.",A business convention. | $c: Translated from the Italian by Joseph Green.,1965,m,high_female,9.488866396761134
mdp.39015054507366,"Sullivan, J. W. N.",An attempt at life,1917,u,,9.487923229146901
uc2.ark:/13960/t04x56s6x,"Lindsay, Mayne.",The King of Kerisal,1907,u,high_male,9.48604602629532
uiuo.ark:/13960/t5j96sf1b,,Rose Aylmer's home,1865,u,,9.484066767830045
mdp.39015065549506,"Swaffer, Hannen.","When men talk truth, | and other stories.",1937,u,high_male,9.483841904355454
uiuo.ark:/13960/t4vh63v11,"Oliphant,",The laird of Norlaw,1858,f,,9.483766952233427
uc1.$b482335,"Belmer, Roy.",The teeth of the dragon : | the incredible story of a woman's survival / | $c: by Roy Belmer.,1964,m,,9.48252506095909
dul1.ark:/13960/t6ww88v9c,"Bayfield, E. G.,",A winter in Bath,1807,f,high_female,9.481668773704172
uc1.$b322371,"Baerlein, Henry,","Over the hills of Ruthenia, | $c: by Henry Baerlein.",1923,m,,9.475679090334808
uc1.b3475732,"Harris, John,",The Mercenaries.,1969,m,mixed,9.471266545118747
mdp.39015011955997,"Morgan,",The O'Briens and the O'Flahertys;,1827,f,mixed,9.470444321679425
uc2.ark:/13960/t4th8dq0x,"Childe, Wilfred Rowland,",Dream English,1917,m,high_female,9.46924861512239
mdp.39015022236049,"Finney, Patricia,",Firedrake's eye / | $c: Patricia Finney.,1992,f,high_male,9.469099173032006
uc2.ark:/13960/t5gb2389w,"Allen, Grant,",The tents of Shem,1889,m,,9.46862099003901
uc1.b3741295,"Sinclair, Clive,",Hearts of gold / | $c: Clive Sinclair.,1979,m,,9.46521533364884
mdp.39015032979364,"Faldbakken, Knut.",Twilight country / | $c: Knut Faldbakken ; translated from the Norwegian by Joan Tate.,1993,m,,9.464677822366927
njp.32101067630697,"Bray,",Warleigh,1884,f,,9.46217024336702
uiuo.ark:/13960/t6k07pr0h,"Reade, Charles,",Put yourself in his place,1870,m,,9.461409276911796
uc2.ark:/13960/t06w97x5f,"Inman, Herbert Escott.",The tear of Kalee,1902,m,,9.45933961985279
uiuo.ark:/13960/t66403w4h,"Elliot, Frances,",The ill-tempered cousin,1885,f,,9.457695727013071
uc1.32106016400241,"Kurkov, Andreĭ",Death and the penguin / | $c: Andrey Kurkov ; translated from the Russian by George Bird,2001,u,,9.45754239005607
uiuo.ark:/13960/t6834fx7b,"Roche, Regina Maria,",The Munster cottage boy,1820,f,high_female,9.457159069415548
uc1.32106005670069,"Perera, Padma.",Birthday deathday : | and other stories / | $c: Padma Perera.,1985,u,,9.456935480057687
uc1.b3549889,"Reynolds, George W. M.","Joseph Wilmot, or, The memoirs of a man-servant",1854,m,mixed,9.453272065170035
pst.000049774849,"Plaidy, Jean,",It began in Vauxhall Gardens / | $c: [by] Jean Plaidy.,1968,f,high_female,9.448818897637794
inu.30000110620865,"McGilvary, Marion.",A lost wife's tale / | $c: Marion McGilvary.,2009,u,,9.448304888209375
uc2.ark:/13960/t6xw4f320,"Jesse, F. Tennyson",The white riband,1921,f,high_female,9.44822373393802
mdp.39015046898444,"Salkey, Andrew.",In the border country and other stories / | $c: by Andrew Salkey.,1998,m,mixed,9.443762394938144
mdp.39015059418114,"Strong, L. A. G. (Leonard Alfred George),","Sea wall, | $c: by L. A. G. Strong.",1933,m,high_male,9.443625189780544
njp.32101068574175,"Wood, Henry,",Johnny Ludlow,1899,f,,9.438130906875678
inu.30000110623109,"Ross, Caroline,",The war before mine / | $c: by Caroline Ross.,2008,f,,9.438090416906194
uc1.32106009522654,"Humphreys, Emyr.",Bonds of attachment / | $c: Emyr Humphreys.,1991,m,mixed,9.434496292242956
mdp.39015030706744,"Mayo, Katherine,","Slaves of the gods, | $c: by Katherine Mayo ...",1929,f,,9.43360627900834
mdp.39015029755066,"Kapp, Yvonne,",Loaf sugar | $c: [by Konstantin Paustovsky] and other Soviet stories. [Translated by Tatiana Shebunina],1957,f,,9.433566726761981
uiuo.ark:/13960/t2988w55b,"Tinsley, Lily.",In the ring,1886,f,mixed,9.430848304805018
uc1.b4102318,"Lawrence, D. H. (David Herbert),","Pornography and so on, | $c: by D. H. Lawrence.",1936,m,high_male,9.430700072302034
coo.31924022518090,"Pettingill, Eleanor Rice.","Penguin summer. | $c: Photographs by Olin Sewall Pettingill, Jr.",1962,f,,9.428371316200636
inu.32000006230868,"O'Brien, Flann,",The hard life : | an exegesis of squalor / | $c:  Flann O'Brien,1961,u,,9.427514200193263
mdp.39015037277327,"Cohen, Albert,",Belle du Seigneur / | $c: Albert Cohen ; translated and with an introduction by David Coward.,1995,m,,9.42523989479637
uc1.$b299111,"Pryce, Richard,",Romance and Jane Weston.,1924,u,high_female,9.42507068803016
uc1.$b120418,"Mulholland, Brendan,",The commuter; | $c: illustrated by Trog.,1967,m,,9.423886410755795
uc1.b3473210,"Sahgal, Nayantara,","Storm in Chandigarh: | a novel, | $c: by Nayantara Sahgal.",1969,u,mixed,9.423849406886477
mdp.39015055165859,"O'Brien, Flann,",The Third policeman / | $c: Flann O'Brien.,1967,u,high_male,9.42151874882231
uiuo.ark:/13960/t42r4j18j,"Collins, Wilkie,",Little novels,1887,m,mixed,9.420076538121872
nyp.33433066630538,"Surtees, Robert Smith,","Ask mamma; or, The richest commoner in England",1872,m,,9.41655052921014
uc2.ark:/13960/t2z31qc02,"Maclean, Donald Findlay,","John Scarlett, ganger",1912,m,high_male,9.414521376193814
inu.30000092510852,"Grn̜dahl, Jens Christian,",Lucca / | $c: Jens Christian Grn̜dahl ; translated from Danish by Anne Born.,2003,m,mixed,9.413891137762883
mdp.39015064739819,"Drabble, Margaret,",The sea lady : | a late romance / | $c: Margaret Drabble.,2006,f,high_female,9.413315134257408
wu.89099775991,"Cooper, Lettice Ulpha,",Black Bethlehem.,1947,f,mixed,9.411511623216855
mdp.39015031302337,"Shaw, Margaret.","Inherit the earth,",1939,f,mixed,9.410305945652716
mdp.39015068100752,"Sedley, Charles,",Asmodeus;,1808,m,high_male,9.40999341300461
mdp.39015066684955,"Lodi, Maria.",Charlotte Morel; | $c: translated by Anne Carter.,1968,u,,9.408458831720305
mdp.39015031310439,"Boas, Louise Schutz,","A great rich man; | the romance of Sir Walter Scott, | $c: by Louise Schutz Boas.",1929,f,high_male,9.405273223187134
uc2.ark:/13960/t7xk89z3q,"Wood, Henry,",Lord Oakburn's daughters,1864,f,high_female,9.403602624649977
mdp.39015032957311,,The Penguin book of Russian short stories / | $c: edited by David Richards.,1981,u,,9.40284689272075
uc1.b3321954,"Brooks, Shirley,",Aspen court;,1855,m,mixed,9.402227283174192
mdp.39015051168774,"Astley, Thea.",It's raining in Mango : | pictures from the family album / | $c: Thea Astley.,1987,f,mixed,9.399158775289612
uiuo.ark:/13960/t2f76pf24,"Croker, B. M.",Interference,1891,f,high_female,9.398717075119245
mdp.39015005190379,"Mulisch, Harry,",Two women / | $c: Harry Mulisch ; translated from the Dutch by Els Early.,1980,m,high_female,9.395405646638794
mdp.39015064690400,"Robertson, James,",The testament of Gideon Mack / | $c: James Robertson.,2006,m,,9.392005745697633
mdp.39015038158922,"Panferov, Fedor Ivanovich,","And then the harvest, | $c: by Fiodor Panferov; translated from the Russian by Stephen Garry.",1939,u,,9.389781570206223
mdp.39015004721869,"De Morgan, Mary A","The necklace of Princess Fiorimonde and other stories; | being the complete fairy tales. | $c: With original illus. by William De Morgan, Walter Crane [and] Olive Cockerell. Introduced by Roger Lancelyn Green.",1963,f,,9.387782471669013
mdp.39015015526125,"Dahl, Roald.","Ah, sweet mystery of Life / | $c: Roald Dahl ; illustrated by John Lawrence.",1989,m,high_male,9.387732111676462
nyp.33433067303820,"Colman, George,",The history of Elsmere and Rosa;,1817,m,mixed,9.386733416770964
mdp.39015079203082,"Hinchcliffe, Sally.",Out of a clear sky / | $c: Sally Hinchcliffe.,2008,f,,9.384775808133472
mdp.39015030760329,"Lytton, Edward Bulwer Lytton,",[Novels],1890,m,,9.383814575823981
inu.30000045074337,"Lees-Milne, James.",Ruthenshaw : | a ghost story / | $c: James Lees-Milne.,1994,m,mixed,9.383503800319039
mdp.39015000886955,"Wallace, Clare Marc.",Portrait of a schizophrenic nurse.,1965,u,,9.383063570255688
mdp.39015048900990,"Mackenzie, Compton, Sir,",The rival monster.,1952,m,,9.382447317558311
mdp.39015038130566,"Grekova, I.",The ship of widows / | $c: I. Grekova ; translated and with an introduction by Cathy Porter.,1985,u,,9.380863039399625
njp.32101057193193,"Le Sage, Alain René,","The life and adventures of Guzman D'Alfarache, or The Spanish rogue",1823,m,,9.378977691431635
mdp.39015053497072,"Rose, Jacqueline.",Albertine / | $c: Jacqueline Rose.,2001,f,high_female,9.378349410503752
mdp.39015063975521,"Yonge, Charlotte M.",The Carbonels,1895,f,high_female,9.377972482349316
uiuo.ark:/13960/t4pk11z5q,"Smith, Horace,","Jane Lomax; or, A mother's crime",1838,m,,9.377871973291821
inu.32000007038500,"MacDonald, George,",Malcolm,1875,m,mixed,9.377784029633798
njp.32101064071192,"Belknap, Jeremy,",The foresters,1831,m,high_male,9.375366225243173
uc1.$b797658,"Palmer, Vance,",Daybreak.,1932,m,,9.3749267583847
hvd.hwadus,"Scott, Walter,",The Waverley novels,1829,m,mixed,9.374004012073717
inu.39000001159297,"Palmer, Vance,",Daybreak.,1932,m,,9.373828271466067
