htid,author,title,year,authgender,female_category,urban_metric_gb_frac
mdp.39015084107138,"Mills, Magnus.",The maintenance of headway / | $c: Magnus Mills.,2009,m,high_male,5.973150002924099
uc1.32106015901462,"Carey, Edward,",Alva & Irva / | $c: Edward Carey,2003,m,mixed,5.448363722166205
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,5.227132284626902
coo.31924003623588,"Crowder, Dorothy Elizabeth.",The flying nation. | $c: Illustrated by Helen Haywood.,1952,f,high_female,4.913397500115128
inu.39000001367619,"Okpi, Kalu,",Coup! / | $c: Kalu Okpi.,1982,u,high_male,4.86894568403911
inu.39000003654576,"Barber, Noel,",A handful of ashes; | a personal testament of the battle of Budapest.,1957,m,,4.486292390169362
inu.39000003288250,"Ekwensi, Cyprian.",Samankwe and the highway robbers / | $c: Cyprian Ekwensi.,1975,m,high_male,4.476446285213007
uc1.b4311947,"Berry, Bernard.",A lost Roman road: | a reconnaissance in the West Country.,1963,m,high_male,4.361848772849178
mdp.39015009367114,"Anderson, Sherwood,",Windy McPherson's son | $c: [by] Sherwood Anderson.,1923,m,high_male,4.229069845838196
mdp.39015025221246,"Crace, Jim.",Arcadia / | $c: Jim Crace.,1992,m,,4.130589970497018
pst.000032008142,"Brook, Peter.",Peter Brook.,1994,m,high_male,3.699802959592203
mdp.39015028457037,"Palliser, Charles.",The sensationist / | $c: Charles Palliser.,1991,m,,3.6890155454282456
uc1.b3929709,"Sansom, William,","South : | aspects and images from Corsica, Italy and southern France.",1948,m,high_male,3.6406162668442286
uc1.b4362247,"Anderman, Janusz,",The edge of the world / | $c: by Janusz Anderman ; preface by Jerzy Pilch ; translated by Nina Taylor.,1988,u,high_male,3.640312339938289
mdp.39015063642733,"Sansom, William,","South : | aspects and images from Corsica, Italy and southern France.",1948,m,high_male,3.632509994228874
mdp.39015066090047,"Hamilton, Hugo.",Last shot / | $c: Hugo Hamilton.,2006,m,high_female,3.5910548202311343
mdp.39015010309220,"McEwan, Ian.",The comfort of strangers / | $c: Ian McEwan.,1981,m,high_female,3.4838811168464643
inu.30000115299145,,The stories of the Bágh o bahár,1890,f,high_male,3.3663923770933994
mdp.39015017005342,"Chedid, Andrée,",The return to Beirut / | $c: Andrée Chedid ; translated by Ros Schwartz.,1989,u,,3.2661440476861525
wu.89073622094,"Budd, Jackson.",Around France in an 8 h p car.,1950,m,,3.266009758536606
mdp.39015032814553,"Moyano, Daniel.",The devil's trill / | $c: Daniel Moyano ; translated by Giovanni Pontiero.,1988,m,high_male,3.2530582019842553
uc1.b4692439,"Vince, Charles,",Wayfarers in Arcady,1921,m,high_male,3.2454872169104103
mdp.39015080822862,"Fitch, Stona.",Printer's devil / | $c: Stona Fitch.,2009,u,mixed,3.239159035557285
inu.30000118600091,"Holding, James.","The king's contest, | and other North African tales. | $c: Illustrated by Charles Keeping.",1964,m,high_male,3.2007582800671224
mdp.39015030945557,"Appiah, Peggy.",A smell of onions / | $c: Peggy Appiah.,1979,f,,3.1825266190091046
mdp.39015050697781,"Bracewell, Michael,",Perfect tense / | $c: Michael Bracewell.,2001,m,,3.1437379704748483
uc2.ark:/13960/t7rn32t76,"Pawlowska, Yoï.",A year of strangers,1911,u,high_female,3.1101374690049135
wu.89006984728,"Wodehouse, P. G.",William Tell told again,1904,m,high_male,3.079159871434918
mdp.39015019626616,"Marshall, Robert,",In the sewers of Lvov : | the last sanctuary from the Holocaust / | $c: Robert Marshall.,1990,m,mixed,3.069672693830432
inu.30000084051147,"Cossu, Antoni,",The Sardinian hostage / | $c: Antonio Cossu ; translated from the Italian by Isabel Quigly.,1971,m,high_male,3.0110982540402853
mdp.39015032226394,"Gee, Sue.",Letters from Prague / | $c: Sue Gee.,1994,f,high_female,2.954992002361119
uc1.32106015045849,"Daoud, Hassan",The house of Mathilde / | $c: Hassan Daoud ; translated from the Arabic by Peter Theroux,1999,m,high_female,2.9356233743023115
mdp.39015076865743,"Jha, Raj Kamal,",Fireproof / | $c: Raj Kamal Jha.,2007,m,mixed,2.9340250950841966
uiuo.ark:/13960/t63491h7p,"Gilbert, William,","The inquisitor, or, The struggle in Ferrara",1870,m,,2.9213009448026273
mdp.39015005201168,"Calvino, Italo.","Marcovaldo, or, The seasons in the city / | $c: Italo Calvino ; translated from the Italian by William Weaver.",1983,m,,2.8544222319435546
inu.30000042624605,"Mullen, Michael.",The midnight country / | $c: Michael Mullen.,1995,m,mixed,2.851713702357466
inu.32000002882506,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,2.8424387592548794
mdp.39015073496062,"Neukrantz, Klaus,",Barricades in Berlin / | $c: Klaus Neukrantz.,1932,u,,2.8167646284151666
mdp.39015012414341,"Poliakoff, Stephen,","Runners ; &, Soft targets / | $c: Stephen Poliakoff.",1984,m,,2.8098202109859245
mdp.39015011346924,"Kubly, Herbert.",Easter in Sicily.,1956,m,mixed,2.7735530327563667
wu.89044543270,"Rimmer, Dave.",Once upon a time in the East / | $c: Dave Rimmer.,1992,m,high_male,2.765371627308614
uc1.b3125641,"Berners, Gerald Hugh Tyrwhitt-Wilson, Baron,","Count Omega, | $c: by Lord Berners. With a frontispiece by the author.",1941,m,mixed,2.758195575659248
uc1.32106011414197,"Simenon, Georges,",Madame Maigret's friend / | $c: Georges Simenon ; translated from the French by Helen Sebba,1967,m,high_male,2.749510579085068
mdp.39015029213868,"Modiano, Patrick,",Honeymoon / | $c: Patrick Modiano ; translated from the French by Barbara Wright.,1992,m,high_female,2.724933623682838
mdp.39015010344334,"Hanley, Clifford.",Dancing in the streets / | $c: Clifford Hanley.,1983,m,mixed,2.7177641099565104
mdp.39015019489411,"Mills, Joseph,",Towards the end.,1989,m,high_male,2.713433674800217
mdp.39015022027471,"Shirazi, Manny,",Siege of Azadi Square / | $c: Manny Shirazi.,1991,m,high_female,2.708760978101924
wu.89087886859,"Fadeev, Aleksandr,","Leningrad in the days of the blockade, | $c: by A. Fadeyev. Translated from the Russian by R. D. Charques.",1946,u,,2.7074556844055917
wu.89100103373,"La Barre, Georges.",Captive of the kaiser in Belgium (with the fall of Namur),1914,u,high_male,2.704960396466492
uc2.ark:/13960/t78s4p168,"Bone, Gertrude,",Mr. Paul,1921,f,,2.6934778817254346
mdp.39015059287584,"Momjian, Serge.",The singer of the opera / | $c: Serge Momjian.,2004,m,high_female,2.6853008946957475
mdp.39015010553710,"Green, Henry,",Living; | a novel.,1948,m,,2.6711552925294813
mdp.39015038105360,"Zoshchenko, Mikhail,","The woman who could not read and other tales, | $c: by Michael Zoshchenko. Translated by Elisaveta Fen.",1940,u,high_male,2.6571186812378658
uc1.b3435455,"Khanna, Balraj.","Nation of fools, or, Scenes from Indian life / | $c: Balraj Khanna.",1984,u,high_male,2.653222091658824
inu.30000100685415,"Daeninckx, Didier,",Murder in memoriam / | $c: Didier Daeninckx ; translated by Liz Heron.,2005,m,mixed,2.6450913864319388
mdp.39015054134492,"Curtin, Michael,",Sing! / | $c: Michael Curtin.,2001,m,,2.645015812831407
mdp.39015064136289,"Baron, Dunsany, Edward John Moreton Drax Plunkett,","The story of Mona Sheehy, | $c: by Lord Dunsany.",1939,m,high_female,2.6223240286750364
mdp.39015015527248,"Ashford, Kent.",The Singalong tribe / | $c: Kent Ashford.,1986,m,,2.6048663604865103
uc1.32106009000859,"Okri, Ben.",Stars of the new curfew / | $c: Ben Okri.,1988,m,,2.5929875264787117
mdp.39015043786907,"McCabe, John (C. John)",Stickleback / | $c: John McCabe.,1998,m,high_male,2.5872231064671007
mdp.39015018633225,"Peri Rossi, Cristina,",The ship of fools : | a novel / | $c: by Cristina Peri Rossi ; translated from the Spanish by Psiche Hughes.,1989,f,,2.5847599903004532
mdp.39015030746096,"Hopkinson, Tom,",Down the long slide.,1949,m,high_male,2.584297310451285
mdp.39015049624565,"Vallejo, Fernando.",Our lady of the assassins / | $c: Fernando Vallejo ; translated by Paul Hammond.,2001,m,high_female,2.5795038877429795
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,2.577368907091367
uc1.$b119623,"Naipaul, V. S. (Vidiadhar Surajprasad),",The mimic man.,1967,m,mixed,2.5739274710771083
uc1.$b105433,"Stonier, George Walter,",The memoirs of a ghost / | $c: G. W. Stonier.,1947,m,high_female,2.5494126403152775
mdp.39015005190379,"Mulisch, Harry,",Two women / | $c: Harry Mulisch ; translated from the Dutch by Els Early.,1980,m,high_female,2.5421154597059354
mdp.39015031918884,"Poli͡akov, A. (Aleksandr),","With a Soviet unit through the Nazi lines | $c: [by] A. Polyakov. Published by authority of Soviet war news, issued by the Press department of the Soviet embassy in London.",1941,u,,2.5393311203549738
mdp.39015033319909,"Wilson, Paul.",The fall from grace of Harry Angel / | $c: Paul Wilson.,1994,m,high_male,2.5387402466737354
uc1.32106011785422,"Sanza, Silvia.",Twice real / | $c: Silvia Sanza.,1993,f,,2.5347436375749193
mdp.39015014681624,"Johnson, Uwe,",An absence; | $c: translated from the German by Richard and Clara Winston.,1969,u,high_male,2.530552448421425
mdp.39015019987141,"Özakın, Aysel,",The prizegiving / | $c: Aysel Özakın ; translated from the Turkish by Celia Kerslake.,1988,u,,2.5211540302526574
mdp.39015040570791,"Morandini, Giuliana.",The Café of mirrors / | $c: Giuliana Morandini ; translated from the Italian by Luisa Quartermaine.,1997,u,high_female,2.5124187662204425
uc1.b4948960,"Moore, Brian,",The temptation of Eileen Hughes / | $c: Brian Moore.,1981,m,high_female,2.511904578440225
uc1.b3327553,"Webb-Peploe,","Naomi, or, The last days of Jerusalem",1856,f,high_female,2.5037564130235883
mdp.39015064983177,"Johnston, Fred,",The neon rose / | $c: Fred Johnston.,2007,m,,2.498542527286967
uc1.32106011549448,"Oz, Amos,",Don't call it night / | $c: Amos Oz ; translated from the Hebrew by Nicholas de Lange,1995,m,mixed,2.4873624556370215
uc1.b4392665,"Verma, Nirmal,",The world elsewhere : | and other stories / | $c: by Nirmal Verma.,1988,u,,2.480678397007114
uc1.b3898302,"Beechey, Winifred.",The rich Mrs. Robinson / | $c: by Winifred Beechey : illustrated by Mary P. Taylor.,1984,f,high_female,2.479868044617059
uc1.32106017248482,,Further up in the air / | $c: Will Self ... [et al.],2003,u,high_male,2.471817237372646
inu.32000002424788,"Lowther, Anthony William George.","The Roman theatre at Verulamium (St. Albans), | a reconstruction, | $c: by Anthony W. G. Lowther.",1935,m,high_male,2.4713806576255894
mdp.39015000595390,"Ong, Johnny.",Run tiger run.,1966,m,,2.4703189567029566
mdp.39015028918616,"Guibert, Hervé.",The man in the red hat / | $c: Hervé Guibert ; translated by James Kirkup.,1993,u,,2.4675868795937532
mdp.39015058515126,"Raphael, John N.",Pictures of Paris & some Parisians,1908,m,mixed,2.461134099939126
mdp.39015051353905,"Bracewell, Michael,",The Crypto-Amnesia Club / | $c: Michael Bracewell.,1988,m,high_female,2.4556497167106146
mdp.39015030855608,"Bates, H. E. (Herbert Ernest),",Sally go round the moon.,1932,m,,2.4528039946964566
mdp.39015054174043,"Ambler, Eric,",The night-comers.,1956,m,mixed,2.4525898546371714
mdp.39015021924884,"Kiely, Benedict.","The cards of the gambler, | a folktale.",1953,m,mixed,2.446456649344388
mdp.39015019780264,"Clarke, Pauline,",The white elephant. | $c: Illustrated by Richard Kennedy.,1952,f,high_female,2.4420988156838463
uc1.b3634960,"Weiss, Peter,",Leavetaking [and] Vanishing point; | $c: translated by Christopher Levenson.,1966,m,,2.436847977800741
mdp.39015002742305,"Rodker, John,",Adolphe 1920 | $c: [by] John Rodker.,1929,m,high_female,2.4307151833630964
uc2.ark:/13960/t09w0bw7q,"Pawlowska, Yoï.",In a grain of sand,1922,u,mixed,2.4061207790004793
mdp.39015079360940,"Derbyshire, Ron.",The dormant register / | $c: Ron Derbyshire.,2009,m,,2.40116481895836
hvd.hnp65z,"Smallwood, Edward.","Manuella, the executioner's daughter",1837,m,mixed,2.393887312639266
uc1.$b120264,"Bradley, Marjorie D.",The long walkabout | $c: [by] Marjorie D. Bradley.,1968,f,,2.390960192413488
uc1.$b492992,,The books of the Maccabees.,1949,u,high_male,2.379080702290991
uc2.ark:/13960/t0ft8sk7n,"Langdon, Samuel,","The appeal to the serpent ; or, Life in an ancient Buddhist city",1889,m,,2.3763849707751543
uc1.b3752397,"Ionesco, Eugène.",The hermit / | $c: Eugène Ionesco ; translated from the French by Richard Seaver.,1983,u,high_female,2.3754897554231373
mdp.39015017751713,"Taylor, Alistair.",Yesterday : | the Beatles remembered / | $c: Alistair Taylor with Martin Roberts.,1988,u,high_male,2.37232412630803
inu.30000060703083,"Ajima, Maria,",The web : | a collection of short stories / | $c: Maria Ajima.,1997,f,mixed,2.371569897554839
mdp.39015013518900,"Simenon, Georges,",The night-club / | $c: Georges Simenon ; translated from the French by Jean Stewart.,1979,m,high_female,2.3577372827138765
inu.30000045132572,"Chitambo, John.",Secret blood / | $c: John Chitambo.,1993,m,,2.3458973354107178
mdp.39015019638587,"Perec, Georges,",Things : | a story of the Sixties / | $c: translated from the French by David Bellos ; A man asleep / translated from the French by Andrew Leak.,1990,m,,2.341758279139432
mdp.39015018991425,"Livia, Anna,",Bulldozer rising / | $c: Anna Livia.,1988,f,high_male,2.3314969152804417
uc1.$b435114,"Vinogradov, Anatoliĭ,","The condemnation of Paganini,",1946,u,,2.3191730783177
uc1.b3632621,"Foster, Harry L.",The adventures of a tropical tramp,1922,m,high_male,2.316704315733083
uiuo.ark:/13960/t4cn7g63f,"Ouida,",The tower of Taddeo,1892,f,high_female,2.310823427802628
mdp.39015030064458,"Eje, Anders,",A horrible suspicion;,1920,u,mixed,2.301178134233307
mdp.39015055183043,,Glasgow kiss : | a collection of the best short stories from Glasgow's writing groups.,2001,u,,2.28849365315615
mdp.39015050498065,"Smith, Ali,",Hotel world / | $c: Ali Smith.,2001,m,high_female,2.276570769177167
dul1.ark:/13960/t9863170h,"Braddon, M. E.",Ishmael,1884,f,,2.261701124451794
mdp.39015066086391,"Seiffert, Rachel.",The dark room / | $c: Rachel Seiffert.,2001,f,,2.259765657021818
mdp.39015008009964,"Wain, John.",A winter in the hills.,1970,m,,2.259060647103153
uc1.32106008858273,"Pritchett, V. S. (Victor Sawdon),",A careless widow : | & other stories / | $c: by V.S. Pritchett.,1989,m,,2.2536392631474964
mdp.39015054181956,"Williamson, Graeme.",Strange faith / | $c: Graeme Williamson.,2001,m,,2.250997529077304
uc1.32106014173949,"Petterson, Per,",To Siberia / | $c: Per Petterson ; translated from the Norwegian by Anne Born,1998,m,mixed,2.245368022825942
mdp.39015065134689,"Mrabet, Mohammed,",Love with a few hairs;,1967,m,mixed,2.226679275907365
uc2.ark:/13960/t89g5js2d,"Mack, Louise,",A woman's experiences in the great war,1915,f,,2.2168161142621194
mdp.39015000649551,"(Victor Sawdon), Pritchett, V. S.","Blind love, and other stories, | $c: by V. S. Pritchett.",1969,u,,2.2133890423099274
uc1.$b244085,"(Percy Howard), Newby, P. H.","Agents and witnesses, | a novel.",1947,u,,2.2098851109013444
mdp.39015069768946,"Ėrenburg, Ilʹi͡a,",A soviet writer looks at Vienna / | $c: Ilya Ehrenburg ; translated by Ivor Montagu.,1934,u,high_male,2.2094233689866227
mdp.39015019622516,"Wilson, Anna.",Cactus / | $c: by Anna Wilson.,1980,f,high_female,2.208272334390486
mdp.39015029191700,"Bolger, Dermot,",Emily's shoes / | $c: Dermot Bolger.,1992,m,high_female,2.2077954976041174
uc1.32106017509099,"May, Sarah",The internationals / | $c: Sarah May,2003,f,,2.2077636232102185
nnc1.0022771514,"Stretton, Hesba,",Max Krömer,1871,m,high_female,2.2006227901107374
mdp.39015066718845,"Merrill, James,",The (Diblos) notebook.,1965,m,high_female,2.198946823096817
mdp.39015030747276,"Henrey, Robert, Mrs.,",An exile in Soho.,1952,f,high_female,2.1949074601165615
uc1.32106001617320,"Ibrāhīm, Ṣunʻ Allāh.","The smell of it, & other stories, | $c: by Sonallah Ibrahim; translated from the Arabic by Denys Johnson-Davies ; translation of Tilka al-rāʾiḥah.",1971,u,high_male,2.192354633535016
uc1.$b119560,"Barwin, Victor.",Millionaires and tatterdemalions; | stories of Jewish life in South Africa.,1952,m,,2.1910035230079172
mdp.39015000655095,"Gordimer, Nadine.",The conservationist / | $c: Nadine Gordimer.,1974,f,high_male,2.1905893875539695
mdp.39015048719077,"Oyegoke, Lekan.",Cowrie tears / | $c: Lekan Oyegoke.,1982,u,high_male,2.1850106391038713
mdp.39015053577055,"Mokoso, Ndeley.","Man pass man, and other stories / | $c: Ndeley Mokoso.",1987,u,high_male,2.182574793549455
uva.x030788416,"Sanders, Ella Katharine.",For prince & people,1897,f,high_male,2.1817871725711684
mdp.39015008032321,"Azorín,",The syrens and other stories;,1931,u,,2.180444506616584
mdp.39015002699091,"Williams, Gordon M.,","Walk, don't walk / | $c: Gordon Williams.",1972,m,high_male,2.1752783011342993
mdp.39015018842578,"Traba, Marta,",Mothers and shadows / | $c: Marta Traba ; translated by Jo Labanyi.,1989,f,high_female,2.1731430770041307
mdp.39015021968550,"Heyward, DuBose,",Porgy.,1953,m,mixed,2.1708764709707347
mdp.39015048915105,"Ackroyd, Peter,",The Plato papers : | a novel / | $c: Peter Ackroyd,1999,m,high_male,2.168060248561808
mdp.39015046836014,"Heyward, DuBose,",Porgy.,1953,m,,2.1654863308567376
uc1.$b597568,"Deval, Jacques,","Chérie, | $c: by Jacques Deval ...",1932,m,high_female,2.1604134896847818
mdp.39015031234480,"Holder, Philip.",Captain Mahjong / | $c: Philip Holder.,1976,m,,2.1586346706354
uc1.32106016668961,"Frisch, Max,",Gantenbein : | a novel / | $c: Max Frisch ; translated from the German by Michael Bullock.,1982,m,,2.1568976809297933
mdp.39015037403378,"Bryher,",West.,1925,u,high_female,2.1558143997108874
uc1.b3782596,"Duncan, Dorothy.",Portrait of Jan.,1948,f,,2.155116779102343
uc1.b4098088,"Anderson, Sherwood,",Alice | and The lost novel / | $c: by Sherwood Anderson.,1929,m,high_female,2.143878225084339
mdp.39015030167012,"Böll, Heinrich,","The bread of our early years, | $c: translated by Mervyn Savill.",1957,u,high_female,2.141505560899301
uc1.32106008512755,"Kanafānī, Ghassān.","Men in the sun, and other Palestinian stories / | $c: [by] Ghassan Kanafani ; translated from the Arabic by Hilary Kilpatrick.",1978,u,high_male,2.141147874156011
uc1.b4379991,"Soriano, Osvaldo.",Winter quarters : | a novel of Argentina / | $c: Osvaldo Soriano ; translated by Nick Caistor.,1989,m,mixed,2.13881528629127
mdp.39015062110344,"Follett, Ken.",On wings of eagles / | $c: by Ken Follett.,1983,m,high_male,2.1362868651462508
mdp.39015037433326,"Pullinger, Kate.",Where does kissing end? / | $c: Kate Pullinger.,1992,f,high_female,2.1344024247788815
mdp.39015027548745,"Lukash, Ivan,",The flames of Moscow. | $c: by Ivan Lukash; translated from the Russian by Natalie Duddington.,1930,m,high_male,2.1307716722963197
uc1.b2802533,"Greer, Herb,",The trip / | $c: Herb Greer.,1963,m,,2.1267929407759762
mdp.39015064872859,"Ballard, J. G.,",Kingdom come / | $c: J.G. Ballard.,2006,m,mixed,2.1260655281001584
uc1.$b289587,"Körmendi, Ferenc,",Escape to life. | $c: Translated from the Hungarian by E.I. Holt and M.L. Elting.,1933,u,mixed,2.1217382004324206
inu.30000110593211,"McNicoll, Andrea.",Moonshine in the morning / | $c: Andrea McNicoll.,2008,f,high_female,2.119343955426929
uiuo.ark:/13960/t09w0zp7g,"Macquoid, Katharine S.",At the red glove,1885,f,high_female,2.1141500877902746
coo.31924087514372,,"The Vintage book of office life, or, Love among the filing cabinets / | $c: edited, with an introduction, by Jeremy Lewis.",1998,u,,2.1132938766736604
mdp.39015070219053,"Strong, L. A. G. (Leonard Alfred George),","The big man, | $c: by L. A. G. Strong.",1931,m,high_female,2.1128695428175384
mdp.39015002218462,"Straub, Peter.",Marriages; | a novel. -,1973,m,mixed,2.107478663622496
inu.30000035441025,"Bolger, Dermot,",Night shift / | $c: Dermot Bolger.,1993,m,,2.1026309503904645
mdp.39015024573860,"Körmendi, Ferenc,",Escape to life / | $c: by Ferenc Körmendi ; [translated from the Hungarian by E. I. Holt and M. L. Elting],1933,u,,2.08919787270965
mdp.39015038101666,"Naher, Gaby,",The underwharf / | $c: Gaby Naher.,1996,u,,2.0865893517927407
mdp.39015037260877,"Price, David,",Alphabet city : | a novel / | $c: by David Price.,1984,m,high_male,2.0860458491127956
uc1.$b85961,"Benson, Stella,",The man who missed the bus; | $c: a story by Stella Benson.,1928,f,high_male,2.085375067477594
uc1.32106015778936,"Michael, Livi,",Inheritance / | $c: Livi Michael,2000,u,,2.0846626037146745
mdp.39015000619869,"Greenwood, Walter,",There was a time.,1967,m,mixed,2.082442442014546
mdp.39015056804944,,Comma / | $c: Michael Bracewell ... [et al.] ; edited by Ra Page.,2002,u,,2.071835864643802
uc1.b3442223,"Habe, Hans,",Palazzo : | a novel / | $c: by Hans Habe ; translated by Salomé Hangartner.,1977,m,,2.0706769628764903
uc1.32106019864419,"Solstad, Dag,","Novel 11, book 18 / | $c: Dag Solstad ; translated from the Norwegian by Sverre Lyngstad",2008,m,high_male,2.0690243745391195
uc1.$b119620,"Rathbone, Julian,",Hand out.,1968,m,,2.068447856828959
mdp.39015056498143,"Youngblood, Shay.",Black girl in Paris / | $c: Shay Youngblood.,2000,f,mixed,2.0669453200063463
mdp.39015047690725,"Kuppner, Frank,",Ridiculous! Absurd! Disgusting! / | $c: Frank Kuppner.,1989,m,high_male,2.0628829892507894
mdp.39015002757378,"Sansom, William,",A young wife's tale / | $c: by William Sansom.,1974,m,,2.062238016702225
mdp.39015015473195,"Bourdouxhe, Madeleine,","A nail, a rose and other stories / | $c: Madeleine Bourdouxhe ; translated and introduced by Faith Evans.",1989,f,,2.0621305281047704
uiuo.ark:/13960/t3zs3358q,"Curtois, Margaret Anne.",Tracked,1888,f,,2.0588321473011937
mdp.39015017990600,"Harvey, John,",The legend of Captain Space / | $c: John Harvey.,1990,m,mixed,2.0586762938865544
mdp.39015028557836,,German narrative prose. | $c: Edited by E. J. Engel.,1965,u,high_male,2.0565360708445857
mdp.39015010944059,"Barea, Arturo,",The clash. | $c: Translated from the Spanish by Ilsa Barea.,1946,u,high_male,2.054801761343039
mdp.39015050183634,"Waṭṭār, al-Ṭāhir",The earthquake / | $c: Tahir Wattar ; translated from the Arabic and introduction by William Granara ; preface by Gaber Asfour,2000,u,high_male,2.0546777665749114
inu.39000000984323,"Vailland, Roger.",The law / | $c: Roger Vailland ; translated by Peter Wiles.,1985,m,,2.054553436294248
mdp.39015029507251,"Ginzburg, Natalia.",Dear Michael : | a novel / | $c: Natalia Ginzburg ; translated by Sheila Cudahy.,1975,f,,2.0537764504568132
uiuo.ark:/13960/t6xw50s5d,"Oliphant,",The son of his father,1887,f,mixed,2.0481606824284664
inu.30000026041230,"Hodson, Peregrine.",A circle round the sun : | a foreigner in Japan / | $c: Peregrine Hodson.,1992,u,mixed,2.0419550219391405
uc1.$b323538,"Camden, George.","My time, my life.",1950,m,,2.0409513333256784
uiuo.ark:/13960/t2c82x47m,"Reid, Mayne,","Lost Lenore, or, The adventures of a rolling stone",1864,m,mixed,2.0391866299734196
mdp.39015028403825,"Bakr, Salwá.",The wiles of men and other stories / | $c: Salwa Bakr ; translated from the Arabic by Denys Johnson-Davies.,1992,u,mixed,2.037489096116891
mdp.39015032713250,"Aksenov, Vasiliĭ,","It's time, my friend, it's time | $c: [by] Vasiliy Aksyonov; translated from the Russian by Olive Stevens.",1969,u,,2.035770178914433
mdp.39015032138300,"Nayman, Michele.",Jetlag : | a novel / | $c: Michèle Nayman.,1994,f,,2.030583684751149
mdp.39015050470502,"Greenlaw, Lavinia,",Mary George of Allnorthover / | $c: Lavinia Greenlaw.,2001,f,high_female,2.024822671046901
nyp.33433067352884,"Watson, E. H. Lacon",A conversational tour in America,1914,u,,2.0200604288639243
mdp.39015000626385,"Koning, Hans.",I know what I'm doing.,1966,m,high_female,2.0178090777278146
njp.32101063580326,"Hume, Fergus,",The harlequin opal,1893,m,high_male,2.0158640743273066
mdp.39015063268448,"Pullinger, Kate.",A little stranger / | $c: Kate Pullinger.,2006,f,,2.015540152738634
mdp.39015018913940,"Bolger, Dermot,",The journey home / | $c: Dermot Bolger.,1990,m,mixed,2.014441511477619
mdp.39015050488306,"Faulks, Sebastian.",On green dolphin street / | $c: Sebastian Faulks.,2001,m,,2.0135645097569874
mdp.39015043089369,"Hill, Susan,",The service of clouds / | $c: Susan Hill.,1998,f,high_female,2.0126836582451104
mdp.39015064983268,"Holman, Michael,",Fatboy and the dancing ladies : | an African tale / | $c: Michael Holman.,2007,m,,2.010144799030537
uc1.$b244225,"Fuller, Roy Broadbent,",Image of a society.,1956,m,high_male,2.0074472630746776
mdp.39015002661265,"Bowen, Elizabeth,","A day in the dark, | and other stories.",1965,f,high_female,2.005579784503631
mdp.39015055609716,"Bailey, Eleanor.",Marlene Dietrich lived here / | $c: Eleanor Bailey.,2002,f,,2.0053756197204184
mdp.39015034655129,"Rothnie, Niall.",Unknown Bath : | secrets and scandals from the past / | $c: Niall Rothnie ; cartoons by Fraser May.,1986,u,,2.00101315201873
uc2.ark:/13960/t6d224g5z,"Andreyev, Leonid,",The red laugh,1905,m,high_male,1.9997745691529083
mdp.39015063514759,"Footner, Hulbert,","Madame Storey, | $c: by Hulbert Footner.",1926,m,,1.996869633206144
mdp.39015049970919,"Lessing, Doris May,","Ben, in the world : | the sequel to The fifth child / | $c: Doris Lessing.",2000,f,,1.99014281983747
mdp.39015014861614,"Kachingwe, Aubrey,",No easy task.,1966,m,,1.9898339216469498
uc1.$b385848,"Körmendi, Ferenc,",Weekday in June : | a novel / | $c: by Ferenc Körmendi ; translated by Ferenc Gallo.,1946,u,high_male,1.9894098450642987
mdp.39015069332974,"Williams, Niall,",Boy in the world / | $c: Niall Williams.,2007,m,,1.987736259895999
mdp.39015054068088,"Hrabal, Bohumil,",A close watch on the trains; | $c: translated by Edith Pargeter.,1968,m,,1.986061152533406
mdp.39015049638961,"Ballard, J. G.,",Super-Cannes / | $c: J.G. Ballard.,2000,m,mixed,1.984960052482167
uc1.$b312023,"Romains, Jules,",Tussles with time. | $c: Translated by Gerard Hopkins.,1952,m,high_female,1.9844461409651404
uc1.b3811083,"Bennett, Arnold,",The regent : | a five towns story of adventure in London.,1929,m,high_male,1.97308659528162
uc1.$b189667,"Mauriac, François,",The stuff of youth : | (La robe pretexte) / | $c: translated by Gerard Hopkins.,1960,m,high_female,1.969786720908798
wu.89056085640,"Jensen, Carsten,",Earth in the mouth : | a story / | $c: Carsten Jensen ; translated from the Danish by Anne Born.,1994,m,high_male,1.9607153511152342
uc1.32106013111692,"Balle, Solvej,",According to the law : | four accounts of mankind / | $c: Solvej Balle ; translated from the Danish by Barbara Haveland,1996,u,mixed,1.9592781638761867
mdp.39015027338147,"Kuncewiczowa, Maria Szczepańska,","The keys; | a journey through Europe at war, translated from the Polish.",1945,f,,1.9592311466880175
uc2.ark:/13960/t8kd1sf7h,"Howard, Sidney.",The little blind god a-wheel,1898,m,high_female,1.9573125773212603
mdp.39015030706421,"Maugham, W. Somerset",The making of a saint,1898,m,mixed,1.9571238143830478
uc1.b3752241,"Simenon, Georges,",Maigret and the Saturday caller / | $c: Georges Simenon ; translated from the French by Tony White.,1964,m,mixed,1.949722775231102
uc1.$b322889,"Abrahams, Peter,",Mine boy / | $c: by Peter Abrahams.,1954,m,high_female,1.9486182167882953
uc1.32106012861305,"Moor, Margriet de",The virtuoso / | $c: Margriet de Moor ; translated from the Dutch by Ina Rilke,1996,f,mixed,1.9469355592870885
