htid,author,title,year,authgender,female_category,urban_metric_gb_frac
nyp.33433075861421,,The young wanderer's cave,1830,u,,-0.4644080795479779
uc2.ark:/13960/t49p3083r,"Roberts, C. E. Bechhofer",A Russian anthology in English,1917,u,,-0.4648134379543944
nyp.33433074868146,"Hofland,",Self-denial,1835,f,high_female,-0.46484242121690844
mdp.39015080859716,"Humphreys, Emyr.",The woman at the window / | $c: Emyr Humphreys.,2009,m,mixed,-0.4649910616227019
uva.x000104778,"Rabelais, François,",The works of François Rabelais,1897,m,high_male,-0.465003534508522
uiuo.ark:/13960/t09w1328x,"Parker, Emma.",Aretas,1823,f,,-0.4650540079239475
nyp.33433074951611,"Cuthbertson, Catherine.",Romance of the Pyrenees,1803,f,high_female,-0.46520576071065267
mdp.39076006264886,"Hastings, George Gordon.",The first American king,1904,m,,-0.4653253125209967
uc1.b3327542,"Norris, W. E.",The rogue,1888,f,,-0.4653895318621791
uc1.b3324497,"Lever, Charles James,",The Daltons,1852,m,mixed,-0.46544792317603123
uc1.b4956668,"Mais, Roger.",Black lightning / | $c: Roger Mais ; introduction by Jean D'Costa.,1983,m,,-0.46547844887511625
mdp.39015010916362,"Mackenzie, Compton, Sir,","The parson's progress, | $c: by Compton Mackenzie.",1923,m,,-0.46555395906985086
mdp.39015047113249,"Ekman, Kerstin,",Witches' rings / | $c: Kerstin Ekman ; translated by Linda Schenck.,1997,f,,-0.46559440191071855
uc1.b3741279,"Sinclair, Andrew,",A patriot for hire / | $c: [by] Andrew Sinclair,1978,m,mixed,-0.4655963543985817
inu.32000009139116,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,,-0.46561302283845896
uc2.ark:/13960/t72v2jq0r,"Shorthouse, J. H.","Blanche, Lady Falaise;",1891,u,,-0.46568558432806373
mdp.39015073992250,"Myerson, Julie.",Out of breath / | $c: Julie Myerson.,2008,f,mixed,-0.46568606908895527
uc2.ark:/13960/t6251mq20,"Smart, Hawley,",False cards,1894,m,,-0.4657880452127977
uc1.b3346504,"Coppard, A. E. (Alfred Edgar),","Dark-eyed lady, | fourteen tales.",1947,m,,-0.465842915448858
uiuo.ark:/13960/t5x645b2n,"Webber, Bryon.",Pigskin and willow,1879,m,mixed,-0.4659442929525543
uc1.b3477375,"Anthony, Michael,",All that glitters / | $c: Michael Anthony,1981,m,high_female,-0.4661166805788613
uiuo.ark:/13960/t3rv15x13,"Mackenzie, Mary Jane.",Geraldine,1821,f,,-0.46635862293211516
njp.32101068163615,,Good-humour;,1820,u,high_female,-0.4666076346897285
mdp.39015049970992,"Robertson, James,",The fanatic / | $c: James Robertson.,2000,m,,-0.46669865750569983
uiuo.ark:/13960/t98632q82,"Moore, George,",Grasville Abbey,1801,m,mixed,-0.4667269227123313
uc2.ark:/13960/t1vd6rd35,"Keable, Robert,","Peradventure; or, The silence of God",1922,m,,-0.46680576549032604
inu.30000025878756,"Burmeister, Jon.",The Plekhanov original / | $c: by Jon Burmeister.,1989,m,,-0.4669311266902797
uiuo.ark:/13960/t4gm8r35b,"Braddon, M. E.",The golden calf,1883,f,high_female,-0.4670314546380876
mdp.39015051168774,"Astley, Thea.",It's raining in Mango : | pictures from the family album / | $c: Thea Astley.,1987,f,mixed,-0.4670672372245419
uiuo.ark:/13960/t0jt01623,"Doudney, Sarah,",A romance of Lincoln's Inn,1893,f,,-0.4671542484674205
mdp.39015058243414,"Humphreys, Emyr.",Old people are a problem / | $c: Emyr Humphreys.,2003,m,,-0.4673491601270371
mdp.49015001168658,,The Penguin book of ghost stories / | $c: edited by J.A. Cuddon.,1984,u,mixed,-0.46757040433521424
uc1.b2831273,"Leslie, Doris.",The sceptre and the rose.,1967,f,mixed,-0.4676121643130391
mdp.39015010558420,"Pym, Barbara.",Crampton Hodnet / | $c: Barbara Pym.,1985,f,,-0.46765382222507673
hvd.hwnp7a,"MacFarlane, Charles,",The romance of history,1832,m,,-0.4676565928700672
uiuo.ark:/13960/t8tb1pq2x,"James, G. P. R.",Lord Montagu's page,1858,m,high_male,-0.46785932103642575
uiuo.ark:/13960/t83j3v84f,,The Golden calf,1849,u,mixed,-0.46799681729466824
mdp.39015063626504,"Ferrier, Susan,",Novels,1894,f,high_female,-0.46806392482949444
mdp.39015002753351,"Hon., Sackville-West, Edward,",Simpson : | a life.,1931,m,,-0.46822854668735914
uc2.ark:/13960/t27947r1c,"McKenna, Stephen,",Soliloquy;,1922,m,,-0.4682839938409099
uc1.b3872935,"Hartley, L. P. (Leslie Poles),","The boat, | $c: by L.P. Hartley.",1961,m,mixed,-0.4684435214955089
uc2.ark:/13960/t8hd7rt7p,"Marston, E.",Easy-chair memories and rambling notes,1911,u,high_male,-0.4684987638766294
uc1.$b197957,"Leblanc, Georgette,",Maeterlinck's dogs,1919,f,high_male,-0.46854300053392567
inu.39000003330797,"Fothergill, Jessie,",Probation,1879,f,mixed,-0.46861376028873014
uc1.b4974531,"Lowndes, Natalya.",Angel in the sun / | $c: Natalya Lowndes.,1989,u,,-0.4686574391346039
uc1.b3321950,"Clarke, Charles.","Which is the winner? or, The first gentleman of his family",1864,m,,-0.46871906239146693
nyp.33433074859814,"Griffith, George Chetwynd.",The world masters,1903,m,,-0.4689373600453807
mdp.39015047457042,"Trevor, William,",Death in summer / | $c: William Trevor.,1998,m,,-0.4689645229772905
njp.32101068170867,"Howard, Edward,","Outward bound, or, A merchant's adventures",1838,m,,-0.46904345366529354
mdp.39015069302746,"Mendelson, Charlotte,",When we were bad / | $c: Charlotte Mendelson.,2007,f,,-0.46906878546323255
uiuo.ark:/13960/t3cz3vq12,"Norris, W. E.",A victim of good luck;,1894,f,high_female,-0.4691871045264766
mdp.39015031234175,"Hocking, Mary.",The mind has mountains / | $c: Mary Hocking.,1976,f,mixed,-0.4692117869294441
