htid,author,title,year,authgender,female_category,gb_england_intensity
njp.32101068970142,"Jewsbury, Geraldine Endsor,","Angelo, or, The pine forest in the Alps",1856,f,high_male,21.029020047665774
uc2.ark:/13960/t1fj2hn9f,"Lester, Henry F. W.",Indian village pictures,1910,m,,21.02533552931282
uiuo.ark:/13960/t8jd5746k,"Day, Julia.",The Gilberts & their guests,1858,f,high_female,21.017970364661785
uc2.ark:/13960/t6rx9700w,"Turquan, Joseph,",The love affairs of Napoleon,1909,m,,21.01392172314158
uc2.ark:/13960/t8pc2w85h,"Westrup, Margaret.",Elizabeth in retreat,1912,f,,21.01281781886951
uiuo.ark:/13960/t3126j88z,"Trollope, Frances Milton,",The vicar of Wrexhill,1837,f,high_female,21.01218706849973
njp.32101068571189,,"Master Tyll Owlglass, | his marvellous adventures and rare conceits, | $c: translated by K. R. H. MacKenzie, with an introduction and appendices.",1923,u,high_male,21.011976826791273
wu.89095839767,"Droste, Chris B.",Till better days / | $c: by Ch. B. Droste.,1945,m,high_male,21.01124101394246
njp.32101063606485,"Costello, Louisa Stuart,","The queen's poisoner, or, France in the sixteenth century",1841,f,mixed,21.003439313187535
inu.32000007509732,"Malgonkar, Manohar,","Combat of shadows, | a novel.",1962,m,high_male,21.00301043149518
mdp.39015014859014,"Thacker, Eric.",Musrum | $c: [by] Eric Thacker & Anthony Earnshaw.,1968,m,,20.990764063811923
uc2.ark:/13960/t0qr4qf0x,"Morgan,",St. Clair;,1812,f,,20.965825704102315
uiuo.ark:/13960/t07w7198w,"Oliphant,",Within the precincts,1879,f,high_female,20.96582570410231
mdp.39015029540161,"Thomas, Gwyn,",Meadow Prospect revisited / | $c: Gwyn Thomas ; edited by Michael Parnell.,1992,m,high_male,20.959966464053657
uc2.ark:/13960/t1pg1p49w,"James, G. P. R.",Dark scenes of history,1849,m,high_male,20.952006809402217
mdp.39015064952305,"Alvarez, Maria,","Mirror, mirror / | $c: Maria Alvarez.",2007,f,high_female,20.95140322023067
mdp.39015059389596,"Barrett, Eaton Stannard,",The heroine,1813,m,mixed,20.950635066125443
mdp.39015052824714,"Skoczylas, Adam.","Stefano, we shall come tomorrow.",1962,m,high_male,20.94021568422155
uc2.ark:/13960/t4wh2kb2c,"Hennessey, David,",An Australian bush track / by J.D. Hennessey,1896,m,,20.936562216484052
uc1.32106005649857,"Klíma, Ivan.",My merry mornings : | stories from Prague / | $c: by Ivan Klíma ; translated by George Theiner.,1985,m,,20.928922160508733
inu.30000114928652,"Hall-Stevenson, John,",Crazy tales,1894,m,,20.924879681941828
mdp.39015014856267,"White, Terence De Vere.",The remainderman.,1963,m,,20.914668153931956
njp.32101067643963,"Fenn, George Manville,",Dick o' the fens,1888,m,high_male,20.911495171904793
mdp.39015050154023,"Neeson, Eoin,",Deirdre and other great stories from Celtic mythology / | $c: Eoin Neeson.,1997,u,,20.911109334350183
mdp.39015064796223,"Mackenzie, Compton, Sir,",Extraordinary women : | theme and variations / | $c: by Compton Mackenzie.,1928,m,high_female,20.908837468636744
