htid,author,title,year,authgender,female_category,female_fraction
mdp.39015015407326,"James, M. R.",The five jars,1922,u,high_female,1.0
coo.31924003623588,"Crowder, Dorothy Elizabeth.",The flying nation. | $c: Illustrated by Helen Haywood.,1952,f,high_female,1.0
mdp.39015008013065,"Vesaas, Tarjei,",The bridges; | $c: translated from the Norwegian by Elizabeth Rokkan.,1969,m,high_female,1.0
mdp.39015063559390,"Oliphant,",A little pilgrim in the unseen,1883,f,high_female,1.0
hvd.hn5cy1,"Budden, Maria Elizabeth,",Always happy,1837,f,high_female,1.0
njp.32101072859349,"Gide, André,",Prometheus illbound,1919,u,high_female,1.0
mdp.39015073316765,"Carlyle, Thomas,",[Works],1885,m,high_female,1.0
uc1.32106001758629,"Beckett, Samuel,",First love; | $c: translated from the original French by the author.,1973,m,high_female,1.0
nyp.33433074863964,"Grant-Forbes, G. A.",Another wicked woman,1895,u,high_female,1.0
uc1.$b792381,"Prior, Ann.",Mirror image.,1969,f,high_female,1.0
mdp.39015008790134,,The two brothers of different sex; | a story from the Chinese. | $c: [Translation of Tse-hiong-hoing-ti has been made from the French of Stanislas Julien by Frances Hume] Illustrated by Edy Legrand.,1955,u,high_female,1.0
nyp.33433075963979,"Long, Alice Mattie,",My lady beautiful,1906,f,high_female,1.0
njp.32101068150943,"Doyle, Arthur Conan,",The man from Archangel,1899,m,high_female,1.0
mdp.39015002713280,"Quin, Ann,",Passages : | a novel.,1969,f,high_female,1.0
mdp.39015027198657,"Galli de Bibiena, Jean,",The fairy doll (La poupée) | $c: Translated from the French of Jean-Galli de Bibiena by H.B.V. [Vyvyan Beresford Holland] With an introduction by Shane Leslie.,1925,f,high_female,1.0
mdp.39015064321436,"Snell, Joy",The ministry of angels here and beyond,1920,f,high_female,1.0
mdp.39015011242651,"Vesaas, Tarjei,",The ice palace / | $c: Tarjei Vesaas ; translated by Elizabeth Rokkan.,1966,m,high_female,1.0
uc2.ark:/13960/t8nc5wf3m,"Maeterlinck, Maurice,",Three plays. with introd. by H. Granville Barker,1911,m,high_female,1.0
uc1.31822033034182,"Shibli, Ahlam,",Lost time / | $c: Ahlam Shibli ; [edited by Jonathan Watkins],2003,u,high_female,1.0
uc2.ark:/13960/t7jq0x17x,"Price, A. J.",An angler's lines,1911,u,high_female,1.0
wu.89099759581,"Housman, Laurence,",A thing to be explained / | $c: by Laurence Housman ; illustrated by C.T. Nightingale.,1920,m,high_female,1.0
coo.31924003598400,"Fraser, Grace Lovat.","Doll making at home, | $c: by Grace Lovat Fraser.  With drawings by Helen Lovat Fraser.",1940,f,high_female,1.0
mdp.39015063541489,"Boddingon, Harry.","Outline of an address delivered to the ""Link Association of Spirit Circles"" Wortley Hall, Finsbury Park, | preliminary to the public demonstration o[f] kilnascrene, November 28th, 1936. The development of clairvoyance and the scientific formation of circles.",1937,m,high_female,1.0
dul1.ark:/13960/t2d800x3c,"Hodgson, William Hope,",The night land;,1921,m,high_female,1.0
uc2.ark:/13960/t55d8qw45,"Tagore, Rabindranath,",The king of the dark chamber,1914,m,high_female,1.0
njp.32101064787276,"Bayley, Stanhope.",A singer of dreams;,1911,u,high_female,1.0
uc1.b4098088,"Anderson, Sherwood,",Alice | and The lost novel / | $c: by Sherwood Anderson.,1929,m,high_female,1.0
uc1.$b111967,"Benson, E. F. (Edward Frederic),","The male impersonator, | $c: by E. F. Benson.",1929,m,high_female,1.0
uc1.32106014491903,"Guðbergur Bergsson,",The Swan / | $c: Gudbergur Bergsson ; translated from the Icelandic by Bernard Scudder,1997,u,high_female,1.0
inu.30000118322431,"Rafy, K U .",Folk-tales of the Khasis,1920,f,high_female,1.0
wu.89009176827,"Beckett, Samuel,",Ill seen ill said / | $c: by Samuel Beckett ; translated from French by the author.,1982,m,high_female,1.0
mdp.39015066609572,"Vittorini, Elio,",Tune for an elephant / | $c: Elio Vittorini ; translated from the Italian by Eric Mosbacher.,1955,m,high_female,1.0
mdp.39015012940006,"Abelard, Peter,",The love letters of Abelard and Heloise,1908,m,high_female,1.0
uc1.32106017308997,"Berg, Jean de",The image / | $c: Jean de Berg,2004,f,high_female,0.998641765704584
mdp.39015065155890,"Potrč, Ivan.",The land and the flesh: | a novel; | $c: translated from the Slovene by H. Leeming.,1969,m,high_female,0.9978563772775992
nyp.33433075729792,"Edgeworth, Maria,",Leonora,1806,f,high_female,0.9960066555740432
nyp.33433075729800,"Edgeworth, Maria,",Leonora,1806,f,high_female,0.9960066555740432
nyp.33433081859427,"Edgeworth, Maria,",The novels of Maria Edgeworth,1893,f,high_female,0.9959322033898306
uc1.b3730682,"Wasilewska, Wanda,",Just love; | $c: translated by Edith Bone.,1945,f,high_female,0.9936356404136836
uc1.$b661973,"Wasilewska, Wanda,",Just love; | $c: translated by Edith Bone.,1945,f,high_female,0.9936051159072744
pst.000051395018,,The descent of the sun / | $c: F.W. Bain ; translated from the original manuscript by F.W. Bain.,2001,u,high_female,0.9921951219512196
uc1.$b391222,"Asalache, Khadambi,",A calabash of life: | a novel.,1967,u,high_female,0.9914163090128756
wu.89099916504,"Bretherton, Ralph Harold.",The child mind,1903,m,high_female,0.9910112359550562
uc2.ark:/13960/t3125wc06,"Rodziewiczówna, Maria,",Distaff,1901,f,high_female,0.9870361494778732
mdp.39015060622647,"Mengara, Daniel M.,",Mema / | $c: Daniel Mengara.,2003,m,high_female,0.9866666666666668
mdp.39015008982939,Apuleius.,The story of Cupid & Psyche,1903,m,high_female,0.9836734693877552
uc1.$b56322,"Booth, Edward Charles.",Miss Parkworth and three short stories.,1924,m,high_female,0.9833550065019508
inu.30000036529612,,Facets : | Gemma's 3rd collection of women's writing : fact fiction poetry.,1991,u,high_female,0.982286793072314
uc1.$b322798,"Bankoff, George,",Pillar of fire.,1947,m,high_female,0.97761436244686
mdp.39015002742305,"Rodker, John,",Adolphe 1920 | $c: [by] John Rodker.,1929,m,high_female,0.9768115942028984
uva.x030788419,"Rynd, Evelyne Elsye.",Mrs. Green,1901,u,high_female,0.9753700340667738
mdp.39015008463690,"Pinget, Robert.",Baga: | a novel; | $c: translated from the French by John Stevenson.,1967,m,high_female,0.975
uc2.ark:/13960/t5r788w3v,"Corelli, Marie,",Jane,1897,f,high_female,0.9733559623819852
mdp.39015030709573,"Mitchison, Naomi,",Beyond this limit. | $c: Pictures by Wyndham Lewis and words by Naomi Mitchison.,1935,f,high_female,0.9731543624161074
hvd.hxjgrb,"Rousseau, Jean-Jacques,",Eloisa,1803,m,high_female,0.9724465558194776
mdp.39015031232187,"Egbuna, Obi B.",The Minister's daughter / | $c: Obi B. Egbuna.,1975,u,high_female,0.9717884130982368
nnc1.cu58507701,"Heeley, Sibyl.",Ellie and the China lady;,1895,f,high_female,0.9712235013247748
mdp.39015048891561,"Roe, Sue.","Estella, her expectations : | a novel / | $c: by Sue Roe.",1982,f,high_female,0.9697458152510848
uc1.$b105433,"Stonier, George Walter,",The memoirs of a ghost / | $c: G. W. Stonier.,1947,m,high_female,0.9652173913043478
wu.89073603573,"Huston, Nancy,",The story of Omaya / | $c: Nancy Huston.,1987,f,high_female,0.9635036496350364
inu.32000002197491,"Laurent, Livia.","A tale of internment, | $c: by Livia Laurent.",1942,u,high_female,0.962877030162413
njp.32101064786856,"Barber, Margaret Fairless,",The grey brethren and other fragments in prose and verse,1905,u,high_female,0.9619047619047618
uc2.ark:/13960/t0ht2jp5g,"Leblanc, Georgette,",The girl who found the blue bird;,1914,f,high_female,0.9605361019180813
mdp.39015018939903,,In and out of time : | lesbian feminist fiction / | $c: edited by Patricia Duncker.,1990,u,high_female,0.9584419414601976
njp.32101075689016,"Defoe, Daniel,",Romances and narratives,1899,m,high_female,0.9570038657034752
mdp.39015035775363,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,0.951331437058898
mdp.39015011705624,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,0.9490041040701832
inu.30000095304634,"Scanlan, Patricia.",Fair-weather friend / | $c: Patricia Scanlan.,2004,f,high_female,0.9488304093567252
uc1.$b605193,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,0.948167027305108
mdp.39015030853009,"Burke, Thomas,",The flower of life.,1929,m,high_female,0.9480554685930718
uc1.b4007836,"Swain, John,","Spit once for luck : | fostering Julie, a disturbed child / | $c: [by] John Swain ; foreword by Jean S. Heywood.",1977,m,high_female,0.9468705207835644
mdp.39015014517083,,Stepping out : | short stories on friendships between women / | $c: edited by Ann Oosthuizen.,1986,u,high_female,0.9460550458715598
mdp.39015046878107,"Clark, Candida.",The last look / | $c: Candida Clark.,1998,f,high_female,0.9456521739130436
mdp.39015074272157,,"The Asylum seeker : | 'Independence' / | $c: Somali Women Writers, MAMA East African Women's Group Hooyada Africada Bari ; edited by Amina Souleiman, Mandy Sutter ; illustrated by Mary Sewell.",2007,u,high_female,0.9444444444444444
mdp.39015022281169,"Drakulić, Slavenka,",Holograms of fear / | $c: Slavenka Drakulić.,1992,u,high_female,0.9442970822281168
uiuo.ark:/13960/t3pv7149n,"Marsh-Caldwell, Anne,",Lettice Arnold,1850,f,high_female,0.9441223167683904
nyp.33433066731575,"James, Henry,",The spoils of Poynton,1897,m,high_female,0.9434491695975796
uc1.b4974495,"Ellis, Alice Thomas.",Unexplained laughter / | $c: Alice Thomas Ellis.,1985,f,high_female,0.9432884536923704
inu.30000050640089,"Kimenye, Barbara.",Kayo's house / | $c: Barbara Kimenye.,1995,f,high_female,0.9407081849361506
uc2.ark:/13960/t6qz2cw12,"Strindberg, August,",The confession of a fool,1912,m,high_female,0.938402692778458
mdp.39015053378397,"Evaristo, Bernardine,",The emperor's babe : | a novel / | $c: Bernardine Evaristo.,2001,f,high_female,0.9382716049382716
mdp.39015039402428,"Johnson, Samuel,","Rasselas, prince of Abyssinia",1884,m,high_female,0.9365079365079364
mdp.39015039402436,"Johnson, Samuel,","Rasselas, prince of Abyssinia",1884,m,high_female,0.9365079365079364
mdp.39015003659755,"Richardson, Mary R",Laugh a defiance.,1953,f,high_female,0.9362405899501878
uc1.$b391733,"Thomas, Dylan,",The followers : | a story / | $c: by Dylan Thomas ; with illustrations by Meg Stevens.,1976,m,high_female,0.935064935064935
uc1.$b485541,"Allen, Johannes,",Tumult: | a novel; | $c: translated by Frederick Marker.,1969,m,high_female,0.9338558586973664
mdp.39015051597329,"Bell, Julia N.",My friends from the fifties,1903,f,high_female,0.933454426901402
mdp.39076002872849,"Glass, Lisa.",Prince Rupert's teardrop / | $c: Lisa Glass.,2007,f,high_female,0.9334006054490414
mdp.39015043089369,"Hill, Susan,",The service of clouds / | $c: Susan Hill.,1998,f,high_female,0.9322549952426262
mdp.39015001031320,"Smith, Anne.",The magic glass / | $c: Anne Smith.,1981,f,high_female,0.932034811438044
mdp.39015014889300,,Sojourn / | $c: edited by Zhana.,1988,u,high_female,0.9320072332730562
mdp.39015019568487,,The Reach and other stories : | lesbian feminist fiction / | $c: edited by Lilian Mohin & Sheila Shulman.,1984,u,high_female,0.930074532414569
mdp.39015032876420,"Noël, Bernard,",The castle of communion / | $c: Bernard Noël ; translated by Paul Buck & Glenda George.,1993,m,high_female,0.9296110036535568
mdp.39015002714882,"pseud. Richardson, Henry Handel,","Two studies, | $c: by Henry Handel Richardson [pseud.]",1931,m,high_female,0.9282051282051282
uc1.b4948816,"Tutuola, Amos",The witch-herbalist of the remote town / | $c: Amos Tutuola,1981,m,high_female,0.9272727272727272
uc2.ark:/13960/t47p8zw9k,"Kincaid, C. A.",Deccan nursery tales;,1914,u,high_female,0.926530612244898
uc1.32106018449741,"Szabó, Magda,",The door / | $c: Magda Szabó ; translated [from the Hungarian] by Len Rix,2005,f,high_female,0.9262305896240746
wu.89098654809,"Bason, Frederick T.",Summer.,1960,m,high_female,0.925618811881188
mdp.39076006987783,"Voříšková, M.","Gypsy folk tales, | $c: by M. Voříšková; illustrated by Mila Dolezelová, translated by Jean Layton.",1966,u,high_female,0.9224489795918368
uiuo.ark:/13960/t8rb7fv6d,"Halsted, Leonora B.",Bethesda,1884,f,high_female,0.9221805791613604
uiuo.ark:/13960/t42r47h1q,"Halsted, Leonora B.",Bethesda,1884,f,high_female,0.9221805791613604
uiuo.ark:/13960/t8bg3345h,"Halsted, Leonora B.",Bethesda,1884,f,high_female,0.9221805791613604
nyp.33433075765838,"Peard, Frances Mary,",Donna Teresa,1899,f,high_female,0.92053301029679
uc1.b4948945,"Maitland, Sara,",Virgin territory / | $c: Sara Maitland.,1984,f,high_female,0.9200520833333332
mdp.39015050631657,"Cassola, Carlo,",Portrait of Helena / | $c: by Carlo Cassola ; translated by Sebastian Roberts.,1975,m,high_female,0.918847387497012
mdp.39015016444492,"Firbank, Ronald,",Valmouth. | $c: With illus. by Philippe Jullian.,1956,m,high_female,0.9187726793925948
mdp.39015011723874,,Girls next door : | lesbian feminist stories.,1985,u,high_female,0.9174677608440798
uc1.b3579138,"Broughton, Rhoda,",The game and the candle,1899,f,high_female,0.9167919799498748
mdp.39015038701317,"De Quincey, Thomas,",Confessions of an English opium-eater,1867,m,high_female,0.9157894736842104
mdp.39015053158724,,"Piece of flesh / | $c: edited by Zadie Smith ; consultant editor, Katie Kitamura.",2001,u,high_female,0.9141375605921656
uc1.$b244871,"Sherman, Richard,",A kindred spirit / | $c: Richard Sherman.,1951,m,high_female,0.9137920489296636
uc2.ark:/13960/t1hh6hr45,"Hamilton, C. G.,",The unclaimed daughter;,1853,f,high_female,0.9134404932002456
mdp.39015065928726,"Kovalevskai︠a︡, S. V.",Sonya Kovalevsky,1895,f,high_female,0.9123531184644622
mdp.39015019635815,"Livia, Anna.",Relatively Norma / | $c: by Anna Livia.,1982,f,high_female,0.9123225921897335
uc1.b3898302,"Beechey, Winifred.",The rich Mrs. Robinson / | $c: by Winifred Beechey : illustrated by Mary P. Taylor.,1984,f,high_female,0.9111111111111112
nnc1.0044025238,"Sienkiewicz, Henryk,",Without dogma,1898,m,high_female,0.91080200233232
uc2.ark:/13960/t7br8pv5b,"Thomas, Edward,",Rest and unrest,1910,m,high_female,0.9107441471571908
mdp.39015051356536,"Brophy, Brigid,",The finishing touch / | $c: Brigid Brophy.,1987,f,high_female,0.909234731420162
mdp.39015024076070,"Godden, Rumer,",The fairy doll / | $c: illustrated by Adrienne Adams.,1956,f,high_female,0.9092082668748092
uc2.ark:/13960/t3st7gj33,"MacDonald, George,",The wise woman;,1875,m,high_female,0.9089820359281438
mdp.39015019622516,"Wilson, Anna.",Cactus / | $c: by Anna Wilson.,1980,f,high_female,0.9085504137296968
uc2.ark:/13960/t3bz64c64,"Baldwin, May.","Barbara Bellamy, a public school girl",1909,f,high_female,0.907237843736948
uc1.32106010909254,"Donoghue, Emma,",Hood / | $c: Emma Donoghue,1995,f,high_female,0.9069767441860466
mdp.39015019669392,"Gale, Patrick,",The cat sanctuary / | $c: Patrick Gale.,1990,m,high_female,0.9055287786616752
mdp.39015030708252,"Nichols, Beverley,","Self,",1938,m,high_female,0.9044850024546832
uc1.b3472573,"Val Baker, Denys,","Rose, a novel of Cornwall / | $c: Denys Val Baker",1980,m,high_female,0.9037891268533772
uc1.b3331857,"Thorn, Ismay.","Only five; or, Pussie's frolics in farm and field",1880,f,high_female,0.9035449068235956
hvd.hn2hca,"Hofland,",The daughter of a genius,1823,f,high_female,0.9018626302617988
inu.32000007265780,"Lawrence, D. H. (David Herbert),",Sun. | $c: by D. H. Lawrence.,1926,m,high_female,0.9015154185022028
mdp.39015030846748,"Boyle, Kay,","Wedding day, | and other stories, | $c: by Kay Boyle.",1932,f,high_female,0.9
uc2.ark:/13960/t3st7kq42,"Gourmont, Remy de,",A night in the Luxembourg,1912,u,high_female,0.9
uc1.b2840598,"Simenon, Georges,",Maigret takes the waters / | $c: Georges Simenon ; translated from the French by Eileen Ellenbogen.,1969,m,high_female,0.9
uc1.31822038204657,"Firbank, Ronald,",Odette D'Antrevernes;,1905,m,high_female,0.8995673127660323
uc2.ark:/13960/t7qn61j6j,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,high_female,0.8986257763975155
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,0.897872340425532
mdp.39015059246713,"Harris, Denise,",In remembrance of her / | $c: Denise Harris.,2004,f,high_female,0.8975570907965276
mdp.39015021856839,"Forster, Margaret,",The battle for Christabel / | $c: Margaret Forster.,1991,f,high_female,0.8975269940787184
uc1.32106016496827,"Bakin, Dmitriĭ",Reasons for living / | $c: Dmitry Bakin ; translated by Andrew Bromfield,2002,u,high_female,0.8974358974358975
mdp.39015055807542,"Nair, Anita.",Ladies coupé : | a novel in parts / | $c: Anita Nair.,2001,f,high_female,0.897417840375587
mdp.39015030737921,"Defoe, Daniel,",The novels and miscellaneous works,1840,m,high_female,0.8942486085343229
mdp.39015019569535,"Azpadu, Dodici.",Saturday night in the prime of life / | $c: by Dodici Azpadu.,1987,u,high_female,0.8933236556738381
uva.x000236191,"Molesworth,",The carved lions,1895,f,high_female,0.8920288727332015
uc1.$b299663,"Borden, Mary.",Jane-- our stranger : | a novel / | $c: by Mary Borden.,1923,f,high_female,0.8918133553926463
mdp.39015073927488,"Borchard, Ruth.",We are strangers here : | an 'enemy alien' in Prison in 1940 / | $c: Ruth Borchard ; introduction by Charmian Brinson.,2008,f,high_female,0.8913543599257885
mdp.39015054181352,,"Long journey home : | short stories by new lesbian writers / | $c: Caeia March, editor.",1999,u,high_female,0.8909313725490197
mdp.39015055105798,"Béalu, Marcel.",The experience of the night / | $c: Marcel Béalu ; translated from the French by Christine Donougher.,1997,m,high_female,0.8904761904761906
mdp.39015022219094,"Burford, Barbara.",The threshing floor.,1986,f,high_female,0.8904192443023711
mdp.39015063541158,"Severn, Doris.",The next room,1911,f,high_female,0.8901466781708369
mdp.39015048898327,"McCrory, Moy,",Bleeding sinners / | $c: Moy McCrory.,1988,u,high_female,0.8900473933649289
uc1.b3047254,"Richardson, Dorothy M.",Backwater,1917,f,high_female,0.8900233199886415
njp.32101067644045,"Ferrier, Susan,",The novels of Susan Edmonstone Ferrier,1894,f,high_female,0.8900116758217362
mdp.39015069171539,"Brazil, Angela,",Queen of the dormitory : | and other stories / | $c: by Angela Brazil.,1926,f,high_female,0.8899781105272996
uc1.32106016492172,"Clement, Jennifer",A true story based on lies / | $c: Jennifer Clement,2001,f,high_female,0.8897502153316108
uc1.32106019522462,"Jansson, Tove",Fair play : | a novel / | $c: Tove Jansson ; translated from the Swedish by Thomas Teal ; introduced by Ali Smith,2007,f,high_female,0.8896008928308955
mdp.39015019555559,"McDermid, Val.",Report for murder / | $c: Val McDermid.,1987,m,high_female,0.8894402769763416
uc1.32106007799627,"Saʻdāwī, Nawāl.",Death of an ex-minister / | $c: Nawal El Saadawi ; translated by Shirley Eber.,1987,f,high_female,0.8888888888888888
uc1.b3327554,"Pepys, Charlotte,",Domestic sketches in Russia,1861,f,high_female,0.8869683520846408
uc1.b3327555,"Pepys, Charlotte,",Domestic sketches in Russia,1861,f,high_female,0.8869683520846408
inu.30000067263156,,Footprint : | recipes for life / | $c: MAMA East African Women's Group (Hooyada Africada Bari) ; edited by Amina Souleiman.,2000,u,high_female,0.8863154172560114
uc1.$b299927,"Darbyshire, Shirley,","Henrietta Condon, M.D., | $c: by Shirley Darbyshire.",1936,u,high_female,0.8852711711905972
uc1.32106006786252,"Troyat, Henri,",Sylvie / | $c: Henri Troyat ; translated by Anthea Bell.,1982,m,high_female,0.8850608622219032
uc1.b3815024,"Arnott, Kathleen.","Ayo, an African schoolgirl.",1951,f,high_female,0.8840304182509505
mdp.39015030747268,"Henrey, Robert, Mrs.,",Julia: | reminiscences of a year in Madeleine's life as a London shop-girl.,1971,f,high_female,0.8832217888597171
njp.32101068598281,"Ford, Ford Madox,",The queen who flew,1894,m,high_female,0.8830623585099815
mdp.39015014225836,"Warner-Vieyra, Myriam.",Juletane / | $c: Myriam Warner-Vieyra ; translated from the French by Betty Wilson.,1987,f,high_female,0.8830409356725146
mdp.39015063626520,"Ferrier, Susan,",Novels,1894,f,high_female,0.8824420376159317
uc2.ark:/13960/t0sq8x87b,"Thisted, Valdemar Adolph,",Letters from hell,1911,m,high_female,0.8822262118491921
uc1.32106011014989,"Warner-Vieyra, Myriam.",Juletane / | $c: Myriam Warner-Vieyra ; translated by Betty Wilson.,1987,f,high_female,0.882183908045977
mdp.39015001718371,"Carter, Angela,",The passion of new Eve / | $c: Angela Carter.,1982,f,high_female,0.8820082491821932
nyp.33433074875745,"MacDonald, George,",The portent,1864,m,high_female,0.8816919283625452
mdp.39015029497743,"Moore, Thomas,",The Epicurean,1827,m,high_female,0.8805907172995782
mdp.39015055119377,"Emecheta, Buchi.",In the Ditch : | a novel / | $c: by Buchi Emecheta.,1979,f,high_female,0.8802700439517104
uc1.$b244596,"Royde-Smith, Naomi Gwladys.",Miss Bendix / | $c: by Naomi Royde Smith ; illus. by H. Wessenborn.,1947,f,high_female,0.8801275108221188
uc1.$b105927,"Walpole, Hugh, Sir,",The old ladies / | $c: by Hugh Walpole.,1924,m,high_female,0.8794788623052259
mdp.39015052337758,"Nambisan, Kavery.",On wings of butterflies / | $c: Kavery Nambisan.,2002,u,high_female,0.8792931581332126
uva.x030794682,"Trask, Katrina,",In my lady's garden;,1907,u,high_female,0.8784810126582279
ien.35556007866619,"Prévost,",History of Manon Lescaut and of the Chevalier des Grieux,1886,m,high_female,0.8784722222222222
mdp.39015014550514,"King, Alison.",Golden wings : | the story of some of the women ferry pilots of the Air Transport Auxiliary / | $c: by Alison King.,1975,f,high_female,0.8774539507748779
mdp.39015014516218,"Holden, Ursula.",Tin toys / | $c: Ursula Holden.,1986,f,high_female,0.8774509803921569
uc2.ark:/13960/t10p0xs0f,"Harding, Ellison.",The woman who vowed,1908,m,high_female,0.8773625444683174
njp.32101007066069,"Brunton, Mary,",Self-control,1811,f,high_female,0.8769955467733062
hvd.hxkelx,"Brunton, Mary,",Self-control,1811,f,high_female,0.8769955467733062
hvd.hxkel8,"Brunton, Mary,",Self-control,1811,f,high_female,0.8769955467733062
mdp.39015001522567,"Tutuola, Amos.",Feather woman of the jungle.,1962,m,high_female,0.875
uc1.$b155126,"Wilson, Dorothy Clarke.",Dr. Ida : | the story of Dr. Ida Scudder of Vellore / | $c: Dorothy Clarke Wilson.,1959,f,high_female,0.8743262459618512
uc1.$b318397,"Escholier, Raymond,","Comes the blind fury, | $c: by Raymond Escholier, translated from the French by J. Lewis May.",1925,m,high_female,0.8742588268761821
uc2.ark:/13960/t5db82v88,"Zola, Émile,",A love episode,1897,m,high_female,0.8740322021580367
mdp.39015019628612,"Saxton, Josephine,",The conciousness machine ; Jane Saint and the backlash : | the further travails of Jane Saint / | $c: Josephine Saxton.,1989,f,high_female,0.8727668845315903
nyp.33433074911847,"Sandham, Elizabeth.","The twin sisters, or, The advantages of religion",1812,f,high_female,0.8727270250815218
uc1.$b164862,"Bigiaretti, Libero.",A business convention. | $c: Translated from the Italian by Joseph Green.,1965,m,high_female,0.8721564662265311
uc2.ark:/13960/t4kk94n8g,"Rives, Amélie,",Barbara Dering,1892,u,high_female,0.8702564134472397
uc2.ark:/13960/t2794122d,"Rives, Amélie,",Barbara Dering,1892,u,high_female,0.8702564134472397
mdp.39015030110863,"Richter, Hans Peter,",The time of the young soldiers / | $c: Hans Peter Richter ; translated by Anthea Bell.,1976,m,high_female,0.8695652173913043
mdp.39015011242826,"Vesaas, Tarjei,",The boat in the evening; | $c: translated from the Norwegian by Elizabeth Rokkan.,1971,m,high_female,0.8695652173913043
uc2.ark:/13960/t7pn90472,"Livingstone, W. P.","Mary Slessor of Calabar, pioneer missionary",1916,u,high_female,0.8694526355053508
njp.32101065835504,"St. John, Percy B.",The fireside,1847,m,high_female,0.8693528686392884
mdp.39015078783605,"Leith, Prue.",Choral society / | $c: Prue Leith.,2008,u,high_female,0.8691391762639078
wu.89002352516,"Izbicki, John.",The naked heroine; | the story of Lydia Lova.,1963,m,high_female,0.8683663735643866
mdp.39015032519186,"Mendoza, Eduardo,",The year of the flood / | $c: Edwardo Mendoza ; translated from the Spanish by Nick Caistor.,1995,m,high_female,0.8679746586693889
mdp.39015014516044,"Holden, Ursula.",Unicorn sisters / | $c: Ursula Holden.,1988,f,high_female,0.8676016830294531
uc1.b3752270,"Simenon, Georges,",The train. | $c: Translated from the French by Robert Baldick.,1964,m,high_female,0.8656716417910447
mdp.39015073907191,"Kuyper, Sjoerd.",Josie / | $c: Dutch Cooper ; translated by Patricia Crampton.,2000,u,high_female,0.865606936416185
uc1.32106011717540,"Sam, Agnes.",Jesus is Indian and other stories / | $c: Agnes Sam.,1994,f,high_female,0.8651539708265803
uc1.32106005650582,"Forster, Margaret,",Mother can you hear me ? / | $c: Margaret Forster.,1979,f,high_female,0.8650089154735462
uc2.ark:/13960/t7tm7c74n,"Sologub, Fyodor,","The old house, and other tales",1915,u,high_female,0.8649799575719138
uc1.b4137344,"Acōkamittiran̲,",Water (Tannir) / | $c: Ashokamitran ; translated from the Tamil by Lakshmi Holmström.,1993,u,high_female,0.8647798742138365
inu.30000110594508,"Stovell, Sarah.",Mothernight / | $c: Sarah Stovell.,2008,f,high_female,0.8645990922844176
mdp.39015063552262,"Gregg, Mary (Kirby)",Julia Maitland,1882,f,high_female,0.8642490188687614
dul1.ark:/13960/t9w09nr1z,"Hughs,",A mother's care rewarded,1824,f,high_female,0.8638563493372933
mdp.39015025389233,"García Morales, Adelaida.","The South ; and, Bene / | $c: Adelaida García Morales ; translated by Sarah Marsh.",1992,f,high_female,0.863801652892562
uc1.b3327326,"Montgomery, Florence,",Thrown together,1877,f,high_female,0.863300015923762
uc1.32106011930507,"Ashokamitran,",Water / | $c: Ashokamitran ; translated from the Tamil by Lakshmi Holmström,1993,u,high_female,0.8632025450689289
mdp.39015057231295,"Winter, John Strange,",A magnificent young man,1895,m,high_female,0.8630092447235305
uc1.32106015858761,"Beauvoir, Simone de,",A very easy death; | $c: translated [from the French] by Patrick O'Brian,1966,u,high_female,0.8629834254143647
mdp.39015061135292,"Shacklady, Helen,",The stolen crate / | $c: Helen Shacklady.,2002,f,high_female,0.8617243276004966
uc1.b4097358,"Firbank, Ronald,",The works of Ronald Firbank.,1929,m,high_female,0.8615423290252
uc2.ark:/13960/t4rj49j8h,"Tallentyre, S. G.",The starry pool,1918,u,high_female,0.8613333333333333
mdp.39015019854291,"Taylor, Elisabeth Russell.",Tomorrow.,1991,f,high_female,0.8611570247933884
mdp.39015012970136,"Streatfeild, Noel.",Away from the vicarage.,1965,f,high_female,0.8610582013406192
mdp.39015029750851,"York, Carol Beach.",The blue umbrella. | $c: Illustrated by Gareth Floyd.,1969,f,high_female,0.860507443721009
uc2.ark:/13960/t4bn9zc2f,"Loudon,","Glimpses of nature, and objects of interest described during a visit to the Isle of Wight",1848,f,high_female,0.8602998544700723
mdp.39015037233973,"Chan-Toon, Mabel Mary Agnes Cosgrove,",A marriage in Burmah;,1905,f,high_female,0.8588429948670124
nyp.33433074904826,"Montrésor, F. F.",Worth while,1896,u,high_female,0.8586938618444931
njp.32101072858093,"Radcliffe, Ann Ward,",The mysteries of Udolpho,1820,f,high_female,0.8584820540358197
njp.32101072858085,"Radcliffe, Ann Ward,",The mysteries of Udolpho,1820,f,high_female,0.8584820540358197
njp.32101072858077,"Radcliffe, Ann Ward,",The mysteries of Udolpho,1820,f,high_female,0.8584820540358197
mdp.39015028870825,"Saer, Juan José,",Nobody nothing never / | $c: Juan José Saer ; translated by Helen Lane.,1993,m,high_female,0.8582438558816512
uc1.b3295175,"Singh, Huthi.",Maura / | $c: Huthi Singh ; with an introduction by E. M. Forster.,1951,u,high_female,0.8574318109736759
