htid,author,title,year,authgender,female_category,female_fraction
uiuo.ark:/13960/t4wh37g7t,"Walford, Lucy Bethia,",The baby's grandmother,1884,f,mixed,0.3550059825755007
uc1.b3326031,"Skene, Felicia,",Use and abuse,1849,f,mixed,0.3549869771008515
uc1.$b684911,"Armstrong, Thomas,","Dover harbour,",1942,m,mixed,0.3549443986404288
uc2.ark:/13960/t3513x02s,"Stanton, Coralie.","Raven, V.C",1913,u,mixed,0.3549005706085352
mdp.39015038126010,"Anthony, Michael,",In the heat of the day / | $c: Michael Anthony.,1996,m,mixed,0.3548625655018988
uiuo.ark:/13960/t9w09r522,"Austin, Alfred,",Jessie's expiation,1867,m,mixed,0.354828736396907
uiuo.ark:/13960/t2b85xs8f,"Austin, Alfred,",Jessie's expiation,1867,m,mixed,0.354828736396907
uiuo.ark:/13960/t3tt5933r,"Austin, Alfred,",Jessie's expiation,1867,m,mixed,0.354828736396907
mdp.39015012073444,"Zweig, Stefan,",Kaleidoscope one [-two] | $c: translated by Eden and Cedar Paul.,1949,u,mixed,0.3548224409538927
uiuo.ark:/13960/t6f19bt7h,"Gray, Arnold.",Periwinkle,1888,m,mixed,0.354785037961765
uiuo.ark:/13960/t7wm1p76p,"Gray, Arnold.",Periwinkle,1888,m,mixed,0.354785037961765
uiuo.ark:/13960/t8tb1hc2c,"Gray, Arnold.",Periwinkle,1888,m,mixed,0.354785037961765
hvd.32044086803400,"Deacon, William Frederick,",The inn-keeper's album,1823,m,mixed,0.3547469119208409
inu.39000006010040,"Sellers, Hal,",Soutie / | $c: Hal Sellers.,1994,m,mixed,0.3546993670886076
uiuo.ark:/13960/t8hd8h57n,"MacDonald, George,",Wilfrid Cumbermede,1872,m,mixed,0.3546802025414943
uiuo.ark:/13960/t5p84z242,"MacDonald, George,",Wilfrid Cumbermede,1872,m,mixed,0.3546802025414943
uiuo.ark:/13960/t4nk4176m,"MacDonald, George,",Wilfrid Cumbermede,1872,m,mixed,0.3546802025414943
uiuo.ark:/13960/t60582z9x,"Mallock, W. H.",The old order changes,1886,m,mixed,0.3546703590887549
uiuo.ark:/13960/t4vh62h52,"Mallock, W. H.",The old order changes,1886,m,mixed,0.3546703590887549
uc1.$b787073,"Macfall, Haldane,",The wooings of Jezebel Pettyfer;,1898,m,mixed,0.3546150957127135
uc1.b4315284,"Crocker, Aimée,",Without regrets.,1937,u,mixed,0.3545456719273075
mdp.39015014117595,"Porter, Anna Maria,",The fast of St. Magdalen,1818,f,mixed,0.3545147991341268
mdp.39015014117579,"Porter, Anna Maria,",The fast of St. Magdalen,1818,f,mixed,0.3545147991341268
mdp.39015014117587,"Porter, Anna Maria,",The fast of St. Magdalen,1818,f,mixed,0.3545147991341268
mdp.39015034409998,"Forster, Margaret,",Mothers' boys / | $c: Margaret Forster.,1994,f,mixed,0.3545134818288394
mdp.39015052962811,,From across the shores : | Punjabi short stories by Asians in Britain / | $c: translated into English & critical introduction by Rana Nayar.,2002,u,mixed,0.3545086792159831
uc2.ark:/13960/t6f18vg3x,"A. L. O. E.,",Beyond the black waters,1890,f,mixed,0.3544468496204812
mdp.39015050246027,"Teran, Iseult,",Dolce vita : | a novel / | $c: Iseult Teran.,1999,u,mixed,0.3544303797468354
uc1.b4087141,"Bagnold, Enid.","Alice and Thomas [and] Jane, | $c: by Enid Bagnold; illustrated by the author and Laurian Jones.",1930,f,mixed,0.3544250336696768
uc1.$b792387,"Hon., Benson, Theodora,",The man from the tunnel and other stories / | $c: by Theodora Benson.,1950,m,mixed,0.3543330176356882
mdp.39015002712217,"(John Boynton), Priestley, J. B.",Low notes on a high level; | a frolic.,1954,m,mixed,0.3543044202441918
uc1.$b116739,,The second English review book of short stories. | $c: Compiled by Horace Shipp. With a foreword by Douglas Jerrold.,1933,u,mixed,0.354292657944396
uiuo.ark:/13960/t2988w55b,"Tinsley, Lily.",In the ring,1886,f,mixed,0.3542079296771184
uiuo.ark:/13960/t5q81zg6k,"Tinsley, Lily.",In the ring,1886,f,mixed,0.3542079296771184
