htid,author,title,year,authgender,female_category,gb_suba1_intensity
njp.32101068174885,"Jenkins, Edward,",Lord Bantam,1872,m,,40.580023806947295
mdp.39015058734933,"Lewis, Damien.",Operation certain death / | $c: Damien Lewis.,2004,m,high_male,40.5717082894174
njp.32101068174711,"Jameson, Margaret.",Training,1887,f,high_female,40.570694435053085
mdp.39015020726702,"Bowen, Elizabeth,","The cat jumps, | and other stories.",1949,f,,40.56734178736702
uc2.ark:/13960/t4jm24t26,"Hurstone, J. P.","Royal intrigues, or, Secret memoirs of four princesses",1808,u,,40.56383733901228
mdp.39015059246754,"Jarrett-Macauley, Delia,","Moses, Citizen & me / | $c: Delia Jarrett-Macauley.",2005,f,mixed,40.557788884780095
uc1.b4102522,"Bedingfield, Richard,",The peer and the blacksmith,1844,m,,40.55566979687891
mdp.39015024970751,,"The Best of ""Cosmopolitan"" fiction / | $c: edited by Kate Figes.",1991,u,high_female,40.55336915547609
inu.30000038165381,"Lively, Adam.",Blue fruit / | $c: Adam Lively.,1993,m,high_male,40.551500405515
mdp.39015058132781,"Shakespeare, Nicholas,",Snowleg / | $c: Nicholas Shakespeare.,2004,m,,40.55042212324668
uiuo.ark:/13960/t10p1qf0v,"Russell, William Clark,","List, ye landsmen!",1893,m,high_male,40.54636223106358
nyp.33433082225628,"Smollett, T.",The works of Tobias Smollett,1895,m,mixed,40.54371252373943
uiuo.ark:/13960/t15m6tn0j,"Pulleyne,",Out of society,1875,f,high_female,40.53662773863527
uc1.$b244144,"Murry, John Middleton,","The voyage, | $c: by John Middleton Murry.",1924,m,,40.52708367105903
uc1.b3579176,"Le Fanu, Joseph Sheridan,",The Wyvern mystery,1869,m,,40.521623811979666
njp.32101067627628,"Appleton,",Edgar,1816,f,high_male,40.490352126441564
mdp.39015015337986,"Fenwick, Eliza.","Secresy, or, The ruin on the rock / | $c: Eliza Fenwick ; introduced by Janet Todd.",1989,f,mixed,40.48293763246255
njp.32101067627636,"Appleton,",Edgar,1816,f,high_male,40.48074372897446
dul1.ark:/13960/t3708t937,"Reeve, Clara,",The two mentors,1803,f,,40.477064565624616
uc1.$b119562,"Duncan, Jane,",My friends the hungry generation.,1968,f,,40.47412546978896
inu.32000003474824,"Howard, Elizabeth Jane.",The sea change / | $c: Elizabeth Jane Howard.,1959,f,mixed,40.466011813464746
uc1.$b242708,"Kiely, Benedict.",There was an ancient house : | a novel / | $c: by Benedict Kiely.,1955,m,high_male,40.46125834513455
nyp.33433074873302,"Langbridge, Rosamond.",Imperial Richenda;,1908,u,high_female,40.460628695922814
mdp.39015068635559,"(Cecil Ernest Lucas), Phillips, C. E. Lucas",The Spanish pimpernel.,1960,m,high_male,40.45726113750764
hvd.32044086799103,"Ollier, Charles,","Inesilla, or The tempter",1824,m,,40.45061990575005
mdp.39015057018973,"Lloyd, Josie.",Love lives / | $c: Josie Lloyd & Emlyn Rees.,2003,f,mixed,40.45030097766321
uc1.$b285102,"Jacobs, W. W. (William Wymark),","At Sunwich port, | $c: by W.W. Jacobs.",1928,m,mixed,40.44779624748833
uc1.$b116738,,"The English review book of short stories, | $c: compiled by Horace Shipp; with a foreword by Ford Madox Ford.",1932,u,,40.445486518171165
uc1.$b19518,"McKinley, R.","Contraband, | $c: by R. McKinley & E. Rodwell; with eight illustrations from photographs.",1933,u,high_male,40.44489383215368
