htid,author,title,year,authgender,female_category,windows
uc2.ark:/13960/t9765ch2n,"Hone, William,","The report at large of the coroner's inquest on Jane Watson, shot at Mr. Robinson's address, &c",1815,m,high_male,264.71074835934485
uc1.$b391733,"Thomas, Dylan,",The followers : | a story / | $c: by Dylan Thomas ; with illustrations by Meg Stevens.,1976,m,high_female,255.49310168625448
uc1.$b157073,"Arrabal, Fernando.",The burial of the sardine; | $c: translated from the French by Patrick Bowles.,1966,m,high_male,230.58862988428643
mdp.39015073907191,"Kuyper, Sjoerd.",Josie / | $c: Dutch Cooper ; translated by Patricia Crampton.,2000,u,high_female,211.864406779661
mdp.39015061210301,,The book of St Andrews / | $c: edited by Robert Crawford.,2005,u,high_female,204.1209320238783
inu.30000000878250,"Bednarczyk, Czesław.",Kubus : | my friend the cat / | $c: Czesław Bednarczyk.,1988,u,high_male,193.05019305019306
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,192.91430954925832
mdp.39015005019669,"Robbe-Grillet, Alain,",Jealousy; | a novel. | $c: Translated by Richard Howard.,1965,m,,191.62176519693406
mdp.39015002206210,"Robbe-Grillet, Alain,",Jealousy; | a novel. | $c: Translated by Richard Howard.,1965,m,high_male,190.38260762758705
mdp.39015027321770,"Simpson, William Douglas,","Noltland Castle, Westray, Orkney.",1950,m,high_male,189.9696048632219
uc1.b3750429,"Butor, Michel.",Second thoughts. | $c: Translated from the French by Jean Stewart.,1958,m,high_female,189.17576436520434
nyp.33433074876230,"MacIlwaine, Herbert C.",The tower maiden,1907,m,high_male,187.05362203831766
uc1.b4692438,"Vince, Charles.","Barrie Marvell, his dreams and adventures",1922,m,high_male,186.953520478601
mdp.39015000631336,"Laver, James,","The laburnum tree, | and other stories.",1935,m,high_male,183.5985312117503
mdp.39015015407326,"James, M. R.",The five jars,1922,u,high_female,180.8924025190942
mdp.39015073918511,"Gallas, John,",The book with twelve tales / | $c: John Gallas.,2008,m,high_male,178.26232981114526
uc2.ark:/13960/t09w0bw7q,"Pawlowska, Yoï.",In a grain of sand,1922,u,mixed,177.3852657004831
mdp.39015073496062,"Neukrantz, Klaus,",Barricades in Berlin / | $c: Klaus Neukrantz.,1932,u,,176.70607368486895
inu.30000093786220,"Lash, Jennifer.",The climate of belief.,1962,f,,174.57129615325198
mdp.39015054181956,"Williamson, Graeme.",Strange faith / | $c: Graeme Williamson.,2001,m,,163.73074959789653
uc1.$b322847,"Boden, Frederick C.","Flo; | a novel, | $c: by F. C. Boden.",1933,m,,162.7622542101797
mdp.39015014119625,"Ruyslinck, Ward,",The deadbeats: | a novel | $c: [by] Ward Ruyslinck; translated from the Flemish by R. B. Powell.,1968,m,high_male,161.1285075852005
mdp.39015033409965,"Maeterlinck, Maurice,",The massacre of the innocents,1914,m,high_male,160.54585591009433
mdp.39015012187459,"Banville, John.",Mefisto / | $c: John Banville.,1986,m,,159.5405232929164
mdp.39015011573626,"Weiss, Peter,","The conversation of the three walkers; | and, The shadow of the coachman's body; | $c: translated by S. M. Cupitt.",1972,m,high_male,159.46354826838942
uc1.$b115274,"Day Lewis, C. (Cecil),",The Otterbury incident; | $c: illus. by Edward Ardizzone.,1948,u,high_male,156.71289339229745
mdp.39015012414341,"Poliakoff, Stephen,","Runners ; &, Soft targets / | $c: Stephen Poliakoff.",1984,m,,156.12130748521764
mdp.39015063276706,"Taylor, Chad,",Departure lounge / | $c: Chad Taylor.,2006,m,,155.45340576681988
uc1.32106006845306,"Tolstoy, Aleksey Nikolayevich, graf,",Nikita's childhood / | $c: Alexei Tolstoy. Translated by Violet Lansbury Dutt.,1940,u,high_female,154.55599245403096
mdp.39015014863271,"Mittelhölzer, Edgar.",The weather family; | a novel.,1959,m,high_female,154.50032579416526
inu.39000004090481,"Swift, Graham,",The sweet shop owner / | $c: Graham Swift.,1983,m,,153.3149838234584
uc1.32106014431487,"Gunn, Kirsty",The keepsake / | $c: Kirsty Gunn,1997,f,high_male,152.96633002485703
mdp.39015041189070,"Tennant, Emma.",Alice fell / | $c: Emma Tennant.,1980,f,high_female,152.60007043080174
mdp.39015008910344,"(Herbert George), Wells, H. G.","The invisible man. | a grotesque romance, | $c: by H. G. Wells ...",1924,m,,151.69700606788024
mdp.39015021844827,"Johnston, Jennifer,",The Invisible worm / | $c: by Jennifer Johnston.,1991,f,,150.53094883583947
uc1.32106010068143,"Miller, David,",True points : | eight prose texts 1981-1987 / | $c: David Miller.,1992,m,mixed,149.55667129580172
uc1.b4145999,"Zürn, Unica.",The house of illnesses : | stories and pictures from a case of jaundice / | $c: Unica Zürn ; translated by Malcolm Green.,1993,u,high_male,148.93418970492414
mdp.39015061161256,"Minco, Marga.",An empty house / | $c: Marga Minco ; translated from the Dutch by Margaret Clegg.,1990,f,high_male,148.07902957523632
wu.89018081877,"Gibson, Ronald.","Nine days, 17th to 25th September, 1944. | $c: Illustrated by Gordon C. Power.",1956,m,high_male,147.48603351955308
mdp.39015010447350,"James, M. R.",Ghost-stories of an antiquary,1920,u,high_male,147.00893361981227
mdp.39015031228268,"Dawson, Jennifer.",Strawberry boy / | $c: [by] Jennifer Dawson.,1976,f,mixed,146.92688762043454
mdp.39015082679369,"Donovan, Gerard,",Country of the grand : | a collection of stories / | $c: Gerard Donovan.,2008,m,mixed,146.57488970958053
uc1.$b57087,"Mottram, R. H. (Ralph Hale),","The apple disdained, | a story.",1928,m,high_female,143.47202295552367
uc1.32106001617320,"Ibrāhīm, Ṣunʻ Allāh.","The smell of it, & other stories, | $c: by Sonallah Ibrahim; translated from the Arabic by Denys Johnson-Davies ; translation of Tilka al-rāʾiḥah.",1971,u,high_male,142.20472010282495
mdp.39015030708237,"North, Elizabeth,",Everything in the garden / | $c: by Elizabeth North.,1978,f,high_female,140.83605402983164
wu.89098013931,"Burnett, Frances Hodgson,",The troubles of Queen Silver-bell,1907,f,high_female,140.75833553268234
mdp.39015000545619,"Petry, Ann,",Country place.,1948,f,,140.58106841611996
mdp.39015033964035,"Valenzuela, Luisa,",Bedside manners / | $c: Luisa Valenzuela.,1994,f,high_female,140.53609378213477
uc2.ark:/13960/t1pg1k841,"Oliphant,",Harry Muir,1853,f,,139.2452905253526
uc1.$b396466,"Bainbridge, Beryl,",Harriet said ...,1972,f,high_female,138.8418557399255
mdp.39015008775283,"(Hans Christian), Branner, H. C.","The riding master, | a novel;",1951,u,,137.9910022305395
wu.89016705428,"Rey Rosa, Rodrigo,",The beggar's knife / | $c: Rodrigo Rey Rosa ; translated from the Spanish by Paul Bowles.,1988,m,high_male,137.79687120045392
wu.89087663902,"James, M. R. (Montague Rhodes),",Ghost stories of an antiquary / by Montague Rhodes James.,1938,u,high_male,137.37039197606367
mdp.39015049831566,"Elsner, Gisela,",The giant dwarfs : | a contribution / | $c: Gisela Elsner ; translated from the German by Joel Carmichael.,1965,f,high_male,136.07756421160062
uc1.32106014173949,"Petterson, Per,",To Siberia / | $c: Per Petterson ; translated from the Norwegian by Anne Born,1998,m,mixed,135.71995595503316
uc1.32106015520437,"Woolf, Virginia,",Jacob's room.,1960,f,,135.19400339487163
uc1.32106007711861,"Westlake, Donald E.",The black ice score / | $c: Richard Stark.,1986,m,high_male,134.81156562506288
nyp.33433074929146,"Bowen, Marjorie,",A moment's madness;,1908,f,high_male,134.41922985688305
mdp.39015043089369,"Hill, Susan,",The service of clouds / | $c: Susan Hill.,1998,f,high_female,133.77329884954963
mdp.39015053111772,"Francis, David,",Agapanthus tango / | $c: David Francis.,2001,m,high_female,130.347197535253
uc1.32106018853751,"Rosendorfer, Herbert,",Grand solo for Anton / | $c: Herbert Rosendorfer ; translated by Mike Mitchell,2006,m,high_male,130.33424427159974
mdp.39015028020710,"Guli͡ashki, Andreĭ.",The Zakhov mission; | $c: translated by Maurice Michael.,1968,u,mixed,129.77558319880987
uc1.32106013099145,"Palmer, William,",Four last things / | $c: William Palmer,1996,m,mixed,129.54032423558382
mdp.39015014575883,"Banville, John.",The book of evidence / | $c: John Banville.,1989,m,,129.16375356977804
mdp.39015062627180,"Faber, Michel.",The Fahrenheit twins / | $c: Michel Faber.,2005,m,high_female,129.12156020163624
uc1.$b105433,"Stonier, George Walter,",The memoirs of a ghost / | $c: G. W. Stonier.,1947,m,high_female,128.11345489214634
uc1.$b243560,"O'Faoláin, Seán,",Midsummer night madness : | and other stories / | $c: Seán O'Faoláin ; with an introd. by Edward Garnett.,1932,u,,128.08324090212855
uc1.b3604605,"Hanley, James,",The darkness.,1973,m,high_male,127.61613067891781
uc1.b4974562,"Potter, Dennis.",Ticket to ride / | $c: Dennis Potter.,1986,m,,127.38853503184713
uc1.32106002182878,"Padgett, Ron,",The adventures of Mr. and Mrs. Jim and Ron | $c: [by] Jim Dine and Ron Padgett.,1970,m,high_male,127.12941774726671
mdp.39015082719371,"Simmons, Kelly.",Skylight / | $c: Kelly Simmons.,2008,f,high_male,127.07006809298214
uc1.b3346079,"Blight, Leslie,",Love and idleness.,1958,m,,126.99820589836112
mdp.49015000282831,"Pène du Bois, William,",Lion / | $c: William Pène Du Bois.,1983,m,high_male,126.79628064243448
uc1.b3346191,"(Herbert Ernest), Bates, H. E.","The story without an end ; | and, The country doctor / | $c: by H.E. Bates.",1932,u,high_male,126.6051727256285
mdp.39015029579920,"Ireland, Timothy.",A time to burn / | $c: Timothy Ireland.,1992,m,high_male,126.19267466912896
mdp.39015032951421,"Vik, Bjørg,",An aquarium of women / | $c: by Bjørg Vik ; translated by Janet Garton.,1987,u,high_female,126.1592262234125
uiuo.ark:/13960/t3xs6df1g,"Colmore, G.",A daughter of music,1894,u,high_female,126.1201460338533
mdp.39015040570791,"Morandini, Giuliana.",The Café of mirrors / | $c: Giuliana Morandini ; translated from the Italian by Luisa Quartermaine.,1997,u,high_female,126.06884455163342
inu.30000068200595,"Gee, Sue.",Spring will be ours / | $c: Sue Gee.,1995,f,,125.92224127675412
mdp.39015006100492,,A Book of railway journeys / | $c: compiled by Ludovic Kennedy.,1981,u,,125.57318080917737
mdp.39015037461632,"Irish, William.",After-dinner story / | $c: William Irish.,1940,m,,125.3230117448734
mdp.39015030737657,"Dick, Kay.",They : | a sequence of unease / | $c: Kay Dick.,1977,f,,124.31626056688215
mdp.39015005735223,"Green, G. F. (George Frederick),",The power of Sergeant Streater | $c: [by] G. F. Green.,1972,m,high_male,124.17651364634528
mdp.39015071561669,"Macdonald, Ross,",The dark tunnel / | $c: Ross Macdonald.,1972,m,,123.81042315884457
uc1.32106012744022,"Gee, Sue",The hours of the night / | $c: Sue Gee,1996,f,,123.67795281112336
uc1.32106011414247,"Simenon, Georges,",Maigret on the defensive; | $c: translated from the French by Alastair Hamilton,1968,m,mixed,123.67332254002518
uc1.b3442899,"Duden, Anne,",Opening of the mouth / | $c: Anne Duden ; translated by Della Couling.,1985,f,high_male,123.62702677000618
mdp.39015074275531,"Stasiuk, Andrzej,",Nine / | $c: Andrzej Stasiuk ; translated from the Polish by Bill Johnston.,2007,m,,123.52584720085768
mdp.39015032154414,"Morazzoni, Marta,",His mother's house / | $c: Marta Morazzoni ; translated from the Italian by Emma Rose.,1994,f,high_male,123.3510364913483
inu.39000000986476,"Reid, Patrick R.,",The latter days / | $c: P.R. Reid.,1984,m,high_male,122.3444766735266
umn.319510020680239,"Rowdon, Maurice.",Perimeter West.,1956,m,,121.96538506214426
mdp.39015029208397,"Hill, Susan,",The mist in the mirror / | $c: Susan Hill.,1992,f,,121.96017926676953
mdp.39015024652714,,The Other voice : | Scottish women's writing since 1808 : an anthology / | $c: edited by Moira Burgess.,1987,u,high_female,121.79031766974525
mdp.39015032032826,"Canning, Victor.",Venetian bird.,1951,m,high_male,121.5862326973438
wu.89009593054,"Vik, Bjørg,",Out of season and other stories / | $c: Bjørg Vik ; translated by David McDuff and Patrick Browne.,1983,u,high_female,121.55726512805143
pst.000024683296,"Blackburn, Julia.",The book of colour : | a fiction / | $c: Julia Blackburn.,1995,f,high_male,121.42278939098138
uc2.ark:/13960/t7sn03d3g,"Scott, P. E. S.",Sons of Iscariot,1916,f,,121.11025976914901
mdp.39015066643159,"Simenon, Georges,","The window over the way, | $c: translated from the French by Geoffrey Sainsbury.",1951,m,,120.82899195348959
uc1.$b802449,"De Mendelssohn, Peter,",The hours and the centuries; | a tale.,1944,m,,120.68378009995456
uc1.$b242926,"Hanley, James,",The closed harbor.,1952,m,mixed,120.68315284736813
wu.89008198194,"Alessandria, Pia d'",Bull's eye / | $c: by Pia d'Alessandria ; translated from the Italian by J. R. Chanter.,1962,f,mixed,120.53219600389411
uc1.32106016400241,"Kurkov, Andreĭ",Death and the penguin / | $c: Andrey Kurkov ; translated from the Russian by George Bird,2001,u,,120.24589610214146
uva.x030786521,"Parr, Olive Katharine,",Through a Dartmoor window,1918,f,high_male,120.18027040560841
uc2.ark:/13960/t0js9k39t,"Makower, Stanley Victor.",The mirror of music,1895,m,,119.87625676720805
mdp.39015013254654,"Storey, David,",Pasmore. -,1972,m,high_male,119.79316724035968
mdp.39015008720362,"Strachey, Julia.",Cheerful weather for the wedding and An integrated man : | two short novels / | $c: by Julia Strachey.,1978,f,mixed,119.7476745429274
mdp.39015016437520,"Mackay, Shena.",Old crow.,1967,f,high_female,119.63474779041945
uc1.b3752397,"Ionesco, Eugène.",The hermit / | $c: Eugène Ionesco ; translated from the French by Richard Seaver.,1983,u,high_female,119.54572624028691
wu.89040821183,"Parland, Oscar,",The year of the bull / | $c: Oscar Parland ; translated from the Swedish by Joan Tate.,1991,m,,119.22544572501404
mdp.39015064983318,"Crofts, Lewis,",The pornographer of Vienna / | $c: Lewis Crofts.,2007,m,,118.90819036039017
inu.30000116860812,"Liberty, Olivia.",Falling / | $c: Olivia Liberty.,2007,f,,118.74866164418229
inu.39000003995649,"Preindlsberger-Mrazović, Milena,",Selam,1899,f,mixed,118.05525561842238
mdp.39015049549614,"Rendell, Ruth,",Grasshopper / | $c: Barbara Vine.,2000,f,mixed,118.04865572093298
mdp.39015080846606,"Rhodes, Danny.",Soldier boy : | a novel / | $c: Danny Rhodes.,2009,m,high_male,117.883807051595
uc2.ark:/13960/t8nc5wf3m,"Maeterlinck, Maurice,",Three plays. with introd. by H. Granville Barker,1911,m,high_female,117.80413099819367
mdp.39015037444760,"Banville, John.",Athena / | $c: John Banville.,1995,m,mixed,117.73983938508702
uc1.b4097323,"Baron, Dunsany, Edward John Moreton Drax Plunkett,","The last revolution, a novel.",1951,m,high_female,117.71844660194175
mdp.39015003449231,"Bradbury, Ray,",The small assassin.,1976,m,,117.7037076667915
mdp.39015039920700,"Butlin, Ron,",Night visits / | $c: Ron Butlin.,1997,m,high_female,117.222883327709
mdp.39015041167530,"Mackay, Shena.","Babies in rhinestones, and other stories / | $c: Shena Mackay.",1983,f,mixed,117.20276077614272
mdp.39015041912760,"Steven, Kenneth C.,",The summer is ended / | $c: Kenneth C Steven.,1997,m,high_male,117.02637889688249
inu.32000006468898,"Woolf, Virginia,",The years | $c: [by] Virginia Woolf.,1937,f,high_female,116.81880037034045
mdp.39015046836014,"Heyward, DuBose,",Porgy.,1953,m,,116.69178781543249
mdp.39015024903794,"Frayn, Michael.",A landing on the sun / | $c: Michael Frayn.,1991,m,,116.59814850181431
mdp.39015028909532,"Banville, John.",Ghosts / | $c: John Banville.,1993,m,high_female,116.45962732919254
nyp.33433075767693,"Whitelaw, David.",MacStodger's affinity;,1906,m,high_male,116.44248142943184
mdp.39015032231642,"Cowan, Andrew.",Pig / | $c: Andrew Cowan.,1994,m,,116.39530584578307
mdp.39015067641517,"Smith, Sid.",China dreams / | $c: Sid Smith.,2007,m,high_male,116.22787708021484
mdp.39015051854217,"Woolf, Virginia,",The years | $c: [by] Virginia Woolf.,1951,f,high_female,116.20608870190964
umn.31951002092903r,"Perowne, Barry.",Raffles after dark : | the amateur cracksman's return.,1935,m,,116.11664047494325
mdp.39015021968550,"Heyward, DuBose,",Porgy.,1953,m,mixed,116.07661056297157
uc1.$b244596,"Royde-Smith, Naomi Gwladys.",Miss Bendix / | $c: by Naomi Royde Smith ; illus. by H. Wessenborn.,1947,f,high_female,115.89350674435823
mdp.39015050740409,"Tennant, Emma.",The bad sister : | an Emma Tennant omnibus.,2000,f,high_female,115.71625875648571
inu.30000057588091,"Royle, Nicholas,",Saxophone dreams / | $c: Nicholas Royle.,1996,m,,115.68872243029547
mdp.39015028025560,"Matveev, Vladimir.","The commissar of the gold express; | an episode in the civil war, | $c: by V. Matveyev; illustrations by Ernst.",1933,u,high_male,115.60909209569449
mdp.39015060560482,"Mattson, Ellen,",Snow / | $c: Ellen Matson ; translated by Sarah Death.,2005,f,high_male,115.37562799392452
uva.x030788437,"Watson, John Reay,",The mystery of the downs,1918,m,high_male,115.29923924053361
mdp.39015003494435,"Wolkers, Jan,",Horrible tango.,1970,u,mixed,115.22330276075033
uc2.ark:/13960/fk76t0hb7b,"Pennell, Elizabeth Robins,",The lovers,1917,f,mixed,114.50476688323003
mdp.39015034434301,"Jordan, Neil,",Sunrise with sea monster / | $c: Neil Jordan,1994,m,high_male,114.34321258690085
uc1.$b312595,"Strachey, Julia Frances,",The man on the pier : | a novel / | $c: Julia Strachey.,1951,f,mixed,114.21957571234942
uc1.b3445681,"Meckel, Christoph.","The figure on the boundary line : | selected prose / | $c: Christoph Meckel : edited by Christopher Middleton ; graphics by the author ; translations by Christopher Middleton, Brian Harris and Margaret Woodruff.",1983,u,high_male,114.16879188660222
uc1.b3472637,"Butler, Michael D. (Michael David),",Street & sky : | a verse novella / | $c: Michael D. Butler.,1980,m,mixed,114.09447022134327
iau.31858013754290,"Lubbock, Percy,",Earlham.,1963,m,high_female,114.06144600478322
mdp.39015048891561,"Roe, Sue.","Estella, her expectations : | a novel / | $c: by Sue Roe.",1982,f,high_female,114.0085777882336
wu.89015217631,"Lubbock, Percy,",Earlham | $c: [by] Percy Lubbock.,1924,m,high_female,113.80601581047016
uc1.$b675574,"Lubbock, Percy,",Earlham.,1963,m,high_female,113.7739934671707
mdp.39015076865743,"Jha, Raj Kamal,",Fireproof / | $c: Raj Kamal Jha.,2007,m,mixed,113.68649675908644
mdp.39015010308206,"Bergman, Ingmar,",Face to face : a film / | $c: by Ingmar Bergman ; translated from the Swedish by Alan Blair.,1976,u,high_female,112.99048140792988
mdp.39015024989447,"Bolger, Dermot,",The woman's daughter / | $c: Dermot Bolger.,1991,m,high_female,112.94897216435331
mdp.39015031693701,"Williams-Ellis, Clough, Sir,",The adventure of building : | being something about architecture and planning for intelligent young citizens and their backward elders / | $c: by Clough Williams-Ellis; with drawings by Geoffrey Robson.,1946,u,,112.9425052059436
mdp.39015060008623,"Freud, Esther",The sea house / | $c: Esther Freud,2003,f,,112.6488574187319
mdp.39015016435698,"Higgins, Aidan,","Langrishe, go down.",1966,m,high_female,112.62773948893872
mdp.39015084099517,"Hill, Joe.",Gunpowder / | $c: Joe Hill.,2008,m,,112.21719457013575
mdp.39015059384290,"Aiken, Conrad,","King Coffin, | $c: by Conrad Aiken.",1935,m,high_male,112.04553942843896
inu.30000121124410,"Hinde, Thomas,",Mr Nicholas / | $c: Thomas Hinde.,1980,m,,111.79486146501627
uc1.32106017248482,,Further up in the air / | $c: Will Self ... [et al.],2003,u,high_male,111.76618514068569
uc1.32106012556582,"Özdamar, Emine Sevgi,","Life is a caravanserai : | has two doors, I came in one, I went out the other = ; Das Leben ist eine Karawanserai ; hat Zwei Türen aus einer kam ich rein aus der anderen ging ich raus / | $c: by Emine Sevgi Özdamar ; translated by Luise von Flotow",2000,u,mixed,111.67028974717846
umn.31951002027310z,"Donnelly, Morwenna.",The dark descent.,1946,u,high_female,111.5866145111648
mdp.39015049860797,"Josipovici, Gabriel,",The air we breathe / | $c: Gabriel Josipovici.,1981,m,,111.4588245380889
mdp.39015066054092,"Lessing, Doris May,",The memoirs of a survivor / | $c: Doris Lessing.,1974,f,high_female,111.39382995438716
mdp.39015020726702,"Bowen, Elizabeth,","The cat jumps, | and other stories.",1949,f,,111.18456638019111
uc1.31822038199006,"Bloxam, John Francis",The priest and the acolyte,1907,m,high_male,111.14816049794376
mdp.39076006766047,"Bowen, Elizabeth,",The cat jumps | and other stories.,1949,f,high_female,111.07222737854327
mdp.39015059168438,"Davey, Janet,",First aid / | $c: Janet Davey.,2004,f,high_female,110.92955972957172
mdp.39015047518207,"Jenkins, Janette.",Columbus Day / | $c: Janette Jenkins.,1999,f,high_female,110.8775496061537
uc1.b3752240,"Simenon, Georges,",The door; | $c: translated from the French by Daphne Woodward.,1964,m,high_male,110.69482288828338
mdp.39015056165783,"Hofmann, Gert.",Luck / | $c: Gert Hofmann ; translated from the German by Michael Hofmann.,2002,u,mixed,110.66605294342321
mdp.39015080871844,"Doran, Bryony.",The china bird / | $c: by Bryony Doran.,2009,u,high_female,110.33567161233607
uc1.b3739869,"Baring-Gould, S.",In exitu Israel;,1870,m,,110.13353691350763
mdp.39015029533471,"Drevet, Patrick,",La micheline / | $c: Patrick Drevet ;translated by James Kirkup.,1993,m,high_female,110.06067447438973
mdp.39015030121886,"Campert, Remco,",The gangster girl; | $c: translated from the Dutch by John Scott.,1968,u,high_male,109.95644862231038
uc1.32106013111692,"Balle, Solvej,",According to the law : | four accounts of mankind / | $c: Solvej Balle ; translated from the Danish by Barbara Haveland,1996,u,mixed,109.79961570134505
mdp.39015069353897,"Chen, Willi.",Chutney Power / | $c: Willi Chen.,2006,m,,109.69250134867829
mdp.39015056426847,"Tinniswood, Peter.",Two plays for one / | $c: Peter Tinniswood.,2002,m,,109.06676783004552
mdp.39076005056051,"Doyle, Adrian Conan,",The exploits of Sherlock Holmes / | $c: by Adrian Conan Doyle and John Dickson Carr.,1954,m,high_male,108.98201322946873
inu.30000064961950,"Thomas, Ruth,","Sea monster tattoo, | and other stories / | $c: Ruth Thomas.",1997,f,high_female,108.49746085803409
mdp.39015002757394,"Sansom, William,",The ulcerated milkman.,1966,m,high_male,107.99424030718362
mdp.39015008451562,"Thomas, Dylan,","A prospect of the sea, | and other stories and prose writings. | $c: Edited by Daniel Jones.",1955,m,mixed,107.84521040389089
mdp.39015048860822,"Thomas, Ruth,",The dance settee and other stories / | $c: Ruth Thomas.,1999,f,high_female,107.78602657107217
uc1.b5015186,"Cochrane, Ian,",Gone in the head : | a novel / | $c: by Ian Cochrane.,1974,m,,107.61173685343282
uc1.b3977304,"Liksom, Rosa.",One night stands / | $c: Rosa Liksom ; translated by Anselm Hollo.,1993,f,,107.55356995118723
mdp.39015020911676,"Pinget, Robert.",No answer. | $c: Translated by Richard N. Coe.,1961,m,,107.44619162943002
mdp.39015073890561,"Saul, John.",Call it tender / | $c: John Saul.,2007,m,mixed,107.21718838690688
inu.30000056656303,,Little / | $c: by David Treuer.,1995,u,mixed,107.12987584412603
uc1.b3477074,"Muir, Lynette R.",The unicorn window. | $c: Illustrated by Pauline Baynes.,1961,f,,107.05033506754876
uc1.$b118702,"Griffiths, Sally,",Winter day in a glasshouse.,1968,f,high_female,107.0456685195455
mdp.39015002661265,"Bowen, Elizabeth,","A day in the dark, | and other stories.",1965,f,high_female,106.85448976981135
uc1.b3475705,"Green, G. F. (George Frederick),",A skilled hand : | a collection of stories and writing / | $c: by G. F. Green ; with memoirs and criticism by John Marshall ... [et al.] ; edited by Chloë Green and A. D. Maclean.,1980,m,high_male,106.77376695890679
wu.89058974940,Ólafur Gunnarsson.,Troll's cathedral / | $c: Ólafur Gunnarsson ; translated from the Icelandic by David McDuff and Jill Burrows.,1996,u,high_male,106.63736831900731
uc1.b3472579,"Wheldon, David,",The course of instruction / | $c: by David Wheldon.,1984,m,high_male,106.63673354847762
mdp.39015032226394,"Gee, Sue.",Letters from Prague / | $c: Sue Gee.,1994,f,high_female,106.60744031093837
mdp.39015016424031,"Maltz, Albert,",A tale of one January: | a novel.,1967,m,mixed,106.50513388028158
mdp.39015001075228,"Greig, Francis.",The bite : | and other apocryphal tales / | $c: Francis Greig.,1981,m,mixed,106.46242829676005
inu.39000005640136,"Greig, Francis.",The bite and other apocryphal tales / | $c: Francis Greig.,1981,m,mixed,106.29521512882346
mdp.39015050690083,"Sánchez Ferlosio, Rafael,",The adventures of the ingenious Alfanhuí / | $c: Rafael Sánchez Ferlosio ; translated by Margaret Jull Costa.,2000,m,,105.89714739559203
mdp.39015050730103,"Telmissany, May.",Dunyazad / | $c: May Telmissany ; translated from the Arabic and introduced by Roger Allen.,2000,f,,105.88831085124994
mdp.39015020711639,"Schulz, Bruno,","Cinnamon shops, and other stories. | $c: Translated from the Polish by Celina Wieniewska.",1963,m,,105.82254020106282
mdp.39015005201168,"Calvino, Italo.","Marcovaldo, or, The seasons in the city / | $c: Italo Calvino ; translated from the Italian by William Weaver.",1983,m,,105.76057605760576
mdp.39015013268829,"Anthony, Michael,",The year in San Fernando. | $c: Introd. by Paul Edwards & Kenneth Ramchand.,1970,m,high_female,105.63984735042058
mdp.39015019055469,"O'Faoláin, Seán,",The collected stories of Sean O'Faolain.,1980,m,,105.36220094286918
mdp.39015031840443,"Day, Christopher.",Places of the soul : | architecture and environmental design as a healing art / | $c: Christopher Day.,1993,m,mixed,105.2880945487089
mdp.39015008032321,"Azorín,",The syrens and other stories;,1931,u,,104.97397985392982
mdp.39015037444828,"Johnston, Jennifer,",The illusionist / | $c: Jennifer Johnston.,1995,f,,104.97133475089495
uc1.32106011707913,"Minco, Marga.",The other side / | $c: Marga Minco ; translated from the Dutch by Ruth Levitt.,1994,f,,104.95297299479272
uc1.32106015045849,"Daoud, Hassan",The house of Mathilde / | $c: Hassan Daoud ; translated from the Arabic by Peter Theroux,1999,m,high_female,104.82814232436246
mdp.39015060120980,"Sinclair, Iain.","White Chappell, scarlet tracings / | $c: Iain Sinclair.",2004,m,high_male,104.76463834672789
uc1.32106005850737,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,,104.65576738134298
mdp.39015020642511,"O'Faoláin, Seán,",Teresa and other stories.,1947,m,,104.60251046025104
mdp.39015021856847,"Galloway, Janice.",Blood / | $c: Janice Galloway.,1991,f,high_female,104.33592747797827
mdp.39015054068088,"Hrabal, Bohumil,",A close watch on the trains; | $c: translated by Edith Pargeter.,1968,m,,104.32628044208262
mdp.39015054151363,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,,103.98687077332276
uc1.$b703625,"Vilmorin, Louise de,",Julietta / | $c: by Louise de Vilmorin ; [authorised trans. by Alison Brothers].,1952,f,high_female,103.9155374511597
uc1.b3047254,"Richardson, Dorothy M.",Backwater,1917,f,high_female,103.7730004336782
uc2.ark:/13960/t0cv4d948,"Deeping, Warwick,",A woman's war;,1907,m,high_female,103.627965733686
mdp.39015060621565,"Donovan, Gerard,",Doctor Salt / | $c: Gerard Donovan.,2005,m,high_male,103.54430982361762
mdp.39015030736170,"Caine, Jeffrey,",The cold room / | $c: by Jeffrey Caine.,1976,m,high_female,103.506275067926
uc1.32106013464307,"Galloway, Janice,",Blood,1991,f,high_female,103.44593677927011
mdp.39015058730436,"Riley, Gwendoline,",Sick notes / | $c: Gwendoline Riley.,2004,f,,103.34890191791712
uc1.$b389502,,Path into the unknown: | the best Soviet SF.,1966,u,high_male,103.0912205697306
mdp.39015064690483,"Harvey, Kenneth J.",Inside / | $c: Kenneth J. Harvey.,2006,m,,103.03007733462431
uc1.32106018079886,"Sinclair, Iain,","Dining on stones, or, The middle ground / | $c: Iain Sinclair",2005,m,,102.79756222923857
inu.30000123951042,"Peake, Mervyn Laurence,",The Titus books / | $c: Mervyn Peake.,1983,m,mixed,102.73736920238443
uiuo.ark:/13960/t5q81pd7v,"Fenn, George Manville,",King of the castle,1892,m,mixed,102.28628795484249
mdp.39015030005758,"Wolkers, Jan,",A rose of flesh; | $c: translated from the Dutch by John Scott.,1967,u,,102.24466361505671
