htid,author,title,year,authgender,female_category,windows
uc2.ark:/13960/t0vq2tk41,"Wordboise, Emma Jane.",Lady Clarissa,1800,f,high_female,9.109885017407802
mdp.39015030747342,"Herbert, A. P. (Alan Patrick),","Honeybubble & co., | $c: by A. P. Herbert.",1928,m,,9.101389478793763
uiuo.ark:/13960/t0sq9hm6r,"Payn, James,",A stumble on the threshold,1892,m,,9.099871085159627
uiuo.ark:/13960/t22b9kw0h,"Alexander,",Found wanting,1893,f,mixed,9.096366911055725
dul1.ark:/13960/t13n2vj0t,"Whiteing, Richard,","The island, or, An adventure of a person of quality",1888,m,,9.089020463280358
mdp.39015013512598,"Parkin, Ray.",The sword and the blossom.,1968,m,high_male,9.088595630203221
uc1.$b273068,"Peterson, Alice Onions.","Siftings, | $c: by Alice Onions Peterson.",1926,f,high_female,9.083477155054956
uiuo.ark:/13960/t6h13hw9s,"Tytler, Sarah,","Oliver Constable, miller and baker",1880,f,mixed,9.080837616461743
nyp.33433074866587,"Kingston, William Henry Giles,",In the Rocky mountains,1889,m,mixed,9.075469007273341
uiuo.ark:/13960/t25b0g42w,"Ouida,",Friendship,1878,f,high_female,9.074880730138975
uiuo.ark:/13960/t0ht3636k,"Mills, John,",Too fast to last,1881,m,high_male,9.074739554974773
uiuo.ark:/13960/t3vt2934d,"Stephens, George,",The manuscripts of Erdély,1835,m,,9.065930234179952
inu.30000009539960,"Cameron, Ian,",The children  / | $c: James Vance Marshall.,1959,m,mixed,9.065361254645998
uc1.$b137820,"Lauring, Palle.",The Roman / | $c: Palle Lauring ; translated from the Danish by Reginald Spink.,1956,u,high_female,9.063991781980784
uc1.$b322782,"Borden, Mary.",Action for slander; | a novel | $c: by Mary Borden.,1936,f,,9.06322505800464
njp.32101067179463,"Trollope, Frances Milton,",Mrs. Mathews;,1851,f,high_female,9.059201884313993
uc2.ark:/13960/t5h993w83,"Maclean, Donald.","The man from Curdie's River; or, Where men are made",1907,m,high_male,9.059201884313993
uc2.ark:/13960/t47p9676w,"Adams, Johns Bernard Pye,",Nothing of importance;,1917,m,high_male,9.055756291486684
uc1.$b243328,"Hsiung, S. I. (Shih I),","The bridge of heaven, | a novel | $c: by S.I. Hsiung, with a prefatory poem by John Masefield.",1943,u,high_male,9.053870529651427
inu.39000005672097,"MacLeod, Brenda.",Tales of Dunvegan.,1950,f,,9.052777693955763
uc1.b3324226,"Ouida,",An altruist,1897,f,,9.050865866167863
inu.39000001346878,"Anieke, Richard.",Shameful sacrifice / | $c: Richard Anieke.,1985,m,,9.04834076051304
uiuo.ark:/13960/t7xk8n02t,"Collins, Mabel,",Juliet's lovers,1893,f,high_female,9.044657998869418
mdp.39015073484035,"Henty, G. A.",The lost heir,1899,m,,9.036186451281052
mdp.39015063913514,"Byron, Medora Gordon.",The Englishman,1812,f,mixed,9.030160736861117
uiuo.ark:/13960/t81j9rb38,"Thomas, Annie,","No hero, but a man",1894,f,,9.027443428021185
mdp.39015028106451,"(Alan Alexander), Milne, A. A.",Once a week. | $c: by A. A. Milne ...,1928,m,,9.027262332243374
nyp.33433074850409,"Haggard, H. Rider",Doctor Therne,1898,m,,9.02608538676776
uc1.b3322473,"Cathcart,",The heir of Mordaunt,1835,f,high_female,9.025270758122744
uc2.ark:/13960/t0wp9vr87,"Gould, Frederick James,",The divine archer,1911,m,,9.02445627650934
uiuo.ark:/13960/t71v64735,"Reid, Mayne,",The death shot,1873,m,,9.02429339782695
uc1.b3322559,"Grey, Elizabeth Caroline.",The trials of life,1829,f,high_female,9.02337052967185
uiuo.ark:/13960/t7zk60x33,"Westall, William,",Her two millions,1887,m,mixed,9.022013713460844
njp.32101068179017,"Hardy, Elizabeth,","Owen Glendower, or, The prince in Wales",1849,f,mixed,9.020037368726243
mdp.39015029877738,"Groult, Benoîte",Salt on our skin / | $c: Benoîte Groult ; translated by Mo Teitelbaum.,1992,u,high_male,9.011560544813204
uc2.ark:/13960/t5s75cj48,"Taylor, S. Howard.",Kate Byrne,1874,m,high_female,9.011038522189683
uc2.ark:/13960/t7pn90472,"Livingstone, W. P.","Mary Slessor of Calabar, pioneer missionary",1916,u,high_female,9.00657479960371
dul1.ark:/13960/t3jw91q2r,"Butler, Samuel,","Erewhon, or, Over the range",1872,m,high_female,9.005995419808043
uc1.32106008314780,"West, Morris L.,",Masterclass / | $c: Morris West.,1988,m,,9.00407954065342
uiuo.ark:/13960/t4bp0gn5m,"Halse, George.","Graham Aspen, painter",1889,m,,9.004006783018443
uc1.b3325475,"Lytton, Rosina Bulwer Lytton,",Memoirs of a Muscovite,1844,f,mixed,9.002196535954774
uc1.32106011678320,"Axelrad, Catherine,",The Warszawianka / | $c: Catherine Axelrad ; translated by Sacha Rabinovitch,1994,f,,9.001710324961742
uiuo.ark:/13960/t16m3hs4q,"Chandler, W. A.",Thrice,1876,u,mixed,8.999685011024614
mdp.39015028749664,"Farmer, Philip José.",The alley god / | $c: Philip José Farmer.,1972,m,high_female,8.987840735462168
uc2.ark:/13960/t2s46jx2t,"Lawrence, George Alfred,",Brakespeare; or The fortunes of a free lance,1868,m,high_male,8.987148377819718
uiuo.ark:/13960/t9s187v3b,"Besant, Walter,",The world went very well then,1887,m,high_male,8.987148377819718
uc2.ark:/13960/t9c53gt3j,"Ballantyne, R. M.",Under the waves,1887,m,,8.986744551786115
mdp.39015059376189,,The New British novelist;,1830,u,,8.9850488786659
uc1.b4501323,"Birch-Reynardson, Charles Thomas Samuel,",'Down the road';,1875,m,high_male,8.98020762240023
nyp.33433074856646,"Gilbert, William,"," Them boots,",1877,m,high_female,8.97827258035554
mdp.39015047115665,"Weiss, Daniel Evan.",Hell on wheels / | $c: Daniel Evan Weiss.,1998,m,,8.973237319694013
uiuo.ark:/13960/t8df7d82c,"Sala, George Augustus,",The strange adventures of Captain Dangerous,1863,m,,8.971694304469398
nyp.33433074870696,"Hill, William Kirkpatrick.","Edwin Trafford, altruist",1908,m,,8.971271229133167
mdp.39015080874087,"O'Connell, Sanjida,",The naked name of love / | $c: Sanjida O'Connell.,2009,u,high_male,8.97118455520867
uiuo.ark:/13960/t07w71742,"Smart, Hawley,",Two kisses,1875,m,mixed,8.96941429724639
mdp.39015048881166,"Linklater, Eric,","Mr. Byculla, | a story.",1950,m,,8.969012063321225
uc2.ark:/13960/t90868990,"Ouida,",Wanda,1883,f,,8.966096945923228
uiuo.ark:/13960/t8x92g77j,"Banim, Michael,",The mayor of Wind-Gap ; and Canvassing,1835,m,mixed,8.965049115661941
mdp.39015032876420,"Noël, Bernard,",The castle of communion / | $c: Bernard Noël ; translated by Paul Buck & Glenda George.,1993,m,high_female,8.964589870013446
mdp.39015019612335,"Kuzwayo, Ellen,",Sit down and listen / | $c: Ellen Kuzwayo.,1990,f,mixed,8.964388964837184
uc2.ark:/13960/t8sb4084m,"Cronin, Bernard.",The coastlanders,1918,m,high_male,8.958343701786692
mdp.39015048903143,"Malory, Thomas,",La mort d'Arthure,1858,m,high_male,8.956961798557929
uiuo.ark:/13960/t8mc9mw3b,"Helme, Elizabeth,",St. Margaret's cave,1801,f,mixed,8.953553441522104
uc1.b3122363,"Stern, G. B. (Gladys Bronwyn),",Dogs in an omnibus / | $c: by G. B. Stern. With frontispiece and illustrations in the text by K. F. Barker.,1942,f,,8.952551477170994
uiuo.ark:/13960/t7mp5nr8p,"Robinson, F. W.","In bad hands, and other tales",1887,m,mixed,8.95134941592445
inu.32000005270915,,"The romance of Violette; with an introduction by John Frederick Savage; together with, Sweet seventeen.",1970,u,high_female,8.949026345933563
uc1.b4948945,"Maitland, Sara,",Virgin territory / | $c: Sara Maitland.,1984,f,high_female,8.948012049989561
njp.32101067643609,"Conway, Hugh,",Living or dead,1886,m,mixed,8.945143905002572
