htid,author,title,year,authgender,female_category,intl_subcity_intensity
mdp.39015031232740,"Drayton, Geoffrey,",Christopher. | $c: Introd. by Louis James.,1972,m,high_male,27.366270159819017
uc2.ark:/13960/t9765jt6p,"Harvey, William,",Irish life & humour in anecdote and story,1906,m,mixed,27.364964425546248
nyp.33433074951611,"Cuthbertson, Catherine.",Romance of the Pyrenees,1803,f,high_female,27.363940407418667
mdp.39015080859328,"Marshall, Michael,",Bad things / | $c: Michael Marshall.,2009,m,high_female,27.363316433951795
mdp.39015014451259,"Tree, Herbert Beerbohm,","Nothing matters, and other stories",1916,m,,27.353295160290305
uc1.$b243508,"O'Brian, Patrick,","The frozen flame, | a novel.",1953,m,,27.350257341057706
mdp.39015056287512,"Egerton, Frank.",The lock / | $c: Frank Egerton.,2003,m,high_female,27.34731084776664
uiuo.ark:/13960/t58d0j622,"Robinson, F. W.",The man she cared for,1884,m,mixed,27.34668763246052
uc1.b3862851,"Jackson, Shirley,",The sundial / | $c: Shirley Jackson.,1958,f,high_female,27.346014591833384
mdp.39015030714771,"Sucimoto, Etsu (Inagaki)",Grandmother O Kyo.,1940,u,high_female,27.345793503590617
uiuo.ark:/13960/t8gf12d5t,"Alexander, G. G.",Doctor Victoria,1881,u,high_female,27.34435082802112
nnc1.1002361655,"Russell, William Clark,",Memoirs of Mrs. Lætitia Boothby,1872,m,,27.344138411056974
wu.89004395364,"Gaboriau, Emile,",In peril of his life,1884,m,mixed,27.34148405141677
uc1.b4113045,"Brierley, Benjamin,",The layrock of Langley-side,1864,m,high_male,27.340860111293388
uc1.$b396470,"Williams, John Stanley,",The spinsters | $c: [by] John Williams.,1967,m,high_female,27.33938113582702
uiuo.ark:/13960/t4jm2xs5q,"Wood, Henry,",Oswald Cray,1864,f,,27.337940687603886
inu.32000007295274,"Marton, Francesca.","Mrs Betsey; or, Widowed and wed / | $c: Francesca Marton.",1971,f,high_female,27.33341005869491
nyp.33433082353826,"Kingston, William Henry Giles,",In the eastern seas;,1872,m,high_male,27.333254255993975
mdp.39015063536505,"Collins, Mortimer,",[Works,1883,m,,27.332496121740416
uiuo.ark:/13960/t6g16c309,,Excitement,1849,u,high_male,27.331837274871972
mdp.39015032205018,"Appignanesi, Lisa.",Dreams of innocence / | $c: Lisa Appignanesi.,1994,f,high_female,27.317487048297316
uiuo.ark:/13960/t6n01t83p,"Woods, Margaret L.",Esther Vanhomrigh,1891,f,,27.314408350404836
uiuo.ark:/13960/t7tm7k25c,"Cuthbertson, Catherine.",Forest of Montalbano,1810,f,mixed,27.311360433485913
mdp.39015063615911,"Méléra, Marguerite Yerta,",Six women and the invasion,1918,f,high_female,27.31063749330364
uc1.$b236154,"Davies, Rhys,",The painted king.,1954,m,high_female,27.309868694151323
inu.39000005875666,"Bompas, Cecil Henry",Folklore of the Santal Parganas,1909,u,,27.306873530165745
nyp.33433067345771,"Eliot, George,",Daniel Deronda,1876,f,,27.30437552617807
uc2.ark:/13960/t5bc3vw3n,"Sutherland, Joan,",Wynnegate sahib,1918,f,high_female,27.296463327794925
mdp.39015011393066,"Sedgwick, Catharine Maria,",The Linwoods;,1835,f,,27.296301351166917
mdp.39015066475628,"Cournos, John,",Short stories out of soviet Russia / | $c: compiled and translated by John Cournos.,1929,m,,27.29126198006132
uiuo.ark:/13960/t48p6974b,"Capes, J. M.",The mosaic-worker's daughter,1868,m,high_female,27.28810784260219
mdp.39015024956214,,"Letters from home : | stories / | $c: by Pat Cadigan, Karen Joy Fowler, Pat Murphy.",1991,u,high_female,27.28455694077152
uc2.ark:/13960/t9k35r13g,"Ouida,",Toxin,1895,f,high_female,27.280167318359553
inu.39000013386888,"Roa Bastos, Augusto Antonio.","Son of man, | $c: by Augusto Roa Bastos. Translated by Rachel Caffyn.",1965,m,high_male,27.278616974119405
mdp.39015049989323,"Burnside, John,",Burning Elvis / | $c: John Burnside.,2000,m,,27.27697823037356
njp.32101037077599,"Fenn, George Manville,",The white virgin,1894,m,mixed,27.276694791969742
uc1.32106006845306,"Tolstoy, Aleksey Nikolayevich, graf,",Nikita's childhood / | $c: Alexei Tolstoy. Translated by Violet Lansbury Dutt.,1940,u,high_female,27.27458690365252
inu.39000003797672,"Burgess, Anthony,","Inside Mr. Enderby | $c: [by] Joseph Kell, pseud.",1963,m,,27.27334712152549
mdp.39015063870078,"Gaspey, Thomas,",The Lollards,1822,m,mixed,27.26978337565831
mdp.39015022202728,"Farmer, Philip José.",Time's last gift / | $c: Philip José Farmer.,1975,m,,27.264378372173116
nyp.33433076091549,"Edgeworth, Maria,",Tales and novels,1848,f,high_female,27.260424678473033
mdp.39015062063501,"Haddon, Mark.",The curious incident of the dog in the night-time / | $c: Mark Haddon.,2003,m,high_female,27.259840802529716
njp.32101067644532,"Munster, Wilhelmina Fitzclarence,",Dorinda,1889,f,high_female,27.253525924916534
wu.89004716627,"Ervine, St. John G.",Mrs. Martin's man,1914,m,high_female,27.25326065797158
njp.32101068163797,,Lavinia Fitz-Aubyn,1816,u,high_female,27.25113870829602
njp.32101048392995,,The thousand and one nights,1883,m,,27.250891991406466
uiuo.ark:/13960/t4dn4h40p,"Drury, Anna H.",Deep waters,1863,f,high_female,27.2489248522042
uiuo.ark:/13960/t79s2115g,,Alexena;,1817,u,mixed,27.24795640326975
uiuo.ark:/13960/t5x645907,"Warren, Samuel,",Now and then,1848,m,high_male,27.23459883435917
mdp.39015013518900,"Simenon, Georges,",The night-club / | $c: Georges Simenon ; translated from the French by Jean Stewart.,1979,m,high_female,27.231404093089512
mdp.39015019857526,"Lewis, Alun,",Collected stories / | $c: Alun Lewis ; edited by Cary Archard.,1990,u,mixed,27.231019683291404
uiuo.ark:/13960/t81j9s90s,"Fothergill, Jessie,",From Moor isles,1888,f,high_female,27.22781905169396
uc2.ark:/13960/t8rb6z708,"Caffyn, Kathleen Mannington Hunt.","""Whoso breaketh an hedge,""",1909,f,high_female,27.225506000358227
uiuo.ark:/13960/t54f24g9x,,The curse of Ulrica; or The white cross knights of Riddarholmen,1815,u,,27.219349068709416
njp.32101067629970,"Bray,",Courtenay of Walreddon,1884,f,,27.21896419468983
mdp.39015006945078,"Hogg, James,",Winter evening tales,1821,m,,27.21753088142927
mdp.39015048898178,"Sillitoe, Alan.",Every day of the week : | an Alan Sillitoe reader / | $c: selected by the author; introduction by John Sawkins.,1987,m,high_male,27.217510887004348
uc1.b3325760,"Raikes, Harriet.",The marriage contract,1849,f,high_female,27.215327672545172
uiuo.ark:/13960/t2w389p5k,,"Mrs. Cleveland, and the St. Clairs, &c",1836,u,,27.209239048281283
