htid,author,title,year,authgender,female_category,trains
uc1.32106005037798,"Sharpe, Tom.",The wilt alternative / | $c: Tom Sharpe.,1979,m,mixed,1.1086474501108647
mdp.39015065444914,"Meredith, George,",The amazing marriage,1895,m,mixed,1.108278842956888
uc1.32106013680225,"Haywood, Eliza Fowler,",The history of Miss Betsy Thoughtless / | $c: Eliza Haywood ; introduced by Dale Spender.,1986,f,,1.1077672950168935
mdp.39015031302337,"Shaw, Margaret.","Inherit the earth,",1939,f,mixed,1.1070948171356136
njp.32101064382763,"Thomas, W. Moy",When the snow falls,1859,u,,1.1064272358128369
njp.32101073045302,"Aimard, Gustave,",The gold-seekers,1861,m,high_male,1.1009457123669233
mdp.39015030760964,"Middleton, Stanley,",A Man made of smoke.,1973,m,high_male,1.0990097921772484
nyp.33433062552454,"James, Henry,",The Europeans,1879,m,high_female,1.0982252679669653
uc1.b4084617,"Le Fort, Gertrud, Freiin von,","The Pope from the ghetto, | the legend of the family of Pier Leone, | $c: by Gertrud von Le Fort; translated by Conrad M. R. Bonacina.",1934,u,,1.0978997178397725
inu.39000001774020,"Godden, Rumer,",Black narcissus / | $c: by Rumer Godden.,1939,f,high_female,1.0968881283797864
mdp.39015063317732,"Bauld, Alison.",Mozart's sister : | a novel / | $c: A.M. Bauld.,2005,f,,1.0966355222178357
mdp.39015078783464,"Griffiths, Elly.",The crossing places / | $c: Elly Griffiths.,2009,f,high_female,1.0962508221881166
mdp.39015063046604,"Rasmussen, Albert Henry.",Return to the sea.,1956,m,,1.0956382640707345
uc1.$b783866,"Hanley, James,","Hollow sea, | a novel | $c: [by] James Hanley.",1938,m,high_male,1.0950323855828037
mdp.39015048899994,"Mavor, Elizabeth,",The white solitaire / | $c: Elizabeth Mavor.,1988,f,,1.094558947472116
uc1.b3862851,"Jackson, Shirley,",The sundial / | $c: Shirley Jackson.,1958,f,high_female,1.0938405836733354
nyp.33433081959060,"Buntline, Ned,","Cruisings, afloat and ashore;",1851,u,high_male,1.0930156301235108
mdp.39015000543929,"Peake, Mervyn Laurence,",Titus alone.,1959,m,high_male,1.092717040922253
uc2.ark:/13960/t6542m17d,"Henningsen, C. F.",The white slave;,1845,u,high_male,1.0925140934318052
uc1.b3332941,"Caine, William,",Bildad the quill-driver,1916,m,,1.0923589491506909
