htid,author,title,year,authgender,female_category,trains
mdp.39015006100492,,A Book of railway journeys / | $c: compiled by Ludovic Kennedy.,1981,u,,660.2718861901907
mdp.39015064331484,"Williams, Herbert Darkin,","The steel highway, a romance of the railway, | $c: by Herbert D. Williams.",1925,m,high_male,565.2744662040882
wu.89100091255,"Aleksinskaia, Tatiana.",With the Russian wounded,1916,u,high_male,534.2995762451636
mdp.39015047594034,,The Penguin book of Indian railway stories / | $c: edited by Ruskin Bond.,1994,u,high_male,391.6915460971191
mdp.39015028025560,"Matveev, Vladimir.","The commissar of the gold express; | an episode in the civil war, | $c: by V. Matveyev; illustrations by Ernst.",1933,u,high_male,385.98519457756066
mdp.39015065648167,"Gamow, George,",Puzzle-math | $c: [by] George Gamow & Marvin Stern.,1958,m,high_male,373.98962480395704
mdp.39015030855764,"Bayley, Victor,",Indian artifex. | $c: Woodcut decorations by P. Youngman Carter.,1939,m,high_male,348.3827969584667
mdp.39015021319069,"Webster, Henry Charles,",2750: | legend of a locomotive. | $c: Illustrated by R. Barnard Way.,1953,m,high_male,347.14109282686337
mdp.39015020727973,"Francis, Dick.",The edge / | $c: Dick Francis.,1988,m,,337.52570560009536
mdp.39015021059772,"Prebble, John,",The high girders / | $c: John Prebble.,1956,m,high_male,324.3548159638979
mdp.39015054068088,"Hrabal, Bohumil,",A close watch on the trains; | $c: translated by Edith Pargeter.,1968,m,,319.499233853878
uc1.b3752270,"Simenon, Georges,",The train. | $c: Translated from the French by Robert Baldick.,1964,m,high_female,304.1503854683705
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,286.76451419484346
mdp.39015024775663,"Rendell, Ruth,",King Solomon's carpet.,1991,f,mixed,268.0264592136895
uc2.ark:/13960/t1gh9f65g,"Littlefair, Mary.",An English girl's adventures in hostile Germany,1915,f,mixed,263.47305389221555
uc1.$b83911,"Bayley, Victor,","Permanent way through the Khyber, | $c: by Victor Bayley.",1934,m,high_male,253.958085476343
mdp.39015077638164,"Marston, Edward.",Murder on the Brighton Express / | $c: Edward Marston.,2008,m,,251.74655491411298
uc1.32106016706043,"Buĭda, I͡Uriĭ",The zero train / | $c: Yuri Buida ; translated and with an afterword by Oliver Ready,2001,u,high_male,250.37847909630838
uc1.$b322906,"Aiken, Conrad,",A heart for the gods of Mexico.,1939,m,high_female,242.02656913892326
uiuo.ark:/13960/t55d9b38m,"Kevill-Davies, Albert.",Miss Blanchard of Chicago,1892,m,mixed,238.65209297885542
mdp.39015035775363,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,221.6636197440585
mdp.39015011705624,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,218.91817933047523
mdp.39015063583309,"Southerns, Leonard.",An outline of relativity ...,1923,m,high_male,217.84428869103996
mdp.39015029533471,"Drevet, Patrick,",La micheline / | $c: Patrick Drevet ;translated by James Kirkup.,1993,m,high_female,214.47721179624665
uc1.$b605193,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,213.91604370327775
mdp.39015058264964,"Baricco, Alessandro,",Lands of glass / | $c: Alessandro Baricco.,2003,m,high_male,210.47771652046387
pst.000049380361,"Jewesbury, Daniel.",Lived between lines / | $c: Daniel Jewesbury.,2001,m,,204.55667630669393
mdp.39076005032920,"Christie, Agatha,",Murder on the Orient express.,1968,f,,199.23295313044778
mdp.39015035917627,"Jecchinis, Chris.","Beyond Olympus; | the thrilling story of the ""train-busters"" in Nazi-occupied Greece. | $c: With a foreword by C. M. Woodhouse.",1960,m,,198.79862700228833
uc1.b3148809,"Kellermann, Bernhard,",The tunnel / | $c: by Bernhard Kellerman.,1936,u,mixed,196.22204740073605
mdp.39015011956490,"MacHarg, William Briggs,",The blind man's eyes,1916,m,mixed,194.99982969447188
uc1.b3750429,"Butor, Michel.",Second thoughts. | $c: Translated from the French by Jean Stewart.,1958,m,high_female,193.403155747667
uc2.ark:/13960/t55d8sb4t,"Price, Julius M.",On the path of adventure,1919,m,high_male,189.60296572997143
mdp.39015033585244,"Strati, Saverio,",The lights of Reggio. | $c: Translated from the Italian by Angus Davidson.,1965,m,,188.2740564233813
uc1.32106005226854,"Avery, Gillian,",The lost railway / | $c: Gillian Avery.,1980,f,,187.5664071817334
mdp.39015008442041,"Wain, John.",The smaller sky / | $c: John Wain.,1967,m,high_male,182.8061583872807
mdp.39015026305204,"Griffith, George.",Briton or Boer?,1897,m,high_male,181.45125599674273
mdp.39015000618754,"Greene, Graham,",The collected edition.,1970,m,,181.19125010981287
mdp.39015059587298,"Drummond, Andrew.","An abridged history of the construction of the railway line between Garve, Ullapool and Lochinver; And other pertinent matters : | being the professional journal and regular chronicle of Alexander Auchmuty Seth Kininmonth / | $c: edited by Andrew Drummond ; with a foreword by Alfred Marjoribanks.",2004,m,high_male,181.16944183216242
inu.32000000359739,"Greene, Graham,","Stamboul train, | $c: by Graham Greene.",1932,m,mixed,179.74366989684276
uc1.$b105776,"McDonell, Gordon,",Burning secret / | $c: Gordon McDonell.,1959,m,,179.60130740827503
inu.30000003994732,"Morley, Des.",Children of fear / | $c: Des Morley.,1990,u,high_male,179.28218501235244
wu.89016963142,"Elsbree, Elizabeth Sellers,",Across the Isthmus of Panama.,1937,f,high_male,177.12261455833618
uc1.b3762859,"Japrisot, Sébastien,",The 10:30 from Marseille. | $c: Translated by Francis Price.,1964,u,,176.6855398947918
mdp.39015029173054,"Theroux, Paul.",Travelling the world : | the illustrated travels of Paul Theroux / | $c: picture editor Jenny de Gex.,1990,m,,174.35058231565102
mdp.39015053482330,"Rees, David,",Out of the winter gardens / | $c: David Rees.,1984,m,,174.10368841888058
mdp.39015049860797,"Josipovici, Gabriel,",The air we breathe / | $c: Gabriel Josipovici.,1981,m,,173.61855360740773
uc1.b4180718,"Mahoff, Alexis.","Smell of smoke,",1936,m,,172.53835366112787
uc1.b3481020,"Meynell, Laurence.",Airmen on the run; | true stories of evasion and escape by British airmen of World War II. | $c: Told by Laurence Meynell. Illustrated by Richard Kennedy.,1963,m,high_male,170.62040044402417
uiuo.ark:/13960/t6b28dx0b,"Moore, Frank Frankfort,",A gray eye or so,1893,m,mixed,163.39147714727312
mdp.39015019789240,"Ihimaera, Witi,",Tangi | $c: [by] Witi Ihimaera.,1973,u,high_female,160.48663689898402
mdp.39015062063501,"Haddon, Mark.",The curious incident of the dog in the night-time / | $c: Mark Haddon.,2003,m,high_female,159.4700686947988
uc1.$b479444,"Hámori, Laszlo,",Dangerous journey. | $c: Translated from the Swedish by Annabelle MacMillan. Illustrated by W.T. Mars.,1963,u,high_male,152.9769310787933
uc1.32106002020177,"Waugh, Alec,",Brief encounter : | a novel / | $c: by Alec Waugh.,1975,m,high_female,148.51175587793898
mdp.39015018993504,"Hopkins, John,",In the Chinese mountains / | $c: John Hopkins.,1990,m,mixed,148.15356757448833
mdp.39015003875179,"Wittlin, Józef,","Salt of the earth,",1939,u,high_male,147.28833398361294
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,144.5608962775569
uiuo.ark:/13960/t83j3v84f,,The Golden calf,1849,u,mixed,143.97051483856106
mdp.39015078785808,"Fleming, James,",Cold blood / | $c: James Fleming.,2009,m,high_male,143.65400779399403
mdp.39015002741448,"(Sydney Castle), Roberts, S. C.",Zuleika in Cambridge / | $c: by S. C. Roberts.,1941,u,high_female,142.43661570601083
nyp.33433082444211,"Hare, Francis Augustus.",The last of the bushrangers,1895,m,high_male,141.8953909891248
mdp.39015058119853,"Fleming, James,",Thomas Gage / | $c: James Fleming.,2003,m,,141.03946842450617
inu.30000092668809,"Mulrine, Stephen.",Moscow stations : | a play / | $c: by Stephen Mulrine ; translated and adapted from Moscow-Petushki by Venedikt Yerofeev.,1993,m,,140.48890137679123
uc1.$b176799,"Ceccherini, Silvano.",The transfer (La traduzione);,1966,m,,139.0473474044495
njp.32101072858358,"Dickens, Charles,",Mugby Junction,1898,m,,138.923344083354
inu.30000036578213,"Fink, Ida.",The journey / | $c: Ida Fink ; translated by Joanna Weschler and Francine Prose.,1992,f,high_female,137.12022142376497
uc1.$b674189,"Makucewicz, Peter.","I escaped from Germany, | $c: by Peter Makucewicz.",1944,m,mixed,136.24163816945736
mdp.39015014612710,"Blyton, Enid.",The big Noddy book / | $c: by Enid Blyton.,1959,f,mixed,135.79576317218903
mdp.39015061859792,"Raj Rao, R. (Ramachandrapurapu),",The boyfriend / | $c: R. Raj Rao.,2003,u,high_male,135.31341970839958
mdp.39015066053714,"Lawrence, D. H. (David Herbert),",Works.,1954,m,high_male,135.1826614498615
mdp.39015030175445,"Keith, Eric A.",My escape from Germany,1918,m,high_male,134.23348730703935
mdp.39015024982368,"Pristavkin, Anatoly,",The Inseparable twins / | $c: Anatoly Pristavkin ; translated from the Russian by Michael Glenny.,1991,u,mixed,134.0596310814709
mdp.39015038555606,"Pervent͡sev, Arkadiĭ Alekseevich,",The test.,1944,u,high_male,133.45333788523013
uc2.ark:/13960/t0dv1hg1g,"Howe, Sonia Elizabeth,",Real Russians,1917,f,,133.0889184642041
nyp.33433043830078,"Stevenson, Rennie.",Through Rhodesia with the sharpshooters,1901,f,high_male,131.02071375093587
mdp.39015031918884,"Poli͡akov, A. (Aleksandr),","With a Soviet unit through the Nazi lines | $c: [by] A. Polyakov. Published by authority of Soviet war news, issued by the Press department of the Soviet embassy in London.",1941,u,,130.81471403903512
uc1.$b745559,"Clarke, Basil.",My round of the war;,1917,m,high_male,130.68217912533692
mdp.39015002754417,"St. John, Robert,","The man who played God, | a novel.",1963,m,,129.79850592449404
uc1.$b120148,,"A calendar of letters; | extracts from the publications of Number Five John Street, 1910-1925.",1926,u,,129.63930998431783
wu.89100064526,"Ellison, Wallace.",Escaped! adventures in German captivity,1918,m,,128.8518477903279
mdp.39015000630858,"Lawrence, D. H. (David Herbert),",Works.,1954,m,high_male,128.10807663192222
wu.89041256702,"Tute, Warren.",Escape Route Green.,1971,m,high_male,126.49105002279781
mdp.39015007061354,"Solzhenit͡syn, Aleksandr Isaevich,",Stories and prose poems | $c: [by] Alexander Solzhenitsyn. Translated by Michael Glenny.,1971,m,mixed,126.20360848836123
mdp.39015031288627,"Balestier, Charles Wolcott,",The average woman,1892,m,mixed,125.65632993762061
mdp.39015030663762,"Wittlin, Tadeusz.",A reluctant traveller in Russia. [Translated from the Polish by Noel E. P. Clark],1952,m,,125.06831462563585
mdp.39015027936700,"Ganzhorn, John W.",I've killed men,1910,m,high_male,124.85851313348192
nyp.33433067352884,"Watson, E. H. Lacon",A conversational tour in America,1914,u,,124.45095168374817
uc1.$b557779,"Mackenzie, Kenneth.",Living rough / | $c: Kenneth Mackenzie.,1936,m,,124.30080795525171
mdp.39015011581264,"Narayan, R. K.,",Talkative man : | a novel / | $c: R.K. Narayan.,1986,m,high_male,121.18214418202052
uc1.$b745616,"Burton, Reginald.",The road to three pagodas.,1963,m,high_male,121.0800339024095
uc1.32106008858273,"Pritchett, V. S. (Victor Sawdon),",A careless widow : | & other stories / | $c: by V.S. Pritchett.,1989,m,,120.25143481825636
mdp.39015029452953,"Fuller, John,",Look twice : | an entertainment / | $c: John Fuller.,1991,m,high_male,119.30820032504438
inu.30000107642666,,The: Brighton book / | $c: Melissa Benn ... [et al.].,2005,u,high_female,119.12815836691473
mdp.39015066973192,"Stancu, Zaharia.",A gamble with death: | $c: a novel transisted from the Romanian by Richard A. Hillard.,1969,u,,118.53402246807056
inu.39000005519793,"King, Rosa E. (Rosa Eleanor),",Tempest over Mexico : | a personal chronicle / | $c: by Rosa E. King ; illustrated by Carroll Bill.,1936,f,mixed,118.23533758652117
uc1.32106008817899,"Vittorini, Elio,",Conversation in Sicily / | $c: Elio Vittorini ; translated by Wilfrid David ; introduction by Sir Stephen Spender.,1988,m,high_male,117.36880479433785
uc1.32106010982954,Bảo Ninh.,"The sorrow of war : | a novel / | $c: Bao Ninh ; English version by Frank Palmos ; based on the translation from the Vietnamese by Vo Bang Thanh and Phan Thanh Hao, with Katerina Pierce.",1993,u,high_female,115.59040480474755
mdp.39015065677026,"Paustovsky, Konstantin,",Story of a life / | $c: Konstantin Paustovsky ; translated by Manya Harari and Michael Duncan.,1965,m,,115.49890276042377
uc1.b3468424,"Paustovsky, Konstantin,",Story of a life / | $c: Konstantin Paustovsky ; translated by Manya Harari and Michael Duncan.,1965,m,,115.3632368826756
uc1.$b63960,"Whitfield, Christopher.","Together and Alone, | two short novels | $c: by Christopher Whitfield, with engravings by John O'Conner.",1945,m,,113.42663795755152
mdp.39015021576452,"Denny, John Howard.",Chindit indescretion.,1956,m,high_male,113.25156570289585
uiuo.ark:/13960/t05x2q24x,,The Golden calf,1849,u,mixed,112.78698552885626
mdp.39015000550510,"Houghton, Claude,","The last command. | Based upon the play of the same name by Lajos Biró. | $c: Novelised by Claude Houghton [pseud.] Illustrated with scenes from the photo-play, a Paramount production starring Emil Jannings.",1929,m,,112.32574465951258
uiuo.ark:/13960/t6n01t845,"Wood, Henry,",Oswald Cray,1864,f,,111.9904434821562
uc2.ark:/13960/t2z31qm1p,"Swinton, E. D.",The great tab dope,1916,u,high_male,111.96327604545709
uc1.$b189644,"Mauriac, François,",The Holy Terror. | $c: Translated by Anne Carter and illustrated by Eileen Green.,1964,m,,110.99503786889527
uiuo.ark:/13960/t76t16s20,"Braddon, M. E.",Wyllard's weird,1880,f,,109.91076980924697
mdp.39015008468202,"Brome, Vincent,",The way back; | the story of Pat O'Leary.,1958,m,high_male,109.75227343994983
uc1.32106012155815,"Paling, Chris",After the raid / | $c: Chris Paling,1995,m,high_male,109.49282098956719
uc1.$b744342,"Baron, Phillimore, Godfrey Walter Phillimore,","Recollections of a prisoner of war, | $c: by Lord Phillimore.",1930,m,high_male,109.27575541744314
uva.x000875409,"Wood, Walter,",Survivors' tales of famous crimes,1916,m,mixed,109.07171758634844
uc1.b4095409,"Kennedy, Margaret,",A long week-end / | $c: by Margaret Kennedy.,1927,f,high_female,109.05125408942203
mdp.39015031309316,"Themba, Can,",The will to die; | $c: selected by Donald Stuart and Roy Holland. -,1972,u,mixed,108.56017047967512
mdp.39015077129537,"Frewin, Anthony,",The Reich stuff / | $c: Anthony Frewin.,2008,m,mixed,108.1531719297455
njp.32101065605469,"Wood, Eric,",How we baffled the Germans,1920,m,high_male,108.04970286331712
mdp.39015077121302,"Tagholm, John.",No identifiable remains / | $c: John Tagholm.,2008,m,high_female,108.01245590448941
mdp.39015064701801,,The remarkable everyday : | a collection of short stories.,2005,u,mixed,107.87760334039825
uc1.$b445470,"Beneš, Bohuš.",God's village : | a novel / | $c: by Bohus Benes ; foreword by Thomas Mann.,1947,u,high_female,107.8030604493
mdp.39015010474073,"Manning, Olivia.",My husband Cartwright. | $c: With illus. by Len Deighton.,1956,f,high_male,107.6757421935087
uc1.$b120418,"Mulholland, Brendan,",The commuter; | $c: illustrated by Trog.,1967,m,,106.80404598856569
mdp.39015020212307,"Burrows, E.",The triumphs of steam;,1859,f,high_male,106.05859737504971
uc1.b3477299,"De Polnay, Peter,",The other shore of time / | $c: Peter de Polnay,1978,m,mixed,105.18041208578293
mdp.39015014163953,"Yeats, Jack Butler,","The Amaranthers,",1936,m,high_male,105.15732088664225
uiuo.ark:/13960/t3ws90t6p,"Cresswell, Henry.",A wily widow,1888,m,high_female,105.09134002638463
mdp.39015034332851,"Tlali, Miriam.",Soweto stories / | $c: Miriam Tlali ; with an introduction by Lauretta Ngcobo.,1989,f,,104.9775509544882
mdp.39015016446802,"Comyn, Kenneth Fitzwilliam,",Dawn behind the tamarisks.,1950,m,,104.89681878339297
mdp.39015047113249,"Ekman, Kerstin,",Witches' rings / | $c: Kerstin Ekman ; translated by Linda Schenck.,1997,f,,103.47736106642552
uc1.$b722659,"Buick, Harry Arthur,",The Gringoes of Tepehuanes.,1967,m,high_male,103.47376201034737
mdp.39015050766685,"Rivas, Manuel,",The carpenter's pencil / | $c: Manuel Rivas ; translated from the Galician by Jonathan Dunne.,2001,m,mixed,103.41047754958532
uc1.b4948689,"Bargate, Verity.",No mama no / | $c: Verity Bargate.,1978,u,high_male,103.18878514081494
uiuo.ark:/13960/t54f29n2v,"Marks, Mary A. M.",All the world's a stage,1879,f,mixed,102.9140938143213
mdp.39015002743238,"Rose, Geoffrey,",A clear road to Archangel: | a story of 1917. -,1973,m,high_male,102.03526338702656
uc2.ark:/13960/t83j3cg3v,"Patterson, J. H.",The man-eaters of Tsavo and other East African adventures,1907,u,,101.88886276353946
mdp.39015054057859,"Hart, Kitty.",I am alive.,1961,f,high_female,100.29067296741403
uiuo.ark:/13960/t3dz0v47h,"Phillpotts, Eden,",Some every-day folks,1894,m,,100.23441920620807
mdp.39015063348778,"Ismailov, Hamid,",The railway / | $c: Hamid Ismailov.,2006,m,,99.96175376377734
uc2.ark:/13960/t7zk57t2s,"Brereton, F. S.",The hero of Panama,1912,m,high_male,99.8929147953394
uc1.b4084813,"Innes, Michael,",The secret vanguard / | $c: by Michael Innes.,1940,m,,99.7253938430409
mdp.39015029497784,"Millar, George Reid.","Maquis, | $c: by George Millar.",1945,m,high_male,98.72999773406562
pst.000061716865,"Tidhar, Lavie.",An occupation of angels / | $c: Lavie Tidhar ; introduction by Liz Williams.,2005,u,mixed,98.52510897474174
mdp.39015066086391,"Seiffert, Rachel.",The dark room / | $c: Rachel Seiffert.,2001,f,,98.29555507499951
inu.30000057588091,"Royle, Nicholas,",Saxophone dreams / | $c: Nicholas Royle.,1996,m,,98.21057012068248
uc1.32106006749425,"Ambler, Eric,",The dark frontier / | $c: Eric Ambler.,1977,m,high_male,97.61587578666912
mdp.39015030913548,"Warburton, Ernest.",Behind Boche bars,1920,m,high_male,97.26898615787505
mdp.39015063536539,"Collins, Mortimer,",[Works,1883,m,mixed,97.19922240622076
wu.89016145146,"Black, Jack.","You can't win, | $c: by Jack Black; with a foreword by Robert Herrick.",1927,m,mixed,97.16144633809304
nnc1.cu55085962,,The chronicles of Kartdale,1898,u,high_male,97.05776323451929
uva.x000676502,"Thornton, Marcellus Eugene.",My  budie  and I,1899,m,,96.87427191013991
uiuo.ark:/13960/t5q81zc29,"Wynne, Catherine Simpson.",The story of a kiss,1887,f,,96.15384615384616
mdp.39015029983908,"Palandri, Enrico.",The way back / | $c: Enrico Palandri ; translated by Stuart Hood.,1993,m,mixed,96.04302727621975
mdp.39015064948279,"Gardiner, Michael,",Escalator / | $c: Michael Gardiner.,2006,m,mixed,95.65042287555377
uc1.$b528548,"Lyall, Archibald,",Russian roundabout : | a non-political pilgrimage / | $c: by Archibald Lyall.,1933,m,mixed,95.58523654159869
uc1.$b120264,"Bradley, Marjorie D.",The long walkabout | $c: [by] Marjorie D. Bradley.,1968,f,,95.28975415243428
uc2.ark:/13960/t4fn1478h,"Warner, Anne,",Seeing France with Uncle John,1906,f,,95.28800800419268
uc1.32106011676373,"Doherty, Berlie",The vinegar jar / | $c: Berlie Doherty,1994,u,mixed,95.21326638178253
mdp.39015063542578,"Audemars, Pierre.","Hercule and the gods, | $c: by Pierre Audemars.",1944,m,high_male,94.4563139547959
mdp.39015026073620,"Rathnamal, Sita.",Beyond the jungle: | a tale of South India; | $c: illustrated by Robert Micklewright.,1968,u,mixed,94.3635066399687
wu.89095838025,"Millar, George Reid.",Horned pigeon.,1946,m,,94.14789366719624
uiuo.ark:/13960/t3gx4pc1g,"Fenn, George Manville,",By birth a lady,1871,m,,92.52155075145552
uc1.$b703625,"Vilmorin, Louise de,",Julietta / | $c: by Louise de Vilmorin ; [authorised trans. by Alison Brothers].,1952,f,high_female,91.44567295702053
uiuo.ark:/13960/t46q2gj16,"Marks, Mary A. M.",All the world's a stage,1879,f,mixed,90.74410163339383
mdp.39015004264944,"Upward, Edward.","The railway accident, and other stories.",1969,m,high_male,90.68073086584464
nyp.33433075763676,"Thomson, Edward.",The adventures of a carpet bag,1853,m,high_male,90.58402860548271
inu.32000007466461,"Mackworth, Cecily.",I came out of France.,1942,u,,90.51735128381652
mdp.39015060459230,,'Blackwood' tales from the outposts ...,1932,u,high_male,90.3989681288516
wu.89009785056,"Fox-Davies, Arthur Charles,",The Mauleverer murders,1907,m,,89.87792529892943
mdp.39015005658656,"Sillitoe, Alan.",Travels in Nihilon.,1971,m,high_male,89.56721123531098
mdp.39015077120007,"Curzon, Clare.",Off track / | $c: Clare Curzon.,2008,f,mixed,89.38917397781825
uc2.ark:/13960/t89g5js2d,"Mack, Louise,",A woman's experiences in the great war,1915,f,,89.37384947843022
njp.32101068177078,"Drury, W. P.",Bearers of the burden,1904,u,high_male,89.30934109552791
mdp.39015050559577,"Household, Geoffrey,",The lives and times of Bernardo Brown.,1973,m,high_male,89.23232601996229
mdp.39015002381344,"Bentley, E. C. (Edmund Clerihew),","Elephant's work, an enigma.",1950,m,high_male,88.58423411547588
uc1.$b243098,"Heygate, John, Sir.","Kurumba, | a novel.",1949,m,high_male,88.54677040412746
uc2.ark:/13960/t5db7xt79,"Bradley, Shelland.",An American girl in India,1911,u,high_female,88.51083395597448
uc2.ark:/13960/t2s46nr4s,"Allen, Grant,",The tents of Shem,1889,m,,88.3073094368402
mdp.39015050017907,"Mercer, Asja.","One woman's war, | $c: by Asja Mercer, in collaboration with Robert Jackson.",1958,u,,88.27316911062186
inu.30000110573494,"Su, Tong,",Madwoman on the bridge / | $c: by Su Tong ; translated from the Chinese by Josh Stenberg.,2008,m,high_male,88.1624902512631
uiuo.ark:/13960/t3708r06t,"Wood, Henry,",The Red court farm,1868,f,,87.98474931011958
uc1.b3162046,"Buca, Edward",Vorkuta,1976,u,high_male,87.92252549432354
uc1.$b244545,"Innes, Michael,",The journeying boy / | $c: by Michael Innes.,1949,m,high_male,87.82223009424284
mdp.39015061542075,"Nemet-Nejat, Murat.",The bridge / | $c: Murat Nemet-Nejat.,1977,u,,87.55173511620502
mdp.39015001799066,"Erofeev, Venedikt,",Moscow circles / | $c: Benedict Erofeev ; translated from the Russian by J.R. Dorrell.,1981,u,high_male,87.42255501919495
nnc1.cu58305971,"Pennypacker, Morton,","Harry's work; or, The need of the age",1899,m,high_male,87.07495143896939
mdp.39015027339442,"Garby-Czerniawski, Roman.",The big network.,1961,m,,87.04569302680531
mdp.39015026729890,"Power, Rhoda D",Under Cossack & Bolshevik,1919,f,high_female,86.89268753089934
uc1.32106018993359,"Baricco, Alessandro,",Silk / | $c: Alessandro Baricco ; translated from the Italian by Ann Goldstein,2006,m,high_male,86.6948850017849
uc1.$b119560,"Barwin, Victor.",Millionaires and tatterdemalions; | stories of Jewish life in South Africa.,1952,m,,86.65703810687701
mdp.39015076865743,"Jha, Raj Kamal,",Fireproof / | $c: Raj Kamal Jha.,2007,m,mixed,86.53748260766281
uiuo.ark:/13960/t2h70sq7q,"Gibbon, Charles,",Of high degree,1883,m,mixed,86.32424715295993
inu.39000001049829,"Böll, Heinrich,",The casualty / | $c: Heinrich Böll ; translated from the German by Leila Vennewitz.,1986,u,high_male,85.87570621468926
inu.39000000674551,"MacCarthy, Mary,",A pier and a band. | $c: With an introductory appreciation by David Garnett.,1950,f,,85.78326246001888
mdp.39015049187977,"Cleary, Jon,",The faraway drums / | $c: Jon Cleary.,1981,m,,85.76259941584343
mdp.39015032154414,"Morazzoni, Marta,",His mother's house / | $c: Marta Morazzoni ; translated from the Italian by Emma Rose.,1994,f,high_male,85.66044200788076
inu.32000009107717,"Hughes, M. V. (Mary Vivian),",A London home in the nineties | $c: [by] M. Vivian Hughes.,1937,f,,85.60390173573174
mdp.39015051363185,"Pyke, Geoffrey.",To Ruhleben--and back;,1916,u,high_male,85.58968576358227
mdp.39015080892956,"Bilton, Alan.",The sleepwalkers' ball / | $c: Alan Bilton.,2009,m,,84.7423017234338
wu.89100102326,"Hay, Ian.",The last million,1918,m,high_male,84.58076665283585
mdp.39076002819055,"Tahta, Haig.",April 1915 / | $c: Haig Tahta.,2005,m,mixed,84.17839084588059
wu.89099048308,"Baricco, Alessandro,",Silk / | $c: Alessandro Baricco ; translated from the Italian by Guido Waldman.,1998,m,high_male,83.73971725530762
mdp.39015004256973,"Ekwensi, Cyprian,","Lokotown, and other stories.",1966,m,,83.38738070971927
uc1.b5015714,"Robey, George,",An honest living / | $c: by George Robey.,1924,m,,83.07894431778662
mdp.39015084103939,"Joso, Jayne.",Soothing music for stray cats / | $c: Jayne Joso.,2009,f,mixed,82.91345111295364
mdp.39015001531022,"McKee, Ilse,",Tomorrow the world.,1960,f,,82.67931872241373
uc1.$b721006,"Pryce-Jones, Alan,",People in the south | $c: [by] Alan Pryce-Jones.,1932,m,high_female,82.67075157439152
uc2.ark:/13960/t74t6jf5c,"Murray, John Wilson,",Memoirs of a great detective,1904,m,high_male,82.62836907338186
inu.32000002903799,"Proust, Marcel,",Remembrance of things past / | $c: [Marcel Proust ; translated by C.K. Scott Moncrieff].,1949,m,,82.54783541231585
uc2.ark:/13960/t1rf5nx1q,"Birmingham, George A.,",Lady Bountiful,1921,m,mixed,82.22093248210486
mdp.39076005051995,"Thomas, Dylan,",Adventures in the skin trade.,1955,m,,82.0619941064568
mdp.39015012269489,"Matshoba, Mtutuzeli,",Call me not a man : | and other stories / | $c: Mtutuzeli Matshoba.,1981,u,,81.95264519441537
njp.32101072041781,"Neil, Ross,","Abbot's Cleve, or, Can it be proved?",1864,f,high_female,81.768720319527
mdp.39015029728089,"Klíma, Ivan.",My golden trades / | $c: Ivan Klíma ; translated from the Czech by Paul Wilson.,1992,m,,80.617690473487
uc1.$b176818,"Zangrandi, Ruggero.",A train to the Brenner (La tradotta del Brennero). | $c: Translated from the Italian by Roger Wolcott-Behnke.,1963,u,high_male,80.15097529164025
mdp.39015040572268,"Baricco, Alessandro,",Silk / | $c: Alessandro Baricco ; translated from the Italian by Guido Waldman.,1997,m,high_male,80.12820512820512
wu.89100091669,"Thompson, Beatrice.",Four months in Italy in war-time,1920,f,high_male,80.08328661808281
mdp.39015013446383,"Pedretti, Erica.",Stones / | $c: by Erika Pedretti ; translated by Judith Black.,1982,f,high_male,79.9428287648833
mdp.39015061186386,"Meek, James,",The people's act of love / | $c: James Meek.,2005,m,,79.5207191907756
mdp.39015050127300,"King, John,",Human punk / | $c: John King.,2000,m,high_male,79.36363691439027
uc1.b3796911,"Anant, Victor,",The revolving man.,1959,m,,79.0821881697631
mdp.39015054266971,"Tighe, Carl.",Burning worm / | $c: Carl Tighe.,2001,m,high_female,79.0820927619074
mdp.39015077136367,"Lake, Carol.",Wendy and her year of wonders / | $c: Carol Lake.,2008,f,high_female,78.96260681885978
mdp.39015001697328,"Hughes, M. V. (Mary Vivian),","A London family, 1870-1900; | a trilogy | $c: by M. V. Hughes.",1946,f,,78.44690966719493
inu.30000042629547,"Appiah, Anthony.",Another death in Venice / | $c: Anthony Appiah.,1995,m,,78.23338583662783
uc1.$b104086,"Lanham, Peter.",Blanket boy's moon / | $c: by Peter Lanham  ; based on an original story by A.S. Mopeli-Paulus.,1953,m,high_male,78.12842909186675
mdp.39015028410010,"Beeding, Francis.",The two undertakers / | $c: by Francis Beeding.,1933,m,mixed,77.90358759452526
uc2.ark:/13960/t6ww7b84s,"Topham, Anne,",Daphne in the Fatherland,1913,f,mixed,77.71714338812956
uc1.$b674881,"Shelley, Gerard",The speckled domes; | episodes of an Englishman's life in Russia.,1925,m,,77.66072393300918
uc1.$b173837,"Prichard, Katharine Susannah,","Haxby's circus : | the lightest, brightest little show on earch / | $c: by Katharine Susannah Prichard.",1932,f,,77.60257574506728
mdp.39015030727252,"Comfort, Alex,",Letters from an outpost.,1947,m,high_male,77.5301671868477
mdp.39015031309944,"Thiha, Maung.",The Chindits and the stars / | $c: by Maung Thiha.,1971,u,,77.52246163632027
