htid,author,title,year,authgender,female_category,urban_metric_global
mdp.39015030945623,"Armstrong, Thomas,",Adam Brunskill / | $c: Thomas Armstrong.,1952,m,mixed,-0.26844611947029695
uc1.b3327172,"Roberts, Morley,","Followers of the sea; | a set of sea-comedies, | $c: by Morley Roberts.",1923,u,mixed,-0.2685311545054584
njp.32101067173052,"Scott, Walter,",Novels and tales of the author of Waverley,1819,m,high_female,-0.2686674412293933
uc1.b3940672,"Romanov, Panteleĭmon,",Without cherry blossom,1930,u,,-0.26870665851181785
mdp.39015018951569,"Roberts, Michèle.",In the red kitchen / | $c: Michèle Roberts.,1990,u,high_female,-0.2689202504320793
mdp.39015030836798,,Anticipations / | $c: edited by Christopher Priest.,1978,u,,-0.26904027233208333
inu.32000003235852,"Mann, Thomas,",Mario and the magician / | $c: Thomas Mann ; [translated from the German by H. T. Lowe-Porter].,1930,m,high_male,-0.2690574584585242
uiuo.ark:/13960/t4sj2431s,"Oliphant,",Kirsteen,1890,f,high_female,-0.26940396654244103
mdp.39015030851722,"Billing, Graham.",The slipway.,1974,m,high_male,-0.26954324506604943
njp.32101067643617,"Conway, Hugh,",Living or dead,1886,m,mixed,-0.2695473886654056
mdp.39015007070702,"Tyler, Anne.",Celestial navigation.,1975,f,mixed,-0.26962551543615954
inu.30000120843333,"Sisson, Rosemary Anne.",Escape from the dark / | $c: Rosemary Anne Sisson.,1976,f,mixed,-0.2696444845143794
uc2.ark:/13960/t90868990,"Ouida,",Wanda,1883,f,,-0.26990473296965556
uiuo.ark:/13960/t47p9n68s,"Reynolds, George W. M.",The mysteries of the court of London,1850,m,,-0.2699472370033462
uiuo.ark:/13960/t39z9w75s,"Hook, Theodore Edward,",The man of sorrow;,1808,m,mixed,-0.26997441607499484
mdp.39015063623451,"Fraser, Norman.",Student life at Edinburgh university,1884,m,high_male,-0.27002428334869544
uc2.ark:/13960/t8z894h07,"Johns, Richard.","Legend and romance, African and European",1839,m,mixed,-0.2700489566593693
mdp.39015053654920,"Edgeworth, Maria,",Tales of fashionable life,1809,f,,-0.2701125828579969
uc1.$b785372,"Hilliard, Noel.",Power of joy.,1965,m,high_male,-0.27011764023684176
uiuo.ark:/13960/t4hm5w02c,"Noble, Frances.",Violet Mortimer,1879,u,,-0.27014796391374324
inu.30000107641973,"Baker, Carleen.",Hate loves games / | $c: Carleen Baker.,2006,f,high_female,-0.270262108091606
uc1.b2801672,"Lindsay, Jack,",Choice of times / | $c: Jack Lindsay.,1964,m,,-0.27026239857089085
wu.89007244767,"Klein, Gerda Weissmann,",My tortured years.,1960,f,,-0.27031829595417856
uc2.ark:/13960/t48p6126r,"Dorrington, Albert.",Children of the cloven hoof,1911,m,,-0.2703580382774738
uiuo.ark:/13960/t9862wm3v,"Glaister, Elizabeth.",The perfect path,1884,f,high_female,-0.27039294375409206
uc1.$b322709,"Benson, Stella,","Mundos; | an unfinished novel, | $c: by Stella Benson.",1935,f,,-0.2704718227574613
uc2.ark:/13960/t6h131n9v,"Kingsley, Henry,",Reginald Hetherege,1874,m,,-0.2704858660226533
uiuo.ark:/13960/t57d3gt1n,"Praed, Campbell,",Nadine,1882,f,,-0.2705265544454874
mdp.39015010348038,"Darwin, Bernard,",At odd moments;,1941,m,,-0.2705763386439458
mdp.39015019637555,"Dick, Kay.",The shelf : | a novel / | $c: by Kay Dick.,1984,f,high_female,-0.27066758424796744
mdp.39015077147133,"D'Ancona, Matthew,",Nothing to fear / | $c: Matthew d'Ancona.,2008,m,high_female,-0.27076345478852315
mdp.39015004712926,"O'Donnell, Elliott,",Werwolves,1912,m,mixed,-0.2707740519338543
uiuo.ark:/13960/t9w09m945,"Braddon, M. E.",The golden calf,1883,f,high_female,-0.2708611306496615
uiuo.ark:/13960/t8hd8hf4s,"Yates, Edmund Hodgson,",Dr. Wainwright's patient,1871,m,,-0.2708769748150236
mdp.39015064948212,"Boyne, John,",Next of kin / | $c: John Boyne.,2006,m,,-0.27088765829780415
inu.39000005794198,"Busk, Rachel Harriette,",The folk-lore of Rome;,1874,f,,-0.27097070057197126
inu.32000004496032,"Gore,","Mrs. Armytage, or Female domination",1836,f,high_female,-0.27098865522323323
uc1.$b176799,"Ceccherini, Silvano.",The transfer (La traduzione);,1966,m,,-0.2710020257747518
uc2.ark:/13960/t0rr1v149,"Anstey, F.,",The pariah,1889,m,high_female,-0.271042252126939
uiuo.ark:/13960/t3fx7wz8s,"St. Leonards, Eden.",Oberon spell,1869,f,mixed,-0.2711355306980627
uc2.ark:/13960/t9959jp2r,"Lever, Charles James,",The knight of Gwynne,1872,m,mixed,-0.27126758129697137
hvd.hnnzlh,,The pic-nic papers,1841,m,,-0.2712863305009829
uc2.ark:/13960/t3707zj06,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,high_male,-0.2716256517202216
uc2.ark:/13960/t9d50n06g,"James, G. P. R.",The smuggler,1845,m,mixed,-0.271698092594619
mdp.39015043042426,"North, Sam.",The lie of the land / | $c: Sam North.,1998,m,high_female,-0.27174461563717034
uiuo.ark:/13960/t6d22j49c,,Poor Nellie,1887,f,,-0.27174536508470787
mdp.39015030126505,"Roscoe, Thomas,",The German novelists,1826,m,,-0.271850486358544
mdp.39015064869475,"Brookfield, Amanda,",The simple rules of love / | $c: Amanda Brookfield.,2006,f,,-0.27186968422162827
uc2.ark:/13960/t9d50n665,"Taylor, S. Howard.",Kate Byrne,1874,m,high_female,-0.27189601163614785
nyp.33433066731575,"James, Henry,",The spoils of Poynton,1897,m,high_female,-0.2719464092565738
mdp.39015008955489,"Murdoch, Iris.",An accidental man. -,1971,f,,-0.2720310942030123
mdp.39015019906778,"Dickens, Charles,",The lazy tour of two idle apprentices,1890,m,,-0.27205696180906597
nyp.33433074929930,"Blessington, Marguerite,",The honey-moon,1837,f,mixed,-0.27207297522815005
uiuo.ark:/13960/t8x92sn08,"Page, Hamilton.",The lady resident,1880,m,,-0.27209198919560035
uiuo.ark:/13960/t2q533w9z,"Lewis, Arthur,",The master of Riverswood,1876,f,,-0.27211683689441457
inu.39000003330789,"Fothergill, Jessie,",Probation,1879,f,mixed,-0.27220918276782635
mdp.39015049211009,"Williams, Denis,",Other leopards / | $c: Denis Williams ; introd. by Edward Baugh.,1983,m,high_female,-0.2722175120495194
mdp.39015018001159,"Marlowe, Mary.",The women who wait,1918,f,high_female,-0.2722207614005351
mdp.39015022378494,"Ouida,",Folle-Farine,1877,f,,-0.272438445182627
njp.32101066597434,"Baring-Gould, S.",Arminell,1890,m,,-0.27269219831357283
uc1.$b58740,"Gibbings, Robert,",Over the reefs.,1948,m,mixed,-0.27270869814625615
inu.30000054085406,"Malet, Lucas,",Mrs. Lorimer,1882,f,high_female,-0.27271359085971597
mdp.39015064466165,"Borrow, George Henry,",The Romany rye;,1858,m,mixed,-0.2728353480929698
mdp.39015064753596,"Jepson, Nigel.",Cut and run / | $c: Nigel Jepson.,2006,m,,-0.272889337696316
mdp.39015059246887,"Hawes, J. M. (James M.)",Speak for England / | $c: James Hawes.,2005,m,high_male,-0.27290754203117307
uc2.ark:/13960/t5w669w0z,"Lubbock, Basil,",Jack Derringer,1906,m,high_male,-0.2729841022527599
mdp.39015070756120,"Johnston, Jennifer,",Foolish mortals / | $c: Jennifer Johnston.,2007,f,,-0.2731094683854496
uiuo.ark:/13960/t79s22h55,"Collins, Wilkie,",The legacy of Cain,1889,m,high_female,-0.2732940095186672
uiuo.ark:/13960/t1hh7524f,,Rose Aylmer's home,1865,u,,-0.2733957898020991
uc1.b4097321,"Dunsterville, L. C. (Lionel Charles),","More yarns / | $c: by ""Stalky"" (L.C. Dunsterville).",1931,m,high_male,-0.2735411982661628
mdp.39015008398441,"Amis, Kingsley.",Russian hide-and-seek : | a melodrama / | $c: Kingsley Amis.,1980,m,mixed,-0.2738781039085672
mdp.39015001797649,"Grahame, Kenneth,",Pagan papers,1894,m,mixed,-0.2739388083051549
uc1.b3472560,"Tracy, Honor,",The beauty of the world | $c: [by] Honor Tracy.,1967,f,,-0.2739505782431147
uc2.ark:/13960/t7wm1925d,"Hyatt, Stanley Portal,",The way of the Cardines,1913,m,,-0.2740234451139733
njp.32101038029524,"Homer, A. N.","Hernani, the Jew;",1897,u,high_female,-0.27427142097753576
njp.32101067173045,"Scott, Walter,",Novels and tales of the author of Waverley,1819,m,,-0.27436958198170386
mdp.39015068100760,"Sedley, Charles,",Asmodeus;,1808,m,high_male,-0.2745678594081836
uc1.32106006962234,"Ferguson, Patricia.",Family myths and legends : | a novel / | $c: by Patricia Ferguson.,1985,f,high_female,-0.2746810124896114
mdp.39015073316773,"Carlyle, Thomas,",[Works],1885,m,high_male,-0.274713797078453
njp.32101067630127,"Bede, Cuthbert,",The curate of Cranston,1862,m,,-0.2747754217503174
mdp.39015030848892,"Bailey, Paul,",Peter Smart's confessions / | $c: Paul Bailey.,1977,m,mixed,-0.27484187618657685
mdp.39015048860921,"Sena, Jorge de.",Signs of fire / | $c: Jorge de Sena ; translated by John Byrne.,1999,m,high_male,-0.2749205698716867
uc1.b2806176,"Addison, Doris M.",Mara.,1964,f,,-0.2749397964602973
nyp.33433073356804,"Turgenev, Ivan Sergeevich,",Fathers and sons,1883,m,,-0.27494460053718495
uiuo.ark:/13960/t63499v9f,"Wilkins, W. H.",The forbidden sacrifice,1893,m,high_female,-0.2749766786249781
mdp.39015057018791,"Elderkin, Susan.",The voices / | $c: Susan Elderkin.,2003,f,,-0.2751872733200738
nyp.33433078795154,"Pushkin, Aleksandr Sergeevich,",The captain's daughter,1859,f,,-0.27545570433317257
mdp.39015032979232,"Boullosa, Carmen.",The miracle-worker / | $c: Carmen Boullosa ; translated from the Spanish by Amanda Hopkinson.,1994,f,,-0.27547009418409457
dul1.ark:/13960/t3611qf54,"Farningham, Marianne,",Nineteen hundred?,1892,f,,-0.27562354973345243
uc2.ark:/13960/t0vq2w88r,"Hamilton, Mary Agnes,",Greek legends,1916,f,,-0.27565213329108335
uc2.ark:/13960/t2v40qk2r,"Maitland, Ella Fuller.",Pages from the day-book of Bethia Hardacre,1896,f,high_female,-0.2756949062803396
mdp.39015062286052,"James, G. P. R.","Morley Ernstein; or, The tenants of the heart",1842,m,mixed,-0.27580264331556303
mdp.39015053235845,"Yeates, Victor M",Winged victory. | $c: [With a new pref. and a tribute by Henry Williamson],1961,m,high_male,-0.27585060871765144
uiuo.ark:/13960/t1rf68d86,"Marshall, Frederick.","Claire Brandon, a novel",1890,m,high_female,-0.27591816689971466
njp.32101067644623,"Fletcher, J. S.",God's failures,1897,m,mixed,-0.27598081098381155
nyp.33433074873443,"Latto, William Duncan.",Tammas Bodkin,1864,m,,-0.27598983351847267
uc1.b4948528,"Brown, George Mackay.","A time to keep, and other stories.",1969,m,mixed,-0.2760185603354225
mdp.39015053521236,"King, Francis Henry,",The custom house / | $c: Francis King.,1961,m,high_female,-0.27625537976385395
uiuo.ark:/13960/t4mk6zh8s,"Shand, Alexander Innes,",Fortune's wheel,1886,m,,-0.2763141534618079
inu.30000055891232,"Birmingham, Maisie.",The mountain by night / | $c: by Maisie Birmingham.,1997,f,high_female,-0.27647079196585234
uc1.b3862851,"Jackson, Shirley,",The sundial / | $c: Shirley Jackson.,1958,f,high_female,-0.27657555084737556
uiuo.ark:/13960/t1tf0629q,"Tennyson, Mary H.",Friend Perditus A novel,1890,f,mixed,-0.27658339148779776
uiuo.ark:/13960/t2x35cd31,"Oliphant,",The son of his father,1887,f,mixed,-0.2766119177478215
uiuo.ark:/13960/t7jq1b680,"Ouida,",Guilderoy,1889,f,mixed,-0.2767451159701566
uc2.ark:/13960/t4dn42010,"Marriott, Charles,","""Now""!",1910,m,,-0.2767600868795785
uiuo.ark:/13960/t9474rt85,"Fenton, J. D.",Memoirs of a lady in waiting,1860,u,mixed,-0.2769979417529421
uc2.ark:/13960/t9n30638w,"Nevinson, Henry Woodd,",Neighbors of ours;,1895,m,high_female,-0.27699954983455655
mdp.39015031442786,"Rawson, Geoffrey.",The strange case of Mary Bryant / | $c: by Geoffrey Rawson.,1938,m,mixed,-0.2772234975475087
mdp.39015028339946,Apuleius.,Cupid & Psyche & other tales from the Golden ass of Apulcius,1904,m,,-0.2773190085460574
uc1.b3322012,"Cartwright, Mrs. Robert.","The widowed bride, or Lamia",1851,f,mixed,-0.277338475794339
nyp.33433074875943,"MacDonald, George,",David Elginbrod,1863,m,mixed,-0.27754726522445
nyp.33433074878871,"Lover, Samuel,",Legends and stories of Ireland,1837,m,high_male,-0.27759726730634426
uiuo.ark:/13960/t51g16h3b,"Kelly, Tom,",Time and chance,1882,f,mixed,-0.27769661703029735
uc2.ark:/13960/t7sn08r4h,"Stewart, Charles D.",The fugitive blacksmith,1905,m,mixed,-0.27806784291864994
mdp.39015027228645,"Townsend, John Rowe.",Hell's edge.,1963,m,mixed,-0.2781355616839203
uiuo.ark:/13960/t0ms47d1k,,Lemira of Lorraine,1822,u,high_female,-0.27822656734715534
uiuo.ark:/13960/t3tt53s18,"Donelan, A. M.",What 'tis to love,1873,u,mixed,-0.27823471515390336
mdp.39015050047961,,Catwomen from hell : | contemporary short stories by women from Wales / | $c: edited by Janet Thomas.,2000,u,high_female,-0.2783083769353906
wu.89099248965,"Mordaunt, Elinor,",The processionals,1918,f,,-0.2783456268322725
uiuo.ark:/13960/t77s8c83f,"Wilkins, W. H.",The holy estate,1895,m,high_female,-0.2786672409704538
mdp.39015063869773,"Gleig, G. R.",The Chelsea pensioners,1829,m,,-0.2787677855367102
uc1.32106017920841,"Hunt, Chris",The honey and the sting / | $c: Chris Hunt,1999,m,high_male,-0.27876786105809337
uiuo.ark:/13960/t8sb4kr00,"De Jongh, Bertha.",Loving and loth,1875,f,high_female,-0.278901744068607
uc1.$b120278,"Avery, E. (Elizabeth)",Sister Bollard.,1963,f,high_female,-0.2789614409146734
uiuo.ark:/13960/t61558m8m,"Ainsworth, William Harrison,",Crichton,1837,m,,-0.27898124491403276
njp.32101064911892,"Marryat, Frederick,",The novels of Captain Marryat,1895,m,mixed,-0.2791114554690143
uva.x000425261,"Delafield, E. M.,",Zella sees herself,1917,f,high_female,-0.2791487407266739
mdp.39015063514528,"Hope, Anthony,","The heart of Princess Osra, | $c: by Anthony Hope [pseud.]",1925,m,high_male,-0.27959982545318085
uc2.ark:/13960/t00004q77,"Hook, Theodore Edward,","Births, deaths, and marriages",1839,m,mixed,-0.27963083946975575
uc1.32106002060223,"Galloway, David D.",Ten modern American short stories; | $c: selected and introduced by David Galloway and John Whitley.,1968,m,,-0.2796446899954008
mdp.39015063972619,"Somerville, E. Œ.",An Irish cousin,1903,f,,-0.27977374937042443
uiuo.ark:/13960/t5q81zc29,"Wynne, Catherine Simpson.",The story of a kiss,1887,f,,-0.2798270263358629
mdp.39015077120007,"Curzon, Clare.",Off track / | $c: Clare Curzon.,2008,f,mixed,-0.27983007789930875
uiuo.ark:/13960/t24b3gp1d,"Hardy, Iza Duffus.",A broken faith,1879,f,,-0.27991120602857633
mdp.39015017973424,"Raven, Simon,",In the image of God : | a novel / | $c: by Simon Raven.,1990,m,,-0.27995259223255065
uiuo.ark:/13960/t1fj2vs1h,"Hamerton, Philip Gilbert,",Wenderholme,1869,m,mixed,-0.28007326084389705
mdp.39015030747342,"Herbert, A. P. (Alan Patrick),","Honeybubble & co., | $c: by A. P. Herbert.",1928,m,,-0.2801488262209617
uiuo.ark:/13960/t1qf9c84j,"Tabor, Eliza.",Dimplethorpe,1880,f,,-0.28015196800475334
uc2.ark:/13960/t19k4bx8b,"Jerrold, Douglas William,",Cakes and ale,1852,m,,-0.280199455271623
mdp.39015065815535,"Yonge, Charlotte M.",Nuttie's father,1885,f,mixed,-0.2802360075435974
inu.30000110555517,"Humphrey, Andrew.",Other voices : | stories / | $c: Andrew Humphrey.,2008,m,mixed,-0.28023905557654555
mdp.39015010822388,,The Tristan legend : | texts from Northern and Eastern Europe in modern English translation / | $c: edited by Joyce Hill.,1977,u,mixed,-0.28031144226049
uc1.32106005259707,"Leonov, Leonid,",The thief / | $c: by Leonid Leonov. [Authorized translation from the Russian by Hubert Butler],1931,u,mixed,-0.2804938248249468
nyp.33433074904867,"Moon, G. Washington","He-- With all my worldly goods I thee endow,  She-- But, what is written in the law, how readest thou?",1890,m,,-0.28053049346266373
uiuo.ark:/13960/t0ms40p37,"Caddell, Cecilia Mary,",Home & the homeless,1858,f,,-0.28061514186605163
mdp.39015008629449,"Collis, Maurice,",Sanda Mala | $c: [by] Maurice Collis.,1939,m,,-0.2807019101832375
uc1.$b244282,"Ford, Ford Madox,","Ladies whose bright eyes; | a romance, | $c: by Ford Madox Hueffer ...",1931,m,mixed,-0.2807186902465725
uc1.b2831277,"Mathew, Ray,",The joys of possession.,1967,m,,-0.2807958056503882
inu.30000029791724,"Wilson, Deirdre.",Slave of the passions / | $c: Deirdre Wilson.,1991,f,mixed,-0.28085135612571216
uc1.$b787395,"O'Connor, Frank,",Traveller's samples : | stories and tales / | $c: by Frank O'Connor.,1951,m,mixed,-0.2809640414204392
mdp.39015030747250,"Gubsky, Nikolai,",The greatest of these / | $c: by Nikolai Gubsky.,1931,u,high_female,-0.2810036281467622
mdp.39015056222303,,"The Wycliffe New Testament (1388) : | an edition in modern spelling, with an introduction, the original prologues and the Epistle to the Laodiceans / | $c: edited for The Tyndale Society by W.R. Cooper.",2002,u,high_male,-0.28102462626575875
uc1.b4104679,"Conrad, Joseph,",The works of Joseph Conrad.,1923,m,,-0.2810650852927804
